date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,4825,6762,540,758,145,166
2020-04-13,4986,7012,600,1370,148,196
2020-04-14,5246,6917,731,2006,166,227
2020-04-15,5530,6784,808,2633,185,257
2020-04-16,5812,6685,937,3248,211,287
2020-04-17,6149,6630,1096,3854,232,316
2020-04-18,6572,6614,1201,4455,255,345
2020-04-19,6977,6629,1273,5055,278,374
2020-04-20,7418,6668,1336,5656,300,403
2020-04-21,7891,6726,1413,6260,324,432
2020-04-22,8456,6798,1494,6870,348,461
2020-04-23,8997,6881,1578,7486,377,490
2020-04-24,9593,6973,1652,8110,407,519
2020-04-25,10144,7072,1734,8742,432,548
2020-04-26,10719,7177,1791,9383,448,578
2020-04-27,11291,7287,1857,10034,467,608
2020-04-28,11855,7402,1933,10695,491,638
2020-04-29,12507,7521,2020,11366,522,668
2020-04-30,13238,7643,2114,12048,551,698
2020-05-01,14042,7768,2204,12741,583,728
2020-05-02,14816,7897,2335,13445,619,759
2020-05-03,15529,8028,2452,14161,653,790
2020-05-04,16191,8162,2588,14889,695,821
2020-05-05,16574,8299,2697,15629,731,852
2020-05-06,17145,8439,2790,16381,759,883
2020-05-07,17724,8582,2882,17146,783,914
2020-05-08,18585,8728,2982,17924,802,945
2020-05-09,19273,8877,3107,18715,826,976
2020-05-10,20078,9030,3199,19520,838,1007
2020-05-11,20832,9184,3291,20339,860,1038
2020-05-12,21573,9341,3409,21172,890,1069
2020-05-13,22317,9500,3544,22019,925,1100
2020-05-14,23110,9661,3679,22880,954,1131
2020-05-15,23946,9824,3797,23756,979,1162
2020-05-16,24682,9990,3902,24647,997,1193
2020-05-17,25391,10158,4003,25553,1009,1224
2020-05-18,26079,10329,4123,26474,1022,1255
2020-05-19,26720,10502,4300,27410,1044,1286
2020-05-20,27467,10678,4524,28362,1072,1317
2020-05-21,28141,10858,4754,29330,1103,1347
2020-05-22,28885,11041,4929,30314,1131,1377
2020-05-23,29455,11228,5037,31315,1155,1407
2020-05-24,30296,11418,5098,32333,1179,1437
2020-05-25,31408,11618,5158,33368,1205,1467
2020-05-26,32619,11825,5246,34421,1241,1496
2020-05-27,33690,12038,5355,35493,1285,1525
2020-05-28,34574,12256,5495,36584,1325,1554
2020-05-29,35539,12479,5621,37695,1355,1583
2020-05-30,36463,12708,5753,38826,1367,1611
2020-05-31,37322,12943,5837,39978,1379,1639
2020-06-01,38097,13182,5926,41151,1391,1667
2020-06-02,38746,13426,6025,42346,1409,1695
2020-06-03,39421,13674,6153,43563,1426,1722
2020-06-04,40042,13927,6280,44803,1442,1749
2020-06-05,40790,14185,6352,46066,1453,1776
2020-06-06,41637,14451,6437,47352,1462,1802
2020-06-07,42481,14724,6492,48662,1470,1828
2020-06-08,43152,15002,6590,49997,1481,1854
2020-06-09,43541,15285,6686,51357,1495,1879
2020-06-10,43878,15572,6799,52743,1510,1904
2020-06-11,44249,15865,6907,54155,1522,1928
2020-06-12,44702,16162,7009,55593,1531,1952
2020-06-13,45219,16464,7103,57058,1540,1976
2020-06-14,45695,16774,7179,58551,1546,1999
2020-06-15,46102,17088,7249,60072,1556,2022
2020-06-16,46429,17407,7333,61621,1568,2044
2020-06-17,46781,17736,7421,63199,1579,2066
2020-06-18,47183,18070,7495,64807,1590,2088
2020-06-19,47672,18411,7554,66445,1598,2109
2020-06-20,48199,18759,7605,68114,1606,2130
2020-06-21,48717,19117,7638,69815,1612,2150
2020-06-22,49181,19482,7678,71548,1625,2170
2020-06-23,49632,19853,7717,73314,1642,2189
2020-06-24,50055,20233,7769,75114,1660,2208
2020-06-25,50515,20620,7817,76948,1678,2226
2020-06-26,51004,21014,7884,78817,1699,2244
2020-06-27,51519,21419,7947,80722,1718,2262
2020-06-28,51994,21835,7998,82664,1732,2279
2020-06-29,52456,22262,8036,84643,1745,2296
2020-06-30,52885,22696,8078,86661,1763,2312
2020-07-01,53218,23135,8235,88718,1788,2328
2020-07-02,53516,23585,8446,90815,1815,2343
2020-07-03,53927,24050,8649,92953,1836,2358
2020-07-04,54485,24535,8745,95133,1853,2373
2020-07-05,55010,25030,8778,97357,1865,2387
2020-07-06,55485,25503,8835,99626,1876,2401
2020-07-07,55939,25966,8911,101938,1889,2414
2020-07-08,56464,26426,8996,104292,1907,2427
2020-07-09,57077,26886,9088,106688,1933,2440
2020-07-10,57773,27348,9175,109125,1952,2452
2020-07-11,58576,27815,9256,111604,1962,2464
2020-07-12,59430,28287,9303,114126,1965,2475
2020-07-13,60261,28765,9354,116690,1970,2486
2020-07-14,61132,29251,9426,119298,1979,2497
2020-07-15,61944,29744,9531,121950,1992,2507
2020-07-16,62775,30243,9684,124646,2004,2517
2020-07-17,63563,30749,9834,127388,2015,2526
2020-07-18,64433,31263,9958,130175,2021,2535
2020-07-19,65332,31783,10033,133009,2027,2544
2020-07-20,66238,32349,10119,135890,2035,2552
2020-07-21,67112,32934,10224,138823,2043,2560
2020-07-22,67934,33536,10348,141809,2051,2568
2020-07-23,68812,34151,10462,144849,2057,2575
2020-07-24,69720,34778,10618,147945,2065,2582
2020-07-25,70688,35425,10752,151098,2073,2589
2020-07-26,71797,36087,10874,154309,2078,2596
2020-07-27,72668,36764,11124,157580,2085,2602
2020-07-28,73539,37461,11380,160913,2100,2608
2020-07-29,74201,38172,11642,164309,2120,2614
2020-07-30,75011,38896,11771,167769,2146,2619
2020-07-31,75798,39633,11890,171295,2176,2624
2020-08-01,76600,40392,12017,174888,2206,2629
2020-08-02,77543,41167,12123,178550,2230,2634
2020-08-03,78558,41951,12249,182282,2239,2639
2020-08-04,79494,42741,12387,186085,2254,2643
2020-08-05,80269,43538,12514,189960,2272,2647
2020-08-06,81343,44355,12627,193907,2296,2651
2020-08-07,82600,45182,12734,197928,2312,2655
2020-08-08,83901,46025,12830,202024,2321,2659
