date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,3319,4169,186,216,118,126
2020-04-13,3356,4304,207,254,122,136
2020-04-14,3401,4387,294,295,131,147
2020-04-15,3498,4470,364,337,141,158
2020-04-16,3547,4557,537,381,153,169
2020-04-17,3584,4650,740,427,166,181
2020-04-18,3627,4747,918,475,177,193
2020-04-19,3657,4847,1066,525,185,205
2020-04-20,3735,4951,1156,578,194,218
2020-04-21,3809,5059,1246,633,210,231
2020-04-22,4001,5171,1270,691,229,245
2020-04-23,4229,5286,1286,751,248,259
2020-04-24,4459,5404,1313,814,262,273
2020-04-25,4666,5525,1347,880,275,288
2020-04-26,4848,5649,1382,948,285,303
2020-04-27,5024,5776,1417,1019,297,319
2020-04-28,5212,5906,1447,1093,304,335
2020-04-29,5487,6039,1474,1171,312,352
2020-04-30,5787,6174,1500,1252,324,369
2020-05-01,6124,6311,1530,1336,342,387
2020-05-02,6399,6451,1563,1424,362,405
2020-05-03,6666,6593,1598,1515,378,424
2020-05-04,6934,6738,1633,1610,389,443
2020-05-05,7242,6885,1665,1708,405,463
2020-05-06,7534,7035,1695,1810,423,483
2020-05-07,7875,7188,1720,1916,464,504
2020-05-08,7927,7343,2051,2026,499,525
2020-05-09,7938,7500,2402,2140,528,547
2020-05-10,7848,7660,2770,2259,536,569
2020-05-11,8021,7822,2845,2382,546,592
2020-05-12,8299,7986,2913,2509,566,615
2020-05-13,8628,8152,2987,2641,593,639
2020-05-14,8997,8321,3066,2777,623,663
2020-05-15,9326,8492,3192,2918,651,688
2020-05-16,9606,8665,3317,3064,670,713
2020-05-17,9798,8841,3459,3215,682,739
2020-05-18,9982,9018,3571,3371,690,765
2020-05-19,10172,9198,3678,3532,713,792
2020-05-20,10426,9380,3779,3698,738,819
2020-05-21,10666,9564,3864,3869,762,847
2020-05-22,10943,9750,3951,4045,781,875
2020-05-23,11185,9938,4038,4226,795,904
2020-05-24,11406,10128,4123,4413,806,933
2020-05-25,11586,10319,4211,4605,808,963
2020-05-26,11815,10512,4287,4803,817,993
2020-05-27,12149,10707,4370,5006,834,1024
2020-05-28,12575,10905,4454,5215,860,1055
2020-05-29,13099,11105,4553,5430,883,1087
2020-05-30,13667,11307,4656,5651,899,1119
2020-05-31,14103,11511,4762,5878,909,1152
2020-06-01,14656,11716,4865,6110,922,1185
2020-06-02,15331,11924,4970,6348,948,1218
2020-06-03,16122,12136,5071,6592,975,1252
2020-06-04,17046,12351,5182,6843,999,1286
2020-06-05,17950,12569,5289,7100,1019,1321
2020-06-06,19186,12789,5404,7363,1036,1356
2020-06-07,20139,13012,5518,7633,1049,1391
2020-06-08,20954,13236,5640,7909,1060,1427
2020-06-09,21781,13464,5751,8192,1076,1463
2020-06-10,22798,13695,5903,8481,1104,1499
2020-06-11,24205,13928,6051,8777,1130,1536
2020-06-12,25658,14165,6170,9079,1160,1573
2020-06-13,27040,14404,6250,9388,1178,1610
2020-06-14,28208,14646,6334,9704,1194,1648
2020-06-15,29574,14890,6464,10027,1207,1686
2020-06-16,31171,15136,6591,10357,1226,1724
2020-06-17,33211,15386,6725,10694,1253,1762
2020-06-18,35615,15641,6865,11038,1284,1800
2020-06-19,38486,15900,7025,11389,1316,1839
2020-06-20,41338,16163,7200,11748,1338,1878
2020-06-21,43703,16429,7388,12114,1348,1917
2020-06-22,46253,16699,7571,12488,1365,1956
2020-06-23,48564,16973,7754,12869,1404,1995
2020-06-24,51224,17251,7940,13258,1452,2035
2020-06-25,53723,17534,8154,13655,1499,2075
2020-06-26,56756,17822,8395,14059,1537,2115
2020-06-27,60006,18114,8658,14471,1570,2155
2020-06-28,62352,18411,8921,14891,1590,2195
2020-06-29,65113,18712,9172,15320,1612,2235
2020-06-30,68201,19018,9435,15757,1656,2275
2020-07-01,72127,19329,9754,16202,1711,2315
2020-07-02,75935,19646,10110,16656,1762,2355
2020-07-03,78995,19969,10506,17118,1793,2395
2020-07-04,82120,20298,10914,17589,1813,2435
2020-07-05,84852,20632,11366,18069,1823,2475
2020-07-06,87871,20989,11819,18558,1860,2515
2020-07-07,90849,21355,12299,19057,1906,2555
2020-07-08,94016,21728,12801,19566,1976,2595
