date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,4825,6762,540,758,145,166
2020-04-13,4986,7012,600,1370,148,196
2020-04-14,5246,6917,731,2006,166,227
2020-04-15,5530,6783,808,2633,185,257
2020-04-16,5812,6683,937,3248,211,287
2020-04-17,6149,6627,1096,3854,232,316
2020-04-18,6572,6610,1201,4455,255,345
2020-04-19,6977,6624,1273,5054,278,374
2020-04-20,7418,6662,1336,5654,300,403
2020-04-21,7891,6719,1413,6258,324,432
2020-04-22,8456,6790,1494,6867,348,461
2020-04-23,8997,6872,1578,7483,377,490
2020-04-24,9593,6963,1652,8106,407,519
2020-04-25,10144,7061,1734,8737,432,548
2020-04-26,10719,7165,1791,9377,448,577
2020-04-27,11291,7275,1857,10027,467,607
2020-04-28,11855,7390,1933,10687,491,637
2020-04-29,12507,7508,2020,11357,522,667
2020-04-30,13238,7630,2114,12038,551,697
2020-05-01,14042,7755,2204,12730,583,727
2020-05-02,14816,7884,2335,13433,619,758
2020-05-03,15529,8015,2452,14148,653,789
2020-05-04,16191,8149,2588,14875,695,820
2020-05-05,16574,8286,2697,15614,731,851
2020-05-06,17145,8426,2790,16365,759,882
2020-05-07,17724,8569,2882,17129,783,913
2020-05-08,18585,8715,2982,17906,802,944
2020-05-09,19273,8864,3107,18696,826,975
2020-05-10,20078,9016,3199,19500,838,1006
2020-05-11,20832,9172,3291,20317,860,1037
2020-05-12,21573,9332,3409,21148,890,1068
2020-05-13,22317,9496,3544,21994,925,1099
2020-05-14,23110,9663,3679,22855,954,1130
2020-05-15,23946,9834,3797,23731,979,1161
2020-05-16,24682,10008,3902,24622,997,1192
2020-05-17,25391,10186,4003,25529,1009,1223
2020-05-18,26079,10367,4123,26452,1022,1254
2020-05-19,26720,10551,4300,27392,1044,1285
2020-05-20,27467,10738,4524,28348,1072,1316
2020-05-21,28141,10930,4754,29321,1103,1347
2020-05-22,28885,11126,4929,30312,1131,1377
2020-05-23,29455,11328,5037,31321,1155,1407
2020-05-24,30296,11535,5098,32348,1179,1437
2020-05-25,31408,11745,5158,33394,1205,1467
2020-05-26,32619,11960,5246,34459,1241,1497
2020-05-27,33690,12178,5355,35543,1285,1527
2020-05-28,34574,12400,5495,36647,1325,1556
2020-05-29,35539,12626,5621,37771,1355,1585
2020-05-30,36463,12857,5753,38916,1367,1614
2020-05-31,37322,13093,5837,40082,1379,1642
2020-06-01,38097,13333,5926,41269,1391,1670
2020-06-02,38746,13578,6025,42478,1409,1698
2020-06-03,39421,13827,6153,43709,1426,1726
2020-06-04,40042,14081,6280,44962,1442,1753
2020-06-05,40790,14339,6352,46238,1453,1780
2020-06-06,41637,14604,6437,47538,1462,1807
2020-06-07,42481,14876,6492,48862,1470,1833
2020-06-08,43152,15154,6590,50211,1481,1859
2020-06-09,43541,15437,6686,51585,1495,1884
2020-06-10,43878,15725,6799,52984,1510,1909
2020-06-11,44249,16019,6907,54410,1522,1934
2020-06-12,44702,16318,7009,55862,1531,1958
2020-06-13,45219,16623,7103,57341,1540,1982
2020-06-14,45695,16935,7179,58848,1546,2005
2020-06-15,46102,17252,7249,60383,1556,2028
2020-06-16,46429,17575,7333,61947,1568,2051
2020-06-17,46781,17907,7421,63540,1579,2073
2020-06-18,47183,18245,7495,65163,1590,2095
2020-06-19,47672,18589,7554,66817,1598,2116
2020-06-20,48199,18941,7605,68502,1606,2137
2020-06-21,48717,19303,7638,70219,1612,2157
2020-06-22,49181,19672,7678,71969,1625,2177
2020-06-23,49632,20046,7717,73752,1642,2197
2020-06-24,50055,20429,7769,75569,1660,2216
2020-06-25,50515,20819,7817,77421,1678,2235
2020-06-26,51004,21216,7884,79308,1699,2253
2020-06-27,51519,21623,7947,81231,1718,2271
2020-06-28,51994,22041,7998,83191,1732,2288
2020-06-29,52456,22467,8036,85189,1745,2305
2020-06-30,52885,22901,8078,87226,1763,2321
2020-07-01,53218,23340,8235,89302,1788,2337
2020-07-02,53516,23791,8446,91418,1815,2353
2020-07-03,53927,24256,8649,93575,1836,2368
2020-07-04,54485,24740,8745,95774,1853,2383
2020-07-05,55010,25233,8778,98017,1865,2397
2020-07-06,55485,25736,8835,100304,1876,2411
2020-07-07,55939,26243,8911,102637,1889,2425
2020-07-08,56464,26756,8996,105016,1907,2438
2020-07-09,57077,27278,9088,107442,1933,2451
2020-07-10,57773,27808,9175,109915,1952,2463
2020-07-11,58576,28351,9256,112436,1962,2475
2020-07-12,59430,28899,9303,115006,1965,2487
2020-07-13,60261,29463,9354,117626,1970,2498
2020-07-14,61132,30042,9426,120297,1979,2509
2020-07-15,61944,30636,9531,123020,1992,2519
2020-07-16,62775,31246,9684,125797,2004,2529
2020-07-17,63563,31874,9834,128630,2015,2539
2020-07-18,64433,32518,9958,131519,2021,2548
2020-07-19,65332,33172,10033,134467,2027,2557
2020-07-20,66238,33828,10119,137474,2035,2566
2020-07-21,67112,34480,10224,140541,2043,2574
2020-07-22,67934,35135,10348,143667,2051,2582
2020-07-23,68812,35792,10462,146852,2057,2590
2020-07-24,69720,36454,10618,150097,2065,2597
2020-07-25,70688,37130,10752,153402,2073,2604
2020-07-26,71797,37816,10874,156768,2078,2611
2020-07-27,72668,38514,11124,160196,2085,2618
2020-07-28,73539,39230,11380,163687,2100,2624
2020-07-29,74201,39957,11642,167243,2120,2630
2020-07-30,75011,40696,11771,170865,2146,2636
2020-07-31,75798,41447,11890,174554,2176,2642
2020-08-01,76600,42217,12017,178311,2206,2647
2020-08-02,77543,43004,12123,182138,2230,2652
2020-08-03,78558,43802,12249,186036,2239,2657
2020-08-04,79494,44609,12387,190007,2254,2662
2020-08-05,80269,45425,12514,194051,2272,2666
2020-08-06,81343,46262,12627,198169,2296,2670
2020-08-07,82600,47111,12734,202363,2312,2674
2020-08-08,83901,47975,12830,206634,2321,2678
