date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,2463,2461,301,412,97,106
2020-04-13,2434,2343,401,634,101,115
2020-04-14,2417,2232,602,846,110,123
2020-04-15,2434,2130,803,1048,120,131
2020-04-16,2459,2038,1003,1240,130,138
2020-04-17,2453,1956,1204,1424,140,145
2020-04-18,2458,1884,1405,1601,150,152
2020-04-19,2487,1822,1606,1771,160,159
2020-04-20,2524,1770,1806,1936,170,165
2020-04-21,2519,1727,2007,2096,181,171
2020-04-22,2521,1693,2208,2252,192,177
2020-04-23,2550,1668,2409,2405,201,183
2020-04-24,2616,1651,2609,2556,210,189
2020-04-25,2658,1642,2810,2705,219,195
2020-04-26,2671,1640,3011,2853,225,201
2020-04-27,2672,1646,3212,3001,231,207
2020-04-28,2683,1659,3413,3150,239,213
2020-04-29,2711,1678,3614,3300,250,219
2020-04-30,2785,1703,3816,3452,264,225
2020-05-01,2862,1734,4017,3606,277,231
2020-05-02,2891,1771,4219,3763,291,237
2020-05-03,2880,1813,4441,3923,301,243
2020-05-04,2876,1861,4684,4087,318,249
2020-05-05,2879,1915,4948,4255,342,255
2020-05-06,2857,1974,5212,4428,370,262
2020-05-07,2864,2038,5476,4606,393,269
2020-05-08,2903,2107,5740,4790,408,276
2020-05-09,2899,2180,6004,4980,420,283
2020-05-10,2842,2258,6247,5177,428,291
2020-05-11,2785,2340,6469,5381,440,299
2020-05-12,2767,2426,6671,5592,452,307
2020-05-13,2820,2516,6873,5811,467,315
2020-05-14,2904,2611,7075,6038,479,324
2020-05-15,3031,2710,7277,6274,494,333
2020-05-16,3086,2813,7479,6519,508,342
2020-05-17,3069,2919,7695,6773,519,352
2020-05-18,3017,3030,7926,7037,534,362
2020-05-19,2979,3146,8172,7311,550,372
2020-05-20,2978,3266,8418,7595,568,383
2020-05-21,3027,3391,8663,7890,581,394
2020-05-22,3111,3520,8909,8196,597,405
2020-05-23,3196,3651,9155,8514,612,417
2020-05-24,3212,3784,9404,8844,625,429
2020-05-25,3188,3921,9658,9186,637,442
2020-05-26,3177,4062,9915,9540,652,455
2020-05-27,3205,4209,10173,9907,671,469
2020-05-28,3282,4362,10430,10287,691,483
2020-05-29,3402,4521,10688,10681,708,497
2020-05-30,3514,4686,10945,11089,722,512
2020-05-31,3550,4856,11219,11512,732,527
2020-06-01,3516,5033,11510,11950,746,543
2020-06-02,3458,5218,11818,12404,762,560
2020-06-03,3401,5411,12125,12875,781,577
2020-06-04,3324,5613,12433,13364,793,595
2020-06-05,3247,5823,12740,13871,802,613
2020-06-06,3168,6040,13048,14397,810,632
2020-06-07,3191,6262,13347,14942,821,652
2020-06-08,3250,6492,13637,15507,833,672
2020-06-09,3354,6732,13918,16093,852,693
2020-06-10,3297,6982,14199,16701,867,715
2020-06-11,3327,7242,14480,17331,878,737
2020-06-12,3330,7511,14761,17985,883,760
2020-06-13,3389,7787,15042,18663,887,784
2020-06-14,3343,8066,15320,19366,891,809
2020-06-15,3325,8352,15597,20094,900,835
2020-06-16,3408,8650,15871,20848,918,861
2020-06-17,3395,8960,16145,21629,938,888
2020-06-18,3268,9282,16419,22438,954,916
2020-06-19,2986,9614,16693,23276,962,945
2020-06-20,2704,9952,16967,24144,970,975
2020-06-21,2976,10291,17252,25043,975,1006
2020-06-22,3427,10639,17548,25972,981,1038
2020-06-23,4036,11000,17855,26933,992,1071
2020-06-24,4446,11376,18161,27926,1005,1105
2020-06-25,4851,11766,18468,28953,1016,1140
2020-06-26,5239,12168,18774,30015,1024,1176
2020-06-27,5383,12578,19081,31114,1032,1213
2020-06-28,5534,12988,19418,32250,1044,1251
2020-06-29,5726,13407,19785,33423,1057,1290
2020-06-30,5985,13839,20182,34634,1071,1330
2020-07-01,6311,14288,20579,35884,1082,1371
2020-07-02,6716,14751,20976,37174,1092,1413
2020-07-03,7236,15221,21373,38506,1100,1457
2020-07-04,7542,15685,21770,39880,1107,1502
2020-07-05,7620,16145,22213,41296,1110,1548
2020-07-06,7626,16606,22704,42754,1127,1595
2020-07-07,7724,17086,23242,44253,1153,1643
2020-07-08,7934,17586,23780,45796,1183,1692
2020-07-09,8180,18106,24318,47384,1202,1743
2020-07-10,8472,18642,24856,49019,1216,1795
2020-07-11,8817,19187,25394,50702,1231,1848
2020-07-12,8924,19725,25961,52434,1243,1902
2020-07-13,9021,20281,26558,54215,1257,1958
2020-07-14,9142,20857,27184,56046,1270,2015
2020-07-15,9535,21457,27810,57929,1290,2073
2020-07-16,9985,22076,28436,59866,1310,2133
2020-07-17,10434,22709,29062,61859,1328,2194
2020-07-18,10739,23341,29688,63909,1344,2257
2020-07-19,11106,23959,30332,66017,1353,2321
2020-07-20,11656,24590,30994,68180,1367,2386
2020-07-21,12431,25247,31673,70400,1390,2453
2020-07-22,13113,25931,32353,72680,1416,2521
2020-07-23,13764,26641,33032,75021,1440,2591
2020-07-24,14368,27372,33712,77426,1459,2662
2020-07-25,15037,28105,34391,79897,1478,2735
2020-07-26,15290,28820,35193,82435,1489,2809
2020-07-27,15380,29548,36116,85037,1510,2885
2020-07-28,15528,30298,37162,87705,1533,2962
2020-07-29,16043,31076,38208,90441,1571,3041
2020-07-30,16511,31878,39253,93247,1612,3121
2020-07-31,16781,32695,40299,96125,1655,3203
2020-08-01,16696,33507,41345,99077,1686,3287
2020-08-02,16465,34291,42352,102102,1702,3372
2020-08-03,16249,35088,43321,105198,1722,3459
2020-08-04,16248,35913,44252,108366,1756,3547
2020-08-05,16371,36766,45182,111609,1794,3637
2020-08-06,16488,37640,46113,114929,1825,3728
2020-08-07,16601,38530,47044,118328,1849,3821
2020-08-08,16572,39417,47974,121807,1872,3915
2020-08-09,16357,40268,48905,125366,1894,4011
2020-08-10,15888,41112,49900,129002,1917,4109
2020-08-11,15531,41973,50959,132714,1948,4208
2020-08-12,15153,42855,52083,136504,1981,4308
2020-08-13,14876,43750,53206,140373,2014,4410
2020-08-14,14516,44645,54330,144323,2044,4513
2020-08-15,14085,45514,55453,148354,2069,4618
2020-08-16,13558,46332,56457,152464,2086,4724
2020-08-17,13140,47132,57343,156647,2102,4831
2020-08-18,13154,47938,58109,160903,2128,4939
2020-08-19,13368,48749,58875,165231,2160,5049
2020-08-20,13611,49556,59642,169633,2189,5160
2020-08-21,13725,50347,60408,174108,2213,5272
2020-08-22,13757,51101,61174,178654,2230,5385
2020-08-23,13674,51800,61940,183268,2241,5499
2020-08-24,13493,52482,62741,187945,2267,5613
2020-08-25,13353,53166,63575,192684,2312,5728
2020-08-26,13197,53848,64444,197484,2362,5844
2020-08-27,12992,54515,65312,202346,2395,5960
2020-08-28,12745,55165,66181,207268,2413,6077
2020-08-29,12523,55785,67049,212249,2427,6195
2020-08-30,12218,56350,67886,217286,2447,6313
2020-08-31,11911,56888,68690,222374,2469,6431
2020-09-01,11673,57420,69463,227511,2497,6550
2020-09-02,11602,57972,70235,232696,2518,6669
2020-09-03,11592,58530,71008,237930,2540,6788
2020-09-04,11510,59072,71780,243215,2554,6907
2020-09-05,11312,59541,72553,248549,2570,7027
2020-09-06,10922,59893,73325,253925,2585,7147
2020-09-07,10418,60155,74111,259333,2603,7266
2020-09-08,9912,60371,74910,264765,2616,7385
2020-09-09,9479,60600,75722,270216,2634,7504
2020-09-10,9251,60836,76534,275688,2649,7622
2020-09-11,9023,61073,77346,281181,2670,7740
2020-09-12,8714,61283,78158,286695,2684,7857
2020-09-13,8139,61457,79002,292228,2696,7974
2020-09-14,7547,61615,79879,297777,2712,8090
2020-09-15,7072,61765,80787,303340,2732,8205
2020-09-16,6779,61915,81695,308917,2756,8320
2020-09-17,6488,62050,82603,314507,2776,8434
2020-09-18,6180,62157,83511,320110,2793,8547
2020-09-19,5733,62199,84419,325722,2809,8660
2020-09-20,5274,62161,85234,331338,2827,8772
2020-09-21,4850,62142,85957,336951,2840,8883
2020-09-22,4609,62200,86587,342562,2854,8993
2020-09-23,4554,62358,87217,348178,2863,9102
2020-09-24,4579,62619,87847,353808,2879,9210
2020-09-25,4636,62968,88477,359462,2893,9318
2020-09-26,4507,63371,89107,365148,2908,9426
2020-09-27,4377,63800,89567,370870,2917,9533
2020-09-28,4393,64291,89857,376631,2932,9640
2020-09-29,4699,64867,89977,382436,2949,9747
2020-09-30,5173,65511,90097,388293,2968,9854
2020-10-01,5679,66197,90217,394208,2982,9961
2020-10-02,6204,66891,90337,400185,2996,10068
2020-10-03,6604,67580,90457,406225,3010,10175
2020-10-04,6726,68234,90707,412327,3019,10283
2020-10-05,6843,68880,91089,418488,3024,10391
2020-10-06,6903,69535,91602,424707,3035,10499
2020-10-07,7082,70191,92114,430985,3050,10607
2020-10-08,7218,70815,92627,437323,3068,10715
2020-10-09,7490,71383,93139,443717,3083,10823
2020-10-10,7671,71883,93652,450162,3094,10931
2020-10-11,7665,72313,94161,456652,3106,11038
2020-10-12,7589,72696,94666,463181,3112,11145
2020-10-13,7705,73055,95167,469745,3123,11251
2020-10-14,8161,73386,95669,476341,3135,11357
2020-10-15,8750,73676,96170,482967,3150,11462
2020-10-16,9297,73892,96672,489619,3164,11567
2020-10-17,9405,73988,97173,496291,3177,11671
2020-10-18,9326,73932,97684,502972,3191,11774
2020-10-19,9237,73802,98205,509647,3198,11876
2020-10-20,9401,73658,98735,516311,3209,11977
2020-10-21,9692,73496,99265,522962,3218,12077
2020-10-22,10001,73311,99795,529598,3230,12176
2020-10-23,10448,73078,100325,536217,3242,12273
2020-10-24,10576,72749,100855,542815,3253,12369
2020-10-25,10632,72313,101420,549384,3261,12464
2020-10-26,10532,71814,102021,555913,3269,12557
2020-10-27,10726,71295,102657,562397,3282,12649
2020-10-28,11016,70763,103293,568834,3298,12739
2020-10-29,11270,70237,103930,575223,3313,12827
2020-10-30,11471,69706,104566,581565,3324,12914
2020-10-31,11454,69123,105202,587859,3342,12999
2020-11-01,11254,68468,105893,594100,3361,13083
2020-11-02,10943,67771,106637,600282,3378,13165
2020-11-03,10725,67062,107436,606401,3388,13245
2020-11-04,10927,66333,108235,612456,3395,13324
2020-11-05,11232,65610,109033,618445,3407,13401
2020-11-06,11624,64883,109832,624369,3419,13476
2020-11-07,11741,64127,110631,630227,3437,13550
2020-11-08,11722,63318,111413,636017,3458,13622
2020-11-09,11691,62509,112180,641734,3473,13692
2020-11-10,11830,61713,112930,647378,3485,13761
2020-11-11,12221,60942,113681,652950,3497,13828
2020-11-12,12735,60178,114431,658453,3510,13893
2020-11-13,13285,59408,115182,663887,3524,13957
2020-11-14,13740,58611,115932,669251,3534,14019
2020-11-15,13972,57778,116668,674543,3542,14080
2020-11-16,14057,56954,117390,679760,3556,14139
2020-11-17,14359,56159,118098,684902,3575,14197
2020-11-18,14924,55386,118806,689973,3600,14253
2020-11-19,15739,54629,119513,694974,3620,14308
2020-11-20,16680,53872,120221,699907,3639,14362
2020-11-21,17407,53077,120929,704771,3667,14414
2020-11-22,17718,52183,121739,709563,3696,14465
2020-11-23,17495,51240,122652,714275,3720,14514
2020-11-24,17284,50256,123668,718902,3734,14562
2020-11-25,17426,49209,124683,723440,3745,14609
2020-11-26,17677,48088,125699,727883,3759,14654
2020-11-27,18085,46924,126714,732225,3770,14698
2020-11-28,18523,45669,127730,736462,3784,14740
2020-11-29,19086,44341,128782,740586,3797,14780
2020-11-30,19468,43047,129871,744590,3816,14819
2020-12-01,20021,41844,130997,748477,3831,14856
2020-12-02,20793,40731,132123,752255,3855,14892
2020-12-03,22009,39702,133249,755933,3882,14926
2020-12-04,23047,38760,134375,759518,3914,14959
2020-12-05,23849,37891,135501,763018,3951,14991
2020-12-06,24061,37089,136815,766439,3985,15022
2020-12-07,24025,36366,138318,769788,4007,15052
2020-12-08,24230,35720,140009,773072,4025,15081
