date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,959,2058,265,325,29,29
2020-04-13,976,2135,278,455,30,30
2020-04-14,1016,2155,313,590,34,31
2020-04-15,1062,2164,337,726,38,32
2020-04-16,1116,2165,363,862,42,33
2020-04-17,1202,2160,377,998,47,34
2020-04-18,1287,2151,409,1134,50,35
2020-04-19,1370,2140,444,1270,57,36
2020-04-20,1382,2128,484,1405,63,37
2020-04-21,1477,2115,505,1539,68,38
2020-04-22,1588,2101,525,1672,73,39
2020-04-23,1726,2086,567,1804,77,40
2020-04-24,1832,2070,603,1936,85,41
2020-04-25,1904,2054,638,2066,93,42
2020-04-26,1991,2037,646,2195,100,43
2020-04-27,2082,2020,655,2323,104,44
2020-04-28,2224,2004,673,2450,107,45
2020-04-29,2385,1988,701,2576,113,46
2020-04-30,2524,1972,733,2701,122,47
2020-05-01,2663,1955,759,2825,130,48
2020-05-02,2773,1938,785,2948,140,49
2020-05-03,2914,1921,809,3070,148,50
2020-05-04,3022,1905,828,3191,156,51
2020-05-05,3112,1890,879,3311,162,52
2020-05-06,3181,1875,959,3430,167,53
2020-05-07,3257,1860,1054,3548,174,54
2020-05-08,3338,1845,1129,3665,181,55
2020-05-09,3387,1831,1194,3781,190,56
2020-05-10,3457,1817,1247,3896,199,57
2020-05-11,3555,1803,1284,4011,209,58
2020-05-12,3657,1789,1339,4125,219,59
2020-05-13,3713,1776,1416,4238,230,60
2020-05-14,3759,1764,1508,4350,242,61
2020-05-15,3832,1753,1587,4461,251,62
2020-05-16,3894,1743,1662,4572,259,63
2020-05-17,3975,1732,1721,4682,264,64
2020-05-18,4042,1721,1763,4791,270,65
2020-05-19,4114,1711,1811,4899,276,66
2020-05-20,4156,1701,1887,5007,284,67
2020-05-21,4207,1691,1969,5114,295,68
2020-05-22,4210,1683,2058,5221,306,69
2020-05-23,4235,1675,2182,5327,314,70
2020-05-24,4223,1666,2323,5433,318,71
2020-05-25,4266,1683,2447,5538,320,72
2020-05-26,4296,1706,2516,5644,324,73
2020-05-27,4345,1731,2574,5752,329,74
2020-05-28,4405,1758,2628,5861,336,75
2020-05-29,4467,1791,2683,5972,343,76
2020-05-30,4503,1835,2749,6085,350,77
2020-05-31,4543,1880,2805,6201,356,78
2020-06-01,4618,1916,2858,6320,361,79
2020-06-02,4720,1948,2900,6441,368,80
2020-06-03,4844,1983,2953,6564,375,81
2020-06-04,4978,2014,3029,6689,381,82
2020-06-05,5110,2043,3111,6816,387,83
2020-06-06,5211,2075,3202,6945,391,84
2020-06-07,5272,2108,3266,7076,396,85
2020-06-08,5311,2137,3324,7209,400,86
2020-06-09,5273,2164,3462,7344,404,87
2020-06-10,5199,2193,3628,7480,413,88
2020-06-11,5115,2217,3844,7618,422,89
2020-06-12,5107,2241,3968,7758,429,90
2020-06-13,5134,2269,4057,7899,432,91
2020-06-14,5208,2297,4086,8042,435,92
2020-06-15,5278,2324,4115,8187,440,93
2020-06-16,5338,2347,4163,8334,446,94
2020-06-17,5357,2379,4242,8482,451,95
2020-06-18,5367,2409,4335,8632,457,96
2020-06-19,5385,2450,4434,8784,462,97
2020-06-20,5397,2494,4554,8938,467,98
2020-06-21,5437,2551,4655,9095,471,99
2020-06-22,5493,2541,4732,9256,474,100
2020-06-23,5577,2523,4786,9416,477,101
2020-06-24,5660,2494,4866,9575,480,102
2020-06-25,5744,2450,4968,9732,484,103
2020-06-26,5858,2405,5060,9886,488,104
2020-06-27,5973,2347,5149,10038,490,105
2020-06-28,6090,2274,5221,10186,492,106
2020-06-29,6215,2192,5270,10329,494,107
2020-06-30,6322,2101,5317,10467,496,108
2020-07-01,6413,1998,5401,10599,500,109
2020-07-02,6509,1886,5511,10725,504,110
2020-07-03,6630,1766,5647,10844,509,111
2020-07-04,6760,1731,5758,10955,513,112
2020-07-05,6926,1621,5835,11064,514,113
2020-07-06,7111,1557,5869,11166,516,114
2020-07-07,7314,1458,5916,11264,520,115
2020-07-08,7493,1409,5979,11356,526,116
2020-07-09,7688,1320,6051,11445,533,117
2020-07-10,7870,1283,6116,11528,538,118
2020-07-11,8051,1202,6190,11609,542,119
2020-07-12,8227,1173,6258,11685,545,119
2020-07-13,8411,1099,6318,11759,548,119
2020-07-14,8625,1081,6371,11828,552,119
2020-07-15,8846,1012,6429,11896,556,119
2020-07-16,9083,996,6501,11960,561,119
2020-07-17,9302,933,6576,12023,565,119
2020-07-18,9497,942,6656,12082,568,119
2020-07-19,9684,882,6718,12141,572,119
2020-07-20,9884,945,6771,12197,579,119
2020-07-21,10119,885,6816,12257,585,119
2020-07-22,10359,960,6886,12313,591,119
2020-07-23,10593,899,6966,12374,596,119
2020-07-24,10812,1005,7062,12431,601,119
2020-07-25,11001,941,7160,12494,607,119
2020-07-26,11240,1104,7257,12553,613,119
2020-07-27,11468,1034,7358,12623,619,119
2020-07-28,11696,1141,7488,12688,625,119
2020-07-29,11743,1069,7731,12760,631,119
2020-07-30,11781,1173,7957,12827,636,119
2020-07-31,11834,1099,8118,12901,642,119
2020-08-01,11967,1280,8188,12970,649,119
2020-08-02,12071,1199,8256,13051,653,120
2020-08-03,12143,1209,8364,13127,655,120
2020-08-04,12188,1132,8497,13203,660,120
2020-08-05,12237,1147,8658,13274,664,120
2020-08-06,12277,1074,8821,13346,670,120
2020-08-07,12295,1098,8981,13414,675,120
2020-08-08,12325,1028,9126,13483,680,120
2020-08-09,12357,1082,9249,13548,685,120
2020-08-10,12442,1013,9336,13616,689,120
2020-08-11,12489,1054,9453,13680,692,120
2020-08-12,12526,987,9594,13746,695,120
2020-08-13,12511,1029,9778,13808,698,120
2020-08-14,12478,964,9968,13873,703,120
2020-08-15,12397,1054,10184,13934,709,120
2020-08-16,12338,987,10351,14000,714,120
2020-08-17,12286,1060,10491,14062,718,120
2020-08-18,12200,993,10686,14129,723,120
2020-08-19,12096,1055,10935,14192,728,120
2020-08-20,12025,988,11172,14259,734,120
2020-08-21,12094,1066,11284,14321,738,120
2020-08-22,12162,998,11360,14388,742,120
2020-08-23,12232,1128,11436,14451,745,120
2020-08-24,12211,1056,11555,14522,748,120
2020-08-25,12169,1158,11705,14589,752,120
2020-08-26,12072,1085,11923,14662,757,120
2020-08-27,11954,1198,12182,14730,762,120
2020-08-28,11841,1122,12439,14806,766,120
2020-08-29,11751,1256,12648,14877,768,120
2020-08-30,11695,1176,12804,14956,772,120
2020-08-31,11690,1308,12897,15030,778,120
2020-09-01,11707,1225,12982,15112,785,121
2020-09-02,11768,1333,13071,15189,789,121
2020-09-03,11806,1248,13178,15273,791,122
2020-09-04,11834,1401,13291,15352,795,122
2020-09-05,11835,1312,13385,15440,799,123
2020-09-06,11828,1493,13467,15523,804,124
2020-09-07,11805,1398,13531,15617,808,125
2020-09-08,11774,1522,13611,15705,812,126
2020-09-09,11734,1425,13744,15801,814,127
2020-09-10,11689,1517,13916,15891,815,128
2020-09-11,11625,1421,14108,15987,818,129
2020-09-12,11576,1561,14264,16077,821,130
2020-09-13,11570,1462,14359,16175,825,131
2020-09-14,11590,1752,14424,16267,828,132
2020-09-15,11602,1641,14503,16377,830,133
2020-09-16,11574,1899,14648,16480,832,134
2020-09-17,11500,1779,14860,16600,836,135
2020-09-18,11444,2009,15068,16712,841,136
2020-09-19,11401,1882,15234,16839,845,137
2020-09-20,11406,2261,15336,16958,849,138
2020-09-21,11409,2118,15424,17101,851,139
2020-09-22,11461,2425,15505,17235,854,140
2020-09-23,11553,2271,15591,17388,856,141
2020-09-24,11679,2568,15693,17531,860,142
2020-09-25,11764,2405,15838,17693,865,143
2020-09-26,11787,2887,16018,17845,869,144
2020-09-27,11791,2704,16177,18027,872,145
2020-09-28,11811,2960,16311,18197,873,146
2020-09-29,11888,2772,16429,18384,875,147
2020-09-30,11987,2983,16552,18559,878,148
2020-10-01,12096,2794,16720,18747,882,149
2020-10-02,12215,3020,16884,18923,886,150
2020-10-03,12305,2828,17063,19113,889,151
2020-10-04,12398,3104,17178,19291,892,152
2020-10-05,12521,2907,17270,19487,894,153
2020-10-06,12725,3102,17363,19670,895,154
2020-10-07,12933,2905,17528,19866,897,155
2020-10-08,13124,3049,17766,20049,899,156
2020-10-09,13289,2856,18048,20241,902,157
2020-10-10,13409,3106,18333,20421,906,158
2020-10-11,13566,2909,18545,20617,911,159
2020-10-12,13741,4972,18697,20800,914,160
2020-10-13,14060,4657,18810,21113,918,162
2020-10-14,14441,6572,18959,21407,920,164
2020-10-15,14902,6183,19181,21821,923,167
2020-10-16,15365,8453,19399,22211,926,169
2020-10-17,15729,7917,19641,22744,930,172
2020-10-18,16093,10804,19786,23243,932,175
2020-10-19,16475,10119,19916,23924,937,179
2020-10-20,17009,12029,20020,24562,942,183
2020-10-21,17548,12064,20166,25320,948,188
2020-10-22,18113,13324,20353,26081,954,193
2020-10-23,18720,13840,20516,26921,959,198
2020-10-24,19399,15083,20660,27793,964,203
2020-10-25,20108,15994,20752,28744,969,209
2020-10-26,20728,15548,20837,29752,974,215
2020-10-27,21275,15357,20936,30732,982,221
2020-10-28,21913,14995,21065,31700,988,227
2020-10-29,22657,14684,21225,32645,997,233
2020-10-30,23393,14412,21368,33571,1006,239
2020-10-31,24043,14117,21483,34480,1017,244
2020-11-01,24688,13959,21561,35370,1026,249
2020-11-02,25507,13854,21650,36250,1035,254
2020-11-03,26378,13838,21774,37123,1046,259
2020-11-04,27147,13773,21991,37995,1062,264
2020-11-05,27950,13653,22225,38863,1076,269
2020-11-06,28786,13572,22514,39724,1091,274
2020-11-07,29759,13475,22786,40580,1103,279
2020-11-08,30796,13466,23034,41429,1117,284
2020-11-09,31859,13471,23250,42278,1130,289
2020-11-10,33013,13535,23466,43127,1144,294
2020-11-11,34236,13534,23724,43980,1159,299
2020-11-12,35426,13549,24002,44833,1177,304
2020-11-13,36550,13573,24240,45687,1194,309
2020-11-14,37410,13622,24509,46543,1207,314
2020-11-15,38281,13749,24775,47402,1219,319
2020-11-16,39404,13832,25096,48269,1238,324
2020-11-17,40780,13971,25778,49141,1263,329
2020-11-18,42788,14165,26635,50022,1285,334
2020-11-19,45042,14399,27541,50915,1305,339
2020-11-20,47438,14617,28121,51823,1325,344
2020-11-21,49606,14945,28520,52744,1352,349
2020-11-22,51580,15335,28871,53686,1377,355
2020-11-23,53492,15445,29202,54653,1403,361
2020-11-24,55099,15618,29640,55627,1426,367
2020-11-25,56428,15753,30171,56612,1449,373
2020-11-26,57759,15893,30683,57605,1474,379
2020-11-27,59256,15984,31120,58607,1500,385
2020-11-28,60683,16114,31544,59615,1523,391
2020-11-29,61920,16251,32033,60631,1545,397
2020-11-30,63053,16402,32692,61655,1565,403
2020-12-01,64085,16601,33479,62689,1595,409
2020-12-02,65102,16756,34349,63736,1630,415
2020-12-03,66128,16865,35123,64792,1669,421
2020-12-04,67397,16933,35782,65855,1705,427
2020-12-05,68492,17012,36403,66922,1731,433
2020-12-06,69032,17098,37507,67994,1758,439
2020-12-07,68809,17183,38731,69072,1787,445
2020-12-08,69401,17267,39736,70155,1811,451
2020-12-09,70281,17330,40431,71244,1830,457
2020-12-10,71680,17381,41216,72336,1852,463
2020-12-11,72442,17432,42227,73432,1882,469
2020-12-12,73110,17474,43212,74531,1919,475
2020-12-13,73295,17539,44575,75633,1949,481
2020-12-14,72992,17596,46246,76739,1980,487
2020-12-15,72653,17660,48073,77848,2011,493
2020-12-16,72768,17705,49499,78961,2052,499
2020-12-17,73031,17756,50843,80077,2093,506
2020-12-18,73297,17818,52066,81196,2128,513
2020-12-19,73399,17886,53257,82319,2151,520
