date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,3319,4169,186,216,118,126
2020-04-13,3356,4300,207,254,122,136
2020-04-14,3401,4384,294,295,131,147
2020-04-15,3498,4469,364,337,141,158
2020-04-16,3547,4559,537,381,153,169
2020-04-17,3584,4653,740,427,166,181
2020-04-18,3627,4752,918,475,177,193
2020-04-19,3657,4856,1066,526,185,205
2020-04-20,3735,4963,1156,579,194,218
2020-04-21,3809,5075,1246,634,210,231
2020-04-22,4001,5190,1270,692,229,245
2020-04-23,4229,5309,1286,752,248,259
2020-04-24,4459,5432,1313,815,262,273
2020-04-25,4666,5559,1347,881,275,288
2020-04-26,4848,5689,1382,950,285,303
2020-04-27,5024,5820,1417,1022,297,319
2020-04-28,5212,5955,1447,1097,304,335
2020-04-29,5487,6093,1474,1175,312,352
2020-04-30,5787,6236,1500,1256,324,369
2020-05-01,6124,6382,1530,1341,342,387
2020-05-02,6399,6532,1563,1430,362,405
2020-05-03,6666,6685,1598,1522,378,424
2020-05-04,6934,6841,1633,1618,389,443
2020-05-05,7242,7000,1665,1718,405,463
2020-05-06,7534,7163,1695,1822,423,483
2020-05-07,7875,7329,1720,1930,464,504
2020-05-08,7927,7499,2051,2042,499,525
2020-05-09,7938,7673,2402,2159,528,547
2020-05-10,7848,7850,2770,2280,536,570
2020-05-11,8021,8029,2845,2406,546,593
2020-05-12,8299,8212,2913,2537,566,617
2020-05-13,8628,8399,2987,2673,593,641
2020-05-14,8997,8589,3066,2813,623,666
2020-05-15,9326,8783,3192,2959,651,692
2020-05-16,9606,8980,3317,3110,670,718
2020-05-17,9798,9180,3459,3266,682,745
2020-05-18,9982,9382,3571,3428,690,772
2020-05-19,10172,9588,3678,3595,713,800
2020-05-20,10426,9798,3779,3768,738,828
2020-05-21,10666,10012,3864,3946,762,857
2020-05-22,10943,10230,3951,4130,781,887
2020-05-23,11185,10453,4038,4320,795,917
2020-05-24,11406,10679,4123,4517,806,948
2020-05-25,11586,10909,4211,4720,808,979
2020-05-26,11815,11142,4287,4929,817,1011
2020-05-27,12149,11378,4370,5145,834,1044
2020-05-28,12575,11620,4454,5367,860,1077
2020-05-29,13099,11865,4553,5596,883,1111
2020-05-30,13667,12114,4656,5832,899,1145
2020-05-31,14103,12368,4762,6075,909,1180
2020-06-01,14656,12624,4865,6325,922,1215
2020-06-02,15331,12885,4970,6582,948,1251
2020-06-03,16122,13151,5071,6846,975,1287
2020-06-04,17046,13423,5182,7118,999,1324
2020-06-05,17950,13704,5289,7397,1019,1362
2020-06-06,19186,13990,5404,7684,1036,1400
