date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,4825,6762,540,758,145,166
2020-04-13,4986,7013,600,1370,148,196
2020-04-14,5246,6921,731,2006,166,227
2020-04-15,5530,6791,808,2633,185,257
2020-04-16,5812,6696,937,3249,211,287
2020-04-17,6149,6646,1096,3856,232,316
2020-04-18,6572,6636,1201,4458,255,345
2020-04-19,6977,6657,1273,5060,278,374
2020-04-20,7418,6702,1336,5663,300,403
2020-04-21,7891,6767,1413,6271,324,432
2020-04-22,8456,6846,1494,6884,348,461
2020-04-23,8997,6936,1578,7505,377,490
2020-04-24,9593,7035,1652,8134,407,519
2020-04-25,10144,7142,1734,8772,432,549
2020-04-26,10719,7255,1791,9419,448,579
2020-04-27,11291,7372,1857,10077,467,609
2020-04-28,11855,7493,1933,10745,491,639
2020-04-29,12507,7617,2020,11424,522,669
2020-04-30,13238,7744,2114,12115,551,700
2020-05-01,14042,7874,2204,12817,583,731
2020-05-02,14816,8006,2335,13531,619,762
2020-05-03,15529,8141,2452,14257,653,793
2020-05-04,16191,8279,2588,14995,695,824
2020-05-05,16574,8420,2697,15746,731,855
2020-05-06,17145,8564,2790,16509,759,887
2020-05-07,17724,8711,2882,17285,783,919
2020-05-08,18585,8860,2982,18075,802,951
2020-05-09,19273,9013,3107,18878,826,983
2020-05-10,20078,9170,3199,19695,838,1015
2020-05-11,20832,9331,3291,20526,860,1047
2020-05-12,21573,9495,3409,21372,890,1079
2020-05-13,22317,9662,3544,22233,925,1111
2020-05-14,23110,9834,3679,23109,954,1143
2020-05-15,23946,10010,3797,24000,979,1175
2020-05-16,24682,10190,3902,24907,997,1207
2020-05-17,25391,10374,4003,25831,1009,1239
2020-05-18,26079,10561,4123,26771,1022,1271
2020-05-19,26720,10751,4300,27728,1044,1302
2020-05-20,27467,10944,4524,28703,1072,1333
2020-05-21,28141,11142,4754,29695,1103,1364
2020-05-22,28885,11345,4929,30705,1131,1395
2020-05-23,29455,11554,5037,31733,1155,1426
2020-05-24,30296,11769,5098,32780,1179,1457
2020-05-25,31408,11988,5158,33847,1205,1488
2020-05-26,32619,12211,5246,34934,1241,1518
2020-05-27,33690,12438,5355,36041,1285,1548
2020-05-28,34574,12670,5495,37169,1325,1578
2020-05-29,35539,12905,5621,38318,1355,1608
2020-05-30,36463,13147,5753,39488,1367,1637
2020-05-31,37322,13394,5837,40680,1379,1666
2020-06-01,38097,13645,5926,41894,1391,1695
2020-06-02,38746,13900,6025,43131,1409,1724
2020-06-03,39421,14160,6153,44391,1426,1752
2020-06-04,40042,14426,6280,45675,1442,1780
2020-06-05,40790,14696,6352,46983,1453,1808
2020-06-06,41637,14975,6437,48315,1462,1835
2020-06-07,42481,15262,6492,49673,1470,1862
2020-06-08,43152,15556,6590,51057,1481,1888
2020-06-09,43541,15855,6686,52467,1495,1914
2020-06-10,43878,16160,6799,53904,1510,1940
2020-06-11,44249,16472,6907,55369,1522,1965
2020-06-12,44702,16789,7009,56862,1531,1990
2020-06-13,45219,17113,7103,58384,1540,2015
2020-06-14,45695,17446,7179,59935,1546,2039
2020-06-15,46102,17785,7249,61517,1556,2063
2020-06-16,46429,18129,7333,63129,1568,2086
2020-06-17,46781,18484,7421,64772,1579,2109
2020-06-18,47183,18846,7495,66448,1590,2131
2020-06-19,47672,19215,7554,68156,1598,2153
2020-06-20,48199,19593,7605,69898,1606,2175
