date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,3319,4169,186,216,118,126
2020-04-13,3356,4306,207,254,122,136
2020-04-14,3401,4389,294,295,131,147
2020-04-15,3498,4473,364,337,141,158
2020-04-16,3547,4561,537,381,153,169
2020-04-17,3584,4654,740,427,166,181
2020-04-18,3627,4751,918,475,177,193
2020-04-19,3657,4853,1066,526,185,205
2020-04-20,3735,4958,1156,579,194,218
2020-04-21,3809,5068,1246,634,210,231
2020-04-22,4001,5181,1270,692,229,245
2020-04-23,4229,5299,1286,752,248,259
2020-04-24,4459,5419,1313,815,262,273
2020-04-25,4666,5543,1347,881,275,288
2020-04-26,4848,5670,1382,950,285,303
2020-04-27,5024,5800,1417,1022,297,319
2020-04-28,5212,5933,1447,1097,304,335
2020-04-29,5487,6069,1474,1175,312,352
2020-04-30,5787,6208,1500,1256,324,369
2020-05-01,6124,6350,1530,1341,342,387
2020-05-02,6399,6494,1563,1429,362,405
2020-05-03,6666,6641,1598,1521,378,424
2020-05-04,6934,6790,1633,1616,389,443
2020-05-05,7242,6941,1665,1715,405,463
2020-05-06,7534,7096,1695,1818,423,483
2020-05-07,7875,7253,1720,1925,464,504
2020-05-08,7927,7413,2051,2036,499,525
2020-05-09,7938,7576,2402,2151,528,547
2020-05-10,7848,7741,2770,2271,536,569
2020-05-11,8021,7913,2845,2395,546,592
2020-05-12,8299,8087,2913,2524,566,615
2020-05-13,8628,8265,2987,2657,593,639
2020-05-14,8997,8445,3066,2795,623,664
2020-05-15,9326,8629,3192,2938,651,689
2020-05-16,9606,8816,3317,3086,670,715
2020-05-17,9798,9005,3459,3239,682,741
2020-05-18,9982,9196,3571,3397,690,768
2020-05-19,10172,9390,3678,3561,713,795
2020-05-20,10426,9588,3779,3730,738,823
2020-05-21,10666,9789,3864,3905,762,851
2020-05-22,10943,9994,3951,4085,781,880
2020-05-23,11185,10203,4038,4271,795,910
2020-05-24,11406,10415,4123,4463,806,940
2020-05-25,11586,10622,4211,4661,808,971
