date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,959,2058,265,325,29,29
2020-04-13,976,2135,278,455,30,30
2020-04-14,1016,2155,313,590,34,31
2020-04-15,1062,2164,337,726,38,32
2020-04-16,1116,2165,363,862,42,33
2020-04-17,1202,2160,377,998,47,34
2020-04-18,1287,2151,409,1134,50,35
2020-04-19,1370,2140,444,1270,57,36
2020-04-20,1382,2128,484,1405,63,37
2020-04-21,1477,2115,505,1539,68,38
2020-04-22,1588,2101,525,1672,73,39
2020-04-23,1726,2086,567,1804,77,40
2020-04-24,1832,2071,603,1936,85,41
2020-04-25,1904,2055,638,2067,93,42
2020-04-26,1991,2039,646,2197,100,43
2020-04-27,2082,2023,655,2326,104,44
2020-04-28,2224,2008,673,2454,107,45
2020-04-29,2385,1995,701,2581,113,46
2020-04-30,2524,1982,733,2707,122,47
2020-05-01,2663,1970,759,2832,130,48
2020-05-02,2773,1958,785,2956,140,49
2020-05-03,2914,1946,809,3079,148,50
2020-05-04,3022,1934,828,3202,156,51
2020-05-05,3112,1924,879,3324,162,52
2020-05-06,3181,1915,959,3445,167,53
2020-05-07,3257,1905,1054,3566,174,54
2020-05-08,3338,1897,1129,3686,181,55
2020-05-09,3387,1889,1194,3806,190,56
2020-05-10,3457,1882,1247,3925,199,57
2020-05-11,3555,1874,1284,4044,209,58
2020-05-12,3657,1867,1339,4162,219,59
2020-05-13,3713,1859,1416,4280,230,60
2020-05-14,3759,1852,1508,4397,242,61
2020-05-15,3832,1845,1587,4514,251,62
2020-05-16,3894,1839,1662,4630,259,63
2020-05-17,3975,1831,1721,4746,264,64
2020-05-18,4042,1823,1763,4861,270,65
2020-05-19,4114,1815,1811,4976,276,66
2020-05-20,4156,1807,1887,5090,284,67
2020-05-21,4207,1800,1969,5204,295,68
2020-05-22,4210,1794,2058,5317,306,69
2020-05-23,4235,1789,2182,5430,314,70
2020-05-24,4223,1783,2323,5543,318,71
2020-05-25,4266,1776,2447,5655,320,72
2020-05-26,4296,1772,2516,5767,324,73
2020-05-27,4345,1771,2574,5879,329,74
2020-05-28,4405,1771,2628,5991,336,75
2020-05-29,4467,1774,2683,6103,343,76
2020-05-30,4503,1780,2749,6215,350,77
2020-05-31,4543,1787,2805,6327,356,78
2020-06-01,4618,1793,2858,6440,361,79
2020-06-02,4720,1798,2900,6553,368,80
2020-06-03,4844,1804,2953,6666,375,81
2020-06-04,4978,1810,3029,6780,381,82
2020-06-05,5110,1815,3111,6894,387,83
2020-06-06,5211,1821,3202,7008,391,84
2020-06-07,5272,1826,3266,7123,396,85
2020-06-08,5311,1830,3324,7238,400,86
2020-06-09,5273,1837,3462,7353,404,87
2020-06-10,5199,1848,3628,7469,413,88
2020-06-11,5115,1857,3844,7585,422,89
2020-06-12,5107,1865,3968,7702,429,90
2020-06-13,5134,1874,4057,7820,432,91
2020-06-14,5208,1881,4086,7938,435,92
2020-06-15,5278,1886,4115,8057,440,93
2020-06-16,5338,1893,4163,8176,446,94
2020-06-17,5357,1903,4242,8295,451,95
2020-06-18,5367,1912,4335,8415,457,96
2020-06-19,5385,1925,4434,8536,462,97
2020-06-20,5397,1938,4554,8657,467,98
2020-06-21,5437,1951,4655,8779,471,99
2020-06-22,5493,1959,4732,8902,474,100
2020-06-23,5577,1966,4786,9025,477,101
2020-06-24,5660,1972,4866,9149,480,102
2020-06-25,5744,1973,4968,9273,484,103
2020-06-26,5858,1975,5060,9397,488,104
2020-06-27,5973,1971,5149,9522,490,105
2020-06-28,6090,1960,5221,9646,492,106
2020-06-29,6215,1947,5270,9770,494,107
2020-06-30,6322,1936,5317,9893,496,108
2020-07-01,6413,1921,5401,10015,500,109
2020-07-02,6509,1902,5511,10136,504,110
2020-07-03,6630,1874,5647,10256,509,111
2020-07-04,6760,1838,5758,10374,513,112
2020-07-05,6926,1789,5835,10490,514,113
2020-07-06,7111,1730,5869,10603,516,114
2020-07-07,7314,1669,5916,10712,520,115
2020-07-08,7493,1602,5979,10817,526,116
2020-07-09,7688,1532,6051,10918,533,117
2020-07-10,7870,1457,6116,11015,538,118
2020-07-11,8051,1381,6190,11107,542,119
2020-07-12,8227,1294,6258,11194,545,120
2020-07-13,8411,1270,6318,11276,548,121
2020-07-14,8625,1189,6371,11356,552,121
2020-07-15,8846,1195,6429,11431,556,121
2020-07-16,9083,1119,6501,11506,561,121
2020-07-17,9302,1132,6576,11577,565,121
2020-07-18,9497,1060,6656,11648,568,121
2020-07-19,9684,1091,6718,11715,572,121
2020-07-20,9884,1022,6771,11784,579,121
2020-07-21,10119,1037,6816,11848,585,121
2020-07-22,10359,971,6886,11913,591,121
2020-07-23,10593,989,6966,11974,596,121
2020-07-24,10812,926,7062,12036,601,121
2020-07-25,11001,955,7160,12094,607,121
2020-07-26,11240,894,7257,12154,613,121
2020-07-27,11468,918,7358,12210,619,121
2020-07-28,11696,860,7488,12268,625,121
2020-07-29,11743,879,7731,12322,631,121
2020-07-30,11781,823,7957,12377,636,121
2020-07-31,11834,844,8118,12429,642,121
2020-08-01,11967,790,8188,12482,649,121
2020-08-02,12071,817,8256,12532,653,121
2020-08-03,12143,765,8364,12584,655,121
2020-08-04,12188,804,8497,12632,660,121
2020-08-05,12237,753,8658,12683,664,121
2020-08-06,12277,788,8821,12730,670,121
2020-08-07,12295,772,8981,12780,675,121
2020-08-08,12325,800,9126,12829,680,121
2020-08-09,12357,815,9249,12879,685,121
2020-08-10,12442,836,9336,12930,689,121
2020-08-11,12489,855,9453,12983,692,121
2020-08-12,12526,875,9594,13037,695,121
2020-08-13,12511,899,9778,13092,698,121
2020-08-14,12478,924,9968,13149,703,121
2020-08-15,12397,961,10184,13207,709,121
2020-08-16,12338,1002,10351,13268,714,121
2020-08-17,12286,1003,10491,13331,718,121
2020-08-18,12200,1015,10686,13394,723,121
2020-08-19,12096,1026,10935,13458,728,121
2020-08-20,12025,1037,11172,13523,734,121
2020-08-21,12094,1048,11284,13588,738,121
2020-08-22,12162,1058,11360,13654,742,121
2020-08-23,12232,1069,11436,13721,745,121
2020-08-24,12211,1071,11555,13788,748,121
2020-08-25,12169,1070,11705,13856,752,121
2020-08-26,12072,1064,11923,13923,757,121
2020-08-27,11954,1054,12182,13990,762,121
2020-08-28,11841,1039,12439,14056,766,121
2020-08-29,11751,1023,12648,14121,768,121
2020-08-30,11695,1004,12804,14185,772,121
2020-08-31,11690,983,12897,14248,778,121
2020-09-01,11707,974,12982,14310,785,121
2020-09-02,11768,959,13071,14371,789,121
2020-09-03,11806,947,13178,14431,791,121
2020-09-04,11834,930,13291,14491,795,121
2020-09-05,11835,913,13385,14550,799,121
2020-09-06,11828,886,13467,14608,804,121
2020-09-07,11805,854,13531,14664,808,121
2020-09-08,11774,816,13611,14718,812,121
2020-09-09,11734,789,13744,14769,814,121
2020-09-10,11689,760,13916,14819,815,121
2020-09-11,11625,741,14108,14867,818,121
2020-09-12,11576,719,14264,14914,821,121
2020-09-13,11570,712,14359,14959,825,121
2020-09-14,11590,690,14424,15004,828,121
2020-09-15,11602,675,14503,15047,830,121
2020-09-16,11574,653,14648,15090,832,121
2020-09-17,11500,635,14860,15131,836,121
2020-09-18,11444,608,15068,15171,841,121
2020-09-19,11401,596,15234,15209,845,121
2020-09-20,11406,566,15336,15247,849,121
2020-09-21,11409,567,15424,15283,851,121
2020-09-22,11461,531,15505,15319,854,121
2020-09-23,11553,542,15591,15352,856,121
2020-09-24,11679,508,15693,15386,860,121
2020-09-25,11764,521,15838,15418,865,121
2020-09-26,11787,488,16018,15451,869,121
2020-09-27,11791,523,16177,15482,872,121
2020-09-28,11811,490,16311,15515,873,121
2020-09-29,11888,521,16429,15546,875,121
2020-09-30,11987,488,16552,15579,878,121
2020-10-01,12096,514,16720,15610,882,121
2020-10-02,12215,481,16884,15642,886,121
2020-10-03,12305,511,17063,15672,889,121
2020-10-04,12398,479,17178,15704,892,121
2020-10-05,12521,504,17270,15734,894,121
2020-10-06,12725,472,17363,15766,895,121
2020-10-07,12933,487,17528,15796,897,121
2020-10-08,13124,456,17766,15827,899,121
2020-10-09,13289,481,18048,15856,902,121
2020-10-10,13409,450,18333,15886,906,121
2020-10-11,13566,499,18545,15914,911,121
2020-10-12,13741,467,18697,15945,914,121
2020-10-13,14060,515,18810,15974,918,121
2020-10-14,14441,543,18959,16006,920,121
2020-10-15,14902,591,19181,16040,923,121
2020-10-16,15365,643,19399,16077,926,121
2020-10-17,15729,714,19641,16118,930,121
2020-10-18,16093,800,19786,16163,932,121
2020-10-19,16475,888,19916,16213,937,121
2020-10-20,17009,979,20020,16269,942,121
2020-10-21,17548,1071,20166,16331,948,121
2020-10-22,18113,1168,20353,16399,954,121
2020-10-23,18720,1269,20516,16473,959,121
2020-10-24,19399,1388,20660,16553,964,121
2020-10-25,20108,1521,20752,16641,969,122
2020-10-26,20728,1627,20837,16737,974,123
2020-10-27,21275,1759,20936,16840,982,124
2020-10-28,21913,1898,21065,16951,988,125
2020-10-29,22657,2045,21225,17071,997,126
2020-10-30,23393,2200,21368,17200,1006,127
2020-10-31,24043,2371,21483,17339,1017,128
2020-11-01,24688,2561,21561,17488,1026,129
2020-11-02,25507,2764,21650,17649,1035,130
2020-11-03,26378,2970,21774,17823,1046,131
2020-11-04,27147,3174,21991,18010,1062,132
2020-11-05,27950,3377,22225,18210,1076,133
2020-11-06,28786,3584,22514,18423,1091,134
2020-11-07,29759,3798,22786,18649,1103,135
2020-11-08,30796,4029,23034,18888,1117,136
2020-11-09,31859,4274,23250,19142,1130,138
2020-11-10,33013,4527,23466,19411,1144,140
2020-11-11,34236,4772,23724,19696,1159,142
2020-11-12,35426,4998,24002,19997,1177,144
2020-11-13,36550,5217,24240,20312,1194,146
2020-11-14,37410,5440,24509,20641,1207,148
2020-11-15,38281,5676,24775,20984,1219,150
2020-11-16,39404,5928,25096,21342,1238,152
2020-11-17,40780,6187,25778,21716,1263,154
2020-11-18,42788,6434,26635,22106,1285,156
2020-11-19,45042,6668,27541,22512,1305,158
2020-11-20,47438,6900,28121,22932,1325,160
2020-11-21,49606,7144,28520,23367,1352,163
2020-11-22,51580,7411,28871,23817,1377,166
2020-11-23,53492,7729,29202,24284,1403,169
2020-11-24,55099,8157,29640,24771,1426,172
2020-11-25,56428,8655,30171,25285,1449,175
2020-11-26,57759,9210,30683,25831,1474,178
2020-11-27,59256,9795,31120,26412,1500,181
2020-11-28,60683,10398,31544,27029,1523,185
2020-11-29,61920,11043,32033,27684,1545,189
2020-11-30,63053,11713,32692,28380,1565,193
2020-12-01,64085,12372,33479,29118,1595,197
2020-12-02,65102,12991,34349,29898,1630,202
2020-12-03,66128,13567,35123,30717,1669,207
2020-12-04,67397,14108,35782,31572,1705,212
2020-12-05,68492,14631,36403,32461,1731,217
2020-12-06,69032,15152,37507,33383,1758,222
2020-12-07,68809,15670,38731,34338,1787,228
2020-12-08,69401,16186,39736,35326,1811,234
2020-12-09,70281,16692,40431,36346,1830,240
2020-12-10,71680,17186,41216,37398,1852,246
2020-12-11,72442,17678,42227,38481,1882,252
2020-12-12,73110,18170,43212,39595,1919,259
2020-12-13,73295,18678,44575,40740,1949,266
2020-12-14,72992,19204,46246,41917,1980,273
2020-12-15,72653,19734,48073,43128,2011,280
2020-12-16,72768,20260,49499,44372,2052,287
2020-12-17,73031,20793,50843,45649,2093,294
2020-12-18,73297,21344,52066,46960,2128,302
2020-12-19,73399,21927,53257,48306,2151,310
