date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,959,2058,265,325,29,29
2020-04-13,976,2137,278,455,30,30
2020-04-14,1016,2162,313,590,34,31
2020-04-15,1062,2177,337,726,38,32
2020-04-16,1116,2183,363,863,42,33
2020-04-17,1202,2184,377,1001,47,34
2020-04-18,1287,2183,409,1139,50,35
2020-04-19,1370,2181,444,1277,57,36
2020-04-20,1382,2177,484,1414,63,37
2020-04-21,1477,2173,505,1551,68,38
2020-04-22,1588,2169,525,1688,73,39
2020-04-23,1726,2165,567,1825,77,40
2020-04-24,1832,2162,603,1961,85,41
2020-04-25,1904,2159,638,2097,93,42
2020-04-26,1991,2157,646,2233,100,43
2020-04-27,2082,2160,655,2369,104,44
2020-04-28,2224,2167,673,2505,107,45
2020-04-29,2385,2177,701,2642,113,46
2020-04-30,2524,2189,733,2779,122,47
2020-05-01,2663,2205,759,2917,130,48
2020-05-02,2773,2221,785,3056,140,49
2020-05-03,2914,2238,809,3196,148,50
2020-05-04,3022,2255,828,3337,156,51
2020-05-05,3112,2274,879,3479,162,52
2020-05-06,3181,2294,959,3622,167,53
2020-05-07,3257,2317,1054,3767,174,54
2020-05-08,3338,2343,1129,3913,181,55
2020-05-09,3387,2375,1194,4061,190,56
2020-05-10,3457,2415,1247,4211,199,57
2020-05-11,3555,2457,1284,4363,209,58
2020-05-12,3657,2500,1339,4518,219,59
2020-05-13,3713,2545,1416,4676,230,60
2020-05-14,3759,2593,1508,4836,242,61
2020-05-15,3832,2645,1587,4999,251,62
2020-05-16,3894,2704,1662,5166,259,63
2020-05-17,3975,2770,1721,5336,264,64
2020-05-18,4042,2834,1763,5511,270,65
2020-05-19,4114,2899,1811,5690,276,66
2020-05-20,4156,2968,1887,5873,284,67
2020-05-21,4207,3044,1969,6060,295,68
2020-05-22,4210,3128,2058,6252,306,69
2020-05-23,4235,3233,2182,6449,314,70
2020-05-24,4223,3354,2323,6653,318,71
2020-05-25,4266,3435,2447,6864,320,72
2020-05-26,4296,3505,2516,7081,324,73
