date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,2463,2461,301,412,97,106
2020-04-13,2434,2342,401,634,101,115
2020-04-14,2417,2231,602,845,110,123
2020-04-15,2434,2128,803,1046,120,131
2020-04-16,2459,2035,1003,1238,130,138
2020-04-17,2453,1952,1204,1422,140,145
2020-04-18,2458,1878,1405,1598,150,152
2020-04-19,2487,1814,1606,1768,160,159
2020-04-20,2524,1760,1806,1932,170,165
2020-04-21,2519,1716,2007,2091,181,171
2020-04-22,2521,1680,2208,2246,192,177
2020-04-23,2550,1653,2409,2398,201,183
2020-04-24,2616,1634,2609,2547,210,189
2020-04-25,2658,1622,2810,2695,219,195
2020-04-26,2671,1617,3011,2841,225,201
2020-04-27,2672,1619,3212,2987,231,207
2020-04-28,2683,1627,3413,3133,239,213
2020-04-29,2711,1642,3614,3280,250,219
2020-04-30,2785,1662,3816,3428,264,225
2020-05-01,2862,1688,4017,3578,277,231
2020-05-02,2891,1719,4219,3730,291,237
2020-05-03,2880,1755,4441,3885,301,243
2020-05-04,2876,1796,4684,4043,318,249
2020-05-05,2879,1843,4948,4205,342,255
2020-05-06,2857,1894,5212,4371,370,261
2020-05-07,2864,1950,5476,4542,393,268
2020-05-08,2903,2010,5740,4718,408,275
2020-05-09,2899,2074,6004,4899,420,282
2020-05-10,2842,2141,6247,5086,428,289
2020-05-11,2785,2212,6469,5279,440,296
2020-05-12,2767,2287,6671,5479,452,304
2020-05-13,2820,2366,6873,5685,467,312
2020-05-14,2904,2449,7075,5899,479,320
2020-05-15,3031,2536,7277,6120,494,328
2020-05-16,3086,2626,7479,6349,508,337
2020-05-17,3069,2719,7695,6586,519,346
2020-05-18,3017,2816,7926,6832,534,355
2020-05-19,2979,2918,8172,7086,550,365
2020-05-20,2978,3024,8418,7349,568,375
2020-05-21,3027,3134,8663,7622,581,385
2020-05-22,3111,3247,8909,7905,597,396
2020-05-23,3196,3362,9155,8198,612,407
2020-05-24,3212,3479,9404,8502,625,418
2020-05-25,3188,3599,9658,8816,637,430
2020-05-26,3177,3722,9915,9141,652,442
2020-05-27,3205,3851,10173,9477,671,454
2020-05-28,3282,3985,10430,9825,691,467
2020-05-29,3402,4124,10688,10185,708,480
2020-05-30,3514,4267,10945,10557,722,494
2020-05-31,3550,4413,11219,10942,732,508
2020-06-01,3516,4565,11510,11340,746,523
2020-06-02,3458,4724,11818,11752,762,538
2020-06-03,3401,4889,12125,12179,781,553
2020-06-04,3324,5061,12433,12620,793,569
2020-06-05,3247,5239,12740,13077,802,586
