date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,4825,6762,540,758,145,166
2020-04-13,4986,7012,600,1370,148,196
2020-04-14,5246,6918,731,2006,166,227
2020-04-15,5530,6785,808,2633,185,257
2020-04-16,5812,6686,937,3248,211,287
2020-04-17,6149,6631,1096,3854,232,316
2020-04-18,6572,6615,1201,4455,255,345
2020-04-19,6977,6630,1273,5055,278,374
2020-04-20,7418,6669,1336,5656,300,403
2020-04-21,7891,6727,1413,6261,324,432
2020-04-22,8456,6800,1494,6871,348,461
2020-04-23,8997,6884,1578,7487,377,490
2020-04-24,9593,6976,1652,8111,407,519
2020-04-25,10144,7075,1734,8743,432,548
2020-04-26,10719,7181,1791,9384,448,578
2020-04-27,11291,7296,1857,10035,467,608
2020-04-28,11855,7419,1933,10696,491,638
2020-04-29,12507,7548,2020,11369,522,668
2020-04-30,13238,7682,2114,12053,551,698
2020-05-01,14042,7822,2204,12749,583,729
2020-05-02,14816,7966,2335,13458,619,760
2020-05-03,15529,8114,2452,14180,653,791
2020-05-04,16191,8265,2588,14916,695,822
2020-05-05,16574,8419,2697,15665,731,853
2020-05-06,17145,8576,2790,16428,759,885
2020-05-07,17724,8738,2882,17205,783,917
2020-05-08,18585,8904,2982,17997,802,949
2020-05-09,19273,9076,3107,18804,826,981
2020-05-10,20078,9257,3199,19627,838,1013
2020-05-11,20832,9435,3291,20466,860,1045
2020-05-12,21573,9614,3409,21321,890,1077
2020-05-13,22317,9795,3544,22193,925,1109
2020-05-14,23110,9979,3679,23081,954,1141
2020-05-15,23946,10166,3797,23986,979,1173
2020-05-16,24682,10357,3902,24908,997,1205
2020-05-17,25391,10552,4003,25847,1009,1237
2020-05-18,26079,10750,4123,26804,1022,1269
2020-05-19,26720,10950,4300,27779,1044,1301
2020-05-20,27467,11153,4524,28772,1072,1333
2020-05-21,28141,11362,4754,29783,1103,1365
2020-05-22,28885,11577,4929,30813,1131,1397
2020-05-23,29455,11801,5037,31862,1155,1429
2020-05-24,30296,12031,5098,32932,1179,1460
2020-05-25,31408,12265,5158,34023,1205,1491
2020-05-26,32619,12504,5246,35135,1241,1522
2020-05-27,33690,12748,5355,36269,1285,1553
2020-05-28,34574,12996,5495,37425,1325,1584
2020-05-29,35539,13248,5621,38603,1355,1614
2020-05-30,36463,13507,5753,39804,1367,1644
2020-05-31,37322,13771,5837,41028,1379,1674
2020-06-01,38097,14040,5926,42276,1391,1704
2020-06-02,38746,14313,6025,43549,1409,1733
2020-06-03,39421,14590,6153,44847,1426,1762
2020-06-04,40042,14875,6280,46170,1442,1791
2020-06-05,40790,15166,6352,47518,1453,1819
2020-06-06,41637,15467,6437,48893,1462,1847
2020-06-07,42481,15778,6492,50295,1470,1875
2020-06-08,43152,16132,6590,51725,1481,1902
2020-06-09,43541,16507,6686,53187,1495,1929
2020-06-10,43878,16896,6799,54683,1510,1956
2020-06-11,44249,17306,6907,56215,1522,1983
2020-06-12,44702,17736,7009,57784,1531,2009
2020-06-13,45219,18192,7103,59392,1540,2035
2020-06-14,45695,18700,7179,61041,1546,2061
2020-06-15,46102,19222,7249,62736,1556,2086
2020-06-16,46429,19746,7333,64479,1568,2111
2020-06-17,46781,20285,7421,66269,1579,2136
2020-06-18,47183,20839,7495,68108,1590,2161
2020-06-19,47672,21413,7554,69997,1598,2185
2020-06-20,48199,22018,7605,71938,1606,2209
2020-06-21,48717,22687,7638,73934,1612,2233
2020-06-22,49181,23390,7678,75991,1625,2256
2020-06-23,49632,24093,7717,78111,1642,2279
2020-06-24,50055,24798,7769,80295,1660,2302
2020-06-25,50515,25521,7817,82543,1678,2325
2020-06-26,51004,26263,7884,84857,1699,2347
2020-06-27,51519,27047,7947,87238,1718,2369
2020-06-28,51994,27895,7998,89690,1732,2391
2020-06-29,52456,28749,8036,92219,1745,2412
2020-06-30,52885,29593,8078,94825,1763,2433
2020-07-01,53218,30426,8235,97508,1788,2454
2020-07-02,53516,31266,8446,100266,1815,2474
2020-07-03,53927,32149,8649,103100,1836,2494
2020-07-04,54485,33103,8745,106014,1853,2514
2020-07-05,55010,34085,8778,109015,1865,2533
2020-07-06,55485,35092,8835,112105,1876,2552
2020-07-07,55939,36087,8911,115286,1889,2570
2020-07-08,56464,37061,8996,118557,1907,2588
2020-07-09,57077,38033,9088,121917,1933,2606
2020-07-10,57773,39014,9175,125365,1952,2623
2020-07-11,58576,40039,9256,128902,1962,2640
2020-07-12,59430,41128,9303,132532,1965,2656
2020-07-13,60261,42216,9354,136260,1970,2672
2020-07-14,61132,43304,9426,140087,1979,2687
2020-07-15,61944,44399,9531,144013,1992,2702
2020-07-16,62775,45513,9684,148038,2004,2717
2020-07-17,63563,46667,9834,152164,2015,2731
2020-07-18,64433,47869,9958,156395,2021,2745
2020-07-19,65332,49152,10033,160734,2027,2758
2020-07-20,66238,50303,10119,165190,2035,2771
2020-07-21,67112,51384,10224,169750,2043,2783
2020-07-22,67934,52425,10348,174408,2051,2795
2020-07-23,68812,53440,10462,179160,2057,2807
2020-07-24,69720,54440,10618,184004,2065,2818
2020-07-25,70688,55436,10752,188939,2073,2829
2020-07-26,71797,56431,10874,193964,2078,2839
2020-07-27,72668,57429,11124,199080,2085,2849
2020-07-28,73539,58436,11380,204286,2100,2858
2020-07-29,74201,59451,11642,209583,2120,2867
2020-07-30,75011,60476,11771,214972,2146,2876
2020-07-31,75798,61513,11890,220454,2176,2884
2020-08-01,76600,62565,12017,226030,2206,2892
2020-08-02,77543,63631,12123,231702,2230,2899
2020-08-03,78558,64803,12249,237470,2239,2906
2020-08-04,79494,66032,12387,243345,2254,2913
2020-08-05,80269,67299,12514,249331,2272,2919
2020-08-06,81343,68616,12627,255432,2296,2925
2020-08-07,82600,69976,12734,261652,2312,2931
2020-08-08,83901,71402,12830,267996,2321,2937
