date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,7619,7468,2141,2483,330,344
2020-04-13,7808,7785,2287,2824,344,358
2020-04-14,8080,8029,2666,3185,377,372
2020-04-15,8262,8297,3135,3563,412,387
2020-04-16,8330,8573,3672,3959,450,402
2020-04-17,8292,8858,4224,4375,482,418
2020-04-18,8130,9150,4776,4811,509,434
2020-04-19,8122,9447,5282,5268,530,451
2020-04-20,8160,9746,5842,5746,554,469
2020-04-21,8258,10046,6511,6246,578,487
2020-04-22,8245,10357,7284,6769,612,506
2020-04-23,8141,10681,8174,7316,641,525
2020-04-24,7995,11014,9055,7887,668,545
2020-04-25,7656,11356,9968,8484,685,565
2020-04-26,7752,11704,10639,9108,703,586
2020-04-27,7958,12053,11239,9759,732,608
2020-04-28,8255,12389,12090,10438,767,630
2020-04-29,8332,12725,13074,11145,811,653
2020-04-30,8801,13064,13852,11880,849,676
2020-05-01,9260,13409,14378,12644,897,700
2020-05-02,9533,13761,14852,13437,937,725
2020-05-03,9512,14105,15508,14261,974,750
2020-05-04,9599,14451,16141,15115,996,776
2020-05-05,9927,14786,16834,16000,1019,803
2020-05-06,10325,15120,17617,16915,1044,830
2020-05-07,10878,15458,18419,17861,1075,858
2020-05-08,11514,15803,19259,18839,1109,886
2020-05-09,11779,16160,20120,19849,1145,915
2020-05-10,11588,16540,21259,20892,1177,945
2020-05-11,11393,16940,22385,21971,1209,975
2020-05-12,11609,17336,23218,23087,1237,1006
2020-05-13,11957,17723,23841,24240,1278,1038
2020-05-14,12018,18107,24486,25430,1323,1070
2020-05-15,11988,18493,25514,26657,1373,1103
2020-05-16,11935,18891,26541,27922,1409,1137
2020-05-17,12079,19319,27514,29226,1434,1171
2020-05-18,12178,19761,28433,30571,1458,1206
2020-05-19,12294,20186,29504,31959,1487,1242
2020-05-20,12416,20610,30454,33389,1520,1278
2020-05-21,12735,21046,31076,34861,1545,1315
2020-05-22,12935,21502,31574,36376,1561,1353
2020-05-23,12820,22002,32295,37936,1583,1392
2020-05-24,12014,22587,33651,39545,1605,1431
2020-05-25,11470,23217,35017,41210,1627,1471
2020-05-26,10963,23823,36431,42934,1647,1512
2020-05-27,10814,24389,37635,44716,1670,1554
2020-05-28,10229,24918,39258,46553,1694,1597
2020-05-29,9654,25441,40857,48443,1720,1641
2020-05-30,9284,25986,42030,50386,1743,1686
2020-05-31,9446,26588,42728,52384,1765,1732
2020-06-01,9881,27208,43426,54442,1784,1779
2020-06-02,10034,27772,44571,56561,1808,1827
2020-06-03,12386,28321,45724,58738,1841,1876
2020-06-04,15230,28876,46840,60971,1871,1925
2020-06-05,18192,29445,47853,63262,1900,1975
2020-06-06,18448,30062,49069,65611,1921,2026
2020-06-07,18293,30776,50161,68023,1937,2078
2020-06-08,19431,31556,50909,70507,1950,2131
2020-06-09,21554,32253,51576,73067,1970,2185
2020-06-10,23433,32906,52561,75698,1996,2240
2020-06-11,24473,33551,53934,78396,2024,2296
2020-06-12,24905,34209,55296,81161,2050,2353
2020-06-13,25162,34959,56711,83994,2072,2411
2020-06-14,26077,35905,57988,86903,2092,2470
2020-06-15,27826,37020,59370,89905,2122,2531
2020-06-16,30514,38019,60712,93015,2159,2594
2020-06-17,32561,38867,62287,96223,2198,2658
2020-06-18,34594,39660,63836,99517,2231,2723
2020-06-19,36556,40496,65412,102893,2262,2789
2020-06-20,38432,41449,66974,106354,2286,2857
2020-06-21,40494,42642,68261,109911,2309,2926
2020-06-22,43446,43999,69467,113585,2330,2997
2020-06-23,47218,45132,70934,117391,2360,3070
2020-06-24,50962,46079,72702,121310,2398,3144
2020-06-25,55537,46936,74558,125326,2440,3220
2020-06-26,59940,47829,76342,129431,2482,3297
2020-06-27,64531,48850,78168,133629,2518,3375
2020-06-28,69048,50129,79852,137931,2550,3455
2020-06-29,73816,51605,82042,142361,2578,3536
2020-06-30,78855,52905,84569,146936,2616,3619
2020-07-01,82345,54010,87698,151641,2662,3704
2020-07-02,85823,55008,90616,156459,2715,3791
2020-07-03,87947,56074,93907,161381,2762,3879
2020-07-04,90608,57453,97281,166413,2805,3968
2020-07-05,93564,59187,100685,171584,2847,4059
2020-07-06,97541,60962,104370,176925,2910,4153
2020-07-07,102141,62581,108517,182442,2989,4249
2020-07-08,106832,63846,113365,188120,3100,4347
2020-07-09,112219,64836,118202,193928,3197,4447
2020-07-10,116554,65734,123067,199841,3293,4548
2020-07-11,119727,66695,127838,205850,3371,4650
2020-07-12,123368,67879,132312,211962,3454,4753
2020-07-13,127112,69125,137151,218196,3540,4857
2020-07-14,131254,69974,142697,224559,3646,4963
2020-07-15,133639,70528,149203,231015,3779,5070
2020-07-16,134936,70870,155801,237536,3936,5177
2020-07-17,136278,71077,162569,244102,4088,5284
2020-07-18,137912,71161,168236,250700,4210,5391
2020-07-19,141193,71027,173462,257319,4319,5498
2020-07-20,143895,70605,179112,263938,4416,5604
2020-07-21,145877,70078,186571,270530,4576,5709
2020-07-22,146488,69479,195223,277085,4750,5813
2020-07-23,146735,68856,203785,283596,4960,5915
2020-07-24,145599,68230,212517,290059,5137,6016
2020-07-25,140625,67599,223501,296474,5304,6116
2020-07-26,136375,66973,234245,302840,5636,6214
2020-07-27,136725,66340,241892,309158,5988,6311
2020-07-28,140705,65697,246748,315425,6370,6406
2020-07-29,143721,65056,252112,321641,6609,6500
2020-07-30,142056,64414,261693,327805,6829,6593
2020-07-31,136306,63775,274582,333917,7057,6684
2020-08-01,129836,63144,286875,339977,7208,6774
2020-08-02,126325,62523,294952,345985,7370,6863
2020-08-03,129802,61902,300368,351942,7522,6950
2020-08-04,134084,61279,306445,357847,7784,7036
2020-08-05,137044,60663,315239,363700,8273,7121
2020-08-06,137115,60057,323708,369501,8777,7204
2020-08-07,140088,59465,331271,375251,9226,7286
2020-08-08,144633,58896,338285,380951,9421,7367
2020-08-09,151739,58347,344340,386603,9553,7447
2020-08-10,157236,57809,350996,392208,9615,7526
2020-08-11,160832,57274,358499,397767,9747,7603
2020-08-12,161276,56728,367142,403280,9926,7679
2020-08-13,163021,56178,375610,408746,10206,7754
2020-08-14,164679,55645,384247,414164,10449,7828
2020-08-15,165766,55124,392185,419536,10659,7901
2020-08-16,164908,54639,399551,424863,10786,7973
2020-08-17,163804,54172,407097,430147,10916,8044
2020-08-18,163485,53687,415468,435391,11089,8114
2020-08-19,161742,53191,424182,440592,11325,8183
2020-08-20,159929,52698,431823,445749,11572,8251
2020-08-21,157392,52228,438938,450863,11785,8318
2020-08-22,154846,51776,445543,455935,11955,8384
2020-08-23,152097,51346,451662,460967,12066,8449
2020-08-24,149694,50937,458502,465961,12181,8513
2020-08-25,147833,50517,465384,470919,12322,8576
2020-08-26,147193,50081,472574,475839,12511,8638
2020-08-27,147110,49647,478684,480720,12699,8699
2020-08-28,146022,49228,485517,485562,12872,8759
2020-08-29,142678,48836,492439,490366,12998,8818
2020-08-30,138409,48460,499979,495135,13081,8876
2020-08-31,134261,48116,507292,499870,13165,8934
2020-09-01,130620,47789,514815,504574,13288,8991
2020-09-02,127790,47453,521435,509249,13458,9047
2020-09-03,125749,47081,527223,513893,13627,9102
2020-09-04,124167,46713,532621,518503,13778,9157
2020-09-05,120071,46383,539638,523080,13892,9211
2020-09-06,115375,46109,546700,527627,13981,9264
2020-09-07,112870,45887,551742,532149,14057,9316
2020-09-08,112549,45676,555237,536651,14149,9368
2020-09-09,113224,45431,558805,541135,14231,9419
2020-09-10,110427,45124,565319,545597,14370,9470
2020-09-11,108811,44807,571631,550030,14503,9520
2020-09-12,109179,44508,577551,554434,14656,9569
2020-09-13,111676,44251,581872,558811,14733,9618
2020-09-14,114854,44013,584565,563164,14821,9666
2020-09-15,115781,43758,587553,567495,14929,9713
2020-09-16,116527,43499,590522,571803,15050,9760
2020-09-17,115902,43237,595438,576087,15161,9806
2020-09-18,115557,43005,600333,580347,15258,9852
2020-09-19,117246,42803,605131,584585,15337,9897
2020-09-20,119364,42644,608862,588805,15397,9941
2020-09-21,122064,42523,611654,593011,15461,9985
2020-09-22,123009,42411,614602,597206,15553,10029
2020-09-23,117572,42305,624706,601391,15677,10072
2020-09-24,111438,42192,635455,605567,15799,10115
2020-09-25,104627,42099,645964,609733,15914,10157
2020-09-26,103401,42045,649366,613891,15996,10199
2020-09-27,102879,42041,653121,618045,16065,10240
2020-09-28,103183,42061,656940,622200,16122,10281
2020-09-29,103840,42053,661109,626358,16202,10322
2020-09-30,104051,42005,664812,630516,16300,10363
2020-10-01,104017,41946,668514,634670,16424,10403
2020-10-02,103763,41907,672634,638820,16535,10443
2020-10-03,102768,41904,676490,642967,16623,10482
2020-10-04,101612,41880,680342,647114,16700,10521
2020-10-05,101486,41862,683686,651260,16784,10560
2020-10-06,101447,41827,687700,655405,16892,10598
2020-10-07,101375,41758,691531,659547,16998,10636
2020-10-08,100610,41681,695266,663683,17099,10674
2020-10-09,100569,41635,698419,667813,17187,10711
2020-10-10,100445,41634,701242,671939,17250,10748
2020-10-11,101437,41735,703478,676065,17296,10785
2020-10-12,102669,41942,705733,680202,17350,10822
2020-10-13,104607,42136,708325,684360,17427,10858
2020-10-14,105306,42300,711934,688538,17526,10894
2020-10-15,106516,42405,715643,692733,17620,10930
2020-10-16,106657,42524,719565,696940,17704,10966
2020-10-17,108254,42681,722971,701159,17759,11002
2020-10-18,109476,42915,726399,705394,17793,11038
2020-10-19,111813,43193,729917,709653,17827,11073
2020-10-20,112565,43417,734220,713940,17890,11108
2020-10-21,112778,43573,739060,718250,17958,11143
2020-10-22,113525,43697,743891,722576,18040,11178
2020-10-23,113943,43857,748715,726915,18136,11213
2020-10-24,114728,44066,752319,731270,18235,11248
