date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,3319,4169,186,216,118,126
2020-04-13,3356,4299,207,254,122,136
2020-04-14,3401,4381,294,295,131,147
2020-04-15,3498,4463,364,337,141,158
2020-04-16,3547,4550,537,381,153,169
2020-04-17,3584,4642,740,427,166,181
2020-04-18,3627,4738,918,475,177,193
2020-04-19,3657,4838,1066,525,185,205
2020-04-20,3735,4941,1156,578,194,218
2020-04-21,3809,5048,1246,633,210,231
2020-04-22,4001,5159,1270,690,229,244
2020-04-23,4229,5273,1286,750,248,258
2020-04-24,4459,5390,1313,813,262,272
2020-04-25,4666,5510,1347,878,275,287
2020-04-26,4848,5633,1382,946,285,302
2020-04-27,5024,5759,1417,1017,297,318
2020-04-28,5212,5887,1447,1091,304,334
2020-04-29,5487,6018,1474,1168,312,351
2020-04-30,5787,6152,1500,1248,324,368
2020-05-01,6124,6290,1530,1332,342,385
2020-05-02,6399,6429,1563,1419,362,403
2020-05-03,6666,6571,1598,1510,378,421
2020-05-04,6934,6715,1633,1604,389,440
2020-05-05,7242,6862,1665,1702,405,459
2020-05-06,7534,7012,1695,1804,423,479
2020-05-07,7875,7164,1720,1910,464,499
2020-05-08,7927,7319,2051,2020,499,520
2020-05-09,7938,7478,2402,2134,528,542
2020-05-10,7848,7638,2770,2252,536,564
2020-05-11,8021,7801,2845,2375,546,587
2020-05-12,8299,7966,2913,2502,566,610
2020-05-13,8628,8135,2987,2633,593,634
2020-05-14,8997,8306,3066,2769,623,658
2020-05-15,9326,8481,3192,2910,651,683
2020-05-16,9606,8657,3317,3056,670,708
2020-05-17,9798,8836,3459,3207,682,734
2020-05-18,9982,9017,3571,3362,690,760
2020-05-19,10172,9200,3678,3523,713,787
2020-05-20,10426,9386,3779,3689,738,814
2020-05-21,10666,9575,3864,3860,762,842
2020-05-22,10943,9767,3951,4036,781,870
2020-05-23,11185,9962,4038,4218,795,899
2020-05-24,11406,10159,4123,4405,806,928
2020-05-25,11586,10358,4211,4598,808,958
