date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,4825,6762,540,758,145,166
2020-04-13,4986,7012,600,1370,148,196
2020-04-14,5246,6917,731,2006,166,227
2020-04-15,5530,6784,808,2633,185,257
2020-04-16,5812,6685,937,3248,211,287
2020-04-17,6149,6630,1096,3854,232,316
2020-04-18,6572,6614,1201,4455,255,345
2020-04-19,6977,6629,1273,5055,278,374
2020-04-20,7418,6668,1336,5656,300,403
2020-04-21,7891,6726,1413,6260,324,432
2020-04-22,8456,6798,1494,6870,348,461
2020-04-23,8997,6881,1578,7486,377,490
2020-04-24,9593,6973,1652,8110,407,519
2020-04-25,10144,7072,1734,8742,432,548
2020-04-26,10719,7177,1791,9383,448,578
2020-04-27,11291,7288,1857,10034,467,608
2020-04-28,11855,7404,1933,10695,491,638
2020-04-29,12507,7523,2020,11366,522,668
2020-04-30,13238,7646,2114,12048,551,698
2020-05-01,14042,7772,2204,12741,583,728
2020-05-02,14816,7901,2335,13446,619,759
2020-05-03,15529,8033,2452,14162,653,790
2020-05-04,16191,8168,2588,14890,695,821
2020-05-05,16574,8306,2697,15630,731,852
2020-05-06,17145,8447,2790,16383,759,883
2020-05-07,17724,8591,2882,17149,783,914
2020-05-08,18585,8738,2982,17928,802,945
2020-05-09,19273,8888,3107,18720,826,976
2020-05-10,20078,9042,3199,19526,838,1007
2020-05-11,20832,9200,3291,20346,860,1038
2020-05-12,21573,9362,3409,21180,890,1069
2020-05-13,22317,9528,3544,22029,925,1100
2020-05-14,23110,9698,3679,22893,954,1131
2020-05-15,23946,9871,3797,23772,979,1162
2020-05-16,24682,10049,3902,24667,997,1193
2020-05-17,25391,10230,4003,25578,1009,1224
2020-05-18,26079,10415,4123,26505,1022,1255
2020-05-19,26720,10602,4300,27449,1044,1286
2020-05-20,27467,10793,4524,28410,1072,1317
2020-05-21,28141,10988,4754,29388,1103,1348
2020-05-22,28885,11189,4929,30384,1131,1379
2020-05-23,29455,11396,5037,31398,1155,1409
2020-05-24,30296,11609,5098,32431,1179,1439
2020-05-25,31408,11826,5158,33483,1205,1469
2020-05-26,32619,12047,5246,34555,1241,1499
2020-05-27,33690,12272,5355,35647,1285,1529
2020-05-28,34574,12501,5495,36759,1325,1559
2020-05-29,35539,12734,5621,37892,1355,1588
2020-05-30,36463,12973,5753,39046,1367,1617
2020-05-31,37322,13217,5837,40222,1379,1646
2020-06-01,38097,13465,5926,41420,1391,1674
2020-06-02,38746,13717,6025,42641,1409,1702
2020-06-03,39421,13973,6153,43884,1426,1730
2020-06-04,40042,14236,6280,45151,1442,1758
2020-06-05,40790,14503,6352,46442,1453,1785
2020-06-06,41637,14779,6437,47757,1462,1812
2020-06-07,42481,15063,6492,49097,1470,1839
2020-06-08,43152,15353,6590,50463,1481,1865
2020-06-09,43541,15649,6686,51855,1495,1891
2020-06-10,43878,15950,6799,53274,1510,1916
2020-06-11,44249,16257,6907,54720,1522,1941
2020-06-12,44702,16569,7009,56194,1531,1966
2020-06-13,45219,16886,7103,57696,1540,1990
2020-06-14,45695,17212,7179,59227,1546,2014
2020-06-15,46102,17542,7249,60787,1556,2037
2020-06-16,46429,17877,7333,62377,1568,2060
2020-06-17,46781,18222,7421,63998,1579,2083
2020-06-18,47183,18572,7495,65650,1590,2105
2020-06-19,47672,18929,7554,67334,1598,2127
2020-06-20,48199,19293,7605,69050,1606,2148
2020-06-21,48717,19668,7638,70799,1612,2169
2020-06-22,49181,20050,7678,72582,1625,2189
2020-06-23,49632,20437,7717,74400,1642,2209
2020-06-24,50055,20832,7769,76253,1660,2228
2020-06-25,50515,21235,7817,78141,1678,2247
2020-06-26,51004,21645,7884,80066,1699,2266
2020-06-27,51519,22065,7947,82028,1718,2284
2020-06-28,51994,22497,7998,84028,1732,2302
2020-06-29,52456,22938,8036,86067,1745,2319
2020-06-30,52885,23387,8078,88146,1763,2336
2020-07-01,53218,23841,8235,90266,1788,2352
2020-07-02,53516,24306,8446,92427,1815,2368
2020-07-03,53927,24787,8649,94630,1836,2383
2020-07-04,54485,25288,8745,96877,1853,2398
2020-07-05,55010,25798,8778,99169,1865,2413
2020-07-06,55485,26321,8835,101508,1876,2427
2020-07-07,55939,26849,8911,103894,1889,2441
2020-07-08,56464,27380,8996,106328,1907,2454
2020-07-09,57077,27918,9088,108810,1933,2467
2020-07-10,57773,28462,9175,111341,1952,2480
2020-07-11,58576,29018,9256,113921,1962,2492
2020-07-12,59430,29579,9303,116552,1965,2504
2020-07-13,60261,30153,9354,119233,1970,2515
2020-07-14,61132,30741,9426,121966,1979,2526
2020-07-15,61944,31341,9531,124753,1992,2537
2020-07-16,62775,31951,9684,127594,2004,2547
2020-07-17,63563,32574,9834,130490,2015,2557
2020-07-18,64433,33206,9958,133443,2021,2567
2020-07-19,65332,33840,10033,136453,2027,2576
2020-07-20,66238,34466,10119,139521,2035,2585
2020-07-21,67112,35085,10224,142645,2043,2594
2020-07-22,67934,35701,10348,145826,2051,2602
2020-07-23,68812,36314,10462,149062,2057,2610
2020-07-24,69720,36926,10618,152354,2065,2618
2020-07-25,70688,37538,10752,155701,2073,2625
2020-07-26,71797,38147,10874,159104,2078,2632
2020-07-27,72668,38756,11124,162562,2085,2639
2020-07-28,73539,39368,11380,166075,2100,2645
2020-07-29,74201,39985,11642,169644,2120,2651
2020-07-30,75011,40607,11771,173269,2146,2657
2020-07-31,75798,41235,11890,176950,2176,2662
2020-08-01,76600,41867,12017,180688,2206,2667
2020-08-02,77543,42507,12123,184483,2230,2672
2020-08-03,78558,43158,12249,188336,2239,2677
2020-08-04,79494,43819,12387,192248,2254,2682
2020-08-05,80269,44488,12514,196220,2272,2686
2020-08-06,81343,45165,12627,200253,2296,2690
2020-08-07,82600,45849,12734,204347,2312,2694
2020-08-08,83901,46539,12830,208503,2321,2698
