date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,3319,4169,186,216,118,126
2020-04-13,3356,4317,207,254,122,136
2020-04-14,3401,4404,294,295,131,147
2020-04-15,3498,4491,364,338,141,158
2020-04-16,3547,4583,537,382,153,169
2020-04-17,3584,4680,740,428,166,181
2020-04-18,3627,4783,918,477,177,193
2020-04-19,3657,4889,1066,528,185,205
2020-04-20,3735,4999,1156,581,194,218
2020-04-21,3809,5114,1246,637,210,231
2020-04-22,4001,5233,1270,695,229,245
2020-04-23,4229,5356,1286,756,248,259
2020-04-24,4459,5484,1313,820,262,274
2020-04-25,4666,5616,1347,886,275,289
2020-04-26,4848,5751,1382,955,285,304
2020-04-27,5024,5888,1417,1028,297,320
2020-04-28,5212,6029,1447,1104,304,336
2020-04-29,5487,6174,1474,1183,312,353
2020-04-30,5787,6322,1500,1266,324,370
2020-05-01,6124,6473,1530,1352,342,388
2020-05-02,6399,6627,1563,1442,362,407
2020-05-03,6666,6785,1598,1536,378,426
2020-05-04,6934,6945,1633,1633,389,446
2020-05-05,7242,7108,1665,1734,405,466
2020-05-06,7534,7275,1695,1840,423,487
2020-05-07,7875,7445,1720,1950,464,508
2020-05-08,7927,7618,2051,2064,499,530
2020-05-09,7938,7795,2402,2183,528,552
2020-05-10,7848,7975,2770,2306,536,575
2020-05-11,8021,8162,2845,2434,546,599
2020-05-12,8299,8352,2913,2567,566,623
2020-05-13,8628,8546,2987,2705,593,648
2020-05-14,8997,8743,3066,2848,623,673
2020-05-15,9326,8945,3192,2996,651,699
2020-05-16,9606,9150,3317,3150,670,726
2020-05-17,9798,9359,3459,3309,682,753
2020-05-18,9982,9570,3571,3474,690,781
2020-05-19,10172,9787,3678,3644,713,809
2020-05-20,10426,10010,3779,3820,738,838
2020-05-21,10666,10235,3864,4002,762,868
2020-05-22,10943,10465,3951,4190,781,898
2020-05-23,11185,10705,4038,4385,795,929
2020-05-24,11406,10950,4123,4586,806,961
2020-05-25,11586,11199,4211,4794,808,993
2020-05-26,11815,11451,4287,5009,817,1026
2020-05-27,12149,11707,4370,5231,834,1059
2020-05-28,12575,11971,4454,5460,860,1093
