date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,7619,7468,2141,2483,330,344
2020-04-13,7808,7784,2287,2824,344,358
2020-04-14,8080,8020,2666,3185,377,372
2020-04-15,8262,8277,3135,3562,412,387
2020-04-16,8330,8540,3672,3957,450,402
2020-04-17,8292,8810,4224,4371,482,418
2020-04-18,8130,9086,4776,4804,509,434
2020-04-19,8122,9367,5282,5258,530,451
2020-04-20,8160,9651,5842,5732,554,468
2020-04-21,8258,9936,6511,6228,578,486
2020-04-22,8245,10231,7284,6745,612,504
2020-04-23,8141,10538,8174,7285,641,523
2020-04-24,7995,10853,9055,7849,668,543
2020-04-25,7656,11175,9968,8437,685,563
2020-04-26,7752,11503,10639,9051,703,584
2020-04-27,7958,11834,11239,9691,732,605
2020-04-28,8255,12161,12090,10358,767,627
2020-04-29,8332,12490,13074,11052,811,649
2020-04-30,8801,12824,13852,11773,849,672
2020-05-01,9260,13165,14378,12523,897,696
2020-05-02,9533,13513,14852,13302,937,720
2020-05-03,9512,13853,15508,14111,974,745
2020-05-04,9599,14195,16141,14950,996,770
2020-05-05,9927,14527,16834,15819,1019,796
2020-05-06,10325,14858,17617,16718,1044,823
2020-05-07,10878,15192,18419,17648,1075,850
2020-05-08,11514,15534,19259,18609,1109,878
2020-05-09,11779,15888,20120,19602,1145,906
2020-05-10,11588,16265,21259,20628,1177,935
2020-05-11,11393,16644,22385,21689,1209,965
2020-05-12,11609,16982,23218,22785,1237,995
2020-05-13,11957,17303,23841,23915,1278,1026
2020-05-14,12018,17615,24486,25077,1323,1057
2020-05-15,11988,17925,25514,26271,1373,1089
2020-05-16,11935,18240,26541,27497,1409,1121
2020-05-17,12079,18570,27514,28756,1434,1154
2020-05-18,12178,18906,28433,30049,1458,1188
2020-05-19,12294,19231,29504,31377,1487,1222
2020-05-20,12416,19553,30454,32739,1520,1257
2020-05-21,12735,19879,31076,34135,1545,1292
2020-05-22,12935,20216,31574,35566,1561,1328
2020-05-23,12820,20576,32295,37033,1583,1364
2020-05-24,12014,20984,33651,38538,1605,1401
2020-05-25,11470,21422,35017,40084,1627,1438
2020-05-26,10963,21848,36431,41675,1647,1476
2020-05-27,10814,22250,37635,43309,1670,1515
2020-05-28,10229,22628,39258,44985,1694,1554
2020-05-29,9654,23002,40857,46701,1720,1594
2020-05-30,9284,23389,42030,48458,1743,1635
2020-05-31,9446,23812,42728,50256,1765,1676
2020-06-01,9881,24247,43426,52099,1784,1718
2020-06-02,10034,24646,44571,53988,1808,1761
2020-06-03,12386,25034,45724,55920,1841,1804
2020-06-04,15230,25427,46840,57894,1871,1848
2020-06-05,18192,25831,47853,59911,1900,1892
2020-06-06,18448,26266,49069,61972,1921,1937
2020-06-07,18293,26761,50161,64080,1937,1983
2020-06-08,19431,27282,50909,66240,1950,2029
2020-06-09,21554,27747,51576,68454,1970,2076
2020-06-10,23433,28187,52561,70717,1996,2124
2020-06-11,24473,28624,53934,73028,2024,2172
2020-06-12,24905,29069,55296,75387,2050,2221
2020-06-13,25162,29574,56711,77795,2072,2271
2020-06-14,26077,30203,57988,80256,2092,2321
2020-06-15,27826,30948,59370,82781,2122,2372
2020-06-16,30514,31633,60712,85381,2159,2424
2020-06-17,32561,32221,62287,88050,2198,2477
2020-06-18,34594,32778,63836,90781,2231,2531
2020-06-19,36556,33370,65412,93571,2262,2586
2020-06-20,38432,34040,66974,96423,2286,2642
2020-06-21,40494,34872,68261,99344,2309,2699
2020-06-22,43446,35845,69467,102349,2330,2757
2020-06-23,47218,36699,70934,105450,2360,2816
2020-06-24,50962,37434,72702,108636,2398,2877
2020-06-25,55537,38110,74558,111898,2440,2939
2020-06-26,59940,38807,76342,115231,2482,3001
2020-06-27,64531,39588,78168,118637,2518,3064
2020-06-28,69048,40537,79852,122124,2550,3128
2020-06-29,73816,41628,82042,125706,2578,3194
2020-06-30,78855,42645,84569,129396,2616,3261
2020-07-01,82345,43533,87698,133189,2662,3330
2020-07-02,85823,44362,90616,137072,2715,3400
2020-07-03,87947,45140,93907,141041,2762,3471
2020-07-04,90608,46414,97281,145092,2805,3543
2020-07-05,93564,49160,100685,149269,2847,3617
2020-07-06,97541,50981,104370,153706,2910,3695
