date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,4825,6762,540,758,145,166
2020-04-13,4986,7012,600,1370,148,196
2020-04-14,5246,6917,731,2006,166,227
2020-04-15,5530,6784,808,2633,185,257
2020-04-16,5812,6685,937,3248,211,287
2020-04-17,6149,6630,1096,3854,232,316
2020-04-18,6572,6614,1201,4455,255,345
2020-04-19,6977,6629,1273,5055,278,374
2020-04-20,7418,6668,1336,5656,300,403
2020-04-21,7891,6726,1413,6260,324,432
2020-04-22,8456,6799,1494,6870,348,461
2020-04-23,8997,6883,1578,7486,377,490
2020-04-24,9593,6975,1652,8110,407,519
2020-04-25,10144,7074,1734,8742,432,548
2020-04-26,10719,7180,1791,9383,448,578
2020-04-27,11291,7291,1857,10034,467,608
2020-04-28,11855,7407,1933,10695,491,638
2020-04-29,12507,7527,2020,11366,522,668
2020-04-30,13238,7650,2114,12048,551,698
2020-05-01,14042,7777,2204,12741,583,728
2020-05-02,14816,7907,2335,13446,619,759
2020-05-03,15529,8040,2452,14163,653,790
2020-05-04,16191,8176,2588,14892,695,821
2020-05-05,16574,8314,2697,15633,731,852
2020-05-06,17145,8455,2790,16387,759,883
2020-05-07,17724,8599,2882,17153,783,914
2020-05-08,18585,8746,2982,17933,802,945
2020-05-09,19273,8896,3107,18726,826,976
2020-05-10,20078,9051,3199,19532,838,1007
2020-05-11,20832,9220,3291,20353,860,1038
2020-05-12,21573,9398,3409,21189,890,1069
2020-05-13,22317,9582,3544,22041,925,1101
2020-05-14,23110,9775,3679,22910,954,1133
2020-05-15,23946,9973,3797,23796,979,1165
2020-05-16,24682,10181,3902,24700,997,1197
2020-05-17,25391,10400,4003,25623,1009,1229
2020-05-18,26079,10623,4123,26566,1022,1261
2020-05-19,26720,10849,4300,27529,1044,1293
2020-05-20,27467,11080,4524,28512,1072,1325
2020-05-21,28141,11320,4754,29516,1103,1357
2020-05-22,28885,11571,4929,30542,1131,1389
2020-05-23,29455,11839,5037,31591,1155,1421
2020-05-24,30296,12128,5098,32664,1179,1453
2020-05-25,31408,12424,5158,33763,1205,1484
2020-05-26,32619,12724,5246,34889,1241,1515
2020-05-27,33690,13026,5355,36042,1285,1546
2020-05-28,34574,13332,5495,37223,1325,1577
2020-05-29,35539,13644,5621,38432,1355,1608
2020-05-30,36463,13969,5753,39669,1367,1639
2020-05-31,37322,14306,5837,40935,1379,1670
2020-06-01,38097,14646,5926,42232,1391,1701
2020-06-02,38746,14990,6025,43560,1409,1732
2020-06-03,39421,15341,6153,44919,1426,1762
2020-06-04,40042,15702,6280,46310,1442,1792
2020-06-05,40790,16070,6352,47733,1453,1822
2020-06-06,41637,16460,6437,49190,1462,1852
2020-06-07,42481,16879,6492,50682,1470,1882
2020-06-08,43152,17272,6590,52212,1481,1911
2020-06-09,43541,17653,6686,53778,1495,1940
2020-06-10,43878,18026,6799,55378,1510,1969
2020-06-11,44249,18396,6907,57012,1522,1997
2020-06-12,44702,18765,7009,58680,1531,2025
2020-06-13,45219,19138,7103,60381,1540,2052
2020-06-14,45695,19519,7179,62116,1546,2079
2020-06-15,46102,19904,7249,63885,1556,2106
2020-06-16,46429,20292,7333,65689,1568,2132
2020-06-17,46781,20687,7421,67529,1579,2158
2020-06-18,47183,21091,7495,69404,1590,2183
2020-06-19,47672,21504,7554,71316,1598,2208
2020-06-20,48199,21930,7605,73265,1606,2232
2020-06-21,48717,22370,7638,75253,1612,2256
2020-06-22,49181,22888,7678,77281,1625,2279
2020-06-23,49632,23444,7717,79356,1642,2302
2020-06-24,50055,24035,7769,81481,1660,2324
2020-06-25,50515,24661,7817,83660,1678,2346
2020-06-26,51004,25323,7884,85896,1699,2368
2020-06-27,51519,26049,7947,88192,1718,2389
2020-06-28,51994,26858,7998,90553,1732,2410
2020-06-29,52456,27686,8036,92988,1745,2431
2020-06-30,52885,28511,8078,95498,1763,2451
2020-07-01,53218,29338,8235,98083,1788,2471
2020-07-02,53516,30180,8446,100743,1815,2491
2020-07-03,53927,31079,8649,103479,1836,2510
2020-07-04,54485,32077,8745,106296,1853,2529
2020-07-05,55010,33116,8778,109204,1865,2548
2020-07-06,55485,34043,8835,112206,1876,2566
2020-07-07,55939,34905,8911,115292,1889,2584
2020-07-08,56464,35729,8996,118456,1907,2601
2020-07-09,57077,36530,9088,121695,1933,2618
2020-07-10,57773,37319,9175,125007,1952,2634
2020-07-11,58576,38102,9256,128390,1962,2650
2020-07-12,59430,38884,9303,131844,1965,2666
2020-07-13,60261,39667,9354,135369,1970,2681
2020-07-14,61132,40456,9426,138965,1979,2696
2020-07-15,61944,41246,9531,142632,1992,2710
2020-07-16,62775,42041,9684,146371,2004,2724
2020-07-17,63563,42838,9834,150182,2015,2737
2020-07-18,64433,43636,9958,154065,2021,2750
2020-07-19,65332,44422,10033,158021,2027,2762
2020-07-20,66238,45205,10119,162048,2035,2774
2020-07-21,67112,45986,10224,166146,2043,2785
2020-07-22,67934,46769,10348,170315,2051,2796
2020-07-23,68812,47555,10462,174555,2057,2806
2020-07-24,69720,48348,10618,178866,2065,2816
2020-07-25,70688,49145,10752,183249,2073,2825
2020-07-26,71797,49951,10874,187704,2078,2834
2020-07-27,72668,50765,11124,192232,2085,2843
2020-07-28,73539,51590,11380,196834,2100,2851
2020-07-29,74201,52425,11642,201511,2120,2859
2020-07-30,75011,53273,11771,206263,2146,2867
2020-07-31,75798,54131,11890,211092,2176,2874
2020-08-01,76600,55001,12017,215999,2206,2881
2020-08-02,77543,55882,12123,220985,2230,2888
2020-08-03,78558,56777,12249,226051,2239,2894
2020-08-04,79494,57686,12387,231198,2254,2900
2020-08-05,80269,58610,12514,236427,2272,2906
2020-08-06,81343,59548,12627,241740,2296,2911
2020-08-07,82600,60498,12734,247138,2312,2916
2020-08-08,83901,61460,12830,252622,2321,2921
