date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,959,2058,265,325,29,29
2020-04-13,976,2135,278,455,30,30
2020-04-14,1016,2155,313,590,34,31
2020-04-15,1062,2164,337,726,38,32
2020-04-16,1116,2165,363,862,42,33
2020-04-17,1202,2160,377,998,47,34
2020-04-18,1287,2151,409,1134,50,35
2020-04-19,1370,2140,444,1270,57,36
2020-04-20,1382,2128,484,1405,63,37
2020-04-21,1477,2115,505,1539,68,38
2020-04-22,1588,2101,525,1672,73,39
2020-04-23,1726,2086,567,1804,77,40
2020-04-24,1832,2071,603,1936,85,41
2020-04-25,1904,2055,638,2067,93,42
2020-04-26,1991,2039,646,2197,100,43
2020-04-27,2082,2022,655,2326,104,44
2020-04-28,2224,2006,673,2453,107,45
2020-04-29,2385,1991,701,2579,113,46
2020-04-30,2524,1976,733,2705,122,47
2020-05-01,2663,1961,759,2830,130,48
2020-05-02,2773,1946,785,2954,140,49
2020-05-03,2914,1930,809,3077,148,50
2020-05-04,3022,1914,828,3199,156,51
2020-05-05,3112,1900,879,3320,162,52
2020-05-06,3181,1886,959,3440,167,53
2020-05-07,3257,1872,1054,3559,174,54
2020-05-08,3338,1859,1129,3677,181,55
2020-05-09,3387,1846,1194,3794,190,56
2020-05-10,3457,1833,1247,3910,199,57
2020-05-11,3555,1828,1284,4026,209,58
2020-05-12,3657,1827,1339,4141,219,59
2020-05-13,3713,1829,1416,4256,230,60
2020-05-14,3759,1832,1508,4371,242,61
2020-05-15,3832,1838,1587,4486,251,62
2020-05-16,3894,1847,1662,4602,259,63
2020-05-17,3975,1854,1721,4718,264,64
2020-05-18,4042,1862,1763,4835,270,65
2020-05-19,4114,1871,1811,4952,276,66
2020-05-20,4156,1880,1887,5070,284,67
2020-05-21,4207,1892,1969,5189,295,68
2020-05-22,4210,1908,2058,5308,306,69
2020-05-23,4235,1928,2182,5428,314,70
2020-05-24,4223,1946,2323,5550,318,71
2020-05-25,4266,1986,2447,5673,320,72
2020-05-26,4296,2032,2516,5798,324,73
2020-05-27,4345,2079,2574,5926,329,74
2020-05-28,4405,2128,2628,6057,336,75
2020-05-29,4467,2185,2683,6191,343,76
2020-05-30,4503,2257,2749,6329,350,77
2020-05-31,4543,2334,2805,6471,356,78
2020-06-01,4618,2397,2858,6618,361,79
2020-06-02,4720,2454,2900,6769,368,80
2020-06-03,4844,2516,2953,6924,375,81
2020-06-04,4978,2574,3029,7083,381,82
2020-06-05,5110,2631,3111,7245,387,83
2020-06-06,5211,2694,3202,7411,391,84
2020-06-07,5272,2761,3266,7581,396,85
2020-06-08,5311,2773,3324,7755,400,86
2020-06-09,5273,2772,3462,7930,404,87
2020-06-10,5199,2763,3628,8105,413,88
2020-06-11,5115,2744,3844,8279,422,89
2020-06-12,5107,2717,3968,8452,429,90
2020-06-13,5134,2685,4057,8623,432,91
2020-06-14,5208,2645,4086,8792,435,92
2020-06-15,5278,2601,4115,8959,440,93
2020-06-16,5338,2557,4163,9123,446,94
2020-06-17,5357,2515,4242,9284,451,95
2020-06-18,5367,2471,4335,9443,457,96
2020-06-19,5385,2428,4434,9599,462,97
2020-06-20,5397,2381,4554,9752,467,98
2020-06-21,5437,2328,4655,9902,471,99
2020-06-22,5493,2268,4732,10049,474,100
2020-06-23,5577,2209,4786,10192,477,101
2020-06-24,5660,2147,4866,10331,480,102
2020-06-25,5744,2078,4968,10466,484,103
2020-06-26,5858,2006,5060,10597,488,104
2020-06-27,5973,1921,5149,10723,490,105
2020-06-28,6090,1825,5221,10844,492,106
2020-06-29,6215,1723,5270,10959,494,107
2020-06-30,6322,1619,5317,11068,496,108
2020-07-01,6413,1525,5401,11170,500,109
2020-07-02,6509,1441,5511,11266,504,110
2020-07-03,6630,1350,5647,11357,509,111
2020-07-04,6760,1334,5758,11442,513,112
2020-07-05,6926,1249,5835,11526,514,113
2020-07-06,7111,1270,5869,11605,516,113
2020-07-07,7314,1189,5916,11685,520,114
2020-07-08,7493,1187,5979,11760,526,114
2020-07-09,7688,1112,6051,11835,533,114
2020-07-10,7870,1126,6116,11905,538,114
2020-07-11,8051,1055,6190,11976,542,114
2020-07-12,8227,1084,6258,12043,545,114
2020-07-13,8411,1015,6318,12111,548,114
2020-07-14,8625,1021,6371,12175,552,114
2020-07-15,8846,956,6429,12239,556,114
2020-07-16,9083,950,6501,12299,561,114
2020-07-17,9302,890,6576,12359,565,114
2020-07-18,9497,904,6656,12415,568,114
2020-07-19,9684,847,6718,12472,572,114
2020-07-20,9884,823,6771,12525,579,114
2020-07-21,10119,771,6816,12577,585,114
2020-07-22,10359,749,6886,12626,591,114
2020-07-23,10593,701,6966,12673,596,114
2020-07-24,10812,686,7062,12717,601,114
2020-07-25,11001,642,7160,12760,607,114
2020-07-26,11240,633,7257,12800,613,114
2020-07-27,11468,593,7358,12840,619,114
2020-07-28,11696,583,7488,12877,625,114
2020-07-29,11743,546,7731,12914,631,114
2020-07-30,11781,539,7957,12948,636,114
2020-07-31,11834,505,8118,12982,642,114
2020-08-01,11967,505,8188,13014,649,114
2020-08-02,12071,473,8256,13046,653,114
2020-08-03,12143,468,8364,13076,655,114
2020-08-04,12188,438,8497,13106,660,114
2020-08-05,12237,435,8658,13134,664,114
2020-08-06,12277,407,8821,13161,670,114
2020-08-07,12295,406,8981,13187,675,114
2020-08-08,12325,380,9126,13213,680,114
2020-08-09,12357,388,9249,13237,685,114
2020-08-10,12442,363,9336,13261,689,114
2020-08-11,12489,365,9453,13284,692,114
2020-08-12,12526,342,9594,13307,695,114
2020-08-13,12511,345,9778,13329,698,114
2020-08-14,12478,323,9968,13351,703,114
2020-08-15,12397,332,10184,13371,709,114
2020-08-16,12338,311,10351,13392,714,114
2020-08-17,12286,324,10491,13412,718,114
2020-08-18,12200,320,10686,13432,723,114
2020-08-19,12096,305,10935,13452,728,114
2020-08-20,12025,350,11172,13471,734,114
2020-08-21,12094,328,11284,13493,738,114
2020-08-22,12162,391,11360,13514,742,114
2020-08-23,12232,366,11436,13539,745,114
2020-08-24,12211,423,11555,13562,748,114
2020-08-25,12169,396,11705,13589,752,114
2020-08-26,12072,443,11923,13614,757,114
2020-08-27,11954,415,12182,13642,762,114
2020-08-28,11841,461,12439,13668,766,114
2020-08-29,11751,432,12648,13697,768,114
2020-08-30,11695,490,12804,13724,772,114
2020-08-31,11690,459,12897,13755,778,114
2020-09-01,11707,513,12982,13784,785,114
2020-09-02,11768,497,13071,13816,789,114
2020-09-03,11806,534,13178,13847,791,114
2020-09-04,11834,519,13291,13881,795,114
2020-09-05,11835,557,13385,13914,799,114
2020-09-06,11828,522,13467,13949,804,114
2020-09-07,11805,577,13531,13982,808,114
2020-09-08,11774,540,13611,14018,812,114
2020-09-09,11734,561,13744,14052,814,114
2020-09-10,11689,525,13916,14087,815,114
2020-09-11,11625,561,14108,14120,818,114
2020-09-12,11576,525,14264,14155,821,114
2020-09-13,11570,584,14359,14188,825,114
2020-09-14,11590,547,14424,14225,828,114
2020-09-15,11602,606,14503,14259,830,114
2020-09-16,11574,585,14648,14297,832,114
2020-09-17,11500,630,14860,14334,836,114
2020-09-18,11444,610,15068,14374,841,114
2020-09-19,11401,658,15234,14412,845,114
2020-09-20,11406,639,15336,14453,849,114
2020-09-21,11409,698,15424,14493,851,114
2020-09-22,11461,699,15505,14537,854,114
2020-09-23,11553,746,15591,14581,856,114
2020-09-24,11679,750,15693,14628,860,114
2020-09-25,11764,782,15838,14675,865,114
2020-09-26,11787,792,16018,14724,869,114
2020-09-27,11791,845,16177,14774,872,114
2020-09-28,11811,888,16311,14827,873,114
2020-09-29,11888,950,16429,14883,875,114
2020-09-30,11987,995,16552,14943,878,114
2020-10-01,12096,1044,16720,15006,882,114
2020-10-02,12215,1090,16884,15072,886,114
2020-10-03,12305,1137,17063,15141,889,114
2020-10-04,12398,1178,17178,15213,892,114
2020-10-05,12521,1219,17270,15287,894,114
2020-10-06,12725,1254,17363,15364,895,114
2020-10-07,12933,1281,17528,15443,897,114
2020-10-08,13124,1303,17766,15524,899,114
2020-10-09,13289,1328,18048,15606,902,114
2020-10-10,13409,1355,18333,15690,906,115
2020-10-11,13566,1390,18545,15775,911,116
2020-10-12,13741,1433,18697,15863,914,117
2020-10-13,14060,1470,18810,15953,918,118
2020-10-14,14441,1488,18959,16046,920,119
2020-10-15,14902,1505,19181,16140,923,120
2020-10-16,15365,1515,19399,16235,926,121
2020-10-17,15729,1536,19641,16331,930,122
2020-10-18,16093,1558,19786,16428,932,123
2020-10-19,16475,1605,19916,16526,937,124
2020-10-20,17009,1648,20020,16627,942,125
2020-10-21,17548,1698,20166,16731,948,126
2020-10-22,18113,1752,20353,16838,954,127
2020-10-23,18720,1819,20516,16948,959,128
2020-10-24,19399,1896,20660,17063,964,129
2020-10-25,20108,1998,20752,17183,969,130
2020-10-26,20728,2114,20837,17309,974,131
2020-10-27,21275,2243,20936,17442,982,132
2020-10-28,21913,2373,21065,17583,988,133
2020-10-29,22657,2508,21225,17733,997,134
2020-10-30,23393,2644,21368,17891,1006,135
2020-10-31,24043,2807,21483,18058,1017,136
2020-11-01,24688,3011,21561,18235,1026,137
2020-11-02,25507,3256,21650,18425,1035,138
2020-11-03,26378,3518,21774,18630,1046,139
2020-11-04,27147,3783,21991,18852,1062,140
2020-11-05,27950,4046,22225,19090,1076,141
2020-11-06,28786,4324,22514,19345,1091,143
2020-11-07,29759,4616,22786,19618,1103,145
2020-11-08,30796,4950,23034,19909,1117,147
2020-11-09,31859,5327,23250,20221,1130,149
2020-11-10,33013,5728,23466,20557,1144,151
2020-11-11,34236,6122,23724,20918,1159,153
2020-11-12,35426,6479,24002,21304,1177,155
2020-11-13,36550,6841,24240,21712,1194,157
2020-11-14,37410,7240,24509,22143,1207,160
2020-11-15,38281,7688,24775,22599,1219,163
2020-11-16,39404,8200,25096,23084,1238,166
2020-11-17,40780,8747,25778,23601,1263,169
2020-11-18,42788,9265,26635,24152,1285,172
2020-11-19,45042,9765,27541,24736,1305,175
2020-11-20,47438,10277,28121,25352,1325,179
2020-11-21,49606,10834,28520,26000,1352,183
2020-11-22,51580,11459,28871,26683,1377,187
2020-11-23,53492,12115,29202,27405,1403,191
2020-11-24,55099,12673,29640,28169,1426,196
2020-11-25,56428,13151,30171,28968,1449,201
2020-11-26,57759,13581,30683,29797,1474,206
2020-11-27,59256,13981,31120,30653,1500,211
2020-11-28,60683,14343,31544,31534,1523,216
2020-11-29,61920,14709,32033,32438,1545,221
2020-11-30,63053,15101,32692,33365,1565,226
2020-12-01,64085,15499,33479,34317,1595,232
2020-12-02,65102,15860,34349,35294,1630,238
2020-12-03,66128,16167,35123,36294,1669,244
2020-12-04,67397,16434,35782,37313,1705,250
2020-12-05,68492,16677,36403,38349,1731,256
2020-12-06,69032,16916,37507,39400,1758,262
2020-12-07,68809,17165,38731,40466,1787,268
2020-12-08,69401,17419,39736,41548,1811,274
2020-12-09,70281,17654,40431,42646,1830,280
2020-12-10,71680,17867,41216,43759,1852,287
2020-12-11,72442,18068,42227,44885,1882,294
2020-12-12,73110,18253,43212,46024,1919,301
2020-12-13,73295,18441,44575,47175,1949,308
2020-12-14,72992,18648,46246,48338,1980,315
2020-12-15,72653,18857,48073,49514,2011,322
2020-12-16,72768,19056,49499,50703,2052,329
2020-12-17,73031,19257,50843,51904,2093,336
2020-12-18,73297,19463,52066,53118,2128,343
2020-12-19,73399,19670,53257,54345,2151,350
