date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,22959,22419,440,816,1540,1603
2020-04-13,23539,21913,471,1183,1616,1664
2020-04-14,24603,21427,532,1542,1763,1724
2020-04-15,25472,20977,589,1893,1895,1783
2020-04-16,26294,20541,621,2237,2048,1840
2020-04-17,25960,20126,1737,2573,2177,1896
2020-04-18,25342,19724,3096,2903,2308,1951
2020-04-19,24321,19352,4695,3226,2389,2005
2020-04-20,24128,19003,5424,3543,2478,2058
2020-04-21,24105,18683,6154,3854,2618,2110
2020-04-22,24305,18387,6883,4160,2788,2161
2020-04-23,24731,18106,7612,4461,2958,2211
2020-04-24,24818,17836,8447,4758,3072,2260
2020-04-25,24592,17580,9387,5050,3185,2308
2020-04-26,23963,17319,10432,5338,3292,2355
2020-04-27,23509,17092,11477,5622,3430,2401
2020-04-28,23219,16868,12523,5902,3548,2447
2020-04-29,23103,16681,13568,6178,3675,2492
2020-04-30,22990,16503,14613,6451,3775,2536
2020-05-01,22777,16379,15645,6721,3892,2580
2020-05-02,22479,16229,16662,6989,3980,2623
2020-05-03,21929,16096,17666,7255,4071,2666
2020-05-04,21285,16040,18670,7519,4125,2708
2020-05-05,20674,15993,19674,7782,4192,2750
2020-05-06,20186,15946,20678,8044,4261,2792
2020-05-07,19755,15919,21682,8305,4333,2833
2020-05-08,19276,15908,22615,8566,4424,2874
2020-05-09,18822,15881,23478,8827,4494,2915
2020-05-10,18356,15835,24271,9087,4556,2956
2020-05-11,17918,15839,25063,9346,4604,2996
2020-05-12,17475,15850,25856,9605,4657,3036
2020-05-13,17291,15859,26648,9865,4725,3076
2020-05-14,17134,15889,27441,10125,4775,3116
2020-05-15,17031,15921,28204,10385,4831,3155
2020-05-16,16783,15943,28938,10646,4865,3194
2020-05-17,16660,15952,29643,10907,4895,3233
2020-05-18,16513,15986,30348,11168,4941,3272
2020-05-19,16374,16034,31053,11430,4997,3311
2020-05-20,16130,16077,31758,11693,5068,3350
2020-05-21,15899,16113,32463,11956,5115,3388
2020-05-22,15592,16142,33167,12220,5170,3426
2020-05-23,15244,16132,33872,12484,5203,3464
2020-05-24,14835,16153,34576,12748,5230,3502
2020-05-25,14362,16203,35281,13013,5245,3539
2020-05-26,13932,16341,35985,13278,5280,3576
2020-05-27,13561,16498,36690,13546,5324,3613
2020-05-28,13317,16660,37394,13816,5370,3650
2020-05-29,13069,16846,38051,14089,5414,3687
2020-05-30,12880,17071,38662,14365,5453,3725
2020-05-31,12584,17178,39225,14645,5490,3763
2020-06-01,12245,17290,39788,14926,5520,3801
2020-06-02,11869,17413,40351,15209,5546,3839
2020-06-03,11516,17584,40914,15494,5572,3876
2020-06-04,12867,17773,41477,15782,5673,3913
2020-06-05,14309,17997,41992,16073,5781,3951
2020-06-06,15878,18241,42458,16368,5882,3989
2020-06-07,15829,18590,42876,16667,5902,4027
2020-06-08,15650,18881,43293,16971,5920,4065
2020-06-09,15391,19140,43711,17280,5939,4103
2020-06-10,15119,19410,44128,17594,5962,4141
2020-06-11,14912,19691,44546,17912,5976,4180
2020-06-12,14626,20059,45030,18235,5996,4219
2020-06-13,14266,20420,45582,18564,6006,4258
2020-06-14,13776,20458,46200,18898,6015,4297
2020-06-15,13296,20483,46818,19233,6022,4336
2020-06-16,12818,20513,47436,19569,6029,4374
2020-06-17,12424,20563,48054,19905,6043,4412
2020-06-18,12071,20652,48672,20242,6054,4450
2020-06-19,11905,20729,49170,20580,6071,4487
2020-06-20,11822,20728,49548,20920,6081,4524
2020-06-21,11840,20601,49806,21260,6091,4561
2020-06-22,11792,20573,50065,21597,6098,4597
2020-06-23,11807,20528,50323,21934,6106,4632
2020-06-24,11880,20475,50582,22270,6118,4667
2020-06-25,11990,20450,50840,22605,6127,4701
2020-06-26,12097,20454,51095,22940,6140,4735
2020-06-27,12156,20432,51347,23275,6148,4768
2020-06-28,12196,20477,51596,23610,6157,4801
2020-06-29,12284,20524,51845,23945,6170,4834
2020-06-30,12402,20579,52094,24281,6184,4866
2020-07-01,12621,20616,52343,24618,6201,4898
2020-07-02,12847,20614,52592,24956,6208,4929
2020-07-03,13123,20495,52806,25294,6215,4960
