date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,7619,9567,2141,2170,330,334
2020-04-13,7808,10033,2287,2209,344,339
2020-04-14,8080,11461,2666,2252,377,345
2020-04-15,8262,12085,3135,2304,412,352
2020-04-16,8330,13329,3672,2362,450,359
2020-04-17,8292,14065,4224,2430,482,367
2020-04-18,8130,15183,4776,2505,509,375
2020-04-19,8122,15971,5282,2591,530,384
2020-04-20,8160,17027,5842,2687,554,394
2020-04-21,8258,17973,6511,2795,578,405
2020-04-22,8245,19094,7284,2915,612,416
2020-04-23,8141,20095,8174,3050,641,428
2020-04-24,7995,21187,9055,3200,668,441
2020-04-25,7656,22206,9968,3367,685,455
2020-04-26,7752,23287,10639,3551,703,470
2020-04-27,7958,24286,11239,3755,732,486
2020-04-28,8255,25355,12090,3979,767,503
2020-04-29,8332,26361,13074,4225,811,521
2020-04-30,8801,27449,13852,4493,849,540
2020-05-01,9260,28464,14378,4787,897,560
2020-05-02,9533,29500,14852,5107,937,581
2020-05-03,9512,30513,15508,5455,974,603
2020-05-04,9599,31464,16141,5832,996,626
2020-05-05,9927,32393,16834,6239,1019,650
2020-05-06,10325,33326,17617,6678,1044,675
2020-05-07,10878,34235,18419,7150,1075,701
2020-05-08,11514,35139,19259,7657,1109,728
2020-05-09,11779,36037,20120,8200,1145,757
2020-05-10,11588,37247,21259,8781,1177,787
2020-05-11,11393,38431,22385,9407,1209,818
2020-05-12,11609,39592,23218,10080,1237,850
2020-05-13,11957,40755,23841,10801,1278,884
2020-05-14,12018,41918,24486,11572,1323,919
2020-05-15,11988,43031,25514,12395,1373,956
2020-05-16,11935,44155,26541,13272,1409,994
2020-05-17,12079,45078,27514,14204,1434,1034
2020-05-18,12178,45831,28433,15189,1458,1075
2020-05-19,12294,46533,29504,16225,1487,1117
2020-05-20,12416,47181,30454,17311,1520,1160
2020-05-21,12735,47755,31076,18448,1545,1204
2020-05-22,12935,48305,31574,19634,1561,1249
2020-05-23,12820,48889,32295,20870,1583,1295
2020-05-24,12014,49277,33651,22157,1605,1342
2020-05-25,11470,49571,35017,23490,1627,1390
2020-05-26,10963,49753,36431,24867,1647,1439
2020-05-27,10814,49935,37635,26285,1670,1489
2020-05-28,10229,50092,39258,27744,1694,1540
2020-05-29,9654,50201,40857,29242,1720,1591
2020-05-30,9284,50383,42030,30778,1743,1643
2020-05-31,9446,50598,42728,32353,1765,1695
2020-06-01,9881,50815,43426,33968,1784,1748
2020-06-02,10034,51103,44571,35623,1808,1802
2020-06-03,12386,51456,45724,37319,1841,1857
2020-06-04,15230,51811,46840,39059,1871,1913
2020-06-05,18192,52314,47853,40841,1900,1969
2020-06-06,18448,53033,49069,42671,1921,2026
2020-06-07,18293,53331,50161,44556,1937,2085
2020-06-08,19431,53304,50909,46480,1950,2145
2020-06-09,21554,53207,51576,48431,1970,2205
2020-06-10,23433,53033,52561,50406,1996,2265
2020-06-11,24473,52887,53934,52400,2024,2326
2020-06-12,24905,52820,55296,54413,2050,2387
2020-06-13,25162,52859,56711,56448,2072,2448
2020-06-14,26077,53104,57988,58507,2092,2510
2020-06-15,27826,53100,59370,60598,2122,2573
2020-06-16,30514,53015,60712,62710,2159,2636
2020-06-17,32561,52842,62287,64838,2198,2699
2020-06-18,34594,52618,63836,66979,2231,2763
2020-06-19,36556,52423,65412,69129,2262,2827
2020-06-20,38432,52239,66974,71288,2286,2891
2020-06-21,40494,54277,68261,73456,2309,2955
2020-06-22,43446,56387,69467,75725,2330,3022
2020-06-23,47218,58542,70934,78099,2360,3092
2020-06-24,50962,60825,72702,80579,2398,3165
2020-06-25,55537,63327,74558,83172,2440,3241
2020-06-26,59940,65866,76342,85887,2482,3321
2020-06-27,64531,68628,78168,88726,2518,3404
2020-06-28,69048,70286,79852,91700,2550,3491
2020-06-29,73816,71668,82042,94760,2578,3581
2020-06-30,78855,72949,84569,97895,2616,3673
2020-07-01,82345,74323,87698,101099,2662,3767
2020-07-02,85823,75892,90616,104377,2715,3863
2020-07-03,87947,77861,93907,107737,2762,3962
2020-07-04,90608,79856,97281,111196,2805,4064
2020-07-05,93564,81363,100685,114756,2847,4169
2020-07-06,97541,82427,104370,118395,2910,4276
2020-07-07,102141,83193,108517,122092,2989,4385
2020-07-08,106832,83781,113365,125834,3100,4495
2020-07-09,112219,84527,118202,129613,3197,4606
2020-07-10,116554,85338,123067,133435,3293,4719
2020-07-11,119727,86342,127838,137303,3371,4833
2020-07-12,123368,87130,132312,141225,3454,4949
2020-07-13,127112,87457,137151,145191,3540,5066
2020-07-14,131254,87670,142697,149179,3646,5184
2020-07-15,133639,87919,149203,153185,3779,5303
2020-07-16,134936,88197,155801,157209,3936,5422
2020-07-17,136278,88574,162569,161252,4088,5542
2020-07-18,137912,89149,168236,165319,4210,5662
2020-07-19,141193,89656,173462,169418,4319,5783
2020-07-20,143895,90001,179112,173546,4416,5905
2020-07-21,145877,90253,186571,177695,4576,6028
2020-07-22,146488,90464,195223,181860,4750,6151
2020-07-23,146735,90784,203785,186040,4960,6275
2020-07-24,145599,91206,212517,190239,5137,6399
2020-07-25,140625,91787,223501,194462,5304,6524
2020-07-26,136375,92374,234245,198715,5636,6650
2020-07-27,136725,92893,241892,202999,5988,6777
