date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,3319,20553,186,194,118,120
2020-04-13,3356,19996,207,244,122,131
2020-04-14,3401,24065,294,293,131,142
2020-04-15,3498,23359,364,351,141,155
2020-04-16,3547,24454,537,408,153,168
2020-04-17,3584,23611,740,467,166,182
2020-04-18,3627,23963,918,524,177,195
2020-04-19,3657,23303,1066,582,185,209
2020-04-20,3735,23705,1156,639,194,223
2020-04-21,3809,23267,1246,697,210,237
2020-04-22,4001,23504,1270,753,229,251
2020-04-23,4229,23094,1286,810,248,265
2020-04-24,4459,23067,1313,866,262,279
2020-04-25,4666,22568,1347,922,275,293
2020-04-26,4848,22532,1382,977,285,307
2020-04-27,5024,22419,1417,1032,297,321
2020-04-28,5212,22610,1447,1086,304,335
2020-04-29,5487,22580,1474,1141,312,349
2020-04-30,5787,22611,1500,1196,324,363
2020-05-01,6124,22415,1530,1251,342,377
2020-05-02,6399,22208,1563,1305,362,391
2020-05-03,6666,22045,1598,1359,378,405
2020-05-04,6934,22095,1633,1412,389,419
2020-05-05,7242,22239,1665,1466,405,434
2020-05-06,7534,22382,1695,1520,423,449
2020-05-07,7875,22498,1720,1574,464,464
2020-05-08,7927,22435,2051,1629,499,479
2020-05-09,7938,22396,2402,1683,528,494
2020-05-10,7848,22336,2770,1737,536,509
2020-05-11,8021,22470,2845,1791,546,524
2020-05-12,8299,22600,2913,1846,566,539
2020-05-13,8628,22738,2987,1901,593,555
2020-05-14,8997,22722,3066,1956,623,571
2020-05-15,9326,22500,3192,2011,651,587
2020-05-16,9606,22111,3317,2066,670,603
2020-05-17,9798,21887,3459,2120,682,619
2020-05-18,9982,21885,3571,2173,690,634
2020-05-19,10172,22021,3678,2226,713,650
2020-05-20,10426,21981,3779,2279,738,666
2020-05-21,10666,21853,3864,2332,762,682
2020-05-22,10943,21233,3951,2385,781,698
2020-05-23,11185,20535,4038,2437,795,713
2020-05-24,11406,20542,4123,2487,806,728
2020-05-25,11586,20901,4211,2537,808,743
2020-05-26,11815,21602,4287,2588,817,758
2020-05-27,12149,22488,4370,2640,834,774
2020-05-28,12575,23186,4454,2695,860,790
2020-05-29,13099,23927,4553,2751,883,807
2020-05-30,13667,24491,4656,2809,899,825
2020-05-31,14103,24923,4762,2868,909,843
2020-06-01,14656,25476,4865,2928,922,861
2020-06-02,15331,26183,4970,2990,948,880
2020-06-03,16122,26769,5071,3054,975,899
2020-06-04,17046,27412,5182,3119,999,919
2020-06-05,17950,27712,5289,3186,1019,939
2020-06-06,19186,28092,5404,3253,1036,960
2020-06-07,20139,28243,5518,3321,1049,981
2020-06-08,20954,28936,5640,3390,1060,1002
2020-06-09,21781,29634,5751,3460,1076,1023
2020-06-10,22798,30322,5903,3532,1104,1045
2020-06-11,24205,30710,6051,3606,1130,1068
2020-06-12,25658,30955,6170,3681,1160,1091
2020-06-13,27040,30905,6250,3756,1178,1114
2020-06-14,28208,30671,6334,3831,1194,1137
2020-06-15,29574,30842,6464,3905,1207,1160
2020-06-16,31171,31215,6591,3980,1226,1183
