date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,3806,4054,1587,1658,105,107
2020-04-13,3769,4401,1714,1736,111,110
2020-04-14,3748,4791,1945,1823,122,113
2020-04-15,3610,5189,2317,1921,133,116
2020-04-16,3546,5593,2666,2031,139,119
2020-04-17,3458,5968,3012,2153,142,123
2020-04-18,3525,6336,3198,2288,145,127
2020-04-19,3570,6621,3384,2436,148,131
2020-04-20,3639,6899,3582,2595,152,135
2020-04-21,3756,7182,3805,2766,158,140
2020-04-22,3957,7446,4011,2949,164,145
2020-04-23,4246,7676,4191,3144,168,150
2020-04-24,4497,7924,4343,3351,172,155
2020-04-25,4739,8156,4454,3571,175,160
2020-04-26,4914,8361,4571,3804,181,165
2020-04-27,5050,8538,4722,4049,184,171
2020-04-28,5152,8699,4994,4306,189,177
2020-04-29,5485,8831,5270,4575,194,183
2020-04-30,6052,8983,5478,4856,199,189
2020-05-01,6591,9111,5603,5149,204,195
2020-05-02,6958,9228,5692,5454,207,201
2020-05-03,7080,9323,5871,5770,212,207
2020-05-04,7151,9386,6083,6097,218,214
2020-05-05,7144,9452,6333,6435,228,221
2020-05-06,7184,9519,6567,6783,234,228
2020-05-07,7242,9591,6786,7141,239,235
2020-05-08,7250,9632,7054,7510,240,242
2020-05-09,7229,9666,7302,7889,242,249
2020-05-10,7230,9565,7645,8278,245,256
2020-05-11,7400,9452,7967,8671,252,263
2020-05-12,7547,9340,8332,9067,262,270
2020-05-13,7680,9202,8613,9466,274,277
2020-05-14,7614,9088,8928,9867,283,284
2020-05-15,7543,8898,9230,10271,290,291
2020-05-16,7590,8704,9487,10673,294,298
2020-05-17,7741,8693,9689,11074,298,304
2020-05-18,7640,8710,10169,11481,301,310
2020-05-19,7238,8728,10879,11896,305,317
2020-05-20,6791,8746,11647,12319,309,324
2020-05-21,6597,8719,12180,12750,312,331
2020-05-22,6666,8625,12500,13186,319,338
2020-05-23,6821,8479,12716,13624,326,345
2020-05-24,7091,8476,12885,14061,334,351
2020-05-25,7314,8563,13084,14505,339,358
2020-05-26,7336,8657,13444,14959,344,365
2020-05-27,7198,8716,13964,15425,350,372
2020-05-28,6999,8723,14504,15900,356,379
2020-05-29,6996,8687,14930,16382,360,386
2020-05-30,7201,8608,15152,16868,364,393
2020-05-31,7554,8765,15352,17355,366,400
2020-06-01,7926,8989,15593,17857,371,407
2020-06-02,8113,9297,15933,18377,378,414
2020-06-03,8150,9609,16292,18921,390,421
2020-06-04,8167,9906,16629,19489,399,429
2020-06-05,8292,10169,16897,20081,408,437
2020-06-06,8561,10527,17090,20695,414,445
2020-06-07,8804,10024,17303,21336,418,454
2020-06-08,9001,9649,17599,21952,424,462
2020-06-09,9064,9361,18030,22551,430,470
2020-06-10,9121,9084,18507,23137,437,478
2020-06-11,9168,8804,18977,23710,448,485
2020-06-12,9315,8455,19382,24270,460,492
2020-06-13,9564,8121,19684,24812,471,499
2020-06-14,9962,8193,19896,25336,476,506
2020-06-15,10269,8339,20222,25869,483,513
2020-06-16,10373,8472,20684,26415,491,520
2020-06-17,10439,8619,21313,26973,499,527
2020-06-18,10566,8701,21920,27545,510,534
2020-06-19,10782,8766,22439,28126,520,541
2020-06-20,10981,8980,22812,28715,525,548
2020-06-21,11173,9375,23157,29322,527,556
2020-06-22,11500,9647,23567,29959,533,564
2020-06-23,11774,9898,24109,30618,543,572
2020-06-24,12163,10113,24680,31297,555,581
2020-06-25,12550,10326,25242,31994,566,590
2020-06-26,12684,10441,25864,32710,577,599
2020-06-27,12745,10547,26425,33437,585,608
2020-06-28,13234,10502,26828,34174,590,617
2020-06-29,14239,10606,27174,34911,596,626
2020-06-30,15406,10757,27614,35659,601,635
2020-07-01,16395,10913,28273,36420,611,645
2020-07-02,17279,11018,28937,37195,620,655
2020-07-03,18251,11154,29524,37980,630,665
2020-07-04,19182,11198,29962,38778,638,675
2020-07-05,19921,9309,30439,39582,645,685
2020-07-06,20772,7963,31033,40252,654,693
2020-07-07,21486,6945,31861,40827,667,700
2020-07-08,22464,6132,32724,41330,686,706
2020-07-09,23274,5464,33695,41775,706,712
2020-07-10,24003,4838,34594,42173,723,717
2020-07-11,25061,4280,35343,42526,734,721
2020-07-12,26069,4090,36095,42839,742,725
2020-07-13,27191,3952,37041,43139,752,729
2020-07-14,27790,3843,38375,43430,766,733
2020-07-15,28679,3736,39793,43713,782,737
2020-07-16,29504,3634,41280,43989,798,740
2020-07-17,30595,3548,42563,44258,816,743
2020-07-18,31489,3465,43586,44521,832,746
2020-07-19,32023,5488,44666,44778,842,749
2020-07-20,32596,6909,46048,45186,853,754
2020-07-21,32874,8071,47858,45701,868,761
2020-07-22,33495,9017,49753,46304,894,769
2020-07-23,33872,9897,51464,46978,917,778
2020-07-24,34969,10819,52817,47719,942,787
2020-07-25,36336,11662,53840,48531,956,797
2020-07-26,36512,13212,56074,49407,969,808
2020-07-27,35955,14437,58847,50401,981,821
2020-07-28,35322,15566,61314,51488,999,835
2020-07-29,36191,16662,62830,52662,1017,850
2020-07-30,36917,17732,64240,53920,1037,866
2020-07-31,37542,19036,66080,55260,1053,883
2020-08-01,37771,20044,67493,56700,1066,902
2020-08-02,37923,18313,69000,58218,1077,922
2020-08-03,37568,16975,70869,59606,1094,940
2020-08-04,36805,15909,73229,60894,1117,957
2020-08-05,36479,15034,75455,62102,1149,973
2020-08-06,36363,14274,77488,63245,1178,988
2020-08-07,36941,13559,79085,64331,1202,1002
2020-08-08,37595,12981,80231,65363,1214,1015
2020-08-09,37834,12747,81502,66352,1223,1028
2020-08-10,37577,12679,83160,67324,1242,1041
2020-08-11,36769,12623,85257,68291,1264,1054
2020-08-12,36594,12605,87251,69255,1291,1067
2020-08-13,36277,12563,89254,70218,1309,1080
2020-08-14,36584,12540,90858,71178,1328,1093
