date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,2956,3074,279,293,149,151
2020-04-13,2913,3213,372,316,156,153
2020-04-14,2841,3368,558,354,169,155
2020-04-15,2790,3496,744,412,183,157
2020-04-16,2757,3609,931,497,195,159
2020-04-17,2720,3686,1117,613,205,162
2020-04-18,2684,3716,1303,760,212,165
2020-04-19,2639,3722,1489,933,220,168
2020-04-20,2583,3729,1676,1127,231,171
2020-04-21,2554,3738,1862,1335,240,174
2020-04-22,2542,3740,2048,1554,250,177
2020-04-23,2594,3739,2234,1779,256,180
2020-04-24,2683,3727,2420,2008,262,183
2020-04-25,2777,3687,2607,2239,267,186
2020-04-26,2827,3647,2793,2469,273,189
2020-04-27,2831,3643,2979,2697,284,192
2020-04-28,2835,3642,3165,2925,296,195
2020-04-29,2899,3640,3347,3154,308,198
2020-04-30,3054,3641,3525,3383,317,201
2020-05-01,3311,3628,3640,3612,325,204
2020-05-02,3607,3587,3706,3840,333,207
2020-05-03,3818,3555,3798,4066,337,209
2020-05-04,3969,3567,3942,4290,344,211
2020-05-05,4066,3592,4150,4515,351,213
2020-05-06,4198,3628,4333,4741,363,215
2020-05-07,4342,3670,4520,4969,373,218
2020-05-08,4500,3695,4696,5200,385,221
2020-05-09,4661,3704,4861,5433,394,224
2020-05-10,4769,3667,5021,5666,402,227
2020-05-11,4820,3660,5187,5897,409,230
2020-05-12,4821,3658,5406,6127,416,233
2020-05-13,4826,3665,5679,6357,424,236
2020-05-14,4882,3667,5972,6588,433,239
2020-05-15,4968,3642,6302,6819,445,242
2020-05-16,5119,3611,6566,7048,453,245
2020-05-17,5269,3620,6745,7275,458,248
2020-05-18,5263,3666,6981,7503,461,251
2020-05-19,5231,3708,7295,7734,469,254
2020-05-20,5213,3749,7703,7967,478,257
2020-05-21,5376,3780,8034,8203,488,260
2020-05-22,5536,3787,8354,8441,496,263
2020-05-23,5663,3754,8683,8679,504,266
2020-05-24,5772,3762,8964,8915,510,269
2020-05-25,5858,3787,9203,9152,513,272
2020-05-26,5960,3876,9486,9390,523,275
2020-05-27,6020,3959,9878,9634,535,278
2020-05-28,6125,4018,10370,9883,552,281
2020-05-29,6202,4051,10867,10136,568,284
2020-05-30,6243,4034,11288,10391,582,287
2020-05-31,6194,4088,11607,10645,591,290
2020-06-01,6003,4209,12020,10902,598,293
2020-06-02,5883,4374,12464,11167,606,296
2020-06-03,5942,4546,12845,11442,616,299
2020-06-04,6123,4713,13099,11728,625,302
2020-06-05,6241,4865,13362,12025,634,305
2020-06-06,6192,4974,13718,12331,641,308
2020-06-07,6149,4675,14019,12644,646,311
2020-06-08,6119,4470,14290,12938,651,314
2020-06-09,6046,4297,14608,13219,659,317
2020-06-10,5962,4145,14976,13489,671,320
2020-06-11,5865,3990,15376,13750,680,323
2020-06-12,5756,3821,15787,14001,687,326
2020-06-13,5627,3652,16190,14242,690,329
2020-06-14,5502,3573,16542,14472,692,332
2020-06-15,5427,3552,16839,14697,696,334
2020-06-16,5302,3534,17190,14921,703,336
2020-06-17,5053,3512,17746,15143,711,338
2020-06-18,4753,3502,18355,15364,720,340
2020-06-19,4657,3465,18801,15584,731,342
2020-06-20,4695,3416,19070,15802,739,344
2020-06-21,4796,3535,19268,16017,744,346
2020-06-22,4758,3674,19568,16240,746,348
2020-06-23,4799,3814,19838,16471,750,351
2020-06-24,4838,3953,20176,16711,759,354
2020-06-25,4860,4104,20617,16960,768,357
2020-06-26,4866,4248,21112,17218,775,360
2020-06-27,4902,4344,21577,17485,779,363
2020-06-28,4989,5480,21925,17758,781,366
2020-06-29,5118,6415,22252,18103,783,370
2020-06-30,5223,7278,22631,18507,784,374
2020-07-01,5344,8051,23067,18965,787,379
2020-07-02,5406,8807,23553,19472,792,385
2020-07-03,5553,9550,24020,20026,797,391
2020-07-04,5706,10109,24477,20627,800,398
2020-07-05,5885,9228,24877,21263,802,405
2020-07-06,5961,8706,25299,21844,804,411
2020-07-07,6017,8278,25768,22392,805,417
2020-07-08,6114,7907,26285,22913,807,423
2020-07-09,6320,7556,26808,23411,810,428
2020-07-10,6623,7182,27343,23887,814,433
2020-07-11,6955,6819,27852,24339,819,438
2020-07-12,7234,6652,28299,24768,823,443
2020-07-13,7519,6613,28754,25187,825,448
2020-07-14,7743,6552,29289,25603,826,453
2020-07-15,8008,6542,29917,26015,828,458
2020-07-16,8212,6557,30578,26427,830,463
2020-07-17,8432,6514,31272,26840,835,468
2020-07-18,8632,6417,31963,27250,840,473
2020-07-19,8841,6528,32587,27654,844,477
2020-07-20,9087,6712,33220,28065,849,482
2020-07-21,9240,6898,33904,28488,856,487
2020-07-22,9396,7097,34695,28922,869,492
2020-07-23,9502,7318,35505,29369,880,497
2020-07-24,9633,7530,36374,29830,888,502
2020-07-25,9783,7704,37197,30304,891,507
2020-07-26,9849,8269,37963,30789,892,512
2020-07-27,9872,8870,38705,31310,897,518
2020-07-28,9792,9346,39520,31868,903,524
2020-07-29,9784,9818,40416,32456,912,530
2020-07-30,9761,10305,41350,33074,921,537
2020-07-31,9777,10838,42306,33723,933,544
2020-08-01,9824,11242,43188,34405,943,552
2020-08-02,9889,10937,43914,35113,948,560
2020-08-03,9875,10823,44609,35801,952,568
2020-08-04,9753,10781,45395,36482,960,576
2020-08-05,9652,10756,46304,37161,969,583
2020-08-06,9588,10742,47262,37838,979,590
2020-08-07,9589,10724,48249,38514,988,597
2020-08-08,9570,10645,49185,39189,996,604
2020-08-09,9524,10514,49991,39859,1001,611
2020-08-10,9414,10498,50715,40521,1004,618
2020-08-11,9207,10518,51489,41182,1007,625
2020-08-12,9059,10617,52348,41844,1011,632
2020-08-13,8958,10684,53256,42512,1018,639
2020-08-14,8939,10758,54197,43185,1027,646
2020-08-15,8861,10776,55111,43862,1036,653
2020-08-16,8701,10764,55918,44540,1045,660
2020-08-17,8336,10880,56655,45218,1053,667
2020-08-18,8162,10995,57409,45903,1057,675
2020-08-19,8011,11134,58234,46595,1062,683
2020-08-20,8071,11320,59125,47296,1065,691
2020-08-21,8006,11427,60021,48009,1073,699
2020-08-22,7860,11467,60902,48728,1081,707
