date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,959,1189,265,275,29,29
2020-04-13,976,1410,278,287,30,30
2020-04-14,1016,1603,313,301,34,31
2020-04-15,1062,1767,337,317,38,32
2020-04-16,1116,1909,363,335,42,33
2020-04-17,1202,2047,377,354,47,34
2020-04-18,1287,2148,409,375,50,35
2020-04-19,1370,2247,444,397,57,36
2020-04-20,1382,2346,484,420,63,37
2020-04-21,1477,2430,505,444,68,38
2020-04-22,1588,2486,525,468,73,39
2020-04-23,1726,2554,567,493,77,40
2020-04-24,1832,2618,603,519,85,41
2020-04-25,1904,2661,638,545,93,42
2020-04-26,1991,2710,646,572,100,43
2020-04-27,2082,2776,655,599,104,44
2020-04-28,2224,2830,673,627,107,45
2020-04-29,2385,2870,701,655,113,46
2020-04-30,2524,2913,733,684,122,47
2020-05-01,2663,2947,759,713,130,48
2020-05-02,2773,2966,785,743,140,50
2020-05-03,2914,2983,809,773,148,52
2020-05-04,3022,3048,828,803,156,54
2020-05-05,3112,3093,879,834,162,56
2020-05-06,3181,3125,959,865,167,58
2020-05-07,3257,3165,1054,896,174,60
2020-05-08,3338,3235,1129,928,181,62
2020-05-09,3387,3302,1194,960,190,64
2020-05-10,3457,3210,1247,993,199,66
2020-05-11,3555,3155,1284,1025,209,68
2020-05-12,3657,3079,1339,1057,219,70
2020-05-13,3713,3003,1416,1088,230,72
2020-05-14,3759,2953,1508,1118,242,74
2020-05-15,3832,2912,1587,1148,251,76
2020-05-16,3894,2852,1662,1177,259,78
2020-05-17,3975,2883,1721,1206,264,80
2020-05-18,4042,2946,1763,1235,270,82
2020-05-19,4114,2996,1811,1265,276,84
2020-05-20,4156,3041,1887,1295,284,86
2020-05-21,4207,3099,1969,1325,295,88
2020-05-22,4210,3188,2058,1356,306,90
2020-05-23,4235,3239,2182,1388,314,92
2020-05-24,4223,3299,2323,1420,318,94
2020-05-25,4266,3383,2447,1453,320,96
2020-05-26,4296,3504,2516,1487,324,98
2020-05-27,4345,3579,2574,1522,329,100
2020-05-28,4405,3664,2628,1558,336,102
2020-05-29,4467,3777,2683,1595,343,104
2020-05-30,4503,3884,2749,1633,350,106
2020-05-31,4543,4318,2805,1672,356,108
2020-06-01,4618,4752,2858,1715,361,111
2020-06-02,4720,5116,2900,1763,368,114
2020-06-03,4844,5423,2953,1814,375,117
2020-06-04,4978,5790,3029,1868,381,120
2020-06-05,5110,6245,3111,1926,387,124
2020-06-06,5211,6595,3202,1989,391,128
2020-06-07,5272,6399,3266,2055,396,132
2020-06-08,5311,6284,3324,2119,400,136
2020-06-09,5273,6150,3462,2182,404,140
2020-06-10,5199,5998,3628,2244,413,144
2020-06-11,5115,5857,3844,2304,422,148
2020-06-12,5107,5742,3968,2363,429,152
2020-06-13,5134,5568,4057,2421,432,156
2020-06-14,5208,5508,4086,2477,435,160
2020-06-15,5278,5560,4115,2532,440,163
2020-06-16,5338,5577,4163,2588,446,167
2020-06-17,5357,5584,4242,2644,451,171
2020-06-18,5367,5640,4335,2700,457,175
2020-06-19,5385,5694,4434,2757,462,179
2020-06-20,5397,5721,4554,2814,467,183
2020-06-21,5437,5837,4655,2871,471,187
2020-06-22,5493,5983,4732,2930,474,191
2020-06-23,5577,6115,4786,2990,477,195
2020-06-24,5660,6222,4866,3051,480,199
2020-06-25,5744,6368,4968,3113,484,203
2020-06-26,5858,6481,5060,3177,488,207
2020-06-27,5973,6472,5149,3242,490,211
2020-06-28,6090,6421,5221,3307,492,215
2020-06-29,6215,6476,5270,3371,494,219
2020-06-30,6322,6517,5317,3436,496,223
2020-07-01,6413,6530,5401,3501,500,227
2020-07-02,6509,6540,5511,3566,504,231
2020-07-03,6630,6527,5647,3632,509,235
2020-07-04,6760,6454,5758,3697,513,239
2020-07-05,6926,6529,5835,3762,514,243
2020-07-06,7111,6752,5869,3827,516,247
2020-07-07,7314,6909,5916,3895,520,251
2020-07-08,7493,7084,5979,3964,526,255
2020-07-09,7688,7238,6051,4035,533,260
2020-07-10,7870,7425,6116,4108,538,265
2020-07-11,8051,7484,6190,4182,542,270
2020-07-12,8227,7184,6258,4257,545,275
2020-07-13,8411,7003,6318,4329,548,280
2020-07-14,8625,6817,6371,4399,552,285
2020-07-15,8846,6657,6429,4467,556,289
2020-07-16,9083,6508,6501,4534,561,293
2020-07-17,9302,6358,6576,4599,565,297
2020-07-18,9497,6158,6656,4663,568,301
2020-07-19,9684,6589,6718,4725,572,305
2020-07-20,9884,7056,6771,4791,579,309
2020-07-21,10119,7473,6816,4862,585,314
2020-07-22,10359,7849,6886,4937,591,319
2020-07-23,10593,8231,6966,5016,596,324
2020-07-24,10812,8563,7062,5099,601,329
2020-07-25,11001,8786,7160,5185,607,334
2020-07-26,11240,8744,7257,5273,613,340
2020-07-27,11468,8821,7358,5361,619,346
2020-07-28,11696,8891,7488,5449,625,352
2020-07-29,11743,8961,7731,5538,631,358
2020-07-30,11781,9054,7957,5628,636,364
2020-07-31,11834,9185,8118,5719,642,370
2020-08-01,11967,9197,8188,5811,649,376
2020-08-02,12071,8776,8256,5903,653,382
2020-08-03,12143,8482,8364,5991,655,387
2020-08-04,12188,8189,8497,6076,660,392
2020-08-05,12237,7919,8658,6158,664,397
2020-08-06,12277,7674,8821,6237,670,402
2020-08-07,12295,7459,8981,6314,675,407
2020-08-08,12325,7224,9126,6389,680,412
2020-08-09,12357,7262,9249,6461,685,416
2020-08-10,12442,7334,9336,6534,689,420
2020-08-11,12489,7369,9453,6608,692,424
2020-08-12,12526,7386,9594,6682,695,428
2020-08-13,12511,7452,9778,6756,698,432
2020-08-14,12478,7552,9968,6831,703,436
2020-08-15,12397,7628,10184,6907,709,441
2020-08-16,12338,7974,10351,6983,714,446
2020-08-17,12286,8337,10491,7063,718,451
2020-08-18,12200,8685,10686,7147,723,456
2020-08-19,12096,8956,10935,7234,728,461
