date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,7626,7504,52,250,465,477
2020-04-13,7716,7453,69,445,486,489
2020-04-14,7985,7378,104,639,526,501
2020-04-15,8305,7327,139,831,565,513
2020-04-16,8777,7283,174,1022,601,525
2020-04-17,9269,7269,209,1211,634,536
2020-04-18,9756,7247,244,1400,668,547
2020-04-19,10199,7235,279,1588,702,558
2020-04-20,10607,7253,314,1776,744,569
2020-04-21,10935,7287,349,1965,790,580
2020-04-22,11304,7309,384,2154,836,591
2020-04-23,11755,7338,419,2344,878,602
2020-04-24,12335,7384,454,2535,917,614
2020-04-25,12920,7427,489,2727,955,626
2020-04-26,13605,7484,524,2920,995,638
2020-04-27,14261,7536,559,3115,1033,650
2020-04-28,14909,7577,594,3311,1074,662
2020-04-29,15456,7624,629,3508,1116,674
2020-04-30,16060,7687,664,3706,1158,686
2020-05-01,16687,7752,699,3906,1200,698
2020-05-02,17314,7808,733,4108,1239,710
2020-05-03,17864,7882,768,4311,1279,722
2020-05-04,18382,7918,792,4516,1317,734
2020-05-05,18708,7958,1071,4722,1357,746
2020-05-06,18799,8025,1607,4929,1396,758
2020-05-07,18663,8100,2411,5138,1432,770
2020-05-08,18449,8163,3215,5349,1463,783
2020-05-09,18154,8227,4019,5561,1495,796
2020-05-10,17807,8132,4823,5775,1531,809
2020-05-11,17430,7993,5626,5986,1570,822
2020-05-12,17039,7845,6430,6194,1606,834
2020-05-13,16674,7714,7234,6398,1643,846
2020-05-14,16344,7604,8038,6599,1678,858
2020-05-15,16107,7510,8842,6797,1714,870
2020-05-16,15847,7406,9646,6992,1745,881
2020-05-17,15543,7438,10450,7185,1778,892
2020-05-18,15181,7459,11253,7378,1812,903
2020-05-19,14841,7457,12057,7572,1846,914
2020-05-20,14564,7443,12861,7766,1880,925
2020-05-21,14298,7468,13665,7960,1910,936
2020-05-22,14009,7513,14469,8154,1937,947
2020-05-23,13666,7566,15273,8349,1956,958
2020-05-24,13276,7804,16077,8546,1977,969
2020-05-25,12847,7997,16880,8749,1996,981
2020-05-26,12377,8140,17684,8957,2015,993
2020-05-27,12006,8226,18488,9169,2033,1005
