date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,22138,41447,0,0,664,677
2020-04-13,22678,41849,0,0,703,701
2020-04-14,23982,48446,0,0,783,726
2020-04-15,25287,48913,0,0,869,755
2020-04-16,26790,53672,0,0,950,784
2020-04-17,28134,54309,0,0,1035,816
2020-04-18,29309,58901,0,0,1103,848
2020-04-19,30671,59500,0,0,1163,883
2020-04-20,32320,63881,0,0,1217,918
2020-04-21,34383,64458,0,0,1301,956
2020-04-22,36293,69010,0,0,1403,994
2020-04-23,38098,69822,0,0,1502,1034
2020-04-24,39577,74692,0,0,1584,1075
2020-04-25,40894,75889,0,0,1647,1119
2020-04-26,42127,80923,0,0,1696,1163
2020-04-27,43537,81968,0,0,1752,1210
2020-04-28,45293,86909,0,0,1825,1258
2020-04-29,47003,88135,0,0,1914,1309
2020-04-30,48820,93363,0,0,2003,1360
2020-05-01,50291,94914,0,0,2085,1414
2020-05-02,51737,100423,0,0,2152,1469
2020-05-03,53043,102149,0,0,2202,1527
2020-05-04,54749,107422,0,0,2268,1586
2020-05-05,56611,109016,0,0,2349,1648
2020-05-06,58653,114397,0,0,2438,1710
2020-05-07,60548,116287,0,0,2519,1775
2020-05-08,62532,122091,0,0,2596,1841
2020-05-09,64280,124462,0,0,2663,1910
2020-05-10,65832,130370,0,0,2720,1981
2020-05-11,67229,132565,0,0,2785,2055
2020-05-12,68893,138477,0,0,2862,2130
2020-05-13,70635,141002,0,0,2953,2208
2020-05-14,72467,147283,0,0,3039,2287
2020-05-15,74316,150411,0,0,3121,2369
2020-05-16,76121,157429,0,0,3182,2453
2020-05-17,77776,160939,0,0,3227,2540
2020-05-18,79440,167628,0,0,3289,2629
2020-05-19,81316,170868,0,0,3370,2721
2020-05-20,83463,177833,0,0,3468,2815
2020-05-21,85659,181716,0,0,3548,2912
2020-05-22,87797,189585,0,0,3619,3011
2020-05-23,89782,194481,0,0,3668,3114
2020-05-24,91739,202815,0,0,3701,3219
2020-05-25,93840,207534,0,0,3722,3328
2020-05-26,96206,215196,0,0,3771,3439
2020-05-27,98564,219519,0,0,3844,3553
2020-05-28,101129,227365,0,0,3934,3669
2020-05-29,104038,232045,0,0,4010,3789
2020-05-30,107023,240270,0,0,4068,3910
2020-05-31,109782,245307,0,0,4117,4035
2020-06-01,112121,253424,0,0,4175,4162
2020-06-02,114411,258479,0,0,4245,4293
2020-06-03,116887,266963,0,0,4326,4426
2020-06-04,119607,272413,0,0,4399,4562
2020-06-05,122522,281469,0,0,4473,4700
2020-06-06,125290,287582,0,0,4529,4842
2020-06-07,127781,297324,0,0,4571,4986
2020-06-08,130265,303470,0,0,4621,5134
2020-06-09,132908,312979,0,0,4700,5284
2020-06-10,135792,319636,0,0,4790,5438
2020-06-11,139026,329780,0,0,4860,5594
2020-06-12,142318,336993,0,0,4922,5754
2020-06-13,145471,348029,0,0,4970,5917
2020-06-14,148134,355709,0,0,5013,6084
2020-06-15,150977,366217,0,23,5047,6254
2020-06-16,154465,372884,0,926,5102,6428
2020-06-17,158709,378226,0,6309,5182,6603
2020-06-18,163107,379979,0,12423,5263,6780
2020-06-19,167555,385135,0,18582,5345,6956
2020-06-20,171865,387358,0,24825,5404,7133
2020-06-21,176755,392110,0,31104,5446,7310
2020-06-22,182719,393068,0,37460,5478,7488
2020-06-23,189150,396993,0,43831,5538,7665
2020-06-24,195409,397677,0,50266,5624,7843
2020-06-25,201203,401309,0,56712,5716,8020
2020-06-26,206566,402300,0,63217,5780,8197
2020-06-27,212178,406610,0,69738,5823,8373
2020-06-28,218014,407370,0,76329,5856,8549
2020-06-29,225766,410965,0,82932,5913,8724
2020-06-30,233896,411193,0,89594,5986,8899
2020-07-01,242250,414658,0,96259,6088,9073
2020-07-02,249061,414465,0,102980,6177,9247
2020-07-03,255237,417268,0,109698,6242,9419
2020-07-04,262501,417271,0,116462,6279,9591
2020-07-05,270079,420851,0,123226,6316,9762
2020-07-06,279550,421145,0,130048,6386,9933
2020-07-07,287908,424901,0,136875,6494,10102
2020-07-08,296825,425221,0,143762,6637,10271
2020-07-09,304807,428906,0,150655,6778,10439
2020-07-10,312934,429110,0,157607,6902,10607
2020-07-11,320917,432867,0,164563,6979,10773
2020-07-12,328771,434919,0,171580,7028,10939
2020-07-13,337560,440009,0,178630,7088,11104
2020-07-14,346641,441967,0,185762,7178,11270
2020-07-15,356391,447596,0,192926,7303,11435
2020-07-16,365422,450159,0,200181,7421,11600
2020-07-17,374457,456528,0,207478,7538,11765
2020-07-18,382445,459616,0,214878,7620,11930
2020-07-19,390624,466257,0,222328,7674,12095
2020-07-20,400004,468805,0,229886,7728,12260
2020-07-21,410958,474517,0,237485,7830,12425
2020-07-22,421691,476877,0,245177,7976,12590
2020-07-23,431718,482834,0,252907,8125,12754
2020-07-24,440573,485908,0,260734,8264,12918
2020-07-25,448726,492918,0,268610,8364,13081
2020-07-26,455602,494562,0,276600,8432,13245
2020-07-27,463153,499447,0,284617,8478,13408
2020-07-28,472013,501465,0,292713,8593,13571
2020-07-29,481576,507368,0,300842,8758,13732
2020-07-30,490237,510244,0,309066,8956,13893
2020-07-31,498207,517062,0,317337,9123,14054
2020-08-01,505273,521507,0,325718,9255,14215
2020-08-02,511448,529056,0,334171,9344,14375
2020-08-03,516805,532665,0,342747,9434,14536
2020-08-04,522200,539848,0,351381,9543,14696
2020-08-05,528810,543598,0,360132,9696,14856
2020-08-06,535924,550717,0,368944,9853,15015
2020-08-07,543862,554532,0,377871,10025,15175
2020-08-08,551482,561717,0,386860,10173,15334
2020-08-09,560405,565248,0,395965,10274,15493
2020-08-10,570011,571924,0,405127,10351,15651
2020-08-11,579888,574704,0,414398,10479,15809
2020-08-12,587963,580766,0,423714,10627,15965
2020-08-13,597368,583134,0,433128,10820,16121
2020-08-14,606595,589386,0,442580,10970,16276
2020-08-15,615849,592339,0,452134,11097,16430
2020-08-16,621942,598522,0,461736,11153,16583
2020-08-17,627619,600613,0,471438,11228,16736
2020-08-18,633206,606322,0,481174,11349,16887
2020-08-19,639061,608501,0,491002,11503,17038
2020-08-20,644957,612071,0,500866,11656,17187
2020-08-21,651006,614072,0,510787,11815,17335
2020-08-22,656905,619587,0,520741,11939,17481
2020-08-23,662141,622206,0,530784,12027,17627
2020-08-24,667270,627995,0,540870,12103,17771
2020-08-25,672139,630372,0,551050,12219,17915
2020-08-26,677286,636211,0,561268,12373,18057
2020-08-27,682075,638338,0,571581,12514,18198
2020-08-28,687367,643786,0,581928,12659,18338
2020-08-29,692273,645664,0,592364,12756,18477
2020-08-30,696838,651388,0,602830,12828,18614
2020-08-31,700861,653629,0,613389,12899,18751
2020-09-01,705220,660103,0,623984,13011,18886
2020-09-02,709925,663053,0,634684,13172,19020
2020-09-03,714872,669198,0,645432,13337,19153
2020-09-04,719690,671022,0,656279,13486,19285
2020-09-05,723873,675142,0,667156,13582,19416
2020-09-06,727289,675539,0,678100,13640,19546
2020-09-07,729701,680506,0,689050,13690,19674
2020-09-08,732218,683067,0,700081,13771,19801
2020-09-09,734990,689080,0,711153,13875,19926
2020-09-10,738561,691658,0,722323,13996,20050
2020-09-11,742505,697363,0,733535,14121,20173
2020-09-12,746296,699817,0,744839,14217,20295
2020-09-13,749522,706262,0,756183,14284,20415
2020-09-14,752225,709118,0,767631,14358,20534
2020-09-15,755092,715528,0,779126,14459,20652
2020-09-16,758375,718107,0,790724,14580,20769
2020-09-17,762102,723985,0,802364,14698,20885
2020-09-18,766079,726469,0,814100,14806,21000
2020-09-19,769910,732798,0,825876,14881,21113
2020-09-20,773280,745023,0,837754,14919,21225
2020-09-21,776345,760719,0,849831,14977,21337
2020-09-22,779419,774066,0,862162,15071,21450
2020-09-23,782731,792546,0,874709,15186,21563
2020-09-24,786374,810317,0,887556,15292,21676
2020-09-25,790256,836886,0,900691,15382,21790
2020-09-26,793896,866335,0,914257,15447,21906
