date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,653,852,892,905,76,79
2020-04-13,671,1055,897,923,77,82
2020-04-14,704,1258,919,947,85,86
2020-04-15,719,1444,956,977,96,91
2020-04-16,781,1616,1008,1015,107,97
2020-04-17,847,1778,1068,1060,114,103
2020-04-18,975,1940,1114,1114,122,110
2020-04-19,1053,2064,1160,1177,132,118
2020-04-20,1114,2156,1205,1249,145,126
2020-04-21,1169,2250,1257,1329,160,135
2020-04-22,1195,2332,1369,1418,179,144
2020-04-23,1267,2401,1482,1517,200,153
2020-04-24,1376,2458,1594,1626,221,163
2020-04-25,1492,2533,1674,1744,245,173
2020-04-26,1596,2574,1756,1873,267,183
2020-04-27,1736,2582,1842,2012,286,193
2020-04-28,1978,2592,1932,2160,302,203
2020-04-29,2290,2597,2042,2317,321,213
2020-04-30,2661,2607,2165,2483,344,223
2020-05-01,3047,2630,2283,2658,369,234
2020-05-02,3250,2683,2564,2844,394,245
2020-05-03,3088,2695,3208,3043,413,256
2020-05-04,2869,2664,3947,3252,433,267
2020-05-05,2823,2623,4610,3467,455,278
2020-05-06,3141,2584,4975,3688,482,289
2020-05-07,3499,2551,5336,3915,509,299
2020-05-08,3773,2532,5775,4147,533,309
2020-05-09,3860,2528,6300,4386,556,319
2020-05-10,3798,2496,6913,4633,575,329
2020-05-11,3840,2449,7420,4884,594,339
2020-05-12,3947,2401,7842,5138,614,349
2020-05-13,4153,2362,8154,5394,641,359
2020-05-14,4383,2348,8480,5653,667,369
2020-05-15,4569,2389,8954,5917,691,379
2020-05-16,4727,2441,9522,6192,710,389
2020-05-17,4773,2421,10170,6479,726,399
2020-05-18,4788,2368,10826,6770,742,409
2020-05-19,4752,2333,11510,7060,761,419
2020-05-20,4761,2325,12085,7351,787,428
2020-05-21,5003,2337,12470,7646,818,437
2020-05-22,5284,2429,12889,7947,843,446
2020-05-23,5512,2579,13432,8264,863,456
2020-05-24,5563,2679,14138,8605,876,466
2020-05-25,5572,2680,14818,8964,892,477
2020-05-26,5449,2593,15551,9327,913,488
2020-05-27,5351,2537,16164,9682,942,498
2020-05-28,5372,2506,16633,10033,975,508
2020-05-29,5401,2533,17149,10383,1006,518
2020-05-30,5331,2631,17829,10739,1030,528
2020-05-31,5035,2634,18666,11112,1048,539
2020-06-01,4619,2558,19505,11488,1064,550
2020-06-02,4119,2510,20330,11856,1079,560
2020-06-03,3769,2499,21013,12219,1101,570
2020-06-04,3740,2516,21507,12582,1127,580
2020-06-05,3894,2614,21869,12950,1155,590
2020-06-06,3907,2755,22369,13334,1179,600
2020-06-07,3708,2700,22967,13740,1195,611
2020-06-08,3377,2584,23623,14140,1211,622
2020-06-09,3120,2492,24184,14524,1234,632
2020-06-10,3056,2430,24588,14895,1258,642
2020-06-11,3185,2417,24857,15258,1284,652
2020-06-12,3290,2497,25172,15620,1299,662
2020-06-13,3251,2630,25579,15995,1316,672
2020-06-14,3013,2671,26106,16391,1326,682
2020-06-15,2778,2574,26568,16794,1336,692
2020-06-16,2606,2506,27006,17183,1345,702
2020-06-17,2600,2480,27325,17563,1359,712
2020-06-18,2733,2476,27559,17939,1375,722
2020-06-19,2840,2601,27826,18315,1391,732
2020-06-20,2877,2770,28192,18711,1403,742
2020-06-21,2817,2830,28644,19133,1410,753
2020-06-22,2746,2761,29042,19565,1417,764
2020-06-23,2672,2691,29390,19987,1424,775
2020-06-24,2700,2653,29653,20399,1432,785
2020-06-25,2872,2668,29856,20805,1439,795
2020-06-26,3057,2790,30087,21214,1446,805
2020-06-27,3208,3034,30406,21642,1452,816
2020-06-28,3210,3156,30811,22107,1460,827
2020-06-29,3225,3054,31211,22591,1468,839
2020-06-30,3226,2991,31591,23060,1476,850
2020-07-01,3356,2974,31903,23520,1484,861
2020-07-02,2659,3105,33030,23977,1494,872
2020-07-03,1064,3362,34920,24455,1502,884
2020-07-04,-451,3552,36738,24972,1507,896
2020-07-05,-518,3655,37118,25519,1509,909
2020-07-06,-397,3530,37498,26082,1511,922
2020-07-07,-297,3393,37878,26626,1516,935
2020-07-08,-200,3292,38307,27149,1521,947
2020-07-09,-17,3274,38662,27656,1528,959
2020-07-10,269,3417,39032,28161,1532,971
2020-07-11,508,3570,39495,28688,1536,983
2020-07-12,589,3707,40080,29239,1539,996
2020-07-13,539,3568,40659,29811,1543,1009
2020-07-14,487,3442,41192,30361,1549,1022
2020-07-15,641,3375,41555,30892,1557,1034
2020-07-16,974,3369,41828,31413,1565,1046
2020-07-17,1166,3433,42205,31933,1572,1058
2020-07-18,1209,3553,42776,32463,1577,1070
2020-07-19,1179,3668,43500,33012,1581,1082
2020-07-20,1104,3591,44234,33578,1584,1095
2020-07-21,942,3497,44978,34133,1588,1107
2020-07-22,881,3428,45572,34673,1593,1119
2020-07-23,1095,3412,46029,35202,1599,1131
2020-07-24,1401,3520,46493,35729,1606,1143
2020-07-25,1571,3638,47129,36273,1610,1155
2020-07-26,1568,4763,47901,36835,1613,1167
2020-07-27,1441,5622,48688,37571,1616,1183
2020-07-28,1299,6271,49423,38440,1621,1202
2020-07-29,1334,6850,50012,39409,1627,1223
2020-07-30,1620,7532,50446,40467,1634,1246
2020-07-31,1867,8556,50940,41631,1640,1271
2020-08-01,1985,9563,51568,42953,1646,1299
