date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,2186,2250,132,222,15,16
2020-04-13,2154,2310,191,315,16,17
2020-04-14,2115,2391,310,410,17,18
2020-04-15,2188,2471,341,509,20,19
2020-04-16,2267,2559,385,611,22,20
2020-04-17,2319,2645,455,717,23,21
2020-04-18,2339,2748,562,826,25,22
2020-04-19,2367,2842,673,939,26,23
2020-04-20,2383,2936,781,1056,29,24
2020-04-21,2408,3044,878,1177,32,25
2020-04-22,2448,3154,969,1303,34,26
2020-04-23,2487,3256,1090,1433,36,27
2020-04-24,2509,3379,1233,1567,38,28
2020-04-25,2504,3504,1406,1706,41,29
2020-04-26,2523,3614,1536,1851,43,30
2020-04-27,2553,3715,1637,2000,44,32
2020-04-28,2604,3827,1711,2153,44,34
2020-04-29,2648,3931,1811,2311,45,36
2020-04-30,2688,4035,1930,2473,47,38
2020-05-01,2718,4110,2062,2640,48,40
2020-05-02,2785,4189,2161,2810,50,42
2020-05-03,2852,4262,2255,2983,52,44
2020-05-04,2936,4329,2322,3159,55,46
2020-05-05,2985,4391,2412,3338,56,48
2020-05-06,3018,4471,2512,3519,59,50
2020-05-07,3045,4555,2639,3704,62,52
2020-05-08,3080,4631,2770,3892,65,54
2020-05-09,3124,4723,2901,4083,66,56
2020-05-10,3133,4812,3038,4278,67,58
2020-05-11,3119,4881,3160,4477,69,60
2020-05-12,3115,4938,3284,4679,72,62
2020-05-13,3112,5006,3413,4883,75,64
2020-05-14,3121,5069,3563,5090,76,66
2020-05-15,3106,5153,3727,5299,77,68
2020-05-16,3098,5233,3896,5512,79,70
2020-05-17,3056,5296,4091,5728,83,72
2020-05-18,3027,5347,4267,5947,86,74
2020-05-19,3066,5402,4383,6168,88,76
2020-05-20,3130,5473,4480,6391,90,78
2020-05-21,3200,5533,4589,6617,91,80
2020-05-22,3222,5627,4747,6845,94,82
2020-05-23,3231,5721,4909,7077,96,84
2020-05-24,3229,5824,5065,7313,97,86
2020-05-25,3197,5926,5215,7553,99,88
2020-05-26,3160,5969,5354,7798,101,90
2020-05-27,3156,6020,5489,8044,104,92
2020-05-28,3212,6082,5645,8293,106,94
2020-05-29,3321,6186,5810,8544,108,96
2020-05-30,3439,6344,5981,8799,111,99
2020-05-31,3535,6473,6127,9061,114,102
2020-06-01,3649,6573,6235,9328,115,105
2020-06-02,3758,6597,6357,9599,117,108
2020-06-03,3904,6639,6482,9871,118,111
2020-06-04,4096,6688,6639,10145,119,114
2020-06-05,4382,6741,6785,10421,120,117
2020-06-06,4638,6798,6945,10699,122,120
2020-06-07,4839,6686,7100,10980,123,123
2020-06-08,4939,6587,7251,11256,125,126
2020-06-09,5044,6488,7411,11528,126,129
2020-06-10,5189,6422,7574,11796,128,132
2020-06-11,5343,6354,7755,12061,133,135
