date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,3644,13759,28,51,96,98
2020-04-13,3719,13314,38,137,102,105
2020-04-14,3905,13795,57,220,110,112
2020-04-15,4074,13717,76,307,121,119
2020-04-16,4214,13857,96,394,133,126
2020-04-17,4344,13848,115,482,144,133
2020-04-18,4488,13895,134,570,152,140
2020-04-19,4666,14000,153,659,157,147
2020-04-20,4842,14046,172,749,167,155
2020-04-21,5047,14049,192,840,180,163
2020-04-22,5261,14067,211,931,193,171
2020-04-23,5460,14109,230,1023,204,179
2020-04-24,5628,14082,249,1116,211,187
2020-04-25,5795,14081,268,1209,217,195
2020-04-26,5946,14141,288,1302,222,203
2020-04-27,6102,14182,307,1396,229,211
2020-04-28,6238,14197,326,1491,242,219
2020-04-29,6394,14227,345,1587,256,227
2020-04-30,6566,14197,364,1683,272,235
2020-05-01,6775,14145,384,1779,283,243
2020-05-02,7013,14054,403,1876,289,251
2020-05-03,7246,14044,422,1972,292,258
2020-05-04,7497,14062,435,2069,301,265
2020-05-05,7591,14085,588,2166,318,272
2020-05-06,7576,14076,883,2264,342,279
2020-05-07,7417,14006,1325,2362,365,286
2020-05-08,7278,13875,1766,2460,380,293
2020-05-09,7117,13717,2208,2558,388,300
2020-05-10,6943,13654,2650,2655,395,307
2020-05-11,6768,13593,3092,2752,410,314
2020-05-12,6588,13543,3533,2849,429,321
2020-05-13,6422,13471,3975,2947,452,328
2020-05-14,6274,13344,4417,3044,468,335
2020-05-15,6156,13125,4858,3141,480,342
2020-05-16,6034,12833,5300,3237,485,349
2020-05-17,5905,12667,5742,3331,487,356
2020-05-18,5789,12566,6184,3424,493,363
2020-05-19,5686,12494,6625,3517,505,370
2020-05-20,5615,12357,7067,3610,518,376
2020-05-21,5459,12181,7587,3702,530,382
2020-05-22,5381,11835,8037,3794,539,388
2020-05-23,5353,11416,8419,3883,547,394
2020-05-24,5563,11172,8653,3970,555,400
2020-05-25,5842,10988,8887,4055,565,406
2020-05-26,6126,10949,9121,4139,576,412
2020-05-27,6329,10916,9390,4223,584,418
2020-05-28,6469,10885,9695,4307,594,424
2020-05-29,6592,10777,10035,4391,606,430
2020-05-30,6723,10532,10375,4475,619,435
2020-05-31,6792,10490,10715,4558,631,440
2020-06-01,6786,10524,11055,4641,645,445
2020-06-02,6697,10552,11382,4724,658,450
2020-06-03,6619,10549,11696,4808,668,455
2020-06-04,6704,10537,11998,4892,673,460
2020-06-05,6862,10461,12300,4976,680,465
2020-06-06,7060,10215,12602,5060,685,470
2020-06-07,7197,10330,12904,5143,699,475
2020-06-08,7374,10448,13206,5227,713,480
2020-06-09,7666,10595,13524,5312,730,485
2020-06-10,8019,10681,13860,5399,742,490
2020-06-11,8510,10701,14212,5487,756,495
2020-06-12,9050,10614,14564,5576,765,500
2020-06-13,9628,10335,14917,5664,772,505
2020-06-14,9968,10264,15269,5750,773,510
2020-06-15,10169,10239,15621,5836,777,515
2020-06-16,10376,10235,15994,5922,783,520
2020-06-17,10701,10205,16387,6009,795,525
2020-06-18,11007,10129,16800,6096,807,530
2020-06-19,11158,9845,17213,6182,823,535
2020-06-20,11217,9161,17626,6266,833,540
2020-06-21,11314,8941,18039,6345,839,544
2020-06-22,11627,8907,18452,6422,848,548
2020-06-23,12119,8890,18862,6499,865,552
2020-06-24,12731,8825,19268,6577,883,556
2020-06-25,13319,8722,19670,6654,898,560
2020-06-26,13641,8500,20072,6731,909,564
2020-06-27,14102,8008,20474,6806,920,568
2020-06-28,14588,7826,20876,6877,927,572
2020-06-29,15309,7743,21278,6947,936,576
2020-06-30,15941,7697,21680,7016,950,580
2020-07-01,16728,7606,22124,7085,969,584
2020-07-02,17483,7448,22610,7154,987,587
2020-07-03,18129,7224,23139,7222,1002,590
2020-07-04,18481,6978,23668,7288,1015,593
