date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,2463,4961,301,449,97,103
2020-04-13,2434,4601,401,747,101,116
2020-04-14,2417,4693,602,1024,110,128
2020-04-15,2434,4426,803,1306,120,140
2020-04-16,2459,4471,1003,1572,130,151
2020-04-17,2453,4287,1204,1841,140,163
2020-04-18,2458,4280,1405,2099,150,174
2020-04-19,2487,4101,1606,2356,160,185
2020-04-20,2524,4114,1806,2603,170,196
2020-04-21,2519,4063,2007,2850,181,207
2020-04-22,2521,4087,2208,3094,192,218
2020-04-23,2550,4040,2409,3340,201,229
2020-04-24,2616,4070,2609,3583,210,240
2020-04-25,2658,4017,2810,3828,219,251
2020-04-26,2671,3974,3011,4070,225,262
2020-04-27,2672,3982,3212,4309,231,273
2020-04-28,2683,4036,3413,4549,239,284
2020-04-29,2711,4064,3614,4792,250,295
2020-04-30,2785,4137,3816,5036,264,306
2020-05-01,2862,4226,4017,5285,277,317
2020-05-02,2891,4276,4219,5539,291,328
2020-05-03,2880,4307,4441,5796,301,340
2020-05-04,2876,4381,4684,6055,318,352
2020-05-05,2879,4456,4948,6319,342,364
2020-05-06,2857,4522,5212,6587,370,376
2020-05-07,2864,4624,5476,6859,393,388
2020-05-08,2903,4709,5740,7137,408,401
2020-05-09,2899,4716,6004,7420,420,414
2020-05-10,2842,4705,6247,7704,428,427
2020-05-11,2785,4752,6469,7987,440,440
2020-05-12,2767,4826,6671,8273,452,453
2020-05-13,2820,4899,6873,8563,467,466
2020-05-14,2904,4984,7075,8858,479,479
2020-05-15,3031,5077,7277,9158,494,493
2020-05-16,3086,5144,7479,9463,508,507
2020-05-17,3069,5158,7695,9772,519,521
2020-05-18,3017,5208,7926,10082,534,535
2020-05-19,2979,5268,8172,10395,550,549
2020-05-20,2978,5320,8418,10712,568,564
2020-05-21,3027,5390,8663,11032,581,579
2020-05-22,3111,5447,8909,11356,597,594
2020-05-23,3196,5468,9155,11684,612,609
2020-05-24,3212,5479,9404,12013,625,624
2020-05-25,3188,5470,9658,12343,637,639
2020-05-26,3177,5485,9915,12672,652,654
2020-05-27,3205,5525,10173,13002,671,669
2020-05-28,3282,5559,10430,13334,691,684
2020-05-29,3402,5596,10688,13668,708,699
2020-05-30,3514,5551,10945,14005,722,714
2020-05-31,3550,5523,11219,14339,732,729
2020-06-01,3516,5539,11510,14671,746,744
2020-06-02,3458,5562,11818,15004,762,759
2020-06-03,3401,5574,12125,15339,781,774
2020-06-04,3324,5625,12433,15674,793,789
2020-06-05,3247,5605,12740,16012,802,804
2020-06-06,3168,5445,13048,16349,810,819
2020-06-07,3191,5269,13347,16677,821,834
2020-06-08,3250,5260,13637,16994,833,848
2020-06-09,3354,5262,13918,17310,852,862
2020-06-10,3297,5284,14199,17627,867,876
2020-06-11,3327,5342,14480,17945,878,890
2020-06-12,3330,5334,14761,18266,883,905
2020-06-13,3389,5200,15042,18587,887,920
2020-06-14,3343,5136,15320,18900,891,934
2020-06-15,3325,5156,15597,19209,900,948
2020-06-16,3408,5157,15871,19519,918,962
2020-06-17,3395,5168,16145,19829,938,976
2020-06-18,3268,5153,16419,20140,954,990
2020-06-19,2986,5083,16693,20450,962,1004
2020-06-20,2704,4877,16967,20756,970,1018
2020-06-21,2976,4769,17252,21049,975,1031
2020-06-22,3427,4786,17548,21336,981,1044
2020-06-23,4036,4815,17855,21624,992,1057
2020-06-24,4446,4831,18161,21914,1005,1070
2020-06-25,4851,4828,18468,22205,1016,1083
2020-06-26,5239,4738,18774,22495,1024,1096
2020-06-27,5383,4530,19081,22780,1032,1109
2020-06-28,5534,4409,19418,23053,1044,1121
2020-06-29,5726,4406,19785,23318,1057,1133
2020-06-30,5985,4413,20182,23583,1071,1145
2020-07-01,6311,4402,20579,23848,1082,1157
2020-07-02,6716,4374,20976,24113,1092,1169
2020-07-03,7236,4248,21373,24376,1100,1180
2020-07-04,7542,4124,21770,24632,1107,1191
2020-07-05,7620,4120,22213,24880,1110,1202
2020-07-06,7626,4171,22704,25128,1127,1213
2020-07-07,7724,4226,23242,25379,1153,1224
2020-07-08,7934,4274,23780,25633,1183,1235
2020-07-09,8180,4293,24318,25890,1202,1246
2020-07-10,8472,4271,24856,26148,1216,1257
2020-07-11,8817,4144,25394,26405,1231,1268
2020-07-12,8924,4175,25961,26654,1243,1279
2020-07-13,9021,4257,26558,26905,1257,1290
2020-07-14,9142,4342,27184,27161,1270,1301
2020-07-15,9535,4421,27810,27422,1290,1312
2020-07-16,9985,4483,28436,27688,1310,1323
2020-07-17,10434,4545,29062,27958,1328,1334
2020-07-18,10739,4534,29688,28231,1344,1345
2020-07-19,11106,4649,30332,28504,1353,1356
2020-07-20,11656,4759,30994,28784,1367,1367
2020-07-21,12431,4890,31673,29070,1390,1379
2020-07-22,13113,5027,32353,29364,1416,1391
2020-07-23,13764,5207,33032,29666,1440,1403
2020-07-24,14368,5366,33712,29979,1459,1416
2020-07-25,15037,5420,34391,30302,1478,1429
2020-07-26,15290,5430,35193,30628,1489,1442
2020-07-27,15380,5498,36116,30955,1510,1455
2020-07-28,15528,5643,37162,31286,1533,1468
2020-07-29,16043,5829,38208,31625,1571,1481
2020-07-30,16511,6077,39253,31976,1612,1495
2020-07-31,16781,6335,40299,32342,1655,1509
2020-08-01,16696,6491,41345,32723,1686,1524
2020-08-02,16465,6030,42352,33113,1702,1539
2020-08-03,16249,5610,43321,33476,1722,1553
2020-08-04,16248,5312,44252,33813,1756,1566
2020-08-05,16371,4949,45182,34133,1794,1578
2020-08-06,16488,4680,46113,34431,1825,1589
2020-08-07,16601,4348,47044,34713,1849,1600
2020-08-08,16572,3999,47974,34975,1872,1610
2020-08-09,16357,3720,48905,35216,1894,1619
2020-08-10,15888,3549,49900,35440,1917,1627
2020-08-11,15531,3383,50959,35653,1948,1635
2020-08-12,15153,3249,52083,35857,1981,1642
2020-08-13,14876,3113,53206,36052,2014,1649
2020-08-14,14516,2970,54330,36239,2044,1656
2020-08-15,14085,2796,55453,36418,2069,1662
2020-08-16,13558,2672,56457,36586,2086,1668
2020-08-17,13140,2574,57343,36747,2102,1674
2020-08-18,13154,2505,58109,36902,2128,1679
2020-08-19,13368,2428,58875,37053,2160,1684
2020-08-20,13611,2372,59642,37199,2189,1689
2020-08-21,13725,2305,60408,37342,2213,1694
2020-08-22,13757,2233,61174,37481,2230,1699
2020-08-23,13674,2170,61940,37615,2241,1704
2020-08-24,13493,2134,62741,37746,2267,1708
2020-08-25,13353,2111,63575,37874,2312,1712
2020-08-26,13197,2093,64444,38001,2362,1716
2020-08-27,12992,2076,65312,38127,2395,1720
2020-08-28,12745,2066,66181,38252,2413,1724
2020-08-29,12523,2045,67049,38376,2427,1728
2020-08-30,12218,2021,67886,38499,2447,1732
2020-08-31,11911,2007,68690,38621,2469,1736
2020-09-01,11673,2003,69463,38742,2497,1740
2020-09-02,11602,1984,70235,38862,2518,1744
2020-09-03,11592,1980,71008,38981,2540,1748
2020-09-04,11510,1986,71780,39100,2554,1752
2020-09-05,11312,1999,72553,39219,2570,1756
2020-09-06,10922,2000,73325,39339,2585,1760
2020-09-07,10418,1999,74111,39459,2603,1764
2020-09-08,9912,1986,74910,39579,2616,1768
2020-09-09,9479,1985,75722,39698,2634,1772
2020-09-10,9251,1983,76534,39817,2649,1775
2020-09-11,9023,1987,77346,39936,2670,1778
2020-09-12,8714,1981,78158,40056,2684,1781
2020-09-13,8139,1999,79002,40175,2696,1784
2020-09-14,7547,2014,79879,40295,2712,1787
2020-09-15,7072,2032,80787,40416,2732,1790
2020-09-16,6779,2036,81695,40538,2756,1793
2020-09-17,6488,2055,82603,40660,2776,1796
2020-09-18,6180,2072,83511,40784,2793,1799
2020-09-19,5733,2090,84419,40909,2809,1802
2020-09-20,5274,5499,85234,41035,2827,1805
2020-09-21,4850,10051,85957,41366,2840,1814
2020-09-22,4609,14820,86587,41971,2854,1830
2020-09-23,4554,20640,87217,42863,2863,1853
