date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,4825,18298,540,547,145,148
2020-04-13,4986,18119,600,573,148,160
2020-04-14,5246,22376,731,599,166,172
2020-04-15,5530,22108,808,631,185,186
2020-04-16,5812,23625,937,663,211,200
2020-04-17,6149,23359,1096,697,232,215
2020-04-18,6572,24340,1201,730,255,230
2020-04-19,6977,24104,1273,765,278,246
2020-04-20,7418,24956,1336,799,300,261
2020-04-21,7891,24677,1413,835,324,277
2020-04-22,8456,25366,1494,870,348,293
2020-04-23,8997,25145,1578,906,377,309
2020-04-24,9593,25821,1652,942,407,325
2020-04-25,10144,25732,1734,979,432,342
2020-04-26,10719,26404,1791,1016,448,358
2020-04-27,11291,26321,1857,1054,467,375
2020-04-28,11855,26953,1933,1092,491,392
2020-04-29,12507,26922,2020,1130,522,409
2020-04-30,13238,27553,2114,1168,551,426
2020-05-01,14042,27682,2204,1207,583,443
2020-05-02,14816,28411,2335,1247,619,461
2020-05-03,15529,28642,2452,1288,653,479
2020-05-04,16191,29321,2588,1329,695,497
2020-05-05,16574,29528,2697,1371,731,515
2020-05-06,17145,30161,2790,1413,759,534
2020-05-07,17724,30388,2882,1456,783,553
2020-05-08,18585,31071,2982,1499,802,572
2020-05-09,19273,31417,3107,1543,826,591
2020-05-10,20078,32113,3199,1588,838,610
2020-05-11,20832,32452,3291,1634,860,630
2020-05-12,21573,33091,3409,1680,890,650
2020-05-13,22317,33418,3544,1727,925,670
2020-05-14,23110,34059,3679,1775,954,690
2020-05-15,23946,34454,3797,1824,979,711
2020-05-16,24682,35193,3902,1873,997,732
2020-05-17,25391,35736,4003,1923,1009,753
2020-05-18,26079,36440,4123,1974,1022,775
2020-05-19,26720,36884,4300,2026,1044,797
2020-05-20,27467,37524,4524,2079,1072,819
2020-05-21,28141,37979,4754,2133,1103,841
2020-05-22,28885,38669,4929,2187,1131,864
2020-05-23,29455,39201,5037,2242,1155,887
2020-05-24,30296,40003,5098,2298,1179,910
2020-05-25,31408,40585,5158,2355,1205,934
2020-05-26,32619,41193,5246,2413,1241,958
2020-05-27,33690,41622,5355,2472,1285,982
2020-05-28,34574,42231,5495,2531,1325,1006
2020-05-29,35539,42709,5621,2591,1355,1030
2020-05-30,36463,43311,5753,2652,1367,1055
2020-05-31,37322,43847,5837,2714,1379,1080
2020-06-01,38097,44472,5926,2777,1391,1105
2020-06-02,38746,44893,6025,2840,1409,1130
2020-06-03,39421,45420,6153,2904,1426,1155
2020-06-04,40042,45858,6280,2969,1442,1181
2020-06-05,40790,46350,6352,3034,1453,1207
2020-06-06,41637,46675,6437,3100,1462,1233
2020-06-07,42481,47330,6492,3167,1470,1259
2020-06-08,43152,47902,6590,3235,1481,1285
2020-06-09,43541,48510,6686,3303,1495,1311
2020-06-10,43878,49008,6799,3372,1510,1337
2020-06-11,44249,49529,6907,3442,1522,1363
2020-06-12,44702,49969,7009,3513,1531,1390
2020-06-13,45219,50375,7103,3584,1540,1417
2020-06-14,45695,50883,7179,3656,1546,1444
2020-06-15,46102,51444,7249,3729,1556,1471
2020-06-16,46429,51892,7333,3802,1568,1498
2020-06-17,46781,52289,7421,3876,1579,1525
2020-06-18,47183,52632,7495,3951,1590,1552
2020-06-19,47672,52928,7554,4026,1598,1579
2020-06-20,48199,53060,7605,4102,1606,1606
2020-06-21,48717,53348,7638,4178,1612,1633
2020-06-22,49181,53586,7678,4254,1625,1660
2020-06-23,49632,53853,7717,4331,1642,1687
2020-06-24,50055,54054,7769,4408,1660,1714
2020-06-25,50515,54243,7817,4485,1678,1741
2020-06-26,51004,54310,7884,4562,1699,1768
2020-06-27,51519,54298,7947,4640,1718,1794
2020-06-28,51994,54298,7998,4718,1732,1820
2020-06-29,52456,54394,8036,4796,1745,1846
2020-06-30,52885,54318,8078,4874,1763,1872
2020-07-01,53218,54201,8235,4952,1788,1898
2020-07-02,53516,53983,8446,5029,1815,1923
2020-07-03,53927,53644,8649,5106,1836,1948
2020-07-04,54485,53407,8745,5183,1853,1973
2020-07-05,55010,53255,8778,5259,1865,1997
2020-07-06,55485,53150,8835,5335,1876,2021
2020-07-07,55939,53099,8911,5411,1889,2045
2020-07-08,56464,52989,8996,5487,1907,2069
2020-07-09,57077,52914,9088,5563,1933,2092
2020-07-10,57773,52755,9175,5639,1952,2115
2020-07-11,58576,52565,9256,5714,1962,2138
2020-07-12,59430,52551,9303,5789,1965,2161
2020-07-13,60261,52634,9354,5864,1970,2183
2020-07-14,61132,52670,9426,5939,1979,2205
2020-07-15,61944,52602,9531,6014,1992,2227
2020-07-16,62775,52485,9684,6089,2004,2249
2020-07-17,63563,52167,9834,6164,2015,2270
2020-07-18,64433,51669,9958,6238,2021,2291
2020-07-19,65332,51536,10033,6312,2027,2312
2020-07-20,66238,51506,10119,6386,2035,2332
2020-07-21,67112,51563,10224,6460,2043,2352
2020-07-22,67934,51610,10348,6534,2051,2372
2020-07-23,68812,51715,10462,6608,2057,2392
2020-07-24,69720,51641,10618,6682,2065,2412
2020-07-25,70688,51543,10752,6756,2073,2432
2020-07-26,71797,51752,10874,6830,2078,2451
2020-07-27,72668,52077,11124,6904,2085,2470
2020-07-28,73539,52508,11380,6978,2100,2489
2020-07-29,74201,52963,11642,7053,2120,2508
2020-07-30,75011,53495,11771,7129,2146,2527
2020-07-31,75798,54216,11890,7205,2176,2546
2020-08-01,76600,55073,12017,7282,2206,2565
2020-08-02,77543,55806,12123,7361,2230,2584
2020-08-03,78558,56535,12249,7441,2239,2603
2020-08-04,79494,57209,12387,7522,2254,2622
2020-08-05,80269,57733,12514,7604,2272,2641
2020-08-06,81343,58266,12627,7686,2296,2660
2020-08-07,82600,58719,12734,7769,2312,2679
2020-08-08,83901,59119,12830,7853,2321,2698
2020-08-09,84774,59590,12909,7937,2325,2717
2020-08-10,85516,60103,13012,8022,2332,2736
2020-08-11,86210,60544,13120,8108,2341,2755
2020-08-12,87014,60928,13262,8194,2353,2774
2020-08-13,87928,61322,13371,8281,2361,2793
2020-08-14,88844,61612,13520,8369,2372,2812
2020-08-15,89728,61897,13651,8457,2379,2830
2020-08-16,90467,62215,13768,8545,2384,2848
2020-08-17,91235,62538,13840,8634,2388,2866
2020-08-18,91935,62815,13908,8723,2397,2884
2020-08-19,92653,63033,13996,8813,2411,2902
2020-08-20,93385,63228,14109,8903,2424,2920
2020-08-21,94270,63375,14231,8993,2435,2937
2020-08-22,95167,63488,14348,9083,2448,2954
2020-08-23,95999,63786,14426,9174,2460,2971
2020-08-24,96757,64202,14502,9265,2477,2988
2020-08-25,97491,64537,14581,9357,2493,3005
2020-08-26,98360,64860,14675,9449,2512,3022
2020-08-27,99236,65098,14770,9542,2530,3039
2020-08-28,100246,65305,14862,9635,2548,3055
2020-08-29,101214,65448,14940,9728,2562,3071
2020-08-30,102131,65862,15013,9821,2572,3087
2020-08-31,102971,66282,15094,9915,2587,3103
2020-09-01,103763,66844,15201,10010,2611,3119
2020-09-02,104651,67388,15304,10105,2635,3135
2020-09-03,105578,67840,15402,10201,2651,3151
2020-09-04,106530,68106,15507,10298,2663,3167
2020-09-05,107522,68278,15603,10395,2672,3182
2020-09-06,108375,68750,15687,10492,2679,3197
2020-09-07,109221,69407,15731,10590,2682,3212
2020-09-08,109907,70090,15826,10689,2689,3227
2020-09-09,110778,70766,15932,10789,2697,3242
2020-09-10,111722,71378,16057,10890,2705,3257
2020-09-11,112804,72060,16160,10992,2713,3272
2020-09-12,113812,72640,16243,11095,2719,3287
2020-09-13,114707,73486,16315,11199,2729,3302
2020-09-14,115492,74259,16373,11304,2768,3316
2020-09-15,116211,74835,16448,11410,2822,3330
2020-09-16,117011,75376,16552,11517,2881,3344
2020-09-17,117934,76054,16656,11625,2917,3358
2020-09-18,118892,76626,16760,11734,2953,3372
2020-09-19,119808,77210,16830,11843,2984,3386
2020-09-20,120549,78045,16877,11953,3008,3400
2020-09-21,121267,79198,16920,12064,3032,3414
2020-09-22,121883,80535,16973,12177,3056,3428
2020-09-23,122572,82084,17038,12292,3087,3442
2020-09-24,123286,83864,17107,12409,3112,3456
2020-09-25,124134,86296,17179,12529,3131,3470
2020-09-26,124888,89682,17294,12652,3146,3484
2020-09-27,125497,91789,17393,12780,3158,3498
2020-09-28,126079,93646,17500,12911,3172,3512
2020-09-29,126707,95034,17564,13045,3189,3527
2020-09-30,127322,96270,17640,13181,3207,3541
2020-10-01,127966,97380,17699,13318,3228,3555
2020-10-02,128730,98651,17758,13457,3249,3569
2020-10-03,129719,99860,17803,13598,3264,3583
2020-10-04,130620,101008,17850,13741,3273,3597
2020-10-05,131305,101930,17951,13885,3280,3611
2020-10-06,131789,102891,18064,14031,3290,3625
2020-10-07,132636,103705,18193,14178,3307,3639
2020-10-08,133699,104380,18267,14326,3325,3653
2020-10-09,135001,104926,18353,14475,3342,3667
2020-10-10,135979,105494,18425,14625,3352,3680
2020-10-11,136881,106134,18492,14776,3357,3693
2020-10-12,137772,106673,18562,14928,3363,3706
2020-10-13,138643,107215,18647,15080,3371,3719
2020-10-14,139660,107674,18745,15233,3380,3732
2020-10-15,140670,107997,18829,15387,3392,3745
2020-10-16,141783,108181,18912,15541,3406,3757
2020-10-17,142765,108220,18980,15695,3421,3769
2020-10-18,143589,108536,19042,15850,3437,3781
2020-10-19,144348,109117,19100,16005,3458,3793
2020-10-20,145135,109632,19164,16161,3485,3805
2020-10-21,146129,110108,19239,16318,3508,3816
2020-10-22,147210,110451,19317,16475,3526,3827
2020-10-23,148312,110581,19394,16633,3547,3838
2020-10-24,149317,110570,19460,16791,3565,3849
2020-10-25,150241,110990,19519,16949,3579,3860
2020-10-26,151164,111506,19601,17107,3586,3871
2020-10-27,152190,112096,19690,17266,3599,3881
2020-10-28,153392,112758,19773,17426,3617,3891
2020-10-29,154712,113399,19849,17587,3631,3901
2020-10-30,156103,113914,19923,17749,3644,3911
2020-10-31,157430,114376,19993,17912,3650,3921
2020-11-01,158620,115229,20058,18075,3655,3931
2020-11-02,159679,116066,20158,18240,3659,3941
2020-11-03,160710,116954,20267,18406,3667,3950
2020-11-04,161573,117790,20655,18573,3677,3959
2020-11-05,162578,118584,21009,18741,3682,3968
2020-11-06,163892,119161,21365,18910,3691,3977
2020-11-07,165476,119712,21433,19080,3697,3986
2020-11-08,166950,120499,21517,19251,3708,3995
2020-11-09,168197,121368,21609,19423,3715,4004
2020-11-10,169507,122297,21732,19596,3726,4013
2020-11-11,170880,123125,21860,19771,3741,4021
2020-11-12,172184,123905,21986,19947,3761,4029
2020-11-13,173486,124432,22096,20124,3780,4037
2020-11-14,174700,124946,22179,20302,3794,4045
2020-11-15,176396,127676,22268,20480,3801,4053
2020-11-16,178280,131489,22360,20662,3813,4061
2020-11-17,180437,135969,22474,20850,3833,4069
2020-11-18,182292,141408,22639,21044,3863,4077
2020-11-19,184295,147839,22799,21246,3889,4085
2020-11-20,186397,156579,22952,21457,3916,4093
2020-11-21,188627,168406,23044,21681,3931,4102
2020-11-22,191084,172164,23146,21921,3941,4111
2020-11-23,193557,174756,23294,22167,3954,4120
2020-11-24,196206,175970,23458,22417,3976,4129
2020-11-25,198631,176754,23624,22668,4005,4138
2020-11-26,200777,177507,23744,22920,4027,4147
2020-11-27,203091,177077,23854,23173,4042,4156
2020-11-28,205323,176882,23959,23426,4052,4164
2020-11-29,207668,178126,24072,23679,4058,4172
2020-11-30,209657,179806,24218,23933,4071,4180
2020-12-01,211633,181286,24404,24190,4089,4188
2020-12-02,213633,182724,24598,24449,4117,4196
2020-12-03,215847,184206,24800,24710,4140,4204
2020-12-04,218552,185811,24965,24973,4168,4212
2020-12-05,221901,187578,25116,25238,4185,4219
2020-12-06,225581,189697,25250,25506,4201,4226
2020-12-07,229383,191650,25279,25777,4222,4233
2020-12-08,233172,193472,25488,26051,4249,4240
2020-12-09,236982,195155,25693,26327,4292,4247
2020-12-10,240519,196683,26022,26606,4328,4254
2020-12-11,244114,198213,26213,26887,4371,4261
2020-12-12,247549,200003,26375,27170,4396,4268
2020-12-13,250962,201710,26518,27456,4411,4275
2020-12-14,254008,203387,26683,27744,4431,4282
2020-12-15,257233,204650,26869,28034,4464,4288
2020-12-16,260606,206530,27098,28326,4510,4294
2020-12-17,264075,208034,27279,28621,4553,4300
2020-12-18,267416,209366,27470,28918,4598,4306
2020-12-19,270811,210817,27628,29217,4630,4312
