t,R_mean,R_low,R_high
21,1.5039207095518337,1.45985780050307,1.5486296139277567
22,1.4742835542862633,1.4324198577226974,1.5167418221194142
23,1.3961339337777994,1.3569625986730363,1.4358548668047326
24,1.3295074489050798,1.292684803089648,1.366840007073841
25,1.2735372619162038,1.2387373510566835,1.308812529414852
26,1.2208493881274096,1.187817224679792,1.2543282639671764
27,1.187712805821359,1.1559676164276782,1.2198820172397384
28,1.1652907444209795,1.1345086037997867,1.1964791776788695
29,1.1492069125815179,1.1191692157433324,1.1796368474753038
30,1.1415403435276545,1.1120468103120424,1.1714145138170133
31,1.1387107993646781,1.109644038454439,1.168148122020033
32,1.133014212650334,1.1043773921943998,1.1620124762683284
33,1.125284877607962,1.0970830731339154,1.1538395973774909
34,1.1171402568112996,1.0893655793335806,1.145259701406575
35,1.1213555221326696,1.0938411179362486,1.149206935075299
36,1.1200813685053501,1.092877740740223,1.1476147682647304
37,1.1192049131722355,1.0922894226626618,1.1464434408935755
38,1.1224242969980152,1.0957407561294354,1.1494243768253296
39,1.117440283351354,1.0910869233011837,1.144103744691061
40,1.1069182441598975,1.0809600482319703,1.1331801509657466
41,1.107704716545964,1.0820059487053624,1.133700906097789
42,1.1032120979810893,1.0778242168628687,1.1288914029188897
43,1.0973238451696898,1.0722447237124835,1.1226888484116286
44,1.0881522194986892,1.0634042438982647,1.1131809077457209
45,1.0745241797497305,1.0501471374453384,1.0991770293225398
46,1.0544404565199206,1.0304948317434737,1.0786572847256863
47,1.0483569118102036,1.024662726596132,1.0723181612335344
48,1.0594329138836385,1.0357668195755945,1.0833626192575212
49,1.0729691400689527,1.0492715043414016,1.0969277223863998
50,1.0873812785760508,1.0636247622329105,1.1113965330357902
51,1.0977648772627129,1.0740060139744423,1.1217800556049142
52,1.1027949359098856,1.0791265693956849,1.1267164853991725
53,1.1074258703054674,1.083889620940019,1.131211410866821
54,1.106355623413043,1.0830370019732012,1.1299191622717306
55,1.1098790896907678,1.0867390181993133,1.133259549154055
56,1.0952384397560366,1.0724669818474688,1.1182457930205363
57,1.0863471092458528,1.0638796371069745,1.1090460874114338
58,1.0774271040574166,1.0552567213870705,1.0998247651416897
59,1.068180201196796,1.0462932474511248,1.0902905671068264
60,1.0665674985460947,1.0448620943640088,1.0884929407659831
61,1.0586521484119444,1.0371705810211933,1.0803508439293772
62,1.0488485133577972,1.0275933339220205,1.0703182526725337
63,1.0428956344161564,1.0218176331088134,1.0641858320796251
64,1.0404904905431906,1.0195437620944077,1.0616472565188892
65,1.0411206817873535,1.0202605582646804,1.0621889735665149
66,1.0408264736096309,1.0200484805095327,1.0618110497834583
67,1.0431521732226419,1.0224226251252968,1.0640868744081258
68,1.0389443757208958,1.0183282399419837,1.0597642448115563
69,1.0269271561601936,1.0065052588854524,1.0475513095804967
70,1.0153295139523932,0.9950994963014281,1.0357602758090667
71,1.0005005107757812,0.9804889096428537,1.0207114639300687
72,0.9850013378077135,0.9651979232809251,1.0050030602915256
73,0.9709350376715693,0.9513009404120621,0.990766901998975
74,0.9540349184788749,0.9345721238627764,0.9736955044635333
75,0.9507300766297092,0.9312720990395176,0.9703864414539096
76,0.950586073282429,0.9310732181904025,0.9702984725279078
77,0.961503904405298,0.9417973296541284,0.9814116908259943
78,0.9708044217534686,0.9509061340498651,0.9909058898698111
79,0.9736118547738205,0.9535898904672365,0.9938389468651401
80,0.9701240282968535,0.9500602435345902,0.9903945513633742
81,0.9569678510147681,0.9369851463739233,0.9771584665259224
82,0.9601458389624926,0.9400853267841104,0.9804151919828332
83,0.9660903699137361,0.9459171754873197,0.9864734571692514
84,0.969314387401473,0.9490391425187833,0.9898009526604489
85,0.9775789382600678,0.9571378423938068,0.9982330091945136
86,0.9880541142613217,0.9674293471618393,1.0088933984146142
87,1.0002053884505948,0.9793944874460546,1.0212320352347188
88,1.0096289464389472,0.9886788511792666,1.0307956363165875
89,1.0134557417889762,0.9924451676873095,1.034683338224666
90,1.0103813650284965,0.9894038366011032,1.0315758952425416
91,1.0073552578212648,0.9864287525534302,1.0284983605254967
92,1.0137360359832446,0.9927714551923627,1.0349166247159318
93,1.0267140192853812,1.0056407949770576,1.048002720539298
94,1.050016197598877,1.0287236237097068,1.0715238489526966
95,1.0782141834845342,1.0566605886075713,1.0999823667244666
96,1.133408498686488,1.1113575303335372,1.1556730783243745
