date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,7619,9567,2141,2170,330,334
2020-04-13,7808,10033,2287,2209,344,339
2020-04-14,8080,11461,2666,2252,377,345
2020-04-15,8262,12085,3135,2304,412,352
2020-04-16,8330,13329,3672,2362,450,359
2020-04-17,8292,14065,4224,2430,482,367
2020-04-18,8130,15183,4776,2505,509,375
2020-04-19,8122,15971,5282,2591,530,384
2020-04-20,8160,17027,5842,2687,554,394
2020-04-21,8258,17973,6511,2795,578,405
2020-04-22,8245,19094,7284,2915,612,416
2020-04-23,8141,20095,8174,3050,641,428
2020-04-24,7995,21187,9055,3200,668,441
2020-04-25,7656,22206,9968,3367,685,455
2020-04-26,7752,23287,10639,3551,703,470
2020-04-27,7958,24286,11239,3755,732,486
2020-04-28,8255,25355,12090,3979,767,503
2020-04-29,8332,26361,13074,4225,811,521
2020-04-30,8801,27449,13852,4493,849,540
2020-05-01,9260,28464,14378,4787,897,560
2020-05-02,9533,29500,14852,5107,937,581
2020-05-03,9512,30513,15508,5455,974,603
2020-05-04,9599,31464,16141,5832,996,626
2020-05-05,9927,32393,16834,6239,1019,650
2020-05-06,10325,33326,17617,6678,1044,675
2020-05-07,10878,34235,18419,7150,1075,701
2020-05-08,11514,35139,19259,7657,1109,728
2020-05-09,11779,36037,20120,8200,1145,757
2020-05-10,11588,37008,21259,8781,1177,787
2020-05-11,11393,37879,22385,9403,1209,818
2020-05-12,11609,38746,23218,10066,1237,850
2020-05-13,11957,39588,23841,10771,1278,883
2020-05-14,12018,40447,24486,11520,1323,917
2020-05-15,11988,41250,25514,12315,1373,952
2020-05-16,11935,42086,26541,13155,1409,989
2020-05-17,12079,42944,27514,14044,1434,1027
2020-05-18,12178,43742,28433,14982,1458,1066
2020-05-19,12294,44498,29504,15971,1487,1106
2020-05-20,12416,45252,30454,17010,1520,1147
2020-05-21,12735,45939,31076,18100,1545,1190
2020-05-22,12935,46668,31574,19241,1561,1234
2020-05-23,12820,47486,32295,20435,1583,1279
2020-05-24,12014,48332,33651,21685,1605,1325
2020-05-25,11470,49057,35017,22993,1627,1372
2020-05-26,10963,49632,36431,24356,1647,1421
2020-05-27,10814,50197,37635,25771,1670,1471
2020-05-28,10229,50732,39258,27237,1694,1522
2020-05-29,9654,51252,40857,28754,1720,1574
2020-05-30,9284,51880,42030,30322,1743,1627
2020-05-31,9446,52513,42728,31944,1765,1681
2020-06-01,9881,53087,43426,33620,1784,1736
2020-06-02,10034,53698,44571,35349,1808,1792
2020-06-03,12386,54341,45724,37132,1841,1849
2020-06-04,15230,54940,46840,38969,1871,1908
2020-06-05,18192,55640,47853,40859,1900,1968
2020-06-06,18448,56483,49069,42805,1921,2029
2020-06-07,18293,57381,50161,44812,1937,2092
2020-06-08,19431,58062,50909,46882,1950,2156
2020-06-09,21554,58711,51576,49007,1970,2221
2020-06-10,23433,59264,52561,51186,1996,2288
2020-06-11,24473,59900,53934,53414,2024,2356
2020-06-12,24905,60677,55296,55694,2050,2425
2020-06-13,25162,61597,56711,58031,2072,2495
2020-06-14,26077,62545,57988,60430,2092,2567
2020-06-15,27826,63209,59370,62892,2122,2641
2020-06-16,30514,63751,60712,65406,2159,2716
2020-06-17,32561,64247,62287,67965,2198,2792
2020-06-18,34594,64703,63836,70568,2231,2869
2020-06-19,36556,65287,65412,73212,2262,2947
2020-06-20,38432,65965,66974,75901,2286,3027
2020-06-21,40494,66765,68261,78639,2309,3108
2020-06-22,43446,67295,69467,81430,2330,3190
2020-06-23,47218,67787,70934,84263,2360,3273
2020-06-24,50962,68292,72702,87135,2398,3358
2020-06-25,55537,68926,74558,90046,2440,3444
2020-06-26,59940,69628,76342,93001,2482,3531
2020-06-27,64531,70535,78168,96002,2518,3619
2020-06-28,69048,71529,79852,99058,2550,3709
2020-06-29,73816,72329,82042,102172,2578,3801
2020-06-30,78855,73061,84569,105335,2616,3894
2020-07-01,82345,73871,87698,108544,2662,3988
2020-07-02,85823,74801,90616,111802,2715,4084
2020-07-03,87947,76000,93907,115114,2762,4181
2020-07-04,90608,77231,97281,118491,2805,4280
2020-07-05,93564,78450,100685,121934,2847,4381
2020-07-06,97541,79391,104370,125442,2910,4484
2020-07-07,102141,80153,108517,129003,2989,4589
2020-07-08,106832,80803,113365,132609,3100,4695
2020-07-09,112219,81685,118202,136253,3197,4803
2020-07-10,116554,82655,123067,139946,3293,4912
2020-07-11,119727,83836,127838,143692,3371,5023
2020-07-12,123368,84809,132312,147500,3454,5136
2020-07-13,127112,85511,137151,151360,3540,5250
2020-07-14,131254,86106,142697,155260,3646,5365
2020-07-15,133639,86832,149203,159194,3779,5481
2020-07-16,134936,87613,155801,163168,3936,5599
2020-07-17,136278,88600,162569,167184,4088,5718
2020-07-18,137912,89883,168236,171252,4210,5838
2020-07-19,141193,91073,173462,175385,4319,5960
2020-07-20,143895,91949,179112,179578,4416,6084
2020-07-21,145877,92667,186571,183817,4576,6210
2020-07-22,146488,93314,195223,188094,4750,6337
2020-07-23,146735,94037,203785,192405,4960,6465
2020-07-24,145599,94897,212517,196754,5137,6594
2020-07-25,140625,95920,223501,201148,5304,6724
2020-07-26,136375,96909,234245,205593,5636,6855
2020-07-27,136725,97686,241892,210088,5988,6988
