date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,1350,7034,535,538,105,105
2020-04-13,1338,6798,566,556,105,107
2020-04-14,1352,8045,629,573,111,109
2020-04-15,1401,7718,714,594,116,112
2020-04-16,1439,8274,823,614,127,115
2020-04-17,1486,7907,932,635,136,118
2020-04-18,1541,8239,1046,655,142,121
2020-04-19,1618,7987,1139,676,148,124
2020-04-20,1679,8211,1235,697,157,127
2020-04-21,1785,7902,1255,718,170,130
2020-04-22,1890,8081,1281,738,182,133
2020-04-23,2021,7835,1332,759,192,136
2020-04-24,2115,7996,1411,779,198,139
2020-04-25,2248,7826,1474,800,204,142
2020-04-26,2340,8073,1504,820,208,145
2020-04-27,2479,7889,1511,841,215,148
2020-04-28,2583,8079,1549,861,224,151
2020-04-29,2705,7952,1602,882,233,154
2020-04-30,2816,8107,1653,902,240,157
2020-05-01,2858,7969,1721,923,244,160
2020-05-02,2918,8173,1796,944,249,163
2020-05-03,2934,8177,1896,965,254,166
2020-05-04,3161,8366,1975,986,263,169
2020-05-05,3364,8376,2030,1008,273,172
2020-05-06,3597,8551,2080,1030,284,175
2020-05-07,3706,8555,2120,1052,291,178
2020-05-08,3797,8729,2189,1074,299,181
2020-05-09,3830,8795,2254,1096,305,184
2020-05-10,3903,9425,2307,1119,309,187
2020-05-11,4011,10069,2330,1143,315,190
2020-05-12,4068,10830,2405,1169,321,193
2020-05-13,4141,11542,2510,1197,326,197
2020-05-14,4210,12337,2635,1227,329,201
2020-05-15,4419,13145,2700,1259,333,205
2020-05-16,4518,14351,2749,1293,339,209
2020-05-17,4639,14959,2787,1330,344,214
2020-05-18,4714,15251,2831,1368,352,219
2020-05-19,4823,15644,2872,1407,362,224
2020-05-20,4895,15787,2903,1447,376,229
2020-05-21,4961,16017,2948,1488,384,234
2020-05-22,5039,15909,2998,1529,390,239
2020-05-23,5068,16241,3062,1570,392,244
2020-05-24,5080,15973,3098,1612,393,249
2020-05-25,5188,15659,3116,1653,393,254
2020-05-26,5339,15416,3131,1693,396,259
2020-05-27,5518,15185,3152,1733,401,264
2020-05-28,5662,14971,3171,1772,409,269
2020-05-29,5834,14624,3197,1811,420,274
2020-05-30,5973,14485,3221,1849,430,279
2020-05-31,6128,14139,3253,1886,437,284
2020-06-01,6271,13532,3267,1922,440,289
2020-06-02,6493,13051,3277,1957,443,293
2020-06-03,6696,12425,3287,1991,450,297
2020-06-04,6939,11936,3300,2023,458,301
2020-06-05,7201,11211,3323,2054,465,305
2020-06-06,7372,10772,3342,2083,469,309
2020-06-07,7523,11082,3356,2111,471,313
2020-06-08,7656,11638,3361,2140,473,317
2020-06-09,7845,11870,3366,2170,477,321
2020-06-10,7983,12443,3378,2201,484,325
2020-06-11,8115,12632,3392,2233,491,329
2020-06-12,8283,13157,3405,2266,497,333
2020-06-13,8439,13642,3412,2300,501,337
2020-06-14,8592,14353,3414,2335,506,341
2020-06-15,8647,14466,3421,2372,511,346
2020-06-16,8818,14982,3430,2409,515,351
2020-06-17,8968,15013,3460,2448,518,356
2020-06-18,9207,15417,3488,2487,520,361
2020-06-19,9387,15392,3518,2527,522,366
2020-06-20,9559,16195,3527,2567,525,371
2020-06-21,9676,16450,3533,2609,530,376
2020-06-22,9822,16736,3553,2651,535,381
2020-06-23,9967,16833,3610,2694,537,386
2020-06-24,10161,17110,3672,2737,540,391
2020-06-25,10327,17101,3741,2781,545,396
2020-06-26,10534,17248,3796,2825,551,401
2020-06-27,10662,17509,3869,2869,555,406
2020-06-28,10776,17935,3915,2914,557,411
2020-06-29,10884,17788,3956,2960,561,416
2020-06-30,11046,17990,3993,3006,565,421
2020-07-01,11020,17667,4256,3052,572,426
2020-07-02,11007,17453,4512,3097,580,431
2020-07-03,10939,16728,4752,3142,586,436
2020-07-04,11014,16708,4772,3185,590,441
2020-07-05,11262,17097,4780,3228,592,446
2020-07-06,11616,18277,4803,3272,596,451
2020-07-07,12083,18916,4846,3319,601,456
2020-07-08,12390,20224,4897,3368,607,462
2020-07-09,12629,20762,5036,3420,613,468
2020-07-10,12885,21818,5176,3473,618,474
2020-07-11,13127,22467,5311,3529,622,480
2020-07-12,13422,23022,5340,3587,625,486
2020-07-13,13767,22487,5359,3646,629,493
2020-07-14,14146,22945,5402,3704,636,499
2020-07-15,14564,22411,5454,3763,643,505
2020-07-16,14555,22679,5915,3821,651,511
2020-07-17,14592,21734,6374,3879,658,517
2020-07-18,14819,22020,6832,3935,665,523
2020-07-19,15383,20799,6867,3992,669,529
2020-07-20,15981,20419,6893,4046,671,535
2020-07-21,16396,19356,6934,4099,674,541
2020-07-22,16913,19002,6991,4149,678,546
2020-07-23,17375,17815,7147,4198,684,551
2020-07-24,17962,17122,7295,4244,690,556
2020-07-25,18462,15920,7435,4288,695,561
2020-07-26,18985,15602,7458,4329,701,565
2020-07-27,19417,14633,7467,4369,709,569
2020-07-28,19947,14621,7477,4407,717,573
2020-07-29,20499,13773,7518,4445,724,577
2020-07-30,21169,13721,7522,4480,730,581
2020-07-31,21583,12680,7768,4515,735,585
2020-08-01,21930,12677,8017,4548,739,588
2020-08-02,22095,12703,8301,4581,742,591
2020-08-03,22527,13821,8358,4614,745,594
2020-08-04,22997,13893,8402,4650,749,598
2020-08-05,23511,14935,8465,4686,754,602
2020-08-06,23979,14881,8526,4724,758,606
2020-08-07,24505,15645,8606,4762,765,610
2020-08-08,25006,15500,8677,4802,769,614
2020-08-09,25438,16476,8727,4842,773,618
2020-08-10,25801,16352,8765,4884,777,622
2020-08-11,26399,17295,8816,4926,782,626
2020-08-12,27127,17151,8892,4971,789,630
2020-08-13,27888,17940,8959,5015,796,634
2020-08-14,28464,17674,9036,5061,804,638
2020-08-15,28806,18583,9101,5106,812,642
2020-08-16,29221,18061,9146,5154,816,646
2020-08-17,29635,18346,9183,5200,822,650
2020-08-18,30235,17912,9240,5247,830,654
