date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,769,2437,14,32,19,19
2020-04-13,796,2325,19,90,19,20
2020-04-14,821,2358,29,145,20,21
2020-04-15,857,2354,39,201,20,22
2020-04-16,903,2366,48,257,22,23
2020-04-17,1006,2377,58,313,25,24
2020-04-18,1168,2399,68,369,27,25
2020-04-19,1349,2427,78,426,30,26
2020-04-20,1482,2446,87,484,33,27
2020-04-21,1581,2459,97,542,37,28
2020-04-22,1752,2469,107,600,41,29
2020-04-23,1983,2486,117,659,46,30
2020-04-24,2269,2502,127,718,52,31
2020-04-25,2531,2536,136,777,56,32
2020-04-26,2830,2583,146,837,59,33
2020-04-27,3082,2604,156,898,63,34
2020-04-28,3343,2612,166,960,66,35
2020-04-29,3640,2623,175,1022,68,36
2020-04-30,4124,2630,185,1084,71,37
2020-05-01,4599,2651,195,1146,74,38
2020-05-02,5045,2687,205,1209,78,39
2020-05-03,5376,2727,214,1273,81,40
2020-05-04,5718,2750,221,1338,84,41
2020-05-05,5980,2774,299,1403,87,42
2020-05-06,6260,2799,449,1469,89,43
2020-05-07,6515,2819,674,1535,91,44
2020-05-08,6756,2842,899,1602,93,45
2020-05-09,6809,2877,1123,1669,95,46
2020-05-10,6778,3042,1348,1737,97,47
2020-05-11,6699,3183,1573,1809,98,48
2020-05-12,6717,3317,1798,1884,102,49
2020-05-13,6772,3442,2022,1963,107,50
2020-05-14,6902,3569,2247,2045,111,51
2020-05-15,7107,3736,2472,2130,117,52
2020-05-16,7182,3919,2697,2219,123,53
2020-05-17,7289,4005,2921,2312,130,54
2020-05-18,7272,4054,3146,2407,134,55
2020-05-19,7358,4113,3371,2503,138,56
2020-05-20,7396,4171,3596,2600,142,57
2020-05-21,7437,4236,3821,2699,145,58
2020-05-22,7491,4329,4045,2799,148,59
2020-05-23,7500,4482,4270,2902,149,60
2020-05-24,7508,4517,4495,3008,150,62
2020-05-25,7500,4573,4720,3115,151,64
2020-05-26,7559,4590,4944,3223,152,66
2020-05-27,7625,4580,5169,3332,156,68
2020-05-28,7739,4572,5394,3441,160,70
2020-05-29,7815,4567,5619,3549,166,72
2020-05-30,7870,4577,5843,3657,171,74
2020-05-31,7873,4533,6068,3765,176,76
2020-06-01,7881,4460,6293,3872,180,78
2020-06-02,7914,4382,6518,3978,183,80
2020-06-03,7940,4300,6755,4082,185,81
2020-06-04,7841,4234,7115,4184,187,82
2020-06-05,7665,4176,7520,4284,187,83
2020-06-06,7424,4134,7936,4383,187,84
2020-06-07,7265,4205,8222,4481,187,85
2020-06-08,7152,4204,8449,4581,188,86
2020-06-09,7094,4197,8637,4681,189,87
2020-06-10,7099,4200,8801,4780,197,88
2020-06-11,7094,4214,8998,4880,206,89
2020-06-12,7016,4260,9261,4980,215,90
2020-06-13,6840,4322,9572,5081,218,91
2020-06-14,6651,4554,9870,5183,219,92
2020-06-15,6533,4689,10117,5291,223,94
2020-06-16,6479,4814,10333,5402,228,96
2020-06-17,6446,4932,10547,5516,234,98
2020-06-18,6387,5055,10785,5633,239,100
2020-06-19,6279,5203,11046,5753,244,102
2020-06-20,6141,5371,11314,5876,247,104
2020-06-21,6028,5576,11551,6003,248,106
2020-06-22,5934,5703,11773,6135,251,108
2020-06-23,5853,5842,11987,6270,254,110
2020-06-24,5799,5946,12166,6408,257,112
2020-06-25,5824,6057,12278,6549,261,114
2020-06-26,5842,6204,12442,6693,264,116
2020-06-27,5777,6399,12688,6840,267,118
2020-06-28,5613,6552,13024,6992,268,120
2020-06-29,5462,6610,13307,7147,270,122
2020-06-30,5368,6617,13535,7304,273,124
2020-07-01,5339,6608,13697,7461,277,126
2020-07-02,5339,6595,13855,7618,280,128
2020-07-03,5354,6617,14009,7774,283,130
2020-07-04,5334,6739,14187,7931,284,132
2020-07-05,5257,6804,14393,8091,284,134
2020-07-06,5194,6774,14580,8252,284,136
2020-07-07,5166,6735,14775,8413,283,138
2020-07-08,5228,6702,14905,8573,283,140
2020-07-09,5270,6696,15054,8732,284,142
2020-07-10,5269,6674,15245,8891,285,144
2020-07-11,5220,6699,15476,9049,286,146
2020-07-12,5208,6837,15694,9208,287,148
2020-07-13,5273,6866,15869,9370,287,150
2020-07-14,5380,6909,16030,9533,288,152
2020-07-15,5467,6985,16184,9697,292,154
2020-07-16,5517,7056,16343,9863,298,156
2020-07-17,5525,7141,16496,10030,304,158
2020-07-18,5511,7250,16655,10199,309,160
2020-07-19,5467,7456,16859,10371,311,162
2020-07-20,5511,7484,17050,10548,312,165
2020-07-21,5617,7510,17246,10725,311,168
