date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,7619,9556,2141,2170,330,334
2020-04-13,7808,10018,2287,2209,344,339
2020-04-14,8080,11478,2666,2252,377,345
2020-04-15,8262,12153,3135,2304,412,352
2020-04-16,8330,13466,3672,2362,450,359
2020-04-17,8292,14291,4224,2430,482,367
2020-04-18,8130,15515,4776,2507,509,376
2020-04-19,8122,16427,5282,2595,530,385
2020-04-20,8160,17599,5842,2694,554,395
2020-04-21,8258,18692,6511,2806,578,406
2020-04-22,8245,19964,7284,2931,612,418
2020-04-23,8141,21150,8174,3072,641,431
2020-04-24,7995,22426,9055,3230,668,445
2020-04-25,7656,23669,9968,3407,685,460
2020-04-26,7752,24958,10639,3603,703,476
2020-04-27,7958,26191,11239,3821,732,493
2020-04-28,8255,27493,12090,4062,767,511
2020-04-29,8332,28764,13074,4328,811,530
2020-04-30,8801,30123,13852,4621,849,551
2020-05-01,9260,31426,14378,4943,897,573
2020-05-02,9533,32750,14852,5296,937,596
2020-05-03,9512,34071,15508,5682,974,621
2020-05-04,9599,35301,16141,6103,996,647
2020-05-05,9927,36543,16834,6560,1019,674
2020-05-06,10325,37794,17617,7055,1044,703
2020-05-07,10878,39046,18419,7591,1075,733
2020-05-08,11514,40288,19259,8169,1109,764
2020-05-09,11779,41563,20120,8792,1145,797
2020-05-10,11588,42740,21259,9462,1177,831
2020-05-11,11393,43745,22385,10180,1209,867
2020-05-12,11609,44746,23218,10946,1237,904
2020-05-13,11957,45714,23841,11761,1278,942
2020-05-14,12018,46691,24486,12626,1323,982
2020-05-15,11988,47633,25514,13543,1373,1023
2020-05-16,11935,48608,26541,14514,1409,1065
2020-05-17,12079,49679,27514,15540,1434,1109
2020-05-18,12178,50681,28433,16626,1458,1154
2020-05-19,12294,51651,29504,17771,1487,1201
2020-05-20,12416,52628,30454,18977,1520,1249
2020-05-21,12735,53570,31076,20245,1545,1298
2020-05-22,12935,54517,31574,21576,1561,1349
2020-05-23,12820,55582,32295,22971,1583,1401
2020-05-24,12014,57105,33651,24434,1605,1455
2020-05-25,11470,58623,35017,25979,1627,1511
2020-05-26,10963,59905,36431,27608,1647,1569
2020-05-27,10814,61245,37635,29315,1670,1629
2020-05-28,10229,62492,39258,31104,1694,1691
2020-05-29,9654,63787,40857,32973,1720,1755
2020-05-30,9284,65180,42030,34924,1743,1821
2020-05-31,9446,66737,42728,36962,1765,1889
2020-06-01,9881,68134,43426,39092,1784,1959
2020-06-02,10034,69582,44571,41311,1808,2031
2020-06-03,12386,71020,45724,43621,1841,2105
2020-06-04,15230,72456,46840,46022,1871,2182
2020-06-05,18192,73961,47853,48515,1900,2261
2020-06-06,18448,75704,49069,51102,1921,2342
2020-06-07,18293,76694,50161,53793,1937,2426
2020-06-08,19431,77177,50909,56560,1950,2512
2020-06-09,21554,77582,51576,59385,1970,2599
2020-06-10,23433,77879,52561,62264,1996,2687
2020-06-11,24473,78192,53934,65192,2024,2776
2020-06-12,24905,78494,55296,68169,2050,2866
2020-06-13,25162,78908,56711,71193,2072,2957
2020-06-14,26077,80177,57988,74267,2092,3049
2020-06-15,27826,81295,59370,77424,2122,3143
2020-06-16,30514,82316,60712,80657,2159,3239
2020-06-17,32561,83331,62287,83962,2198,3337
2020-06-18,34594,84326,63836,87338,2231,3437
2020-06-19,36556,85475,65412,90784,2262,3539
2020-06-20,38432,86859,66974,94305,2286,3643
2020-06-21,40494,88165,68261,97910,2309,3749
2020-06-22,43446,89137,69467,101596,2330,3858
2020-06-23,47218,90001,70934,105348,2360,3969
2020-06-24,50962,90924,72702,109161,2398,4081
2020-06-25,55537,91895,74558,113037,2440,4195
2020-06-26,59940,93118,76342,116977,2482,4311
2020-06-27,64531,94726,78168,120991,2518,4429
2020-06-28,69048,95525,79852,125095,2550,4550
2020-06-29,73816,95818,82042,129254,2578,4672
2020-06-30,78855,96027,84569,133445,2616,4795
2020-07-01,82345,96232,87698,137663,2662,4919
2020-07-02,85823,96508,90616,141907,2715,5044
2020-07-03,87947,96980,93907,146179,2762,5170
2020-07-04,90608,97714,97281,150488,2805,5297
2020-07-05,93564,97775,100685,154844,2847,5425
2020-07-06,97541,97406,104370,159217,2910,5554
2020-07-07,102141,96906,108517,163586,2989,5683
2020-07-08,106832,96216,113365,167945,3100,5812
2020-07-09,112219,95682,118202,172285,3197,5940
2020-07-10,116554,95097,123067,176611,3293,6068
2020-07-11,119727,94699,127838,180921,3371,6195
2020-07-12,123368,94914,132312,185222,3454,6322
2020-07-13,127112,94980,137151,189542,3540,6450
2020-07-14,131254,95050,142697,193874,3646,6578
2020-07-15,133639,95238,149203,198217,3779,6707
2020-07-16,134936,95505,155801,202576,3936,6836
2020-07-17,136278,95887,162569,206954,4088,6966
2020-07-18,137912,96553,168236,211356,4210,7096
2020-07-19,141193,97983,173462,215795,4319,7227
2020-07-20,143895,99249,179112,220306,4416,7361
2020-07-21,145877,100300,186571,224881,4576,7497
2020-07-22,146488,101396,195223,229510,4750,7634
2020-07-23,146735,102434,203785,234195,4960,7773
2020-07-24,145599,103732,212517,238933,5137,7913
2020-07-25,140625,105256,223501,243736,5304,8055
2020-07-26,136375,107044,234245,248614,5636,8199
2020-07-27,136725,108544,241892,253579,5988,8346
2020-07-28,140705,109853,246748,258617,6370,8495
2020-07-29,143721,111069,252112,263720,6609,8646
2020-07-30,142056,112312,261693,268883,6829,8798
2020-07-31,136306,113769,274582,274108,7057,8952
2020-08-01,129836,115567,286875,279404,7208,9108
2020-08-02,126325,115588,294952,284787,7370,9266
2020-08-03,129802,115129,300368,290174,7522,9424
2020-08-04,134084,114515,306445,295542,7784,9581
2020-08-05,137044,113759,315239,300884,8273,9737
2020-08-06,137115,113098,323708,306193,8777,9892
2020-08-07,140088,112380,331271,311474,9226,10046
2020-08-08,144633,111732,338285,316723,9421,10199
2020-08-09,151739,111722,344340,321944,9553,10351
2020-08-10,157236,111649,350996,327166,9615,10502
2020-08-11,160832,111524,358499,332387,9747,10653
2020-08-12,161276,111503,367142,337604,9926,10803
2020-08-13,163021,111497,375610,342821,10206,10953
2020-08-14,164679,111522,384247,348039,10449,11102
2020-08-15,165766,111691,392185,353260,10659,11251
2020-08-16,164908,112730,399551,358490,10786,11400
2020-08-17,163804,113584,407097,363770,10916,11550
2020-08-18,163485,114331,415468,369091,11089,11700
2020-08-19,161742,115259,424182,374448,11325,11851
2020-08-20,159929,116085,431823,379850,11572,12003
2020-08-21,157392,117296,438938,385291,11785,12155
2020-08-22,154846,118612,445543,390790,11955,12308
2020-08-23,152097,120443,451662,396352,12066,12462
2020-08-24,149694,121857,458502,402000,12181,12618
