date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,3319,20582,186,194,118,120
2020-04-13,3356,20374,207,244,122,131
2020-04-14,3401,24948,294,293,131,142
2020-04-15,3498,24646,364,354,141,156
2020-04-16,3547,26371,537,414,153,170
2020-04-17,3584,26069,740,478,166,185
2020-04-18,3627,27193,918,541,177,200
2020-04-19,3657,27059,1066,607,185,216
2020-04-20,3735,27944,1156,673,194,232
2020-04-21,3809,27945,1246,741,210,248
2020-04-22,4001,28674,1270,809,229,265
2020-04-23,4229,28798,1286,879,248,282
2020-04-24,4459,29434,1313,949,262,299
2020-04-25,4666,29669,1347,1020,275,317
2020-04-26,4848,30272,1382,1092,285,335
2020-04-27,5024,30597,1417,1165,297,354
2020-04-28,5212,31198,1447,1239,304,373
2020-04-29,5487,31593,1474,1315,312,393
2020-04-30,5787,32136,1500,1392,324,413
2020-05-01,6124,32554,1530,1470,342,434
2020-05-02,6399,33063,1563,1549,362,455
2020-05-03,6666,33492,1598,1629,378,476
2020-05-04,6934,33962,1633,1710,389,498
2020-05-05,7242,34432,1665,1792,405,520
2020-05-06,7534,34929,1695,1876,423,543
2020-05-07,7875,35406,1720,1961,464,566
2020-05-08,7927,35892,2051,2047,499,590
2020-05-09,7938,36371,2402,2134,528,614
2020-05-10,7848,36858,2770,2222,536,639
2020-05-11,8021,37301,2845,2311,546,664
2020-05-12,8299,37785,2913,2402,566,690
2020-05-13,8628,38242,2987,2494,593,716
2020-05-14,8997,38681,3066,2587,623,743
2020-05-15,9326,39087,3192,2681,651,770
2020-05-16,9606,39512,3317,2776,670,797
2020-05-17,9798,39960,3459,2872,682,825
2020-05-18,9982,40421,3571,2969,690,853
2020-05-19,10172,40893,3678,3067,713,882
2020-05-20,10426,41330,3779,3166,738,911
2020-05-21,10666,41764,3864,3266,762,941
2020-05-22,10943,42108,3951,3367,781,971
2020-05-23,11185,42447,4038,3469,795,1001
2020-05-24,11406,42921,4123,3572,806,1032
2020-05-25,11586,43499,4211,3676,808,1063
2020-05-26,11815,44148,4287,3782,817,1095
2020-05-27,12149,44838,4370,3889,834,1127
2020-05-28,12575,45476,4454,3998,860,1160
2020-05-29,13099,46012,4553,4108,883,1193
2020-05-30,13667,46494,4656,4220,899,1227
2020-05-31,14103,47111,4762,4333,909,1261
2020-06-01,14656,47773,4865,4447,922,1296
2020-06-02,15331,48623,4970,4563,948,1331
2020-06-03,16122,49465,5071,4681,975,1367
2020-06-04,17046,50314,5182,4801,999,1404
2020-06-05,17950,51095,5289,4923,1019,1441
2020-06-06,19186,51882,5404,5047,1036,1479
2020-06-07,20139,52556,5518,5173,1049,1517
2020-06-08,20954,53251,5640,5301,1060,1556
2020-06-09,21781,54019,5751,5430,1076,1596
2020-06-10,22798,54723,5903,5561,1104,1636
2020-06-11,24205,55348,6051,5694,1130,1677
2020-06-12,25658,55851,6170,5828,1160,1718
2020-06-13,27040,56381,6250,5964,1178,1759
2020-06-14,28208,56973,6334,6101,1194,1801
2020-06-15,29574,57627,6464,6239,1207,1843
2020-06-16,31171,58309,6591,6379,1226,1886
2020-06-17,33211,58989,6725,6521,1253,1929
2020-06-18,35615,59725,6865,6664,1284,1973
2020-06-19,38486,60396,7025,6809,1316,2017
2020-06-20,41338,61092,7200,6956,1338,2061
2020-06-21,43703,61751,7388,7104,1348,2106
2020-06-22,46253,62384,7571,7254,1365,2151
2020-06-23,48564,62981,7754,7405,1404,2197
2020-06-24,51224,63559,7940,7558,1452,2243
2020-06-25,53723,64168,8154,7712,1499,2289
2020-06-26,56756,64793,8395,7868,1537,2335
2020-06-27,60006,65466,8658,8025,1570,2382
2020-06-28,62352,65932,8921,8184,1590,2429
2020-06-29,65113,66432,9172,8344,1612,2476
2020-06-30,68201,67017,9435,8505,1656,2523
2020-07-01,72127,67617,9754,8668,1711,2571
2020-07-02,75935,68213,10110,8832,1762,2619
2020-07-03,78995,68884,10506,8998,1793,2667
2020-07-04,82120,69639,10914,9165,1813,2715
2020-07-05,84852,70214,11366,9334,1823,2764
2020-07-06,87871,70772,11819,9504,1860,2813
2020-07-07,90849,71362,12299,9676,1906,2862
2020-07-08,94016,71848,12801,9849,1976,2911
2020-07-09,97366,72249,13332,10023,2027,2960
2020-07-10,100545,72547,13862,10198,2090,3009
2020-07-11,103249,72899,14358,10374,2156,3058
2020-07-12,105037,73677,14825,10551,2211,3107
2020-07-13,107270,74488,15253,10730,2273,3156
2020-07-14,109724,75339,15695,10911,2339,3205
2020-07-15,112761,76139,16172,11094,2421,3255
2020-07-16,115653,76962,16674,11279,2503,3305
2020-07-17,118356,77851,17176,11466,2601,3355
2020-07-18,120782,78720,17664,11655,2691,3405
2020-07-19,122490,79619,18109,11846,2758,3455
2020-07-20,124499,80465,18510,12039,2821,3506
2020-07-21,126375,81292,18891,12234,2892,3557
2020-07-22,128463,81957,19297,12431,2985,3608
2020-07-23,130491,82675,19733,12630,3060,3659
2020-07-24,133106,83323,20158,12831,3164,3710
2020-07-25,135637,84077,20571,13033,3244,3761
2020-07-26,137707,84727,20955,13237,3298,3812
2020-07-27,139278,85249,21308,13443,3339,3863
2020-07-28,140976,85802,21647,13650,3388,3914
2020-07-29,142847,86315,21992,13858,3496,3965
2020-07-30,145081,86835,22355,14067,3591,4015
2020-07-31,147535,87266,22712,14278,3689,4065
2020-08-01,149695,87819,23063,14490,3735,4115
2020-08-02,151166,88091,23393,14703,3763,4165
2020-08-03,152007,88173,23686,14917,3796,4214
2020-08-04,152927,88238,23956,15131,3852,4263
2020-08-05,153963,88247,24232,15345,3926,4311
2020-08-06,155110,88183,24522,15559,4005,4359
2020-08-07,156029,88004,24836,15773,4073,4406
2020-08-08,156737,87842,25168,15987,4122,4453
2020-08-09,157192,88327,25512,16200,4147,4499
2020-08-10,157735,89079,25825,16414,4167,4545
2020-08-11,158212,89831,26122,16630,4233,4591
2020-08-12,158931,90578,26418,16848,4309,4637
2020-08-13,159541,91196,26727,17068,4384,4682
2020-08-14,160257,91760,27034,17289,4432,4727
2020-08-15,160844,92243,27316,17512,4477,4772
2020-08-16,161313,92840,27573,17736,4512,4817
2020-08-17,161826,93432,27803,17961,4525,4861
2020-08-18,162243,94072,28020,18188,4564,4905
2020-08-19,162727,94620,28243,18416,4615,4949
2020-08-20,163099,95057,28478,18646,4668,4992
2020-08-21,163604,95454,28711,18877,4709,5035
2020-08-22,163955,95985,28936,19109,4741,5078
2020-08-23,164221,96515,29140,19342,4776,5120
2020-08-24,164470,97196,29338,19576,4788,5162
2020-08-25,164689,97829,29533,19812,4826,5204
2020-08-26,165018,98422,29733,20049,4872,5245
2020-08-27,165219,98985,29932,20288,4934,5286
2020-08-28,165592,99513,30131,20528,4971,5326
2020-08-29,165866,100055,30331,20769,5005,5366
2020-08-30,166055,100154,30517,21012,5022,5406
2020-08-31,166225,100127,30687,21255,5034,5445
2020-09-01,166452,100531,30848,21498,5046,5483
2020-09-02,166952,100718,31021,21742,5079,5521
2020-09-03,167507,100756,31202,21986,5122,5558
2020-09-04,168171,100287,31377,22231,5169,5595
2020-09-05,168571,99632,31551,22474,5199,5631
2020-09-06,168823,99384,31711,22716,5215,5666
2020-09-07,168842,99496,31863,22957,5220,5701
2020-09-08,168947,99882,32006,23198,5230,5735
2020-09-09,169127,100254,32154,23440,5248,5769
2020-09-10,169441,100534,32311,23683,5270,5802
2020-09-11,169789,100700,32470,23927,5292,5835
2020-09-12,170103,100882,32639,24171,5312,5867
2020-09-13,170319,101897,32806,24416,5330,5899
2020-09-14,170513,103120,32962,24663,5340,5930
2020-09-15,170821,104303,33106,24913,5353,5961
2020-09-16,171642,105527,33242,25166,5374,5992
2020-09-17,172708,106605,33385,25422,5410,6023
2020-09-18,173750,107616,33525,25681,5442,6053
2020-09-19,174363,108608,33676,25942,5465,6083
2020-09-20,174651,109698,33816,26206,5474,6113
2020-09-21,174944,110543,33944,26472,5484,6143
2020-09-22,175218,111463,34075,26740,5500,6172
2020-09-23,175576,112384,34224,27010,5527,6201
2020-09-24,175883,113333,34394,27283,5557,6230
2020-09-25,176197,114324,34562,27558,5589,6258
2020-09-26,176478,115290,34722,27835,5610,6286
2020-09-27,176702,115226,34866,28115,5623,6314
2020-09-28,177019,114927,34998,28395,5626,6341
2020-09-29,177304,114722,35128,28674,5635,6367
2020-09-30,177717,114094,35265,28952,5652,6393
2020-10-01,178080,113335,35408,29229,5672,6418
2020-10-02,178548,112807,35553,29504,5690,6442
2020-10-03,178909,112219,35695,29778,5701,6466
2020-10-04,179188,112210,35847,30050,5706,6489
2020-10-05,179540,112528,36004,30322,5708,6512
2020-10-06,179960,112786,36170,30595,5717,6534
2020-10-07,180550,112882,36345,30869,5729,6556
2020-10-08,181070,112742,36531,31143,5740,6577
2020-10-09,181679,112242,36725,31417,5750,6598
2020-10-10,182205,111506,36917,31689,5757,6618
2020-10-11,182665,112180,37105,31960,5764,6638
2020-10-12,183087,113298,37266,32232,5766,6657
2020-10-13,183613,114309,37425,32507,5768,6676
2020-10-14,184339,115078,37590,32784,5776,6695
2020-10-15,185047,115414,37787,33063,5789,6713
2020-10-16,185769,115542,37989,33343,5806,6731
2020-10-17,186355,115699,38190,33623,5819,6749
2020-10-18,186965,116489,38376,33904,5827,6766
2020-10-19,187616,117358,38547,34187,5831,6783
2020-10-20,188362,118281,38713,34472,5840,6800
2020-10-21,189176,118917,38892,34759,5850,6816
2020-10-22,189949,119466,39092,35048,5859,6832
2020-10-23,190683,119836,39306,35338,5864,6848
2020-10-24,191546,120340,39524,35629,5869,6863
2020-10-25,192365,119697,39729,35921,5872,6878
2020-10-26,193260,118778,39943,36211,5880,6892
2020-10-27,194022,118021,40171,36499,5890,6906
2020-10-28,194921,116879,40430,36785,5904,6920
2020-10-29,195968,115716,40676,37069,5919,6933
2020-10-30,197293,114226,40920,37350,5944,6946
2020-10-31,198702,112980,41154,37627,5965,6958
2020-11-01,199823,112126,41382,37901,5981,6970
2020-11-02,200895,111664,41587,38173,5994,6981
2020-11-03,201709,111252,41801,38444,6020,6992
2020-11-04,202974,110693,42044,38714,6055,7003
2020-11-05,204300,109938,42336,38983,6085,7013
2020-11-06,206219,108858,42639,39250,6114,7023
2020-11-07,208049,107632,42944,39514,6144,7032
2020-11-08,209396,107343,43214,39775,6172,7041
2020-11-09,211053,107336,43458,40035,6187,7050
2020-11-10,212751,107486,43710,40295,6204,7059
