date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,938,1078,379,470,28,29
2020-04-13,972,1218,395,574,29,30
2020-04-14,1026,1328,435,692,31,31
2020-04-15,1040,1408,488,820,34,32
2020-04-16,1049,1461,543,956,36,33
2020-04-17,1035,1510,614,1097,37,34
2020-04-18,1030,1538,672,1243,38,35
2020-04-19,1069,1564,724,1392,39,37
2020-04-20,1114,1600,759,1543,41,39
2020-04-21,1229,1631,807,1698,43,41
2020-04-22,1386,1662,858,1856,44,43
2020-04-23,1618,1695,898,2017,45,45
2020-04-24,1796,1730,931,2181,46,47
2020-04-25,1899,1752,959,2348,49,49
2020-04-26,1962,1767,978,2517,53,51
2020-04-27,1970,1807,1039,2688,56,53
2020-04-28,1943,1848,1127,2863,59,55
2020-04-29,1907,1898,1233,3042,60,57
2020-04-30,1699,1956,1509,3226,62,59
2020-05-01,1510,1990,1755,3415,65,61
2020-05-02,1326,2010,1986,3608,70,63
2020-05-03,1357,2019,2000,3802,76,65
2020-05-04,1387,2065,2018,3997,79,67
2020-05-05,1404,2113,2055,4197,83,69
2020-05-06,1436,2176,2091,4401,86,71
2020-05-07,1469,2240,2130,4612,88,74
2020-05-08,1197,2299,2446,4829,89,77
2020-05-09,957,2370,2788,5051,90,80
2020-05-10,724,2260,3118,5280,92,83
2020-05-11,798,2189,3182,5499,93,86
2020-05-12,828,2144,3224,5711,95,89
2020-05-13,892,2104,3267,5918,96,92
2020-05-14,943,2082,3314,6122,98,95
2020-05-15,991,2064,3379,6323,99,98
2020-05-16,1017,2058,3484,6523,99,101
2020-05-17,1048,2158,3569,6722,99,104
2020-05-18,1073,2280,3658,6931,100,107
2020-05-19,1065,2388,3745,7152,103,110
2020-05-20,1187,2487,3835,7383,106,113
2020-05-21,1296,2570,3951,7624,110,116
2020-05-22,1453,2657,4050,7873,112,119
2020-05-23,1527,2733,4128,8130,114,123
2020-05-24,1611,2887,4181,8394,116,127
2020-05-25,1683,2993,4243,8673,117,131
2020-05-26,1709,3155,4335,8963,118,135
2020-05-27,1667,3316,4543,9268,121,139
2020-05-28,1584,3460,4821,9589,125,144
2020-05-29,1578,3654,5068,9924,130,149
2020-05-30,1679,3879,5202,10278,133,154
2020-05-31,1768,4131,5333,10653,135,160
2020-06-01,1852,4319,5517,11053,135,166
2020-06-02,1940,4453,5698,11471,138,172
2020-06-03,2142,4583,5818,11902,143,178
2020-06-04,2348,4723,5885,12345,148,185
2020-06-05,2539,4900,6034,12802,152,192
2020-06-06,2628,5143,6278,13276,153,199
2020-06-07,2672,4659,6596,13774,154,207
2020-06-08,2792,4316,6799,14225,157,214
2020-06-09,2947,4025,6955,14643,160,221
2020-06-10,3142,3806,7114,15032,165,227
2020-06-11,3299,3625,7441,15400,170,233
2020-06-12,3539,3471,7773,15751,174,239
2020-06-13,3844,3375,8026,16087,177,244
2020-06-14,4027,3393,8298,16414,179,249
2020-06-15,4093,3423,8593,16742,183,254
2020-06-16,4161,3431,8888,17073,189,259
2020-06-17,4256,3469,9122,17405,197,264
2020-06-18,4488,3499,9361,17741,206,270
2020-06-19,4511,3531,9841,18080,215,276
2020-06-20,4576,3617,10314,18422,221,282
2020-06-21,4696,3977,10674,18772,225,288
2020-06-22,4943,4321,10935,19157,229,294
2020-06-23,5283,4646,11193,19575,236,301
2020-06-24,5381,4959,11747,20024,243,309
2020-06-25,5543,5262,12269,20504,247,317
2020-06-26,5778,5568,12674,21013,252,326
2020-06-27,6086,5929,12946,21552,257,335
2020-06-28,6160,6167,13373,22126,262,345
2020-06-29,6063,6358,13955,22723,266,355
2020-06-30,5887,6490,14586,23338,270,366
2020-07-01,5944,6558,15130,23966,275,377
2020-07-02,6010,6632,15675,24600,279,388
2020-07-03,5973,6705,16380,25242,282,399
2020-07-04,5839,6708,17092,25891,284,411
2020-07-05,5673,6023,17797,26540,288,423
2020-07-06,5621,5565,18279,27123,293,433
2020-07-07,5795,5222,18576,27661,299,443
2020-07-08,5818,4972,19147,28166,305,452
2020-07-09,5780,4767,19944,28647,309,461
2020-07-10,5694,4566,20899,29108,313,469
2020-07-11,5929,4453,21432,29550,317,477
2020-07-12,6307,4441,21762,29981,321,485
2020-07-13,6534,4450,22180,30411,325,493
2020-07-14,6529,4436,22824,30842,329,501
2020-07-15,6552,4423,23520,31271,335,509
2020-07-16,6464,4400,24250,31699,343,517
2020-07-17,6612,4390,24840,32125,351,525
2020-07-18,6943,4468,25206,32550,358,533
2020-07-19,7207,4700,25660,32982,362,541
2020-07-20,7246,4894,26324,33437,366,550
2020-07-21,7014,5086,27223,33910,372,559
2020-07-22,6961,5276,28045,34402,380,568
2020-07-23,6673,5492,29192,34912,386,578
2020-07-24,6367,5686,30403,35443,393,588
2020-07-25,6231,5915,31322,35993,398,599
2020-07-26,6412,6080,31869,36565,402,610
2020-07-27,6614,6266,32391,37153,412,621
2020-07-28,6612,6425,33163,37759,423,633
2020-07-29,6581,6610,33954,38381,434,645
2020-07-30,6607,6851,34696,39020,443,658
2020-07-31,6435,7135,35595,39683,451,671
2020-08-01,6276,7451,36430,40373,458,685
2020-08-02,6356,7397,37039,41094,465,699
2020-08-03,6627,7357,37493,41810,476,713
2020-08-04,6903,7336,38029,42522,491,727
2020-08-05,6929,7347,38801,43232,504,741
2020-08-06,6837,7357,39769,43943,514,755
2020-08-07,6799,7367,40637,44655,523,769
2020-08-08,6941,7429,41270,45368,533,783
2020-08-09,7185,7289,41678,46087,544,797
2020-08-10,6925,7215,42460,46792,555,811
2020-08-11,6437,7157,43510,47490,564,825
2020-08-12,6184,7069,44334,48182,573,839
2020-08-13,6288,7086,44883,48866,580,853
2020-08-14,6477,7160,44984,49552,589,867
2020-08-15,6447,7220,45307,50245,595,881
2020-08-16,6442,6925,45536,50943,600,895
2020-08-17,6244,6762,46225,51613,607,909
2020-08-18,6053,6598,46923,52267,617,922
2020-08-19,5828,6471,47698,52905,630,935
2020-08-20,5813,6465,48419,53531,645,948
2020-08-21,5760,6410,49119,54156,659,961
2020-08-22,5751,6318,49716,54776,674,974
2020-08-23,5636,6039,50234,55387,685,987
2020-08-24,5486,5871,50763,55971,698,999
2020-08-25,5404,5705,51313,56539,713,1011
2020-08-26,5348,5581,51972,57091,727,1022
2020-08-27,5409,5451,52632,57631,742,1033
2020-08-28,5437,5419,53376,58158,755,1044
2020-08-29,5545,5417,53957,58682,770,1055
2020-08-30,5535,5651,54500,59206,784,1066
2020-08-31,5389,5924,55005,59753,798,1077
2020-09-01,5171,6121,55623,60326,817,1089
2020-09-02,5127,6292,56265,60918,838,1101
2020-09-03,5365,6481,56899,61527,858,1114
2020-09-04,5642,6649,57468,62154,872,1127
2020-09-05,5928,6831,57936,62797,883,1140
2020-09-06,6030,6832,58340,63458,894,1154
2020-09-07,6032,6750,58770,64119,906,1168
2020-09-08,5822,6773,59312,64772,917,1181
2020-09-09,5533,6792,59949,65427,928,1195
2020-09-10,5489,6820,60611,66084,940,1209
2020-09-11,5676,6900,61511,66744,954,1223
2020-09-12,6003,7040,62310,67412,967,1237
2020-09-13,6397,6821,62808,68093,980,1251
2020-09-14,6668,6649,63072,68753,1041,1265
2020-09-15,6709,6540,63639,69396,1099,1278
2020-09-16,6631,6460,64521,70029,1157,1291
2020-09-17,6622,6454,65383,70654,1165,1304
2020-09-18,7179,6482,65796,71278,1176,1317
2020-09-19,7183,6595,66619,71905,1186,1330
2020-09-20,7625,6591,66930,72543,1194,1343
2020-09-21,7165,6501,67990,73181,1201,1356
2020-09-22,7201,6430,68690,73810,1211,1369
2020-09-23,6812,6379,69957,74432,1228,1382
2020-09-24,7034,6362,70705,75049,1247,1395
2020-09-25,7247,6339,71404,75664,1265,1408
2020-09-26,7335,6348,72026,76277,1286,1420
2020-09-27,7299,6652,72742,76891,1307,1432
2020-09-28,7148,6866,73538,77535,1329,1445
2020-09-29,7043,7119,74441,78199,1349,1458
2020-09-30,6813,7378,75577,78888,1367,1472
2020-10-01,6697,7635,76687,79602,1381,1486
2020-10-02,6807,7965,77507,80341,1394,1501
2020-10-03,7065,8286,77967,81112,1407,1517
2020-10-04,6894,8408,78669,81914,1426,1533
2020-10-05,6411,8484,79646,82727,1447,1549
2020-10-06,6234,8595,80427,83548,1466,1565
2020-10-07,6332,8722,81216,84380,1484,1582
2020-10-08,6651,8851,81956,85224,1505,1599
2020-10-09,7000,9004,82697,86080,1528,1616
2020-10-10,7471,9080,83100,86951,1550,1633
2020-10-11,7800,8630,83477,87829,1569,1650
2020-10-12,7803,8320,84104,88664,1588,1666
2020-10-13,7872,8142,84818,89469,1610,1682
2020-10-14,8066,7978,85616,90257,1630,1697
2020-10-15,8355,7792,86433,91029,1648,1712
2020-10-16,8624,7623,87207,91783,1664,1727
2020-10-17,8783,7550,87875,92520,1684,1741
2020-10-18,8799,7421,88529,93250,1700,1755
2020-10-19,8670,7388,89316,93968,1715,1769
2020-10-20,8541,7382,90272,94683,1731,1783
2020-10-21,8565,7380,91296,95397,1750,1797
