date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,653,848,892,905,76,79
2020-04-13,671,1048,897,923,77,82
2020-04-14,704,1250,919,947,85,86
2020-04-15,719,1435,956,977,96,91
2020-04-16,781,1606,1008,1014,107,97
2020-04-17,847,1768,1068,1059,114,103
2020-04-18,975,1930,1114,1112,122,110
2020-04-19,1053,2056,1160,1174,132,118
2020-04-20,1114,2149,1205,1245,145,126
2020-04-21,1169,2245,1257,1325,160,135
2020-04-22,1195,2330,1369,1414,179,144
2020-04-23,1267,2403,1482,1513,200,153
2020-04-24,1376,2465,1594,1622,221,163
2020-04-25,1492,2547,1674,1741,245,173
2020-04-26,1596,2592,1756,1871,267,183
2020-04-27,1736,2605,1842,2011,286,193
2020-04-28,1978,2618,1932,2160,302,204
2020-04-29,2290,2628,2042,2319,321,215
2020-04-30,2661,2646,2165,2487,344,226
2020-05-01,3047,2676,2283,2665,369,237
2020-05-02,3250,2742,2564,2854,394,248
2020-05-03,3088,2763,3208,3057,413,259
2020-05-04,2869,2735,3947,3271,433,270
2020-05-05,2823,2695,4610,3492,455,281
2020-05-06,3141,2658,4975,3719,482,292
2020-05-07,3499,2631,5336,3952,509,303
2020-05-08,3773,2620,5775,4192,533,314
2020-05-09,3860,2631,6300,4439,556,325
2020-05-10,3798,2542,6913,4696,575,336
2020-05-11,3840,2447,7420,4952,594,346
2020-05-12,3947,2359,7842,5206,614,356
2020-05-13,4153,2288,8154,5458,641,366
2020-05-14,4383,2238,8480,5709,667,375
2020-05-15,4569,2236,8954,5961,691,384
2020-05-16,4727,2250,9522,6218,710,393
2020-05-17,4773,2266,10170,6483,726,402
2020-05-18,4788,2244,10826,6755,742,411
2020-05-19,4752,2236,11510,7030,761,420
2020-05-20,4761,2261,12085,7309,787,429
2020-05-21,5003,2301,12470,7595,818,438
2020-05-22,5284,2423,12889,7891,843,447
2020-05-23,5512,2614,13432,8207,863,457
2020-05-24,5563,2840,14138,8553,876,468
2020-05-25,5572,2913,14818,8933,892,479
2020-05-26,5449,2862,15551,9328,913,491
2020-05-27,5351,2847,16164,9720,942,503
2020-05-28,5372,2850,16633,10114,975,514
2020-05-29,5401,2923,17149,10512,1006,525
2020-05-30,5331,3082,17829,10923,1030,537
2020-05-31,5035,3206,18666,11360,1048,549
2020-06-01,4619,3178,19505,11818,1064,562
2020-06-02,4119,3171,20330,12275,1079,575
2020-06-03,3769,3198,21013,12733,1101,588
2020-06-04,3740,3264,21507,13198,1127,601
2020-06-05,3894,3455,21869,13675,1155,614
2020-06-06,3907,3707,22369,14182,1179,628
2020-06-07,3708,3681,22967,14728,1195,643
2020-06-08,3377,3559,23623,15273,1211,658
2020-06-09,3120,3463,24184,15802,1234,672
2020-06-10,3056,3411,24588,16318,1258,686
2020-06-11,3185,3417,24857,16828,1284,699
2020-06-12,3290,3534,25172,17340,1299,712
2020-06-13,3251,3733,25579,17871,1316,726
2020-06-14,3013,3837,26106,18433,1326,741
2020-06-15,2778,3743,26568,19012,1336,756
2020-06-16,2606,3690,27006,19578,1345,771
2020-06-17,2600,3696,27325,20137,1359,785
2020-06-18,2733,3723,27559,20698,1375,799
2020-06-19,2840,3970,27826,21264,1391,813
2020-06-20,2877,4313,28192,21868,1403,828
2020-06-21,2817,4486,28644,22525,1410,845
2020-06-22,2746,4409,29042,23210,1417,862
2020-06-23,2672,4332,29390,23884,1424,879
2020-06-24,2700,4312,29653,24546,1432,896
2020-06-25,2872,4388,29856,25206,1439,912
2020-06-26,3057,4659,30087,25878,1446,929
2020-06-27,3208,5154,30406,26592,1452,947
2020-06-28,3210,5138,30811,27383,1460,967
2020-06-29,3225,4856,31211,28172,1468,986
2020-06-30,3226,4647,31591,28918,1476,1004
2020-07-01,3356,4514,31903,29632,1484,1021
2020-07-02,2659,4551,33030,30326,1494,1038
2020-07-03,1064,4747,34920,31026,1502,1055
2020-07-04,-451,4888,36738,31757,1507,1073
2020-07-05,-518,4952,37118,32509,1509,1091
2020-07-06,-397,4787,37498,33272,1511,1109
2020-07-07,-297,4612,37878,34009,1516,1127
2020-07-08,-200,4471,38307,34720,1521,1144
2020-07-09,-17,4427,38662,35409,1528,1160
2020-07-10,269,4590,39032,36091,1532,1176
2020-07-11,508,4786,39495,36799,1536,1193
2020-07-12,589,5091,40080,37537,1539,1210
2020-07-13,539,4950,40659,38322,1543,1228
2020-07-14,487,4844,41192,39086,1549,1246
2020-07-15,641,4839,41555,39833,1557,1263
2020-07-16,974,4914,41828,40580,1565,1280
2020-07-17,1166,5137,42205,41338,1572,1297
2020-07-18,1209,5497,42776,42131,1577,1315
2020-07-19,1179,5661,43500,42980,1581,1334
2020-07-20,1104,5489,44234,43854,1584,1354
2020-07-21,942,5331,44978,44702,1588,1373
2020-07-22,881,5233,45572,45525,1593,1391
2020-07-23,1095,5218,46029,46333,1599,1409
2020-07-24,1401,5432,46493,47139,1606,1427
2020-07-25,1571,5667,47129,47978,1610,1445
2020-07-26,1568,5717,47901,48853,1613,1464
2020-07-27,1441,5563,48688,49736,1616,1483
2020-07-28,1299,5429,49423,50595,1621,1502
2020-07-29,1334,5333,50012,51434,1627,1520
2020-07-30,1620,5297,50446,52258,1634,1538
2020-07-31,1867,5453,50940,53076,1640,1555
2020-08-01,1985,5675,51568,53919,1646,1573
2020-08-02,1920,6157,52326,54796,1652,1591
2020-08-03,1805,6263,53095,55747,1656,1611
2020-08-04,1618,6387,53887,56715,1662,1631
2020-08-05,1624,6525,54567,57702,1669,1651
2020-08-06,1786,6720,55072,58710,1676,1672
2020-08-07,2039,7136,55587,59748,1682,1693
2020-08-08,2131,7671,56241,60851,1689,1715
2020-08-09,2093,7673,57049,62036,1696,1739
2020-08-10,1871,7451,57844,63222,1702,1763
2020-08-11,1570,7347,58606,64373,1710,1786
2020-08-12,1391,7307,59267,65508,1720,1809
2020-08-13,1506,7366,59769,66637,1731,1831
2020-08-14,1681,7685,60303,67775,1725,1853
2020-08-15,1777,8307,60920,68963,1732,1876
2020-08-16,1702,8094,61653,70247,1738,1901
2020-08-17,1537,7693,62357,71498,1759,1925
2020-08-18,1334,7347,63039,72687,1769,1948
2020-08-19,1271,7081,63621,73823,1780,1970
2020-08-20,1490,6935,64072,74917,1791,1991
2020-08-21,1746,6987,64557,75989,1799,2011
2020-08-22,1909,7148,65146,77069,1806,2031
2020-08-23,1912,6951,65859,78174,1812,2051
2020-08-24,1843,6571,66535,79248,1818,2071
2020-08-25,1718,6275,67202,80264,1827,2089
2020-08-26,1796,6027,67808,81234,1840,2107
2020-08-27,2136,5863,68301,82166,1851,2124
2020-08-28,2558,5833,68878,83072,1859,2140
2020-08-29,2808,5964,69558,83974,1862,2156
2020-08-30,2863,5748,70376,84896,1864,2172
2020-08-31,2766,5435,71169,85784,1867,2187
2020-09-01,2523,5126,72038,86624,1873,2202
2020-09-02,2430,4887,72877,87416,1880,2216
2020-09-03,2608,4726,73560,88171,1890,2229
2020-09-04,2870,4724,74222,88901,1897,2241
2020-09-05,2923,4802,74985,89631,1903,2253
2020-09-06,2716,5401,75940,90373,1908,2265
2020-09-07,2379,5589,76850,91208,1911,2279
2020-09-08,1938,5489,77714,92072,1915,2293
2020-09-09,1597,5437,78388,92920,1923,2307
2020-09-10,1447,5433,78895,93760,1935,2321
2020-09-11,1477,5579,79427,94600,1947,2334
2020-09-12,1474,5843,80105,95462,1959,2348
2020-09-13,1383,6354,80932,96365,1967,2362
2020-09-14,1196,6477,81700,97347,1974,2377
2020-09-15,985,6585,82407,98348,1979,2392
2020-09-16,1022,6804,82954,99366,1986,2408
2020-09-17,1410,7027,83377,100418,1993,2424
2020-09-18,2096,7508,83651,101504,2003,2440
2020-09-19,2700,8216,84137,102664,2011,2457
2020-09-20,3088,8717,84788,103934,2017,2476
2020-09-21,3173,8831,85597,105281,2023,2496
2020-09-22,3138,8976,86321,106646,2029,2516
2020-09-23,3259,9113,86883,108033,2036,2536
2020-09-24,3701,9289,87358,109442,2041,2556
2020-09-25,4297,9890,87942,110878,2047,2576
2020-09-26,4735,10806,88738,112407,2054,2597
2020-09-27,4853,10983,89763,114077,2061,2620
2020-09-28,4737,10752,90803,115775,2066,2643
2020-09-29,4480,10530,91850,117437,2076,2666
2020-09-30,4440,10451,92733,119065,2087,2688
2020-10-01,4695,10503,93437,120680,2101,2710
2020-10-02,5083,10622,94255,122303,2113,2731
2020-10-03,5225,11069,95311,123945,2123,2753
2020-10-04,5054,11150,96619,125656,2131,2775
2020-10-05,4777,10861,97875,127379,2136,2797
2020-10-06,4556,10678,99031,129058,2143,2818
