date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,959,1193,265,275,29,29
2020-04-13,976,1419,278,287,30,30
2020-04-14,1016,1621,313,301,34,31
2020-04-15,1062,1802,337,317,38,32
2020-04-16,1116,1962,363,335,42,33
2020-04-17,1202,2122,377,355,47,34
2020-04-18,1287,2257,409,376,50,35
2020-04-19,1370,2388,444,399,57,36
2020-04-20,1382,2513,484,423,63,37
2020-04-21,1477,2626,505,448,68,38
2020-04-22,1588,2719,525,474,73,39
2020-04-23,1726,2821,567,501,77,40
2020-04-24,1832,2921,603,529,85,41
2020-04-25,1904,3005,638,558,93,42
2020-04-26,1991,3091,646,588,100,43
2020-04-27,2082,3185,655,619,104,45
2020-04-28,2224,3275,673,651,107,47
2020-04-29,2385,3359,701,684,113,49
2020-04-30,2524,3448,733,718,122,51
2020-05-01,2663,3529,759,753,130,53
2020-05-02,2773,3602,785,788,140,55
2020-05-03,2914,3664,809,824,148,57
2020-05-04,3022,3758,828,861,156,59
2020-05-05,3112,3837,879,899,162,61
2020-05-06,3181,3912,959,937,167,63
2020-05-07,3257,3997,1054,976,174,65
2020-05-08,3338,4115,1129,1016,181,67
2020-05-09,3387,4234,1194,1057,190,69
2020-05-10,3457,4207,1247,1099,199,71
2020-05-11,3555,4208,1284,1141,209,73
2020-05-12,3657,4198,1339,1183,219,75
2020-05-13,3713,4198,1416,1225,230,77
2020-05-14,3759,4218,1508,1267,242,79
2020-05-15,3832,4248,1587,1309,251,81
2020-05-16,3894,4266,1662,1352,259,83
2020-05-17,3975,4358,1721,1395,264,85
2020-05-18,4042,4466,1763,1439,270,87
2020-05-19,4114,4561,1811,1484,276,90
2020-05-20,4156,4661,1887,1530,284,93
2020-05-21,4207,4789,1969,1577,295,96
2020-05-22,4210,4974,2058,1625,306,99
2020-05-23,4235,5122,2182,1675,314,102
2020-05-24,4223,5353,2323,1726,318,105
2020-05-25,4266,5590,2447,1780,320,108
2020-05-26,4296,5836,2516,1836,324,111
2020-05-27,4345,6019,2574,1895,329,114
2020-05-28,4405,6234,2628,1955,336,118
2020-05-29,4467,6490,2683,2018,343,122
2020-05-30,4503,6746,2749,2083,350,126
2020-05-31,4543,7039,2805,2151,356,130
2020-06-01,4618,7316,2858,2222,361,134
2020-06-02,4720,7524,2900,2295,368,138
2020-06-03,4844,7707,2953,2370,375,143
2020-06-04,4978,7933,3029,2447,381,148
2020-06-05,5110,8239,3111,2527,387,153
2020-06-06,5211,8490,3202,2610,391,158
2020-06-07,5272,8362,3266,2695,396,163
2020-06-08,5311,8286,3324,2779,400,168
2020-06-09,5273,8192,3462,2862,404,173
2020-06-10,5199,8067,3628,2944,413,178
2020-06-11,5115,7963,3844,3025,422,183
2020-06-12,5107,7884,3968,3105,429,188
2020-06-13,5134,7760,4057,3184,432,193
2020-06-14,5208,7620,4086,3262,435,198
2020-06-15,5278,7602,4115,3338,440,203
2020-06-16,5338,7577,4163,3414,446,208
2020-06-17,5357,7541,4242,3490,451,213
2020-06-18,5367,7557,4335,3566,457,218
2020-06-19,5385,7554,4434,3642,462,223
2020-06-20,5397,7546,4554,3718,467,228
2020-06-21,5437,7768,4655,3794,471,233
2020-06-22,5493,7985,4732,3872,474,238
2020-06-23,5577,8180,4786,3952,477,243
2020-06-24,5660,8356,4866,4034,480,248
2020-06-25,5744,8564,4968,4118,484,253
2020-06-26,5858,8730,5060,4204,488,259
2020-06-27,5973,8762,5149,4292,490,265
2020-06-28,6090,8880,5221,4380,492,271
2020-06-29,6215,9041,5270,4469,494,277
2020-06-30,6322,9125,5317,4560,496,283
2020-07-01,6413,9152,5401,4651,500,289
2020-07-02,6509,9202,5511,4743,504,295
2020-07-03,6630,9196,5647,4835,509,301
2020-07-04,6760,9077,5758,4927,513,307
2020-07-05,6926,8584,5835,5018,514,313
2020-07-06,7111,8301,5869,5104,516,319
2020-07-07,7314,8033,5916,5187,520,324
2020-07-08,7493,7817,5979,5268,526,329
2020-07-09,7688,7602,6051,5346,533,334
2020-07-10,7870,7403,6116,5422,538,339
2020-07-11,8051,7148,6190,5496,542,344
2020-07-12,8227,7132,6258,5568,545,349
2020-07-13,8411,7192,6318,5640,548,354
2020-07-14,8625,7239,6371,5712,552,359
2020-07-15,8846,7287,6429,5785,556,364
2020-07-16,9083,7343,6501,5858,561,369
2020-07-17,9302,7410,6576,5932,565,374
2020-07-18,9497,7402,6656,6006,568,379
2020-07-19,9684,7649,6718,6080,572,384
2020-07-20,9884,7969,6771,6157,579,389
2020-07-21,10119,8267,6816,6237,585,394
2020-07-22,10359,8571,6886,6320,591,399
2020-07-23,10593,8887,6966,6406,596,404
2020-07-24,10812,9191,7062,6495,601,410
2020-07-25,11001,9421,7160,6587,607,416
2020-07-26,11240,9802,7257,6681,613,422
2020-07-27,11468,10250,7358,6779,619,428
2020-07-28,11696,10644,7488,6882,625,435
2020-07-29,11743,11029,7731,6989,631,442
2020-07-30,11781,11399,7957,7100,636,449
2020-07-31,11834,11835,8118,7214,642,456
2020-08-01,11967,12189,8188,7333,649,463
2020-08-02,12071,12495,8256,7455,653,471
2020-08-03,12143,12875,8364,7580,655,479
2020-08-04,12188,13171,8497,7709,660,487
2020-08-05,12237,13462,8658,7841,664,495
2020-08-06,12277,13731,8821,7976,670,503
2020-08-07,12295,14121,8981,8114,675,511
2020-08-08,12325,14486,9126,8256,680,520
2020-08-09,12357,14528,9249,8401,685,529
2020-08-10,12442,14607,9336,8547,689,538
2020-08-11,12489,14647,9453,8693,692,547
2020-08-12,12526,14674,9594,8840,695,556
2020-08-13,12511,14741,9778,8987,698,565
2020-08-14,12478,14924,9968,9135,703,574
2020-08-15,12397,15107,10184,9285,709,583
2020-08-16,12338,14779,10351,9436,714,592
2020-08-17,12286,14576,10491,9584,718,601
2020-08-18,12200,14369,10686,9730,723,610
2020-08-19,12096,14132,10935,9874,728,618
2020-08-20,12025,14018,11172,10016,734,626
2020-08-21,12094,13891,11284,10157,738,634
2020-08-22,12162,13810,11360,10296,742,642
2020-08-23,12232,13473,11436,10434,745,650
2020-08-24,12211,13209,11555,10569,748,658
2020-08-25,12169,12965,11705,10701,752,666
2020-08-26,12072,12717,11923,10831,757,673
2020-08-27,11954,12504,12182,10959,762,680
2020-08-28,11841,12315,12439,11084,766,687
2020-08-29,11751,12149,12648,11207,768,694
2020-08-30,11695,12916,12804,11329,772,701
2020-08-31,11690,13565,12897,11459,778,708
2020-09-01,11707,14029,12982,11595,785,715
2020-09-02,11768,14494,13071,11736,789,723
2020-09-03,11806,14858,13178,11881,791,731
2020-09-04,11834,15315,13291,12030,795,739
2020-09-05,11835,15659,13385,12184,799,747
2020-09-06,11828,15546,13467,12341,804,755
2020-09-07,11805,15528,13531,12497,808,763
2020-09-08,11774,15693,13611,12653,812,771
2020-09-09,11734,15824,13744,12810,814,779
2020-09-10,11689,15958,13916,12969,815,787
2020-09-11,11625,16216,14108,13129,818,795
2020-09-12,11576,16459,14264,13292,821,803
2020-09-13,11570,16246,14359,13457,825,811
2020-09-14,11590,16124,14424,13620,828,819
2020-09-15,11602,15975,14503,13782,830,827
2020-09-16,11574,15815,14648,13942,832,835
2020-09-17,11500,15630,14860,14101,836,843
2020-09-18,11444,15586,15068,14258,841,851
2020-09-19,11401,15578,15234,14414,845,859
2020-09-20,11406,15172,15336,14570,849,866
2020-09-21,11409,14879,15424,14722,851,873
2020-09-22,11461,14609,15505,14871,854,880
2020-09-23,11553,14302,15591,15017,856,887
