date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,6365,6441,43,323,381,394
2020-04-13,6499,6536,57,606,398,407
2020-04-14,6831,6684,86,893,434,420
2020-04-15,7248,6815,114,1187,469,434
2020-04-16,7787,6967,143,1487,508,448
2020-04-17,8528,7110,172,1793,547,462
2020-04-18,9524,7250,201,2106,585,477
2020-04-19,10730,7326,229,2425,622,492
2020-04-20,11831,7398,258,2747,659,507
2020-04-21,12600,7500,287,3072,700,522
2020-04-22,13121,7613,316,3402,741,537
2020-04-23,13532,7713,344,3737,784,553
2020-04-24,13953,7854,373,4076,824,569
2020-04-25,14307,7934,402,4421,867,585
2020-04-26,14622,8005,430,4770,909,601
2020-04-27,14936,8066,459,5122,960,617
2020-04-28,15304,8141,488,5477,1007,634
2020-04-29,15800,8215,517,5835,1049,651
2020-04-30,16390,8318,545,6196,1089,668
2020-05-01,16998,8441,574,6562,1129,685
2020-05-02,17553,8611,603,6933,1174,702
2020-05-03,18063,8714,632,7312,1212,720
2020-05-04,18552,8791,651,7695,1249,738
2020-05-05,18840,8842,881,8081,1285,756
2020-05-06,18912,8923,1321,8470,1325,774
2020-05-07,18894,9030,1982,8862,1365,792
2020-05-08,18900,9201,2643,9259,1405,810
2020-05-09,18852,9430,3303,9664,1443,829
2020-05-10,18745,10100,3964,10079,1476,848
2020-05-11,18568,10691,4625,10523,1509,868
2020-05-12,18420,11300,5286,10993,1543,890
2020-05-13,18252,11932,5947,11490,1577,913
2020-05-14,18123,12619,6607,12015,1614,937
2020-05-15,18011,13511,7268,12570,1649,962
2020-05-16,17834,14583,7929,13164,1687,989
2020-05-17,17637,14907,8590,13805,1723,1018
2020-05-18,17433,15064,9251,14460,1759,1048
2020-05-19,17244,15220,9911,15122,1792,1078
2020-05-20,17121,15465,10572,15791,1825,1108
2020-05-21,17041,15852,11233,16471,1858,1139
2020-05-22,17000,16617,11894,17168,1895,1171
2020-05-23,16887,17598,12555,17899,1929,1204
2020-05-24,16755,17545,13215,18673,1962,1239
2020-05-25,16602,17442,13876,19444,1986,1274
2020-05-26,16426,17135,14537,20211,2011,1309
2020-05-27,16222,16840,15198,20964,2033,1343
2020-05-28,16056,16590,15859,21704,2058,1376
2020-05-29,15904,16432,16519,22433,2081,1409
2020-05-30,15750,16358,17180,23155,2107,1441
2020-05-31,15535,16021,17841,23874,2134,1473
2020-06-01,15286,15662,18502,24578,2161,1504
2020-06-02,15025,15328,19163,25267,2187,1535
2020-06-03,14774,15037,19823,25941,2211,1565
2020-06-04,14559,14779,20484,26602,2234,1594
2020-06-05,14317,14645,21145,27252,2255,1623
2020-06-06,14037,14621,21806,27896,2272,1651
2020-06-07,13719,15442,22467,28539,2288,1679
2020-06-08,13396,16069,23127,29218,2302,1709
2020-06-09,13087,16600,23788,29924,2316,1740
2020-06-10,12801,17006,24449,30654,2330,1772
2020-06-11,12544,17582,25110,31402,2347,1805
2020-06-12,12289,18410,25771,32175,2366,1839
2020-06-13,11988,19435,26431,32984,2388,1874
2020-06-14,11693,20138,27092,33838,2406,1911
2020-06-15,11405,20623,27753,34723,2420,1949
2020-06-16,11157,21070,28414,35630,2431,1988
2020-06-17,11000,21536,29075,36556,2443,2028
2020-06-18,10899,22031,29735,37503,2457,2069
2020-06-19,10838,22902,30396,38472,2470,2111
2020-06-20,10729,24115,31057,39479,2480,2154
2020-06-21,10659,24745,31718,40539,2491,2199
2020-06-22,10608,25043,32379,41627,2503,2245
2020-06-23,10587,25317,33039,42728,2515,2292
2020-06-24,10620,25677,33700,43841,2525,2339
2020-06-25,10786,26107,34361,44970,2535,2387
2020-06-26,11011,26797,35022,46118,2548,2435
