date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,852,4108,749,778,47,48
2020-04-13,883,3887,802,916,47,51
2020-04-14,938,4135,880,1047,50,54
2020-04-15,1023,4082,934,1186,54,57
2020-04-16,1130,4252,967,1324,59,60
2020-04-17,1233,4268,1029,1467,66,63
2020-04-18,1420,4380,1091,1611,71,66
2020-04-19,1615,4423,1167,1759,76,70
2020-04-20,1922,4527,1233,1908,79,74
2020-04-21,2114,4586,1318,2061,84,78
2020-04-22,2278,4665,1404,2216,89,82
2020-04-23,2434,4712,1508,2373,97,86
2020-04-24,2776,4790,1606,2532,105,90
2020-04-25,3150,4840,1742,2693,112,94
2020-04-26,3478,4906,1881,2856,119,98
2020-04-27,3751,4964,2028,3021,127,102
2020-04-28,4021,5038,2204,3188,137,106
2020-04-29,4211,5102,2429,3358,148,110
2020-04-30,4456,5141,2674,3530,160,114
2020-05-01,4804,5224,2917,3703,169,118
2020-05-02,5265,5280,3126,3879,176,122
2020-05-03,5669,5368,3322,4057,182,126
2020-05-04,6009,5474,3461,4238,193,130
2020-05-05,6248,5591,3620,4422,204,134
2020-05-06,6425,5697,3880,4610,219,139
2020-05-07,6491,5818,4251,4802,231,144
2020-05-08,6499,5931,4654,4998,242,149
2020-05-09,6492,6020,4950,5198,253,154
2020-05-10,6601,6129,5138,5401,262,159
2020-05-11,6799,6254,5340,5608,275,164
2020-05-12,6963,6382,5607,5819,288,169
2020-05-13,7054,6508,5934,6034,304,174
2020-05-14,7103,6634,6248,6253,320,179
2020-05-15,7111,6732,6573,6477,333,184
2020-05-16,7118,6807,6880,6704,344,189
2020-05-17,7159,6921,7135,6933,350,194
2020-05-18,7074,7063,7536,7166,357,200
2020-05-19,6981,7188,7938,7404,371,206
2020-05-20,6917,7293,8388,7646,390,212
2020-05-21,6981,7395,8704,7892,409,218
2020-05-22,7093,7474,9001,8141,426,224
2020-05-23,7218,7526,9217,8393,445,230
2020-05-24,7456,7627,9316,8647,463,236
2020-05-25,7535,7749,9495,8904,473,242
2020-05-26,7665,7894,9728,9165,483,248
2020-05-27,7671,8017,10055,9431,493,254
2020-05-28,7753,8137,10376,9701,508,260
2020-05-29,7699,8223,10710,9975,520,266
2020-05-30,7748,8276,10973,10252,530,273
2020-05-31,7756,8377,11202,10531,540,280
2020-06-01,7763,8504,11443,10813,550,287
2020-06-02,7695,8619,11748,11100,563,294
2020-06-03,7757,8732,12046,11390,572,301
2020-06-04,7843,8835,12327,11684,583,308
2020-06-05,8011,8895,12544,11982,591,315
2020-06-06,8148,8923,12701,12282,599,322
2020-06-07,8276,9011,12849,12583,607,329
2020-06-08,8288,9178,13081,12887,616,336
2020-06-09,8311,9369,13355,13196,624,343
2020-06-10,8315,9570,13665,13512,632,350
2020-06-11,8408,9748,13937,13834,638,358
2020-06-12,8533,9836,14169,14162,644,366
2020-06-13,8704,9813,14312,14493,648,374
2020-06-14,8811,9873,14444,14824,653,382
2020-06-15,8727,10095,14677,15157,658,390
2020-06-16,8595,10296,14979,15497,666,398
2020-06-17,8521,10490,15306,15844,673,406
2020-06-18,8617,10627,15569,16197,679,414
2020-06-19,8733,10654,15794,16555,683,422
2020-06-20,8943,10606,15949,16914,685,430
2020-06-21,9091,10671,16090,17271,687,438
2020-06-22,9209,10855,16295,17631,688,446
2020-06-23,9157,11031,16559,17997,689,454
2020-06-24,9305,11211,16818,18369,691,462
2020-06-25,9471,11329,17062,18747,697,471
2020-06-26,9754,11261,17265,19129,702,480
2020-06-27,9932,11060,17466,19508,705,489
2020-06-28,10126,10997,17646,19881,707,497
2020-06-29,8541,11158,19561,20252,711,505
2020-06-30,6874,11345,21556,20628,714,513
2020-07-01,5294,11541,23604,21010,717,522
2020-07-02,5380,11634,23979,21399,719,531
2020-07-03,5562,11594,24311,21791,721,540
2020-07-04,5731,11551,24560,22182,722,549
2020-07-05,5902,11604,24821,22571,722,558
2020-07-06,5932,11827,25151,22962,726,567
2020-07-07,5885,12024,25563,23361,730,576
2020-07-08,5972,12156,25969,23766,736,585
2020-07-09,6542,12173,26068,24176,740,594
2020-07-10,7173,12113,26111,24586,744,603
2020-07-11,7629,11942,26370,24994,747,612
2020-07-12,7854,11909,26628,25396,751,621
2020-07-13,7971,12143,26910,25797,754,630
2020-07-14,8023,12373,27225,26206,763,639
2020-07-15,8342,12437,27471,26623,771,648
2020-07-16,8792,12398,27690,27042,781,657
2020-07-17,9165,12239,27905,27460,785,666
