date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,22959,22439,440,816,1540,1603
2020-04-13,23539,21953,471,1184,1616,1664
2020-04-14,24603,21483,532,1544,1763,1724
2020-04-15,25472,21049,589,1896,1895,1783
2020-04-16,26294,20632,621,2241,2048,1841
2020-04-17,25960,20237,1737,2579,2177,1897
2020-04-18,25342,19858,3096,2910,2308,1952
2020-04-19,24321,19507,4695,3235,2389,2006
2020-04-20,24128,19184,5424,3555,2478,2059
2020-04-21,24105,18891,6154,3869,2618,2111
2020-04-22,24305,18622,6883,4178,2788,2162
2020-04-23,24731,18368,7612,4483,2958,2212
2020-04-24,24818,18125,8447,4784,3072,2262
2020-04-25,24592,17897,9387,5081,3185,2311
2020-04-26,23963,17665,10432,5374,3292,2359
2020-04-27,23509,17469,11477,5663,3430,2406
2020-04-28,23219,17275,12523,5949,3548,2453
2020-04-29,23103,17117,13568,6232,3675,2499
2020-04-30,22990,16970,14613,6512,3775,2545
2020-05-01,22777,16866,15645,6790,3892,2590
2020-05-02,22479,16738,16662,7066,3980,2635
2020-05-03,21929,16627,17666,7340,4071,2679
2020-05-04,21285,16593,18670,7612,4125,2723
2020-05-05,20674,16573,19674,7884,4192,2766
2020-05-06,20186,16554,20678,8155,4261,2809
2020-05-07,19755,16558,21682,8426,4333,2852
2020-05-08,19276,16579,22615,8697,4424,2895
2020-05-09,18822,16587,23478,8969,4494,2938
2020-05-10,18356,16575,24271,9241,4556,2980
2020-05-11,17918,16617,25063,9512,4604,3022
2020-05-12,17475,16675,25856,9784,4657,3064
2020-05-13,17291,16736,26648,10057,4725,3106
2020-05-14,17134,16822,27441,10331,4775,3148
2020-05-15,17031,16909,28204,10607,4831,3190
2020-05-16,16783,17001,28938,10884,4865,3232
2020-05-17,16660,17096,29643,11162,4895,3274
2020-05-18,16513,17209,30348,11442,4941,3316
2020-05-19,16374,17341,31053,11724,4997,3358
2020-05-20,16130,17485,31758,12008,5068,3400
2020-05-21,15899,17625,32463,12294,5115,3442
2020-05-22,15592,17773,33167,12583,5170,3484
2020-05-23,15244,17886,33872,12874,5203,3526
2020-05-24,14835,17937,34576,13167,5230,3568
2020-05-25,14362,18022,35281,13461,5245,3610
2020-05-26,13932,18190,35985,13756,5280,3652
2020-05-27,13561,18381,36690,14054,5324,3694
2020-05-28,13317,18587,37394,14355,5370,3736
2020-05-29,13069,18809,38051,14659,5414,3778
2020-05-30,12880,19079,38662,14967,5453,3820
2020-05-31,12584,19262,39225,15280,5490,3862
2020-06-01,12245,19431,39788,15596,5520,3904
2020-06-02,11869,19605,40351,15914,5546,3946
2020-06-03,11516,19821,40914,16235,5572,3988
2020-06-04,12867,20055,41477,16560,5673,4030
2020-06-05,14309,20320,41992,16888,5781,4072
2020-06-06,15878,20603,42458,17221,5882,4114
2020-06-07,15829,20778,42876,17558,5902,4157
2020-06-08,15650,20934,43293,17898,5920,4200
2020-06-09,15391,21088,43711,18241,5939,4242
2020-06-10,15119,21278,44128,18586,5962,4284
2020-06-11,14912,21485,44546,18935,5976,4326
2020-06-12,14626,21780,45030,19287,5996,4368
2020-06-13,14266,22094,45582,19644,6006,4410
2020-06-14,13776,22318,46200,20006,6015,4452
2020-06-15,13296,22516,46818,20372,6022,4494
2020-06-16,12818,22711,47436,20741,6029,4536
2020-06-17,12424,22954,48054,21113,6043,4578
2020-06-18,12071,23271,48672,21489,6054,4620
2020-06-19,11905,23623,49170,21870,6071,4662
2020-06-20,11822,23921,49548,22257,6081,4704
2020-06-21,11840,24114,49806,22649,6091,4746
2020-06-22,11792,24342,50065,23044,6098,4788
2020-06-23,11807,24533,50323,23443,6106,4830
2020-06-24,11880,24700,50582,23845,6118,4872
2020-06-25,11990,24909,50840,24250,6127,4913
2020-06-26,12097,25210,51095,24658,6140,4954
2020-06-27,12156,25487,51347,25071,6148,4995
2020-06-28,12196,25578,51596,25488,6157,5036
2020-06-29,12284,25616,51845,25907,6170,5077
