date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,911,1044,1011,1011,97,98
2020-04-13,946,1207,1027,1011,101,99
2020-04-14,984,1378,1078,1011,110,100
2020-04-15,1010,1555,1138,1012,120,101
2020-04-16,1003,1724,1228,1015,130,102
2020-04-17,931,1889,1362,1022,136,103
2020-04-18,887,2035,1473,1038,139,105
2020-04-19,861,2152,1568,1073,141,107
2020-04-20,905,2244,1630,1139,149,109
2020-04-21,938,2294,1696,1245,159,111
2020-04-22,949,2319,1786,1386,171,113
2020-04-23,959,2328,1872,1551,179,115
2020-04-24,948,2322,1975,1728,187,117
2020-04-25,937,2307,2060,1910,192,119
2020-04-26,920,2288,2128,2094,195,121
2020-04-27,928,2303,2188,2278,199,123
2020-04-28,934,2318,2248,2463,206,125
2020-04-29,960,2353,2326,2650,214,127
2020-04-30,996,2388,2395,2840,222,129
2020-05-01,1034,2394,2474,3033,231,131
2020-05-02,1067,2390,2552,3226,238,133
2020-05-03,1088,2361,2623,3419,244,135
2020-05-04,1086,2389,2715,3609,246,137
2020-05-05,1068,2428,2807,3802,249,139
2020-05-06,1058,2478,2908,3998,253,141
2020-05-07,1073,2533,2986,4198,259,143
2020-05-08,1082,2609,3067,4402,265,145
2020-05-09,1092,2695,3140,4612,269,147
2020-05-10,1093,2738,3199,4829,272,150
2020-05-11,1080,2813,3289,5050,275,153
2020-05-12,1048,2891,3407,5277,279,156
2020-05-13,1021,2963,3547,5510,283,159
2020-05-14,1012,3033,3673,5749,284,162
2020-05-15,1007,3108,3802,5994,286,165
2020-05-16,1014,3195,3909,6245,288,168
2020-05-17,1046,3232,3978,6503,291,171
2020-05-18,1065,3330,4042,6764,292,174
2020-05-19,1042,3425,4136,7033,295,177
2020-05-20,1015,3528,4254,7309,298,180
2020-05-21,998,3646,4386,7594,303,184
2020-05-22,1009,3755,4513,7888,307,188
2020-05-23,1016,3832,4622,8191,310,192
2020-05-24,1035,3855,4682,8500,312,196
2020-05-25,1033,3916,4741,8811,314,200
2020-05-26,945,4057,4890,9127,317,204
2020-05-27,828,4160,5064,9454,321,208
2020-05-28,718,4263,5237,9790,325,212
2020-05-29,677,4409,5337,10134,329,216
2020-05-30,635,4514,5422,10490,334,221
2020-05-31,653,4530,5479,10854,337,226
2020-06-01,689,4657,5534,11219,338,231
2020-06-02,744,4740,5607,11595,339,236
2020-06-03,749,4795,5711,11977,341,241
2020-06-04,763,4820,5800,12364,343,246
2020-06-05,794,4821,5852,12753,345,251
2020-06-06,820,4781,5905,13142,347,256
