date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,2604,3298,658,695,93,94
2020-04-13,2450,4010,877,742,94,95
2020-04-14,2117,4721,1316,799,100,96
2020-04-15,1854,5421,1755,866,104,98
2020-04-16,1590,6090,2194,943,111,100
2020-04-17,1491,6733,2486,1029,115,102
2020-04-18,1351,7349,2772,1124,118,105
2020-04-19,1376,7938,2861,1228,120,108
2020-04-20,1209,8483,3089,1340,122,111
2020-04-21,1178,9027,3241,1460,129,114
2020-04-22,1058,9553,3509,1588,138,118
2020-04-23,1130,10048,3637,1723,149,122
2020-04-24,1187,10501,3736,1865,157,126
2020-04-25,1302,10929,3806,2014,165,130
2020-04-26,1370,11335,3912,2169,172,135
2020-04-27,1298,11718,4135,2329,181,140
2020-04-28,1184,12078,4359,2495,200,145
2020-04-29,1099,12420,4582,2666,222,150
2020-04-30,1116,12708,4718,2842,243,156
2020-05-01,1219,12984,4805,3022,255,162
2020-05-02,1346,13236,4844,3206,266,168
2020-05-03,1465,13458,4883,3393,275,174
2020-05-04,1534,13652,4922,3583,284,180
2020-05-05,1568,13829,4981,3776,294,187
2020-05-06,1605,13968,5062,3972,305,194
2020-05-07,1671,14093,5163,4170,313,201
2020-05-08,1493,14205,5530,4369,322,208
2020-05-09,1025,14300,6164,4570,327,215
2020-05-10,259,14448,7063,4772,335,222
2020-05-11,-216,14574,7662,4976,344,229
2020-05-12,-427,14681,7989,5182,354,237
2020-05-13,-431,14772,8117,5390,362,245
2020-05-14,-408,14822,8245,5599,371,253
2020-05-15,-333,14815,8373,5809,379,261
2020-05-16,-223,14713,8467,6019,384,269
2020-05-17,-142,14597,8561,6227,387,277
2020-05-18,-109,14524,8656,6434,391,285
2020-05-19,-94,14458,8752,6640,399,293
2020-05-20,-52,14385,8849,6845,407,301
2020-05-21,33,14243,8950,7049,414,309
2020-05-22,164,13990,9053,7251,420,317
2020-05-23,289,13555,9160,7449,426,325
2020-05-24,391,13116,9231,7641,433,333
2020-05-25,470,12739,9319,7827,440,341
2020-05-26,542,12427,9412,8007,450,349
2020-05-27,604,12198,9544,8183,460,357
2020-05-28,707,11989,9666,8356,473,365
2020-05-29,831,11752,9792,8526,480,372
2020-05-30,1052,11430,9921,8692,488,379
2020-05-31,1257,11176,10050,8854,493,386
2020-06-01,1460,10911,10178,9012,502,393
2020-06-02,1509,10657,10303,9166,513,400
2020-06-03,1461,10407,10427,9317,526,407
2020-06-04,1667,10148,10558,9464,535,414
2020-06-05,1868,9888,10696,9608,542,421
2020-06-06,2344,9560,10841,9748,544,428
2020-06-07,2643,9354,10986,9883,549,434
2020-06-08,3046,9172,11167,10015,557,440
2020-06-09,3312,8985,11383,10145,566,446
2020-06-10,3597,8843,11634,10272,577,452
2020-06-11,3981,8669,11889,10397,585,458
2020-06-12,4445,8509,12149,10520,593,464
2020-06-13,4963,8322,12412,10640,597,470
2020-06-14,5433,8189,12675,10758,600,476
2020-06-15,5816,8026,12967,10874,603,482
2020-06-16,6075,7912,13290,10988,608,488
2020-06-17,6435,7845,13642,11100,615,494
2020-06-18,6936,7749,14003,11211,625,500
2020-06-19,7622,7669,14375,11321,634,506
2020-06-20,8272,7466,14757,11430,645,511
2020-06-21,8902,7323,15139,11536,652,516
2020-06-22,9451,7240,15520,11640,661,521
2020-06-23,10139,7124,15900,11742,671,526
2020-06-24,10866,6991,16280,11843,683,531
2020-06-25,11692,6859,16701,11942,690,536
2020-06-26,12569,6822,17163,12039,699,541
2020-06-27,13489,6713,17667,12136,707,546
2020-06-28,14414,6717,18171,12231,715,551
2020-06-29,15385,6701,18676,12326,725,556
2020-06-30,16396,6712,19182,12421,741,561
2020-07-01,17552,6734,19690,12516,763,566
2020-07-02,18724,6776,20211,12611,781,571
2020-07-03,19998,6854,20744,12707,796,576
2020-07-04,21155,6836,21291,12804,808,581
2020-07-05,22212,6917,21838,12901,820,586
2020-07-06,22962,6992,22399,12999,831,591
2020-07-07,23718,7074,22976,13098,852,596
2020-07-08,24537,7159,23568,13198,878,601
2020-07-09,25804,7222,23962,13299,906,606
2020-07-10,27514,7341,24160,13401,928,611
2020-07-11,28998,7350,24642,13505,947,617
2020-07-12,29936,7463,25607,13609,961,623
2020-07-13,30854,7544,26571,13715,975,629
2020-07-14,31976,7583,27303,13822,987,635
2020-07-15,33414,7680,27804,13929,1020,641
2020-07-16,34518,7792,28556,14038,1054,647
2020-07-17,35510,7909,29307,14148,1100,653
2020-07-18,37130,7963,29627,14260,1128,659
2020-07-19,38583,8085,29946,14373,1151,665
2020-07-20,40136,8195,30272,14487,1180,671
2020-07-21,41012,8251,31038,14603,1223,677
2020-07-22,41904,8290,31810,14720,1280,683
2020-07-23,42802,8348,32614,14837,1334,689
2020-07-24,43560,8449,33452,14955,1394,695
2020-07-25,44168,8419,34322,15075,1447,701
2020-07-26,44528,8466,35192,15194,1487,707
2020-07-27,45117,8479,35937,15314,1520,713
2020-07-28,46005,8518,36556,15434,1562,719
2020-07-29,47176,8581,37050,15555,1615,725
2020-07-30,48269,8677,37544,15676,1664,731
2020-07-31,49313,8830,38038,15799,1710,737
2020-08-01,50188,8936,38532,15924,1746,744
2020-08-02,50979,9168,39026,16050,1773,751
2020-08-03,51650,9391,39520,16180,1805,758
2020-08-04,52345,9573,40014,16313,1844,765
2020-08-05,53083,9806,40508,16448,1894,772
2020-08-06,53806,10019,41090,16587,1932,779
2020-08-07,54426,10267,41761,16729,1970,786
2020-08-08,54849,10444,42521,16874,2000,793
2020-08-09,55041,10638,43281,17022,2028,801
2020-08-10,55183,10816,43998,17173,2059,809
2020-08-11,55318,11032,44672,17326,2096,817
2020-08-12,55558,11263,45303,17482,2142,825
2020-08-13,55051,11497,46679,17641,2177,833
2020-08-14,53860,11729,48800,17804,2216,841
2020-08-15,51829,11932,51666,17970,2244,849
2020-08-16,49639,12181,54532,18139,2272,857
2020-08-17,48297,12391,56442,18311,2300,865
2020-08-18,48274,12608,57073,18486,2330,874
2020-08-19,48394,12784,57704,18664,2368,883
2020-08-20,48627,12890,58335,18845,2406,892
2020-08-21,48506,13068,59373,19027,2451,901
2020-08-22,48033,13283,60701,19212,2485,910
2020-08-23,47412,13478,62029,19400,2502,919
2020-08-24,47039,13662,63121,19591,2514,928
2020-08-25,46863,13878,63976,19784,2537,937
2020-08-26,46888,14088,64594,19980,2576,946
2020-08-27,47048,14281,65213,20179,2618,955
2020-08-28,47440,14519,65831,20381,2660,964
2020-08-29,48036,14724,66450,20586,2687,973
2020-08-30,48410,14893,67068,20794,2709,982
2020-08-31,48638,15072,67687,21005,2728,991
