date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,3806,4058,1587,1658,105,107
2020-04-13,3769,4408,1714,1736,111,110
2020-04-14,3748,4805,1945,1824,122,113
2020-04-15,3610,5211,2317,1923,133,116
2020-04-16,3546,5630,2666,2033,139,119
2020-04-17,3458,6026,3012,2156,142,123
2020-04-18,3525,6420,3198,2292,145,127
2020-04-19,3570,6732,3384,2441,148,131
2020-04-20,3639,7045,3582,2603,152,135
2020-04-21,3756,7365,3805,2777,158,140
2020-04-22,3957,7672,4011,2965,164,145
2020-04-23,4246,7948,4191,3166,168,150
2020-04-24,4497,8245,4343,3381,172,155
2020-04-25,4739,8529,4454,3610,175,160
2020-04-26,4914,8787,4571,3854,181,166
2020-04-27,5050,9021,4722,4112,184,172
2020-04-28,5152,9238,4994,4384,189,178
2020-04-29,5485,9422,5270,4670,194,184
2020-04-30,6052,9633,5478,4969,199,190
2020-05-01,6591,9819,5603,5283,204,197
2020-05-02,6958,9997,5692,5611,207,204
2020-05-03,7080,10146,5871,5954,212,211
2020-05-04,7151,10261,6083,6310,218,218
2020-05-05,7144,10376,6333,6679,228,225
2020-05-06,7184,10490,6567,7061,234,232
2020-05-07,7242,10609,6786,7456,239,239
2020-05-08,7250,10703,7054,7864,240,247
2020-05-09,7229,10799,7302,8285,242,255
2020-05-10,7230,10950,7645,8719,245,263
2020-05-11,7400,11066,7967,9168,252,271
2020-05-12,7547,11175,8332,9632,262,279
2020-05-13,7680,11243,8613,10110,274,287
2020-05-14,7614,11341,8928,10600,283,295
2020-05-15,7543,11372,9230,11104,290,303
2020-05-16,7590,11357,9487,11618,294,311
2020-05-17,7741,11414,9689,12141,298,319
2020-05-18,7640,11523,10169,12676,301,328
2020-05-19,7238,11642,10879,13225,305,337
2020-05-20,6791,11776,11647,13789,309,346
2020-05-21,6597,11871,12180,14369,312,355
2020-05-22,6666,11915,12500,14963,319,364
2020-05-23,6821,11918,12716,15568,326,373
2020-05-24,7091,11882,12885,16183,334,382
2020-05-25,7314,11989,13084,16805,339,391
2020-05-26,7336,12075,13444,17441,344,400
2020-05-27,7198,12140,13964,18091,350,409
2020-05-28,6999,12153,14504,18753,356,418
2020-05-29,6996,12136,14930,19424,360,428
2020-05-30,7201,12112,15152,20102,364,438
2020-05-31,7554,12067,15352,20787,366,448
2020-06-01,7926,12055,15593,21478,371,458
2020-06-02,8113,12113,15933,22176,378,468
2020-06-03,8150,12154,16292,22885,390,478
2020-06-04,8167,12151,16629,23604,399,488
2020-06-05,8292,12043,16897,24330,408,498
2020-06-06,8561,11974,17090,25057,414,508
2020-06-07,8804,11850,17303,25786,418,518
2020-06-08,9001,11834,17599,26515,424,528
2020-06-09,9064,11880,18030,27249,430,538
2020-06-10,9121,11893,18507,27992,437,548
2020-06-11,9168,11887,18977,28742,448,558
2020-06-12,9315,11779,19382,29498,460,568
2020-06-13,9564,11696,19684,30253,471,578
2020-06-14,9962,11539,19896,31008,476,588
2020-06-15,10269,11545,20222,31758,483,598
2020-06-16,10373,11560,20684,32514,491,608
2020-06-17,10439,11612,21313,33276,499,618
2020-06-18,10566,11610,21920,34046,510,628
