date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,2956,3072,279,293,149,151
2020-04-13,2913,3209,372,316,156,153
2020-04-14,2841,3365,558,353,169,155
2020-04-15,2790,3496,744,411,183,157
2020-04-16,2757,3614,931,496,195,159
2020-04-17,2720,3697,1117,612,205,162
2020-04-18,2684,3735,1303,759,212,165
2020-04-19,2639,3751,1489,933,220,168
2020-04-20,2583,3769,1676,1128,231,171
2020-04-21,2554,3792,1862,1339,240,174
2020-04-22,2542,3809,2048,1561,250,177
2020-04-23,2594,3825,2234,1790,256,180
2020-04-24,2683,3831,2420,2024,262,183
2020-04-25,2777,3809,2607,2261,267,186
2020-04-26,2827,3788,2793,2498,273,189
2020-04-27,2831,3806,2979,2735,284,192
2020-04-28,2835,3825,3165,2974,296,195
2020-04-29,2899,3845,3347,3214,308,198
2020-04-30,3054,3869,3525,3456,317,201
2020-05-01,3311,3881,3640,3699,325,204
2020-05-02,3607,3864,3706,3943,333,207
2020-05-03,3818,3857,3798,4186,337,210
2020-05-04,3969,3894,3942,4429,344,213
2020-05-05,4066,3941,4150,4674,351,216
2020-05-06,4198,3999,4333,4922,363,219
2020-05-07,4342,4066,4520,5174,373,222
2020-05-08,4500,4117,4696,5430,385,225
2020-05-09,4661,4153,4861,5689,394,228
2020-05-10,4769,4188,5021,5950,402,231
2020-05-11,4820,4255,5187,6214,409,234
2020-05-12,4821,4328,5406,6482,416,237
2020-05-13,4826,4414,5679,6754,424,240
2020-05-14,4882,4494,5972,7032,433,243
2020-05-15,4968,4538,6302,7315,445,246
2020-05-16,5119,4574,6566,7601,453,249
2020-05-17,5269,4619,6745,7889,458,252
2020-05-18,5263,4703,6981,8180,461,255
2020-05-19,5231,4783,7295,8476,469,258
2020-05-20,5213,4868,7703,8777,478,261
2020-05-21,5376,4944,8034,9083,488,264
2020-05-22,5536,4995,8354,9394,496,267
2020-05-23,5663,5004,8683,9708,504,270
2020-05-24,5772,4987,8964,10023,510,273
2020-05-25,5858,5001,9203,10337,513,276
2020-05-26,5960,5097,9486,10652,523,279
2020-05-27,6020,5188,9878,10973,535,283
2020-05-28,6125,5254,10370,11300,552,287
2020-05-29,6202,5288,10867,11631,568,291
2020-05-30,6243,5261,11288,11964,582,295
2020-05-31,6194,5252,11607,12295,591,299
2020-06-01,6003,5314,12020,12626,598,303
2020-06-02,5883,5416,12464,12961,606,307
2020-06-03,5942,5520,12845,13302,616,311
2020-06-04,6123,5621,13099,13649,625,315
2020-06-05,6241,5681,13362,14003,634,319
2020-06-06,6192,5699,13718,14361,641,323
2020-06-07,6149,5721,14019,14720,646,327
2020-06-08,6119,5828,14290,15080,651,331
2020-06-09,6046,5931,14608,15447,659,335
2020-06-10,5962,6029,14976,15820,671,339
2020-06-11,5865,6120,15376,16200,680,343
2020-06-12,5756,6205,15787,16585,687,347
2020-06-13,5627,6290,16190,16976,690,351
2020-06-14,5502,6367,16542,17372,692,355
2020-06-15,5427,6507,16839,17773,696,359
2020-06-16,5302,6651,17190,18183,703,364
2020-06-17,5053,6788,17746,18602,711,369
2020-06-18,4753,6943,18355,19029,720,374
2020-06-19,4657,7056,18801,19466,731,379
2020-06-20,4695,7138,19070,19910,739,384
2020-06-21,4796,7161,19268,20359,744,389
2020-06-22,4758,7266,19568,20810,746,394
2020-06-23,4799,7374,19838,21267,750,399
2020-06-24,4838,7475,20176,21731,759,404
2020-06-25,4860,7594,20617,22202,768,409
2020-06-26,4866,7726,21112,22680,775,414
2020-06-27,4902,7777,21577,23166,779,419
2020-06-28,4989,7820,21925,23656,781,424
2020-06-29,5118,7889,22252,24148,783,429
2020-06-30,5223,7950,22631,24645,784,434
2020-07-01,5344,8005,23067,25145,787,440
2020-07-02,5406,8014,23553,25649,792,446
2020-07-03,5553,7983,24020,26153,797,452
2020-07-04,5706,7929,24477,26656,800,458
2020-07-05,5885,7888,24877,27155,802,464
2020-07-06,5961,7984,25299,27652,804,469
2020-07-07,6017,8079,25768,28155,805,475
2020-07-08,6114,8198,26285,28664,807,481
2020-07-09,6320,8292,26808,29180,810,487
2020-07-10,6623,8392,27343,29702,814,493
2020-07-11,6955,8478,27852,30230,819,499
2020-07-12,7234,8504,28299,30764,823,505
2020-07-13,7519,8624,28754,31299,825,511
2020-07-14,7743,8690,29289,31842,826,517
2020-07-15,8008,8814,29917,32389,828,523
2020-07-16,8212,8982,30578,32944,830,529
2020-07-17,8432,9075,31272,33509,835,535
2020-07-18,8632,9095,31963,34080,840,541
2020-07-19,8841,9072,32587,34653,844,547
2020-07-20,9087,9152,33220,35224,849,553
2020-07-21,9240,9235,33904,35800,856,559
2020-07-22,9396,9344,34695,36381,869,565
2020-07-23,9502,9463,35505,36969,880,571
2020-07-24,9633,9539,36374,37565,888,578
2020-07-25,9783,9580,37197,38165,891,585
2020-07-26,9849,9586,37963,38768,892,592
2020-07-27,9872,9692,38705,39371,897,599
2020-07-28,9792,9758,39520,39981,903,606
2020-07-29,9784,9813,40416,40595,912,613
2020-07-30,9761,9866,41350,41213,921,620
2020-07-31,9777,9891,42306,41834,933,627
2020-08-01,9824,9865,43188,42457,943,634
2020-08-02,9889,9837,43914,43078,948,641
2020-08-03,9875,9931,44609,43697,952,648
2020-08-04,9753,10071,45395,44322,960,655
2020-08-05,9652,10209,46304,44956,969,662
2020-08-06,9588,10347,47262,45599,979,669
2020-08-07,9589,10488,48249,46250,988,676
2020-08-08,9570,10555,49185,46910,996,683
2020-08-09,9524,10633,49991,47574,1001,690
2020-08-10,9414,10770,50715,48243,1004,697
