date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,4825,18298,540,547,145,148
2020-04-13,4986,18140,600,573,148,160
2020-04-14,5246,22394,731,599,166,172
2020-04-15,5530,22150,808,631,185,186
2020-04-16,5812,23638,937,663,211,200
2020-04-17,6149,23401,1096,697,232,215
2020-04-18,6572,24345,1201,730,255,230
2020-04-19,6977,24140,1273,765,278,246
2020-04-20,7418,24953,1336,799,300,262
2020-04-21,7891,24709,1413,835,324,278
2020-04-22,8456,25367,1494,870,348,294
2020-04-23,8997,25179,1578,906,377,310
2020-04-24,9593,25824,1652,942,407,326
2020-04-25,10144,25769,1734,979,432,343
2020-04-26,10719,26422,1791,1016,448,359
2020-04-27,11291,26377,1857,1054,467,376
2020-04-28,11855,26999,1933,1092,491,393
2020-04-29,12507,27016,2020,1131,522,410
2020-04-30,13238,27642,2114,1170,551,427
2020-05-01,14042,27798,2204,1209,583,445
2020-05-02,14816,28510,2335,1249,619,463
2020-05-03,15529,28771,2452,1290,653,481
2020-05-04,16191,29437,2588,1331,695,499
2020-05-05,16574,29677,2697,1373,731,517
2020-05-06,17145,30303,2790,1415,759,536
2020-05-07,17724,30572,2882,1458,783,555
2020-05-08,18585,31252,2982,1502,802,574
2020-05-09,19273,31642,3107,1547,826,593
2020-05-10,20078,32345,3199,1592,838,613
2020-05-11,20832,32720,3291,1638,860,633
2020-05-12,21573,33368,3409,1685,890,653
2020-05-13,22317,33750,3544,1733,925,674
2020-05-14,23110,34423,3679,1781,954,695
2020-05-15,23946,34888,3797,1830,979,716
2020-05-16,24682,35680,3902,1880,997,737
2020-05-17,25391,36293,4003,1931,1009,759
2020-05-18,26079,37024,4123,1983,1022,781
2020-05-19,26720,37515,4300,2036,1044,803
2020-05-20,27467,38188,4524,2090,1072,826
2020-05-21,28141,38718,4754,2145,1103,849
2020-05-22,28885,39492,4929,2200,1131,872
2020-05-23,29455,40153,5037,2256,1155,895
2020-05-24,30296,41058,5098,2313,1179,919
2020-05-25,31408,41765,5158,2372,1205,943
2020-05-26,32619,42464,5246,2432,1241,967
2020-05-27,33690,43002,5355,2493,1285,992
2020-05-28,34574,43678,5495,2554,1325,1017
2020-05-29,35539,44247,5621,2616,1355,1042
2020-05-30,36463,44928,5753,2679,1367,1067
2020-05-31,37322,45558,5837,2743,1379,1093
2020-06-01,38097,46244,5926,2808,1391,1119
2020-06-02,38746,46749,6025,2874,1409,1145
2020-06-03,39421,47337,6153,2941,1426,1171
2020-06-04,40042,47857,6280,3009,1442,1198
2020-06-05,40790,48410,6352,3077,1453,1225
2020-06-06,41637,48822,6437,3146,1462,1252
2020-06-07,42481,49443,6492,3216,1470,1279
2020-06-08,43152,49982,6590,3287,1481,1306
2020-06-09,43541,50525,6686,3358,1495,1333
2020-06-10,43878,50997,6799,3430,1510,1360
2020-06-11,44249,51476,6907,3503,1522,1388
2020-06-12,44702,51872,7009,3576,1531,1416
2020-06-13,45219,52228,7103,3650,1540,1444
2020-06-14,45695,52722,7179,3725,1546,1472
2020-06-15,46102,53264,7249,3800,1556,1500
2020-06-16,46429,53711,7333,3876,1568,1528
2020-06-17,46781,54115,7421,3953,1579,1556
2020-06-18,47183,54489,7495,4030,1590,1584
2020-06-19,47672,54816,7554,4108,1598,1612
2020-06-20,48199,55030,7605,4186,1606,1640
2020-06-21,48717,55432,7638,4265,1612,1668
2020-06-22,49181,55809,7678,4344,1625,1696
2020-06-23,49632,56179,7717,4424,1642,1724
2020-06-24,50055,56523,7769,4504,1660,1752
2020-06-25,50515,56835,7817,4585,1678,1780
2020-06-26,51004,57073,7884,4666,1699,1808
2020-06-27,51519,57221,7947,4747,1718,1836
2020-06-28,51994,57399,7998,4829,1732,1864
2020-06-29,52456,57618,8036,4911,1745,1891
2020-06-30,52885,57709,8078,4993,1763,1918
2020-07-01,53218,57716,8235,5075,1788,1945
2020-07-02,53516,57687,8446,5157,1815,1972
2020-07-03,53927,57560,8649,5239,1836,1999
2020-07-04,54485,57552,8745,5321,1853,2025
2020-07-05,55010,57705,8778,5403,1865,2051
2020-07-06,55485,57926,8835,5485,1876,2077
2020-07-07,55939,58148,8911,5568,1889,2103
2020-07-08,56464,58348,8996,5651,1907,2129
2020-07-09,57077,58561,9088,5734,1933,2155
2020-07-10,57773,58746,9175,5818,1952,2181
2020-07-11,58576,58924,9256,5902,1962,2206
2020-07-12,59430,59401,9303,5986,1965,2231
2020-07-13,60261,59960,9354,6071,1970,2256
2020-07-14,61132,60498,9426,6157,1979,2281
2020-07-15,61944,60911,9531,6243,1992,2306
2020-07-16,62775,61292,9684,6330,2004,2331
2020-07-17,63563,61463,9834,6418,2015,2356
2020-07-18,64433,61501,9958,6506,2021,2381
2020-07-19,65332,61874,10033,6594,2027,2406
2020-07-20,66238,62312,10119,6682,2035,2431
2020-07-21,67112,62780,10224,6771,2043,2456
2020-07-22,67934,63228,10348,6861,2051,2480
2020-07-23,68812,63720,10462,6951,2057,2504
2020-07-24,69720,64055,10618,7042,2065,2528
2020-07-25,70688,64369,10752,7133,2073,2552
2020-07-26,71797,64736,10874,7225,2078,2576
2020-07-27,72668,65078,11124,7317,2085,2600
2020-07-28,73539,65483,11380,7410,2100,2624
2020-07-29,74201,65793,11642,7503,2120,2648
2020-07-30,75011,66109,11771,7597,2146,2672
2020-07-31,75798,66380,11890,7691,2176,2695
2020-08-01,76600,66678,12017,7786,2206,2718
2020-08-02,77543,67147,12123,7881,2230,2741
2020-08-03,78558,67709,12249,7977,2239,2764
2020-08-04,79494,68237,12387,8074,2254,2787
2020-08-05,80269,68654,12514,8171,2272,2810
2020-08-06,81343,69071,12627,8269,2296,2833
2020-08-07,82600,69451,12734,8368,2312,2856
2020-08-08,83901,69805,12830,8467,2321,2879
2020-08-09,84774,70343,12909,8567,2325,2901
2020-08-10,85516,70908,13012,8667,2332,2923
2020-08-11,86210,71465,13120,8768,2341,2945
2020-08-12,87014,71962,13262,8870,2353,2967
2020-08-13,87928,72543,13371,8973,2361,2989
2020-08-14,88844,73029,13520,9077,2372,3011
2020-08-15,89728,73585,13651,9181,2379,3033
2020-08-16,90467,74168,13768,9286,2384,3055
2020-08-17,91235,74751,13840,9392,2388,3077
2020-08-18,91935,75248,13908,9499,2397,3098
2020-08-19,92653,75749,13996,9606,2411,3119
2020-08-20,93385,76230,14109,9714,2424,3140
2020-08-21,94270,76722,14231,9823,2435,3161
2020-08-22,95167,77218,14348,9933,2448,3182
2020-08-23,95999,77880,14426,10043,2460,3203
2020-08-24,96757,78577,14502,10154,2477,3224
2020-08-25,97491,79200,14581,10266,2493,3245
2020-08-26,98360,79780,14675,10379,2512,3266
2020-08-27,99236,80304,14770,10493,2530,3286
2020-08-28,100246,80791,14862,10608,2548,3306
2020-08-29,101214,81285,14940,10723,2562,3326
2020-08-30,102131,81825,15013,10839,2572,3346
2020-08-31,102971,82408,15094,10956,2587,3366
2020-09-01,103763,83105,15201,11074,2611,3386
