date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,22959,22439,440,816,1540,1603
2020-04-13,23539,21953,471,1184,1616,1664
2020-04-14,24603,21483,532,1544,1763,1724
2020-04-15,25472,21049,589,1896,1895,1783
2020-04-16,26294,20632,621,2241,2048,1841
2020-04-17,25960,20237,1737,2579,2177,1897
2020-04-18,25342,19858,3096,2910,2308,1952
2020-04-19,24321,19507,4695,3235,2389,2006
2020-04-20,24128,19184,5424,3555,2478,2059
2020-04-21,24105,18891,6154,3869,2618,2111
2020-04-22,24305,18622,6883,4178,2788,2162
2020-04-23,24731,18368,7612,4483,2958,2212
2020-04-24,24818,18125,8447,4784,3072,2262
2020-04-25,24592,17897,9387,5081,3185,2311
2020-04-26,23963,17665,10432,5374,3292,2359
2020-04-27,23509,17469,11477,5663,3430,2406
2020-04-28,23219,17275,12523,5949,3548,2453
2020-04-29,23103,17117,13568,6232,3675,2499
2020-04-30,22990,16970,14613,6512,3775,2545
2020-05-01,22777,16866,15645,6790,3892,2590
2020-05-02,22479,16738,16662,7066,3980,2635
2020-05-03,21929,16627,17666,7340,4071,2679
2020-05-04,21285,16593,18670,7612,4125,2723
2020-05-05,20674,16573,19674,7884,4192,2766
2020-05-06,20186,16554,20678,8155,4261,2809
2020-05-07,19755,16558,21682,8426,4333,2852
2020-05-08,19276,16579,22615,8697,4424,2895
2020-05-09,18822,16587,23478,8969,4494,2938
2020-05-10,18356,16575,24271,9241,4556,2980
2020-05-11,17918,16616,25063,9512,4604,3022
2020-05-12,17475,16673,25856,9784,4657,3064
2020-05-13,17291,16733,26648,10057,4725,3106
2020-05-14,17134,16817,27441,10331,4775,3148
2020-05-15,17031,16902,28204,10606,4831,3190
2020-05-16,16783,16990,28938,10883,4865,3232
2020-05-17,16660,17081,29643,11161,4895,3274
2020-05-18,16513,17190,30348,11441,4941,3316
2020-05-19,16374,17318,31053,11723,4997,3358
2020-05-20,16130,17457,31758,12007,5068,3400
2020-05-21,15899,17592,32463,12293,5115,3442
2020-05-22,15592,17734,33167,12581,5170,3484
2020-05-23,15244,17840,33872,12871,5203,3526
2020-05-24,14835,17885,34576,13163,5230,3568
2020-05-25,14362,17965,35281,13456,5245,3610
2020-05-26,13932,18127,35985,13750,5280,3651
2020-05-27,13561,18313,36690,14047,5324,3692
2020-05-28,13317,18515,37394,14347,5370,3734
2020-05-29,13069,18733,38051,14650,5414,3776
2020-05-30,12880,18999,38662,14957,5453,3818
2020-05-31,12584,19178,39225,15268,5490,3860
2020-06-01,12245,19345,39788,15582,5520,3902
2020-06-02,11869,19517,40351,15899,5546,3944
2020-06-03,11516,19731,40914,16219,5572,3986
2020-06-04,12867,19964,41477,16542,5673,4028
2020-06-05,14309,20228,41992,16869,5781,4070
2020-06-06,15878,20511,42458,17200,5882,4112
2020-06-07,15829,20672,42876,17536,5902,4154
2020-06-08,15650,20813,43293,17875,5920,4196
2020-06-09,15391,20949,43711,18216,5939,4238
2020-06-10,15119,21114,44128,18559,5962,4280
2020-06-11,14912,21283,44546,18905,5976,4322
2020-06-12,14626,21517,45030,19254,5996,4364
2020-06-13,14266,21748,45582,19606,6006,4406
2020-06-14,13776,21806,46200,19962,6015,4448
2020-06-15,13296,21833,46818,20319,6022,4489
2020-06-16,12818,21863,47436,20677,6029,4530
2020-06-17,12424,21914,48054,21035,6043,4571
2020-06-18,12071,22010,48672,21394,6054,4611
2020-06-19,11905,22094,49170,21755,6071,4651
2020-06-20,11822,22106,49548,22117,6081,4691
2020-06-21,11840,22095,49806,22479,6091,4730
2020-06-22,11792,22121,50065,22841,6098,4769
2020-06-23,11807,22111,50323,23203,6106,4807
2020-06-24,11880,22064,50582,23565,6118,4845
2020-06-25,11990,22028,50840,23926,6127,4882
2020-06-26,12097,22028,51095,24287,6140,4919
2020-06-27,12156,21983,51347,24648,6148,4955
2020-06-28,12196,21873,51596,25008,6157,4990
2020-06-29,12284,21751,51845,25366,6170,5025
