date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,2604,3298,658,695,93,94
2020-04-13,2450,4010,877,742,94,95
2020-04-14,2117,4721,1316,799,100,96
2020-04-15,1854,5421,1755,866,104,98
2020-04-16,1590,6090,2194,943,111,100
2020-04-17,1491,6733,2486,1029,115,102
2020-04-18,1351,7349,2772,1124,118,105
2020-04-19,1376,7938,2861,1228,120,108
2020-04-20,1209,8483,3089,1340,122,111
2020-04-21,1178,9027,3241,1460,129,114
2020-04-22,1058,9553,3509,1588,138,118
2020-04-23,1130,10048,3637,1723,149,122
2020-04-24,1187,10501,3736,1865,157,126
2020-04-25,1302,10929,3806,2014,165,130
2020-04-26,1370,11335,3912,2169,172,135
2020-04-27,1298,11718,4135,2329,181,140
2020-04-28,1184,12078,4359,2495,200,145
2020-04-29,1099,12420,4582,2666,222,150
2020-04-30,1116,12708,4718,2842,243,156
2020-05-01,1219,12984,4805,3022,255,162
2020-05-02,1346,13236,4844,3206,266,168
2020-05-03,1465,13458,4883,3393,275,174
2020-05-04,1534,13652,4922,3583,284,180
2020-05-05,1568,13829,4981,3776,294,187
2020-05-06,1605,13968,5062,3972,305,194
2020-05-07,1671,14093,5163,4170,313,201
2020-05-08,1493,14205,5530,4369,322,208
2020-05-09,1025,14300,6164,4570,327,215
2020-05-10,259,14415,7063,4772,335,222
2020-05-11,-216,14509,7662,4976,344,229
2020-05-12,-427,14584,7989,5181,354,237
2020-05-13,-431,14640,8117,5387,362,245
2020-05-14,-408,14654,8245,5594,371,253
2020-05-15,-333,14608,8373,5801,379,261
2020-05-16,-223,14465,8467,6008,384,269
2020-05-17,-142,14344,8561,6213,387,277
2020-05-18,-109,14264,8656,6416,391,285
2020-05-19,-94,14191,8752,6618,399,293
2020-05-20,-52,14110,8849,6819,407,301
2020-05-21,33,13960,8950,7019,414,309
2020-05-22,164,13699,9053,7217,420,317
2020-05-23,289,13259,9160,7411,426,325
2020-05-24,391,12851,9231,7599,433,333
2020-05-25,470,12500,9319,7781,440,341
2020-05-26,542,12211,9412,7958,450,349
2020-05-27,604,12002,9544,8131,460,356
2020-05-28,707,11812,9666,8301,473,363
2020-05-29,831,11596,9792,8468,480,370
2020-05-30,1052,11296,9921,8632,488,377
2020-05-31,1257,11084,10050,8792,493,384
2020-06-01,1460,10858,10178,8949,502,391
2020-06-02,1509,10644,10303,9103,513,398
2020-06-03,1461,10435,10427,9254,526,405
2020-06-04,1667,10216,10558,9402,535,412
2020-06-05,1868,9996,10696,9547,542,419
2020-06-06,2344,9708,10841,9688,544,426
2020-06-07,2643,9620,10986,9825,549,432
2020-06-08,3046,9542,11167,9961,557,438
2020-06-09,3312,9445,11383,10096,566,444
2020-06-10,3597,9384,11634,10230,577,450
2020-06-11,3981,9289,11889,10363,585,456
2020-06-12,4445,9211,12149,10494,593,462
2020-06-13,4963,9102,12412,10624,597,468
2020-06-14,5433,8930,12675,10753,600,474
2020-06-15,5816,8727,12967,10879,603,480
2020-06-16,6075,8576,13290,11003,608,486
2020-06-17,6435,8473,13642,11124,615,492
2020-06-18,6936,8338,14003,11244,625,498
2020-06-19,7622,8212,14375,11362,634,504
2020-06-20,8272,7948,14757,11478,645,510
2020-06-21,8902,7714,15139,11590,652,516
2020-06-22,9451,7548,15520,11699,661,522
2020-06-23,10139,7357,15900,11806,671,527
2020-06-24,10866,7149,16280,11910,683,532
2020-06-25,11692,6941,16701,12011,690,537
2020-06-26,12569,6827,17163,12109,699,542
2020-06-27,13489,6644,17667,12206,707,547
2020-06-28,14414,6498,18171,12300,715,552
2020-06-29,15385,6360,18676,12392,725,557
2020-06-30,16396,6258,19182,12482,741,562
2020-07-01,17552,6166,19690,12571,763,567
2020-07-02,18724,6081,20211,12658,781,572
2020-07-03,19998,6020,20744,12744,796,577
2020-07-04,21155,5895,21291,12829,808,582
2020-07-05,22212,5870,21838,12912,820,586
2020-07-06,22962,5859,22399,12995,831,590
2020-07-07,23718,5864,22976,13078,852,594
2020-07-08,24537,5876,23568,13161,878,598
2020-07-09,25804,5873,23962,13244,906,602
2020-07-10,27514,5914,24160,13327,928,606
2020-07-11,28998,5870,24642,13411,947,610
2020-07-12,29936,5914,25607,13494,961,614
2020-07-13,30854,5944,26571,13578,975,618
2020-07-14,31976,5946,27303,13662,987,623
2020-07-15,33414,5998,27804,13746,1020,628
2020-07-16,34518,6065,28556,13831,1054,633
2020-07-17,35510,6138,29307,13917,1100,638
2020-07-18,37130,6167,29627,14004,1128,643
2020-07-19,38583,6310,29946,14091,1151,648
2020-07-20,40136,6438,30272,14180,1180,653
2020-07-21,41012,6519,31038,14271,1223,658
2020-07-22,41904,6588,31810,14363,1280,663
2020-07-23,42802,6676,32614,14456,1334,668
2020-07-24,43560,6807,33452,14550,1394,673
2020-07-25,44168,6836,34322,14646,1447,678
2020-07-26,44528,6989,35192,14743,1487,683
2020-07-27,45117,7100,35937,14842,1520,688
2020-07-28,46005,7230,36556,14942,1562,693
2020-07-29,47176,7386,37050,15044,1615,698
2020-07-30,48269,7578,37544,15149,1664,703
2020-07-31,49313,7843,38038,15256,1710,709
2020-08-01,50188,8069,38532,15367,1746,715
2020-08-02,50979,7988,39026,15481,1773,721
2020-08-03,51650,7953,39520,15594,1805,727
2020-08-04,52345,7895,40014,15707,1844,733
2020-08-05,53083,7857,40508,15819,1894,739
2020-08-06,53806,7812,41090,15930,1932,745
2020-08-07,54426,7778,41761,16041,1970,751
2020-08-08,54849,7693,42521,16151,2000,757
2020-08-09,55041,7702,43281,16260,2028,763
2020-08-10,55183,7717,43998,16369,2059,769
2020-08-11,55318,7749,44672,16478,2096,774
2020-08-12,55558,7787,45303,16588,2142,779
2020-08-13,55051,7827,46679,16698,2177,784
2020-08-14,53860,7860,48800,16809,2216,789
2020-08-15,51829,7866,51666,16920,2244,794
2020-08-16,49639,8019,54532,17031,2272,799
2020-08-17,48297,8147,56442,17144,2300,805
2020-08-18,48274,8279,57073,17259,2330,811
2020-08-19,48394,8381,57704,17376,2368,817
2020-08-20,48627,8435,58335,17495,2406,823
2020-08-21,48506,8528,59373,17614,2451,829
2020-08-22,48033,8630,60701,17735,2485,835
2020-08-23,47412,8867,62029,17857,2502,841
2020-08-24,47039,9078,63121,17982,2514,847
2020-08-25,46863,9301,63976,18110,2537,853
2020-08-26,46888,9520,64594,18242,2576,859
2020-08-27,47048,9722,65213,18377,2618,865
2020-08-28,47440,9956,65831,18515,2660,871
2020-08-29,48036,10166,66450,18656,2687,877
2020-08-30,48410,10522,67068,18800,2709,883
2020-08-31,48638,10843,67687,18949,2728,890
