date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,2956,3072,279,293,149,151
2020-04-13,2913,3209,372,316,156,153
2020-04-14,2841,3365,558,353,169,155
2020-04-15,2790,3496,744,411,183,157
2020-04-16,2757,3614,931,496,195,159
2020-04-17,2720,3697,1117,612,205,162
2020-04-18,2684,3735,1303,759,212,165
2020-04-19,2639,3751,1489,933,220,168
2020-04-20,2583,3769,1676,1128,231,171
2020-04-21,2554,3792,1862,1339,240,174
2020-04-22,2542,3809,2048,1561,250,177
2020-04-23,2594,3825,2234,1790,256,180
2020-04-24,2683,3831,2420,2024,262,183
2020-04-25,2777,3809,2607,2261,267,186
2020-04-26,2827,3788,2793,2498,273,189
2020-04-27,2831,3806,2979,2735,284,192
2020-04-28,2835,3825,3165,2974,296,195
2020-04-29,2899,3845,3347,3214,308,198
2020-04-30,3054,3869,3525,3456,317,201
2020-05-01,3311,3881,3640,3699,325,204
2020-05-02,3607,3864,3706,3943,333,207
2020-05-03,3818,3857,3798,4186,337,210
2020-05-04,3969,3894,3942,4429,344,213
2020-05-05,4066,3941,4150,4674,351,216
2020-05-06,4198,3999,4333,4922,363,219
2020-05-07,4342,4066,4520,5174,373,222
2020-05-08,4500,4117,4696,5430,385,225
2020-05-09,4661,4153,4861,5689,394,228
2020-05-10,4769,4188,5021,5950,402,231
2020-05-11,4820,4255,5187,6214,409,234
2020-05-12,4821,4328,5406,6482,416,237
2020-05-13,4826,4413,5679,6754,424,240
2020-05-14,4882,4492,5972,7032,433,243
2020-05-15,4968,4535,6302,7315,445,246
2020-05-16,5119,4570,6566,7600,453,249
2020-05-17,5269,4613,6745,7888,458,252
2020-05-18,5263,4695,6981,8178,461,255
2020-05-19,5231,4773,7295,8474,469,258
2020-05-20,5213,4856,7703,8774,478,261
2020-05-21,5376,4930,8034,9080,488,264
2020-05-22,5536,4979,8354,9390,496,267
2020-05-23,5663,4986,8683,9703,504,270
2020-05-24,5772,4967,8964,10017,510,273
2020-05-25,5858,4979,9203,10330,513,276
2020-05-26,5960,5074,9486,10643,523,279
2020-05-27,6020,5164,9878,10962,535,283
2020-05-28,6125,5229,10370,11287,552,287
2020-05-29,6202,5262,10867,11616,568,291
2020-05-30,6243,5235,11288,11947,582,295
2020-05-31,6194,5226,11607,12277,591,299
2020-06-01,6003,5288,12020,12606,598,303
2020-06-02,5883,5389,12464,12939,606,307
2020-06-03,5942,5493,12845,13278,616,311
2020-06-04,6123,5594,13099,13624,625,315
2020-06-05,6241,5655,13362,13976,634,319
2020-06-06,6192,5675,13718,14332,641,323
2020-06-07,6149,5449,14019,14689,646,327
2020-06-08,6119,5319,14290,15032,651,331
2020-06-09,6046,5212,14608,15367,659,335
2020-06-10,5962,5118,14976,15695,671,339
2020-06-11,5865,5015,15376,16017,680,343
2020-06-12,5756,4887,15787,16333,687,346
2020-06-13,5627,4751,16190,16641,690,349
2020-06-14,5502,4621,16542,16940,692,352
2020-06-15,5427,4570,16839,17231,696,355
2020-06-16,5302,4526,17190,17519,703,358
2020-06-17,5053,4476,17746,17804,711,361
2020-06-18,4753,4431,18355,18086,720,364
2020-06-19,4657,4344,18801,18365,731,367
2020-06-20,4695,4235,19070,18638,739,370
2020-06-21,4796,4368,19268,18905,744,373
2020-06-22,4758,4522,19568,19180,746,376
2020-06-23,4799,4666,19838,19465,750,379
2020-06-24,4838,4795,20176,19759,759,382
2020-06-25,4860,4928,20617,20061,768,385
2020-06-26,4866,5056,21112,20371,775,388
2020-06-27,4902,5118,21577,20689,779,392
2020-06-28,4989,5408,21925,21011,781,396
2020-06-29,5118,5647,22252,21351,783,400
2020-06-30,5223,5855,22631,21706,784,404
2020-07-01,5344,6040,23067,22075,787,408
2020-07-02,5406,6191,23553,22455,792,412
2020-07-03,5553,6306,24020,22845,797,416
2020-07-04,5706,6371,24477,23242,800,420
2020-07-05,5885,6726,24877,23643,802,424
2020-07-06,5961,7132,25299,24066,804,429
2020-07-07,6017,7492,25768,24515,805,434
2020-07-08,6114,7864,26285,24987,807,439
2020-07-09,6320,8197,26808,25482,810,444
2020-07-10,6623,8585,27343,25998,814,450
2020-07-11,6955,8957,27852,26538,819,456
2020-07-12,7234,9158,28299,27102,823,462
2020-07-13,7519,9441,28754,27678,825,468
2020-07-14,7743,9646,29289,28272,826,475
2020-07-15,8008,9936,29917,28879,828,482
2020-07-16,8212,10304,30578,29504,830,489
2020-07-17,8432,10609,31272,30153,835,496
2020-07-18,8632,10839,31963,30821,840,503
2020-07-19,8841,10413,32587,31503,844,511
2020-07-20,9087,10203,33220,32158,849,518
2020-07-21,9240,10038,33904,32800,856,525
2020-07-22,9396,9918,34695,33432,869,532
2020-07-23,9502,9829,35505,34056,880,539
2020-07-24,9633,9697,36374,34675,888,546
2020-07-25,9783,9562,37197,35285,891,553
2020-07-26,9849,9302,37963,35887,892,560
2020-07-27,9872,9194,38705,36473,897,566
2020-07-28,9792,9087,39520,37052,903,572
2020-07-29,9784,8988,40416,37624,912,578
2020-07-30,9761,8894,41350,38190,921,584
2020-07-31,9777,8769,42306,38750,933,590
2020-08-01,9824,8622,43188,39302,943,596
2020-08-02,9889,8713,43914,39845,948,602
2020-08-03,9875,8881,44609,40393,952,608
2020-08-04,9753,9081,45395,40952,960,614
2020-08-05,9652,9265,46304,41524,969,620
2020-08-06,9588,9439,47262,42107,979,626
2020-08-07,9589,9619,48249,42701,988,633
2020-08-08,9570,9723,49185,43307,996,640
2020-08-09,9524,9738,49991,43919,1001,647
2020-08-10,9414,9801,50715,44532,1004,654
