date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,2186,2252,132,222,15,16
2020-04-13,2154,2315,191,315,16,17
2020-04-14,2115,2393,310,411,17,18
2020-04-15,2188,2479,341,510,20,19
2020-04-16,2267,2571,385,612,22,20
2020-04-17,2319,2668,455,718,23,21
2020-04-18,2339,2788,562,828,25,22
2020-04-19,2367,2898,673,943,26,23
2020-04-20,2383,3006,781,1063,29,24
2020-04-21,2408,3127,878,1187,32,25
2020-04-22,2448,3255,969,1316,34,26
2020-04-23,2487,3380,1090,1450,36,27
2020-04-24,2509,3531,1233,1590,38,28
2020-04-25,2504,3695,1406,1736,41,29
2020-04-26,2523,3843,1536,1889,43,31
2020-04-27,2553,3980,1637,2048,44,33
2020-04-28,2604,4127,1711,2212,44,35
2020-04-29,2648,4276,1811,2382,45,37
2020-04-30,2688,4426,1930,2559,47,39
2020-05-01,2718,4555,2062,2742,48,41
2020-05-02,2785,4701,2161,2930,50,43
2020-05-03,2852,4833,2255,3124,52,45
2020-05-04,2936,4946,2322,3324,55,47
2020-05-05,2985,5056,2412,3528,56,49
2020-05-06,3018,5184,2512,3737,59,51
2020-05-07,3045,5319,2639,3951,62,53
2020-05-08,3080,5470,2770,4171,65,55
2020-05-09,3124,5632,2901,4397,66,57
2020-05-10,3133,5774,3038,4630,67,59
2020-05-11,3119,5889,3160,4868,69,61
2020-05-12,3115,5991,3284,5111,72,63
2020-05-13,3112,6109,3413,5358,75,65
2020-05-14,3121,6234,3563,5610,76,68
2020-05-15,3106,6401,3727,5867,77,71
2020-05-16,3098,6576,3896,6131,79,74
2020-05-17,3056,6735,4091,6402,83,77
2020-05-18,3027,6846,4267,6680,86,80
2020-05-19,3066,6966,4383,6963,88,83
2020-05-20,3130,7104,4480,7251,90,86
2020-05-21,3200,7255,4589,7544,91,89
2020-05-22,3222,7481,4747,7844,94,92
2020-05-23,3231,7751,4909,8153,96,95
2020-05-24,3229,8014,5065,8473,97,98
2020-05-25,3197,8229,5215,8804,99,101
2020-05-26,3160,8310,5354,9144,101,104
2020-05-27,3156,8398,5489,9487,104,107
2020-05-28,3212,8499,5645,9834,106,110
2020-05-29,3321,8693,5810,10185,108,113
2020-05-30,3439,8944,5981,10544,111,117
2020-05-31,3535,9158,6127,10913,114,121
2020-06-01,3649,9319,6235,11291,115,125
2020-06-02,3758,9350,6357,11676,117,129
2020-06-03,3904,9395,6482,12062,118,133
2020-06-04,4096,9446,6639,12450,119,137
2020-06-05,4382,9529,6785,12840,120,141
2020-06-06,4638,9604,6945,13233,122,145
2020-06-07,4839,9421,7100,13629,123,149
2020-06-08,4939,9232,7251,14018,125,153
2020-06-09,5044,9038,7411,14399,126,157
2020-06-10,5189,8873,7574,14772,128,161
2020-06-11,5343,8719,7755,15138,133,165
2020-06-12,5535,8565,7931,15498,137,169
2020-06-13,5716,8416,8100,15852,141,172
2020-06-14,5910,8305,8248,16199,142,175
2020-06-15,6109,8187,8367,16542,143,178
2020-06-16,6351,8080,8467,16880,145,181
2020-06-17,6623,7965,8602,17214,148,184
2020-06-18,6900,7835,8817,17543,152,187
2020-06-19,7193,7691,9096,17866,155,190
2020-06-20,7440,7526,9387,18184,158,193
2020-06-21,7681,7552,9637,18495,160,196
2020-06-22,7868,7531,9859,18807,162,199
2020-06-23,8083,7487,10084,19118,163,202
2020-06-24,8312,7442,10344,19427,163,205
2020-06-25,8547,7412,10691,19734,164,208
2020-06-26,8720,7388,11132,20040,165,211
2020-06-27,8863,7358,11562,20345,167,214
2020-06-28,9032,7463,11931,20649,167,217
2020-06-29,9313,7480,12178,20957,169,220
2020-06-30,9592,7478,12436,21266,171,223
2020-07-01,9834,7481,12727,21575,173,226
2020-07-02,10044,7524,13063,21884,177,229
2020-07-03,10282,7600,13430,22195,180,232
2020-07-04,10483,7693,13787,22509,183,235
2020-07-05,10667,7958,14134,22827,186,238
2020-07-06,10842,8006,14453,23156,189,241
2020-07-07,11094,8034,14796,23487,195,244
2020-07-08,11313,8104,15201,23819,200,247
2020-07-09,11540,8199,15700,24154,204,250
2020-07-10,11663,8343,16273,24492,208,253
2020-07-11,11823,8543,16820,24836,211,256
2020-07-12,11933,8902,17309,25189,214,259
2020-07-13,12064,9130,17714,25557,219,262
2020-07-14,12097,9352,18144,25934,225,265
2020-07-15,12201,9597,18639,26320,231,268
2020-07-16,12312,9846,19223,26716,234,272
2020-07-17,12513,10177,19832,27122,238,276
