date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,3319,20582,186,194,118,120
2020-04-13,3356,20374,207,244,122,131
2020-04-14,3401,24948,294,293,131,142
2020-04-15,3498,24646,364,354,141,156
2020-04-16,3547,26371,537,414,153,170
2020-04-17,3584,26069,740,478,166,185
2020-04-18,3627,27193,918,541,177,200
2020-04-19,3657,27059,1066,607,185,216
2020-04-20,3735,27944,1156,673,194,232
2020-04-21,3809,27945,1246,741,210,248
2020-04-22,4001,28674,1270,809,229,265
2020-04-23,4229,28798,1286,879,248,282
2020-04-24,4459,29434,1313,949,262,299
2020-04-25,4666,29669,1347,1020,275,317
2020-04-26,4848,30272,1382,1092,285,335
2020-04-27,5024,30597,1417,1165,297,354
2020-04-28,5212,31198,1447,1239,304,373
2020-04-29,5487,31593,1474,1315,312,393
2020-04-30,5787,32136,1500,1392,324,413
2020-05-01,6124,32554,1530,1470,342,434
2020-05-02,6399,33063,1563,1549,362,455
2020-05-03,6666,33492,1598,1629,378,476
2020-05-04,6934,33962,1633,1710,389,498
2020-05-05,7242,34432,1665,1792,405,520
2020-05-06,7534,34929,1695,1876,423,543
2020-05-07,7875,35406,1720,1961,464,566
2020-05-08,7927,35892,2051,2047,499,590
2020-05-09,7938,36371,2402,2134,528,614
2020-05-10,7848,36895,2770,2222,536,639
2020-05-11,8021,37391,2845,2312,546,664
2020-05-12,8299,37931,2913,2403,566,690
2020-05-13,8628,38450,2987,2495,593,716
2020-05-14,8997,38952,3066,2588,623,743
2020-05-15,9326,39424,3192,2683,651,770
2020-05-16,9606,39915,3317,2779,670,798
2020-05-17,9798,40415,3459,2876,682,826
2020-05-18,9982,40919,3571,2974,690,855
2020-05-19,10172,41437,3678,3073,713,884
2020-05-20,10426,41917,3779,3174,738,914
2020-05-21,10666,42402,3864,3276,762,944
2020-05-22,10943,42797,3951,3379,781,974
2020-05-23,11185,43192,4038,3483,795,1005
2020-05-24,11406,43647,4123,3588,806,1036
2020-05-25,11586,44183,4211,3694,808,1068
2020-05-26,11815,44792,4287,3801,817,1100
2020-05-27,12149,45432,4370,3910,834,1133
2020-05-28,12575,46023,4454,4020,860,1166
2020-05-29,13099,46497,4553,4132,883,1200
2020-05-30,13667,46925,4656,4245,899,1234
2020-05-31,14103,47411,4762,4359,909,1269
2020-06-01,14656,47909,4865,4474,922,1304
2020-06-02,15331,48588,4970,4590,948,1339
2020-06-03,16122,49240,5071,4708,975,1375
2020-06-04,17046,49894,5182,4827,999,1411
2020-06-05,17950,50469,5289,4948,1019,1448
2020-06-06,19186,51043,5404,5070,1036,1485
2020-06-07,20139,51449,5518,5194,1049,1523
2020-06-08,20954,51855,5640,5319,1060,1561
2020-06-09,21781,52328,5751,5445,1076,1599
2020-06-10,22798,52767,5903,5572,1104,1638
2020-06-11,24205,53130,6051,5700,1130,1677
2020-06-12,25658,53372,6170,5829,1160,1716
2020-06-13,27040,53622,6250,5959,1178,1756
2020-06-14,28208,54202,6334,6089,1194,1796
2020-06-15,29574,54940,6464,6221,1207,1836
2020-06-16,31171,55686,6591,6354,1226,1877
2020-06-17,33211,56471,6725,6489,1253,1918
2020-06-18,35615,57294,6865,6626,1284,1960
2020-06-19,38486,58098,7025,6765,1316,2002
2020-06-20,41338,58916,7200,6906,1338,2045
2020-06-21,43703,59586,7388,7049,1348,2088
2020-06-22,46253,60111,7571,7194,1365,2132
2020-06-23,48564,60626,7754,7340,1404,2176
2020-06-24,51224,61063,7940,7487,1452,2220
2020-06-25,53723,61546,8154,7635,1499,2264
2020-06-26,56756,61987,8395,7784,1537,2309
2020-06-27,60006,62475,8658,7934,1570,2354
2020-06-28,62352,63023,8921,8086,1590,2399
2020-06-29,65113,63669,9172,8239,1612,2444
2020-06-30,68201,64351,9435,8394,1656,2489
2020-07-01,72127,65064,9754,8550,1711,2535
2020-07-02,75935,65728,10110,8708,1762,2581
2020-07-03,78995,66471,10506,8868,1793,2627
2020-07-04,82120,67244,10914,9029,1813,2674
2020-07-05,84852,67734,11366,9192,1823,2721
2020-07-06,87871,68199,11819,9356,1860,2768
2020-07-07,90849,68718,12299,9522,1906,2815
2020-07-08,94016,69138,12801,9689,1976,2862
2020-07-09,97366,69489,13332,9857,2027,2909
2020-07-10,100545,69735,13862,10026,2090,2956
2020-07-11,103249,70042,14358,10195,2156,3003
2020-07-12,105037,70494,14825,10365,2211,3050
2020-07-13,107270,70909,15253,10536,2273,3097
2020-07-14,109724,71369,15695,10708,2339,3144
2020-07-15,112761,71755,16172,10881,2421,3191
2020-07-16,115653,72150,16674,11055,2503,3238
2020-07-17,118356,72556,17176,11230,2601,3285
2020-07-18,120782,72935,17664,11406,2691,3332
2020-07-19,122490,73361,18109,11583,2758,3379
2020-07-20,124499,73746,18510,11761,2821,3426
2020-07-21,126375,74142,18891,11940,2892,3473
2020-07-22,128463,74397,19297,12120,2985,3519
2020-07-23,130491,74687,19733,12301,3060,3565
2020-07-24,133106,74874,20158,12482,3164,3611
2020-07-25,135637,75151,20571,12664,3244,3657
2020-07-26,137707,76329,20955,12846,3298,3703
2020-07-27,139278,77670,21308,13031,3339,3749
2020-07-28,140976,79029,21647,13219,3388,3795
2020-07-29,142847,80518,21992,13411,3496,3842
2020-07-30,145081,82058,22355,13606,3591,3889
2020-07-31,147535,83734,22712,13805,3689,3936
2020-08-01,149695,85408,23063,14008,3735,3984
2020-08-02,151166,86460,23393,14215,3763,4032
2020-08-03,152007,87135,23686,14425,3796,4081
2020-08-04,152927,87791,23956,14636,3852,4129
2020-08-05,153963,88307,24232,14849,3926,4177
2020-08-06,155110,88789,24522,15063,4005,4225
2020-08-07,156029,89164,24836,15278,4073,4273
2020-08-08,156737,89606,25168,15494,4122,4320
2020-08-09,157192,90047,25512,15711,4147,4367
2020-08-10,157735,90609,25825,15930,4167,4414
2020-08-11,158212,91170,26122,16150,4233,4461
2020-08-12,158931,91642,26418,16371,4309,4507
2020-08-13,159541,92008,26727,16593,4384,4553
2020-08-14,160257,92245,27034,16816,4432,4599
2020-08-15,160844,92396,27316,17040,4477,4644
2020-08-16,161313,92769,27573,17264,4512,4689
2020-08-17,161826,93246,27803,17489,4525,4733
2020-08-18,162243,93759,28020,17715,4564,4777
2020-08-19,162727,94219,28243,17943,4615,4821
2020-08-20,163099,94556,28478,18172,4668,4864
2020-08-21,163604,94869,28711,18401,4709,4907
2020-08-22,163955,95297,28936,18631,4741,4949
2020-08-23,164221,95670,29140,18862,4776,4991
2020-08-24,164470,96195,29338,19094,4788,5032
2020-08-25,164689,96687,29533,19327,4826,5073
2020-08-26,165018,97139,29733,19562,4872,5114
2020-08-27,165219,97572,29932,19798,4934,5154
2020-08-28,165592,97959,30131,20035,4971,5194
2020-08-29,165866,98354,30331,20273,5005,5233
2020-08-30,166055,98893,30517,20512,5022,5272
2020-08-31,166225,99480,30687,20752,5034,5311
2020-09-01,166452,100367,30848,20993,5046,5349
2020-09-02,166952,101117,31021,21237,5079,5387
2020-09-03,167507,101731,31202,21482,5122,5425
2020-09-04,168171,102002,31377,21729,5169,5462
2020-09-05,168571,102176,31551,21977,5199,5499
2020-09-06,168823,102570,31711,22225,5215,5535
2020-09-07,168842,103178,31863,22474,5220,5571
2020-09-08,168947,104027,32006,22724,5230,5606
2020-09-09,169127,104756,32154,22976,5248,5641
2020-09-10,169441,105446,32311,23230,5270,5676
2020-09-11,169789,106016,32470,23486,5292,5710
2020-09-12,170103,106652,32639,23743,5312,5744
2020-09-13,170319,107467,32806,24002,5330,5777
2020-09-14,170513,108244,32962,24263,5340,5810
2020-09-15,170821,109022,33106,24526,5353,5843
2020-09-16,171642,109702,33242,24791,5374,5875
2020-09-17,172708,110235,33385,25057,5410,5907
2020-09-18,173750,110566,33525,25325,5442,5938
2020-09-19,174363,110849,33676,25593,5465,5969
2020-09-20,174651,110903,33816,25862,5474,5999
2020-09-21,174944,110758,33944,26131,5484,6029
2020-09-22,175218,110740,34075,26400,5500,6058
2020-09-23,175576,110688,34224,26669,5527,6087
2020-09-24,175883,110593,34394,26938,5557,6115
2020-09-25,176197,110399,34562,27206,5589,6143
2020-09-26,176478,110159,34722,27474,5610,6170
2020-09-27,176702,110483,34866,27741,5623,6196
2020-09-28,177019,111093,34998,28009,5626,6222
2020-09-29,177304,111687,35128,28279,5635,6247
2020-09-30,177717,112078,35265,28550,5652,6272
2020-10-01,178080,112323,35408,28822,5672,6297
2020-10-02,178548,112937,35553,29095,5690,6321
2020-10-03,178909,113438,35695,29369,5701,6345
2020-10-04,179188,114002,35847,29644,5706,6368
2020-10-05,179540,114561,36004,29921,5708,6391
2020-10-06,179960,115133,36170,30199,5717,6414
2020-10-07,180550,115373,36345,30478,5729,6436
2020-10-08,181070,115477,36531,30758,5740,6458
2020-10-09,181679,115114,36725,31038,5750,6479
2020-10-10,182205,114585,36917,31317,5757,6500
2020-10-11,182665,114350,37105,31595,5764,6520
2020-10-12,183087,114394,37266,31873,5766,6540
2020-10-13,183613,114476,37425,32151,5768,6559
2020-10-14,184339,114231,37590,32429,5776,6578
2020-10-15,185047,113543,37787,32706,5789,6596
2020-10-16,185769,112524,37989,32982,5806,6614
2020-10-17,186355,111527,38190,33255,5819,6631
2020-10-18,186965,111109,38376,33526,5827,6648
2020-10-19,187616,110913,38547,33796,5831,6664
2020-10-20,188362,110836,38713,34065,5840,6680
2020-10-21,189176,110534,38892,34334,5850,6695
2020-10-22,189949,110089,39092,34602,5859,6710
2020-10-23,190683,109362,39306,34869,5864,6724
2020-10-24,191546,108717,39524,35134,5869,6738
2020-10-25,192365,108315,39729,35398,5872,6751
2020-10-26,193260,108059,39943,35661,5880,6764
2020-10-27,194022,107882,40171,35923,5890,6777
2020-10-28,194921,107550,40430,36185,5904,6789
2020-10-29,195968,107127,40676,36446,5919,6801
2020-10-30,197293,106594,40920,36706,5944,6813
2020-10-31,198702,106197,41154,36965,5965,6824
2020-11-01,199823,105889,41382,37223,5981,6835
2020-11-02,200895,105769,41587,37480,5994,6846
2020-11-03,201709,105735,41801,37737,6020,6856
2020-11-04,202974,105505,42044,37994,6055,6866
2020-11-05,204300,105159,42336,38250,6085,6876
2020-11-06,206219,104489,42639,38505,6114,6885
2020-11-07,208049,103720,42944,38759,6144,6894
2020-11-08,209396,103166,43214,39011,6172,6903
2020-11-09,211053,102716,43458,39261,6187,6911
2020-11-10,212751,102445,43710,39510,6204,6919
