date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,653,848,892,905,76,79
2020-04-13,671,1048,897,923,77,82
2020-04-14,704,1250,919,947,85,86
2020-04-15,719,1435,956,977,96,91
2020-04-16,781,1606,1008,1014,107,97
2020-04-17,847,1768,1068,1059,114,103
2020-04-18,975,1930,1114,1112,122,110
2020-04-19,1053,2056,1160,1174,132,118
2020-04-20,1114,2149,1205,1245,145,126
2020-04-21,1169,2245,1257,1325,160,135
2020-04-22,1195,2330,1369,1414,179,144
2020-04-23,1267,2403,1482,1513,200,153
2020-04-24,1376,2465,1594,1622,221,163
2020-04-25,1492,2547,1674,1741,245,173
2020-04-26,1596,2592,1756,1871,267,183
2020-04-27,1736,2605,1842,2011,286,193
2020-04-28,1978,2618,1932,2160,302,204
2020-04-29,2290,2628,2042,2319,321,215
2020-04-30,2661,2646,2165,2487,344,226
2020-05-01,3047,2676,2283,2665,369,237
2020-05-02,3250,2742,2564,2854,394,248
2020-05-03,3088,2763,3208,3057,413,259
2020-05-04,2869,2735,3947,3271,433,270
2020-05-05,2823,2695,4610,3492,455,281
2020-05-06,3141,2658,4975,3719,482,292
2020-05-07,3499,2631,5336,3952,509,303
2020-05-08,3773,2620,5775,4192,533,314
2020-05-09,3860,2631,6300,4439,556,325
2020-05-10,3798,2606,6913,4696,575,336
2020-05-11,3840,2562,7420,4958,594,347
2020-05-12,3947,2519,7842,5224,614,357
2020-05-13,4153,2484,8154,5493,641,367
2020-05-14,4383,2474,8480,5765,667,377
2020-05-15,4569,2532,8954,6043,691,387
2020-05-16,4727,2605,9522,6334,710,397
2020-05-17,4773,2592,10170,6641,726,408
2020-05-18,4788,2540,10826,6952,742,419
2020-05-19,4752,2505,11510,7263,761,429
2020-05-20,4761,2508,12085,7575,787,439
2020-05-21,5003,2532,12470,7893,818,449
2020-05-22,5284,2650,12889,8219,843,459
2020-05-23,5512,2844,13432,8565,863,470
2020-05-24,5563,2981,14138,8941,876,482
2020-05-25,5572,2996,14818,9340,892,494
2020-05-26,5449,2905,15551,9746,913,506
2020-05-27,5351,2852,16164,10144,942,518
2020-05-28,5372,2823,16633,10538,975,530
2020-05-29,5401,2862,17149,10932,1006,541
2020-05-30,5331,2984,17829,11335,1030,553
2020-05-31,5035,2994,18666,11758,1048,565
2020-06-01,4619,2909,19505,12185,1064,577
2020-06-02,4119,2858,20330,12603,1079,589
2020-06-03,3769,2842,21013,13016,1101,600
2020-06-04,3740,2864,21507,13429,1127,611
2020-06-05,3894,2979,21869,13847,1155,622
2020-06-06,3907,3144,22369,14284,1179,634
2020-06-07,3708,3345,22967,14747,1195,647
2020-06-08,3377,3384,23623,15242,1211,660
2020-06-09,3120,3418,24184,15745,1234,673
2020-06-10,3056,3478,24588,16254,1258,687
2020-06-11,3185,3598,24857,16774,1284,701
2020-06-12,3290,3856,25172,17313,1299,715
2020-06-13,3251,4208,25579,17892,1316,730
2020-06-14,3013,4401,26106,18526,1326,747
2020-06-15,2778,4327,26568,19190,1336,764
2020-06-16,2606,4288,27006,19845,1345,781
2020-06-17,2600,4316,27325,20495,1359,798
2020-06-18,2733,4362,27559,21150,1375,815
2020-06-19,2840,4661,27826,21813,1391,832
2020-06-20,2877,5065,28192,22523,1403,850
2020-06-21,2817,5239,28644,23295,1410,870
2020-06-22,2746,5147,29042,24095,1417,890
2020-06-23,2672,5054,29390,24881,1424,910
2020-06-24,2700,5024,29653,25654,1432,929
2020-06-25,2872,5097,29856,26423,1439,948
2020-06-26,3057,5391,30087,27204,1446,967
2020-06-27,3208,5921,30406,28030,1452,987
2020-06-28,3210,6011,30811,28938,1460,1009
2020-06-29,3225,5756,31211,29861,1468,1032
2020-06-30,3226,5588,31591,30745,1476,1054
2020-07-01,3356,5512,31903,31604,1484,1075
2020-07-02,2659,5661,33030,32452,1494,1096
2020-07-03,1064,6038,34920,33323,1502,1117
2020-07-04,-451,6338,36738,34252,1507,1139
2020-07-05,-518,6507,37118,35228,1509,1162
2020-07-06,-397,6298,37498,36230,1511,1186
2020-07-07,-297,6067,37878,37200,1516,1209
2020-07-08,-200,5882,38307,38135,1521,1231
2020-07-09,-17,5839,38662,39042,1528,1252
2020-07-10,269,6097,39032,39942,1532,1273
2020-07-11,508,6403,39495,40882,1536,1295
2020-07-12,589,6594,40080,41870,1539,1318
2020-07-13,539,6293,40659,42887,1543,1342
2020-07-14,487,6059,41192,43858,1549,1364
2020-07-15,641,5958,41555,44793,1557,1386
2020-07-16,974,5957,41828,45713,1565,1407
2020-07-17,1166,6138,42205,46632,1572,1428
2020-07-18,1209,6470,42776,47580,1577,1450
2020-07-19,1179,5896,43500,48579,1581,1473
2020-07-20,1104,5309,44234,49489,1584,1493
2020-07-21,942,4822,44978,50309,1588,1511
2020-07-22,881,4425,45572,51054,1593,1528
2020-07-23,1095,4115,46029,51737,1599,1543
2020-07-24,1401,3935,46493,52373,1606,1557
2020-07-25,1571,3809,47129,52981,1610,1570
2020-07-26,1568,3470,47901,53569,1613,1583
2020-07-27,1441,3149,48688,54105,1616,1595
2020-07-28,1299,2887,49423,54591,1621,1606
2020-07-29,1334,2666,50012,55037,1627,1616
2020-07-30,1620,2481,50446,55449,1634,1625
2020-07-31,1867,2347,50940,55832,1640,1633
2020-08-01,1985,2255,51568,56195,1646,1641
2020-08-02,1920,2863,52326,56543,1652,1648
2020-08-03,1805,3151,53095,56985,1656,1657
2020-08-04,1618,3398,53887,57472,1662,1667
2020-08-05,1624,3622,54567,57997,1669,1678
2020-08-06,1786,3856,55072,58557,1676,1690
2020-08-07,2039,4212,55587,59153,1682,1702
2020-08-08,2131,4615,56241,59804,1689,1715
2020-08-09,2093,4788,57049,60517,1696,1729
2020-08-10,1871,4767,57844,61257,1702,1744
2020-08-11,1570,4814,58606,61994,1710,1759
2020-08-12,1391,4888,59267,62738,1720,1774
2020-08-13,1506,5014,59769,63493,1731,1789
2020-08-14,1681,5311,60303,64268,1725,1804
2020-08-15,1777,5809,60920,65089,1732,1820
2020-08-16,1702,6078,61653,65987,1738,1837
2020-08-17,1537,6043,62357,66926,1759,1855
2020-08-18,1334,6001,63039,67860,1769,1873
2020-08-19,1271,5996,63621,68787,1780,1891
2020-08-20,1490,6084,64072,69714,1791,1908
2020-08-21,1746,6364,64557,70654,1799,1926
2020-08-22,1909,6744,65146,71638,1806,1944
2020-08-23,1912,6948,65859,72680,1812,1963
2020-08-24,1843,6778,66535,73754,1818,1983
2020-08-25,1718,6678,67202,74802,1827,2002
2020-08-26,1796,6603,67808,75834,1840,2021
2020-08-27,2136,6622,68301,76855,1851,2039
2020-08-28,2558,6834,68878,77878,1859,2057
2020-08-29,2808,7304,69558,78934,1862,2076
2020-08-30,2863,7542,70376,80063,1864,2096
2020-08-31,2766,7380,71169,81229,1867,2116
2020-09-01,2523,7169,72038,82370,1873,2136
2020-09-02,2430,7045,72877,83478,1880,2155
2020-09-03,2608,7046,73560,84567,1890,2174
2020-09-04,2870,7445,74222,85656,1897,2192
2020-09-05,2923,8034,74985,86807,1903,2211
2020-09-06,2716,8378,75940,88049,1908,2232
2020-09-07,2379,8308,76850,89344,1911,2253
2020-09-08,1938,7929,77714,90628,1915,2274
2020-09-09,1597,7652,78388,91854,1923,2294
2020-09-10,1447,7472,78895,93037,1935,2313
2020-09-11,1477,7503,79427,94192,1947,2331
2020-09-12,1474,7709,80105,95352,1959,2349
2020-09-13,1383,7773,80932,96544,1967,2368
2020-09-14,1196,7579,81700,97745,1974,2387
2020-09-15,985,7426,82407,98916,1979,2405
2020-09-16,1022,7403,82954,100064,1986,2423
2020-09-17,1410,7413,83377,101208,1993,2440
2020-09-18,2096,7642,83651,102354,2003,2457
2020-09-19,2700,8055,84137,103535,2011,2475
2020-09-20,3088,8115,84788,104780,2017,2493
2020-09-21,3173,8021,85597,106034,2023,2511
2020-09-22,3138,7977,86321,107274,2029,2529
2020-09-23,3259,7937,86883,108507,2036,2547
2020-09-24,3701,7941,87358,109734,2041,2564
2020-09-25,4297,8233,87942,110961,2047,2581
2020-09-26,4735,8723,88738,112234,2054,2599
2020-09-27,4853,8820,89763,113582,2061,2618
2020-09-28,4737,8686,90803,114945,2066,2637
2020-09-29,4480,8485,91850,116288,2076,2655
2020-09-30,4440,8432,92733,117599,2087,2673
2020-10-01,4695,8437,93437,118902,2101,2690
2020-10-02,5083,8393,94255,120206,2113,2707
2020-10-03,5225,8571,95311,121503,2123,2724
2020-10-04,5054,8604,96619,122828,2131,2741
2020-10-05,4777,8405,97875,124158,2136,2758
2020-10-06,4556,8268,99031,125457,2143,2775
