date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,2956,3072,279,293,149,151
2020-04-13,2913,3209,372,316,156,153
2020-04-14,2841,3365,558,353,169,155
2020-04-15,2790,3496,744,411,183,157
2020-04-16,2757,3614,931,496,195,159
2020-04-17,2720,3697,1117,612,205,162
2020-04-18,2684,3735,1303,759,212,165
2020-04-19,2639,3751,1489,933,220,168
2020-04-20,2583,3769,1676,1128,231,171
2020-04-21,2554,3792,1862,1339,240,174
2020-04-22,2542,3809,2048,1561,250,177
2020-04-23,2594,3825,2234,1790,256,180
2020-04-24,2683,3831,2420,2024,262,183
2020-04-25,2777,3809,2607,2261,267,186
2020-04-26,2827,3788,2793,2498,273,189
2020-04-27,2831,3806,2979,2735,284,192
2020-04-28,2835,3825,3165,2974,296,195
2020-04-29,2899,3845,3347,3214,308,198
2020-04-30,3054,3869,3525,3456,317,201
2020-05-01,3311,3881,3640,3699,325,204
2020-05-02,3607,3864,3706,3943,333,207
2020-05-03,3818,3857,3798,4186,337,210
2020-05-04,3969,3894,3942,4429,344,213
2020-05-05,4066,3941,4150,4674,351,216
2020-05-06,4198,3999,4333,4922,363,219
2020-05-07,4342,4066,4520,5174,373,222
2020-05-08,4500,4117,4696,5430,385,225
2020-05-09,4661,4153,4861,5689,394,228
2020-05-10,4769,4188,5021,5950,402,231
2020-05-11,4820,4255,5187,6214,409,234
2020-05-12,4821,4328,5406,6482,416,237
2020-05-13,4826,4413,5679,6754,424,240
2020-05-14,4882,4492,5972,7032,433,243
2020-05-15,4968,4535,6302,7315,445,246
2020-05-16,5119,4570,6566,7600,453,249
2020-05-17,5269,4613,6745,7888,458,252
2020-05-18,5263,4695,6981,8178,461,255
2020-05-19,5231,4773,7295,8474,469,258
2020-05-20,5213,4856,7703,8774,478,261
2020-05-21,5376,4930,8034,9080,488,264
2020-05-22,5536,4979,8354,9390,496,267
2020-05-23,5663,4986,8683,9703,504,270
2020-05-24,5772,4967,8964,10017,510,273
2020-05-25,5858,4979,9203,10330,513,276
2020-05-26,5960,5074,9486,10643,523,279
2020-05-27,6020,5164,9878,10962,535,283
2020-05-28,6125,5229,10370,11287,552,287
2020-05-29,6202,5262,10867,11616,568,291
2020-05-30,6243,5235,11288,11947,582,295
2020-05-31,6194,5226,11607,12277,591,299
2020-06-01,6003,5288,12020,12606,598,303
2020-06-02,5883,5389,12464,12939,606,307
2020-06-03,5942,5493,12845,13278,616,311
2020-06-04,6123,5594,13099,13624,625,315
2020-06-05,6241,5655,13362,13976,634,319
2020-06-06,6192,5675,13718,14332,641,323
2020-06-07,6149,5708,14019,14689,646,327
2020-06-08,6119,5829,14290,15048,651,331
2020-06-09,6046,5947,14608,15415,659,335
2020-06-10,5962,6060,14976,15789,671,339
2020-06-11,5865,6170,15376,16170,680,343
2020-06-12,5756,6280,15787,16558,687,347
2020-06-13,5627,6397,16190,16953,690,351
2020-06-14,5502,6496,16542,17356,692,355
2020-06-15,5427,6663,16839,17765,696,360
2020-06-16,5302,6834,17190,18184,703,365
2020-06-17,5053,7002,17746,18614,711,370
2020-06-18,4753,7190,18355,19055,720,375
2020-06-19,4657,7341,18801,19508,731,380
2020-06-20,4695,7464,19070,19970,739,385
2020-06-21,4796,7523,19268,20440,744,390
2020-06-22,4758,7663,19568,20914,746,395
2020-06-23,4799,7803,19838,21396,750,400
2020-06-24,4838,7936,20176,21887,759,405
2020-06-25,4860,8090,20617,22387,768,411
2020-06-26,4866,8258,21112,22896,775,417
2020-06-27,4902,8340,21577,23416,779,423
2020-06-28,4989,8406,21925,23941,781,429
2020-06-29,5118,8491,22252,24470,783,435
2020-06-30,5223,8565,22631,25005,784,441
2020-07-01,5344,8629,23067,25544,787,447
2020-07-02,5406,8646,23553,26087,792,453
2020-07-03,5553,8622,24020,26631,797,459
2020-07-04,5706,8571,24477,27174,800,465
2020-07-05,5885,8536,24877,27714,802,471
2020-07-06,5961,8643,25299,28251,804,477
2020-07-07,6017,8743,25768,28795,805,483
2020-07-08,6114,8868,26285,29345,807,489
2020-07-09,6320,8964,26808,29903,810,495
2020-07-10,6623,9068,27343,30467,814,501
2020-07-11,6955,9159,27852,31038,819,507
2020-07-12,7234,9159,28299,31615,823,513
2020-07-13,7519,9259,28754,32192,825,519
2020-07-14,7743,9305,29289,32775,826,525
2020-07-15,8008,9412,29917,33361,828,531
2020-07-16,8212,9565,30578,33953,830,538
2020-07-17,8432,9643,31272,34555,835,545
2020-07-18,8632,9643,31963,35162,840,552
2020-07-19,8841,9571,32587,35769,844,559
2020-07-20,9087,9605,33220,36371,849,566
2020-07-21,9240,9646,33904,36976,856,573
2020-07-22,9396,9709,34695,37583,869,580
2020-07-23,9502,9781,35505,38194,880,587
2020-07-24,9633,9805,36374,38810,888,594
2020-07-25,9783,9793,37197,39427,891,601
2020-07-26,9849,9775,37963,40043,892,608
2020-07-27,9872,9853,38705,40658,897,615
2020-07-28,9792,9892,39520,41278,903,622
2020-07-29,9784,9920,40416,41901,912,629
2020-07-30,9761,9940,41350,42525,921,636
2020-07-31,9777,9924,42306,43151,933,643
2020-08-01,9824,9858,43188,43776,943,650
2020-08-02,9889,9805,43914,44397,948,657
2020-08-03,9875,9877,44609,45014,952,664
2020-08-04,9753,9994,45395,45636,960,671
2020-08-05,9652,10109,46304,46265,969,678
2020-08-06,9588,10221,47262,46901,979,685
2020-08-07,9589,10330,48249,47544,988,692
2020-08-08,9570,10367,49185,48194,996,699
2020-08-09,9524,10404,49991,48847,1001,706
2020-08-10,9414,10506,50715,49502,1004,713
