date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,7619,9556,2141,2170,330,334
2020-04-13,7808,10018,2287,2209,344,339
2020-04-14,8080,11478,2666,2252,377,345
2020-04-15,8262,12153,3135,2304,412,352
2020-04-16,8330,13466,3672,2362,450,359
2020-04-17,8292,14291,4224,2430,482,367
2020-04-18,8130,15515,4776,2507,509,376
2020-04-19,8122,16427,5282,2595,530,385
2020-04-20,8160,17599,5842,2694,554,395
2020-04-21,8258,18692,6511,2806,578,406
2020-04-22,8245,19964,7284,2931,612,418
2020-04-23,8141,21150,8174,3072,641,431
2020-04-24,7995,22426,9055,3230,668,445
2020-04-25,7656,23669,9968,3407,685,460
2020-04-26,7752,24958,10639,3603,703,476
2020-04-27,7958,26191,11239,3821,732,493
2020-04-28,8255,27493,12090,4062,767,511
2020-04-29,8332,28764,13074,4328,811,530
2020-04-30,8801,30123,13852,4621,849,551
2020-05-01,9260,31426,14378,4943,897,573
2020-05-02,9533,32750,14852,5296,937,596
2020-05-03,9512,34071,15508,5682,974,621
2020-05-04,9599,35301,16141,6103,996,647
2020-05-05,9927,36543,16834,6560,1019,674
2020-05-06,10325,37794,17617,7055,1044,703
2020-05-07,10878,39046,18419,7591,1075,733
2020-05-08,11514,40288,19259,8169,1109,764
2020-05-09,11779,41563,20120,8792,1145,797
2020-05-10,11588,42906,21259,9462,1177,831
2020-05-11,11393,44141,22385,10183,1209,867
2020-05-12,11609,45376,23218,10956,1237,904
2020-05-13,11957,46605,23841,11782,1278,943
2020-05-14,12018,47847,24486,12664,1323,983
2020-05-15,11988,49077,25514,13604,1373,1025
2020-05-16,11935,50349,26541,14604,1409,1069
2020-05-17,12079,51667,27514,15667,1434,1114
2020-05-18,12178,52867,28433,16796,1458,1161
2020-05-19,12294,54036,29504,17991,1487,1210
2020-05-20,12416,55202,30454,19253,1520,1260
2020-05-21,12735,56344,31076,20583,1545,1312
2020-05-22,12935,57514,31574,21983,1561,1366
2020-05-23,12820,58839,32295,23454,1583,1421
2020-05-24,12014,60186,33651,25003,1605,1478
2020-05-25,11470,61412,35017,26631,1627,1537
2020-05-26,10963,62386,36431,28337,1647,1598
2020-05-27,10814,63376,37635,30115,1670,1660
2020-05-28,10229,64281,39258,31966,1694,1724
2020-05-29,9654,65179,40857,33888,1720,1790
2020-05-30,9284,66162,42030,35882,1743,1857
2020-05-31,9446,67206,42728,37951,1765,1926
2020-06-01,9881,68097,43426,40096,1784,1997
2020-06-02,10034,69032,44571,42314,1808,2069
2020-06-03,12386,69956,45724,44606,1841,2143
2020-06-04,15230,70866,46840,46971,1871,2219
2020-06-05,18192,71813,47853,49409,1900,2296
2020-06-06,18448,72962,49069,51921,1921,2375
2020-06-07,18293,74130,50161,54514,1937,2456
2020-06-08,19431,75012,50909,57189,1950,2539
2020-06-09,21554,75827,51576,59935,1970,2623
2020-06-10,23433,76617,52561,62749,1996,2709
2020-06-11,24473,77436,53934,65630,2024,2797
2020-06-12,24905,78378,55296,68578,2050,2886
2020-06-13,25162,79519,56711,71597,2072,2977
2020-06-14,26077,80688,57988,74695,2092,3070
2020-06-15,27826,81455,59370,77872,2122,3165
2020-06-16,30514,82112,60712,81111,2159,3262
2020-06-17,32561,82656,62287,84408,2198,3360
2020-06-18,34594,83173,63836,87757,2231,3459
2020-06-19,36556,83759,65412,91155,2262,3560
2020-06-20,38432,84524,66974,94605,2286,3662
2020-06-21,40494,85425,68261,98113,2309,3766
2020-06-22,43446,85997,69467,101685,2330,3871
2020-06-23,47218,86452,70934,105305,2360,3978
2020-06-24,50962,86918,72702,108968,2398,4086
2020-06-25,55537,87372,74558,112673,2440,4195
2020-06-26,59940,87981,76342,116419,2482,4305
2020-06-27,64531,88864,78168,120212,2518,4416
2020-06-28,69048,89795,79852,124062,2550,4529
2020-06-29,73816,90453,82042,127971,2578,4644
2020-06-30,78855,91070,84569,131927,2616,4760
2020-07-01,82345,91732,87698,135927,2662,4878
2020-07-02,85823,92492,90616,139973,2715,4997
2020-07-03,87947,93517,93907,144068,2762,5117
2020-07-04,90608,94754,97281,148223,2805,5239
2020-07-05,93564,95891,100685,152447,2847,5363
2020-07-06,97541,96636,104370,156735,2910,5489
2020-07-07,102141,97178,108517,161070,2989,5617
2020-07-08,106832,97562,113365,165441,3100,5746
2020-07-09,112219,98129,118202,169841,3197,5876
2020-07-10,116554,98767,123067,174278,3293,6007
2020-07-11,119727,99665,127838,178754,3371,6139
2020-07-12,123368,100419,132312,183281,3454,6273
2020-07-13,127112,100817,137151,187852,3540,6408
2020-07-14,131254,101178,142697,192450,3646,6544
2020-07-15,133639,101620,149203,197073,3779,6681
2020-07-16,134936,102153,155801,201724,3936,6819
2020-07-17,136278,102820,162569,206407,4088,6958
2020-07-18,137912,103847,168236,211128,4210,7098
2020-07-19,141193,104790,173462,215903,4319,7239
2020-07-20,143895,105438,179112,220727,4416,7382
2020-07-21,145877,105876,186571,225587,4576,7526
2020-07-22,146488,106290,195223,230473,4750,7671
2020-07-23,146735,106669,203785,235384,4960,7816
2020-07-24,145599,107226,212517,240318,5137,7962
2020-07-25,140625,108026,223501,245282,5304,8109
2020-07-26,136375,108852,234245,250288,5636,8257
2020-07-27,136725,109379,241892,255337,5988,8406
2020-07-28,140705,109765,246748,260414,6370,8556
2020-07-29,143721,110050,252112,265513,6609,8707
2020-07-30,142056,110303,261693,270629,6829,8858
2020-07-31,136306,110669,274582,275760,7057,9009
2020-08-01,129836,111281,286875,280911,7208,9161
2020-08-02,126325,111659,294952,286094,7370,9313
2020-08-03,129802,111820,300368,291298,7522,9466
2020-08-04,134084,111886,306445,296512,7784,9619
2020-08-05,137044,111908,315239,301731,8273,9772
2020-08-06,137115,112048,323708,306954,8777,9925
2020-08-07,140088,112288,331271,312186,9226,10078
2020-08-08,144633,112744,338285,317431,9421,10231
2020-08-09,151739,113241,344340,322699,9553,10384
2020-08-10,157236,113417,350996,327993,9615,10537
2020-08-11,160832,113494,358499,333297,9747,10690
2020-08-12,161276,113607,367142,338606,9926,10843
2020-08-13,163021,113723,375610,343922,10206,10996
2020-08-14,164679,113842,384247,349245,10449,11148
2020-08-15,165766,114122,392185,354575,10659,11300
2020-08-16,164908,114516,399551,359919,10786,11452
2020-08-17,163804,114519,407097,365283,10916,11604
2020-08-18,163485,114454,415468,370648,11089,11756
2020-08-19,161742,114446,424182,376011,11325,11907
2020-08-20,159929,114337,431823,381375,11572,12058
2020-08-21,157392,114473,438938,386735,11785,12208
2020-08-22,154846,114665,445543,392102,11955,12357
2020-08-23,152097,115266,451662,397479,12066,12506
2020-08-24,149694,115563,458502,402885,12181,12655
