date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,769,2438,14,32,19,19
2020-04-13,796,2327,19,90,19,20
2020-04-14,821,2360,29,145,20,21
2020-04-15,857,2357,39,201,20,22
2020-04-16,903,2368,48,257,22,23
2020-04-17,1006,2379,58,313,25,24
2020-04-18,1168,2401,68,369,27,25
2020-04-19,1349,2428,78,426,30,26
2020-04-20,1482,2447,87,484,33,27
2020-04-21,1581,2460,97,542,37,28
2020-04-22,1752,2470,107,600,41,29
2020-04-23,1983,2488,117,659,46,30
2020-04-24,2269,2504,127,718,52,31
2020-04-25,2531,2538,136,777,56,32
2020-04-26,2830,2586,146,837,59,33
2020-04-27,3082,2606,156,898,63,34
2020-04-28,3343,2614,166,960,66,35
2020-04-29,3640,2625,175,1022,68,36
2020-04-30,4124,2633,185,1084,71,37
2020-05-01,4599,2654,195,1146,74,38
2020-05-02,5045,2690,205,1209,78,39
2020-05-03,5376,2730,214,1273,81,40
2020-05-04,5718,2753,221,1338,84,41
2020-05-05,5980,2778,299,1403,87,42
2020-05-06,6260,2803,449,1469,89,43
2020-05-07,6515,2823,674,1535,91,44
2020-05-08,6756,2846,899,1602,93,45
2020-05-09,6809,2881,1123,1669,95,46
2020-05-10,6778,2971,1348,1737,97,47
2020-05-11,6699,3032,1573,1807,98,48
2020-05-12,6717,3083,1798,1879,102,49
2020-05-13,6772,3122,2022,1952,107,50
2020-05-14,6902,3160,2247,2026,111,51
2020-05-15,7107,3219,2472,2101,117,52
2020-05-16,7182,3294,2697,2177,123,53
2020-05-17,7289,3374,2921,2255,130,54
2020-05-18,7272,3425,3146,2335,134,55
2020-05-19,7358,3482,3371,2416,138,56
2020-05-20,7396,3538,3596,2499,142,57
2020-05-21,7437,3597,3821,2583,145,58
2020-05-22,7491,3683,4045,2668,148,59
2020-05-23,7500,3820,4270,2755,149,60
2020-05-24,7508,3885,4495,2846,150,61
2020-05-25,7500,3973,4720,2938,151,62
2020-05-26,7559,4030,4944,3032,152,63
2020-05-27,7625,4068,5169,3127,156,64
2020-05-28,7739,4113,5394,3223,160,65
2020-05-29,7815,4169,5619,3320,166,66
2020-05-30,7870,4234,5843,3419,171,67
2020-05-31,7873,4323,6068,3519,176,68
2020-06-01,7881,4381,6293,3621,180,69
2020-06-02,7914,4431,6518,3725,183,70
2020-06-03,7940,4472,6755,3830,185,72
2020-06-04,7841,4532,7115,3936,187,74
2020-06-05,7665,4618,7520,4043,187,76
2020-06-06,7424,4734,7936,4152,187,78
2020-06-07,7265,4855,8222,4264,187,80
2020-06-08,7152,4878,8449,4379,188,82
2020-06-09,7094,4889,8637,4495,189,84
2020-06-10,7099,4916,8801,4611,197,86
2020-06-11,7094,4960,8998,4727,206,88
2020-06-12,7016,5050,9261,4845,215,90
2020-06-13,6840,5167,9572,4965,218,92
2020-06-14,6651,5298,9870,5087,219,94
2020-06-15,6533,5343,10117,5213,223,96
2020-06-16,6479,5383,10333,5340,228,98
2020-06-17,6446,5413,10547,5468,234,100
2020-06-18,6387,5455,10785,5596,239,102
2020-06-19,6279,5516,11046,5725,244,104
2020-06-20,6141,5590,11314,5856,247,106
2020-06-21,6028,5780,11551,5988,248,108
2020-06-22,5934,5883,11773,6125,251,110
2020-06-23,5853,5990,11987,6264,254,112
2020-06-24,5799,6058,12166,6406,257,114
2020-06-25,5824,6129,12278,6550,261,116
2020-06-26,5842,6237,12442,6695,264,118
2020-06-27,5777,6394,12688,6843,267,120
2020-06-28,5613,6541,13024,6995,268,122
2020-06-29,5462,6593,13307,7150,270,124
2020-06-30,5368,6595,13535,7306,273,126
2020-07-01,5339,6592,13697,7462,277,128
2020-07-02,5339,6597,13855,7618,280,130
2020-07-03,5354,6656,14009,7774,283,132
2020-07-04,5334,6812,14187,7932,284,134
2020-07-05,5257,6833,14393,8093,284,136
2020-07-06,5194,6760,14580,8255,284,138
2020-07-07,5166,6697,14775,8415,283,140
2020-07-08,5228,6651,14905,8574,283,142
2020-07-09,5270,6649,15054,8732,284,144
2020-07-10,5269,6640,15245,8890,285,146
2020-07-11,5220,6694,15476,9047,286,148
2020-07-12,5208,6801,15694,9206,287,150
2020-07-13,5273,6793,15869,9367,287,152
2020-07-14,5380,6803,16030,9528,288,154
2020-07-15,5467,6849,16184,9689,292,156
2020-07-16,5517,6889,16343,9851,298,158
2020-07-17,5525,6942,16496,10014,304,160
2020-07-18,5511,7015,16655,10179,309,162
2020-07-19,5467,7142,16859,10345,311,164
2020-07-20,5511,7132,17050,10514,312,166
2020-07-21,5617,7119,17246,10683,311,168
2020-07-22,5811,7111,17375,10852,312,170
2020-07-23,5968,7104,17544,11021,314,172
2020-07-24,6066,7097,17747,11189,316,174
2020-07-25,6062,7094,18017,11357,316,176
2020-07-26,6046,7169,18275,11525,316,178
2020-07-27,6124,7197,18449,11695,318,180
2020-07-28,6259,7226,18580,11866,320,182
2020-07-29,6450,7243,18674,12037,324,184
2020-07-30,6638,7263,18833,12209,328,186
2020-07-31,6801,7270,18990,12381,331,188
2020-08-01,6937,7363,19164,12553,333,190
2020-08-02,6993,7531,19357,12728,333,193
2020-08-03,7088,7589,19525,12906,332,196
2020-08-04,7200,7641,19672,13086,335,199
2020-08-05,7382,7698,19775,13267,339,202
2020-08-06,7519,7748,19941,13449,344,205
2020-08-07,7579,7793,20131,13633,346,208
2020-08-08,7495,7929,20418,13818,347,211
2020-08-09,7452,8084,20658,14006,347,214
2020-08-10,7452,8082,20918,14198,349,217
2020-08-11,7532,8041,21107,14390,351,220
2020-08-12,7570,7992,21386,14581,355,223
2020-08-13,7588,7949,21683,14770,359,226
2020-08-14,7689,7911,21913,14958,361,229
2020-08-15,7753,7955,22086,15145,361,232
2020-08-16,7785,8144,22246,15334,361,235
2020-08-17,7762,8240,22460,15527,364,238
2020-08-18,7800,8342,22642,15722,367,241
2020-08-19,7905,8427,22795,15920,371,244
2020-08-20,7955,8542,23010,16120,373,247
2020-08-21,7928,8644,23280,16322,376,250
2020-08-22,7796,8828,23592,16527,377,253
