date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,959,1203,265,275,29,29
2020-04-13,976,1441,278,287,30,30
2020-04-14,1016,1646,313,301,34,31
2020-04-15,1062,1831,337,318,38,32
2020-04-16,1116,1992,363,336,42,33
2020-04-17,1202,2155,377,356,47,34
2020-04-18,1287,2290,409,378,50,35
2020-04-19,1370,2422,444,401,57,36
2020-04-20,1382,2547,484,425,63,37
2020-04-21,1477,2662,505,451,68,38
2020-04-22,1588,2755,525,478,73,39
2020-04-23,1726,2858,567,506,77,40
2020-04-24,1832,2958,603,535,85,41
2020-04-25,1904,3043,638,565,93,42
2020-04-26,1991,3127,646,596,100,43
2020-04-27,2082,3219,655,627,104,45
2020-04-28,2224,3307,673,659,107,47
2020-04-29,2385,3389,701,692,113,49
2020-04-30,2524,3476,733,726,122,51
2020-05-01,2663,3555,759,761,130,53
2020-05-02,2773,3625,785,797,140,55
2020-05-03,2914,3686,809,833,148,57
2020-05-04,3022,3778,828,870,156,59
2020-05-05,3112,3855,879,908,162,61
2020-05-06,3181,3928,959,947,167,63
2020-05-07,3257,4013,1054,986,174,65
2020-05-08,3338,4130,1129,1026,181,67
2020-05-09,3387,4248,1194,1067,190,69
2020-05-10,3457,4343,1247,1110,199,71
2020-05-11,3555,4463,1284,1154,209,73
2020-05-12,3657,4567,1339,1199,219,75
2020-05-13,3713,4680,1416,1245,230,78
2020-05-14,3759,4815,1508,1292,242,81
2020-05-15,3832,4979,1587,1340,251,84
2020-05-16,3894,5128,1662,1390,259,87
2020-05-17,3975,5217,1721,1441,264,90
2020-05-18,4042,5331,1763,1493,270,93
2020-05-19,4114,5431,1811,1546,276,96
2020-05-20,4156,5541,1887,1600,284,99
2020-05-21,4207,5685,1969,1656,295,102
2020-05-22,4210,5897,2058,1713,306,105
2020-05-23,4235,6069,2182,1772,314,108
2020-05-24,4223,6201,2323,1833,318,112
2020-05-25,4266,6358,2447,1895,320,116
2020-05-26,4296,6534,2516,1959,324,120
2020-05-27,4345,6649,2574,2025,329,124
2020-05-28,4405,6797,2628,2092,336,128
2020-05-29,4467,6985,2683,2160,343,132
2020-05-30,4503,7177,2749,2230,350,136
2020-05-31,4543,7278,2805,2302,356,140
2020-06-01,4618,7373,2858,2375,361,144
2020-06-02,4720,7410,2900,2449,368,148
2020-06-03,4844,7431,2953,2523,375,153
2020-06-04,4978,7487,3029,2598,381,158
2020-06-05,5110,7611,3111,2673,387,163
2020-06-06,5211,7690,3202,2749,391,168
2020-06-07,5272,7757,3266,2826,396,173
2020-06-08,5311,7852,3324,2904,400,178
2020-06-09,5273,7905,3462,2983,404,183
2020-06-10,5199,7911,3628,3062,413,188
2020-06-11,5115,7937,3844,3141,422,193
2020-06-12,5107,8002,3968,3221,429,198
2020-06-13,5134,8032,4057,3301,432,203
2020-06-14,5208,8021,4086,3382,435,208
