date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,938,1081,379,470,28,29
2020-04-13,972,1224,395,575,29,30
2020-04-14,1026,1337,435,693,31,31
2020-04-15,1040,1419,488,822,34,32
2020-04-16,1049,1474,543,959,36,33
2020-04-17,1035,1524,614,1102,37,34
2020-04-18,1030,1553,672,1249,38,36
2020-04-19,1069,1579,724,1399,39,38
2020-04-20,1114,1616,759,1552,41,40
2020-04-21,1229,1648,807,1708,43,42
2020-04-22,1386,1680,858,1867,44,44
2020-04-23,1618,1714,898,2030,45,46
2020-04-24,1796,1749,931,2196,46,48
2020-04-25,1899,1770,959,2365,49,50
2020-04-26,1962,1784,978,2536,53,52
2020-04-27,1970,1824,1039,2709,56,54
2020-04-28,1943,1865,1127,2885,59,56
2020-04-29,1907,1916,1233,3065,60,58
2020-04-30,1699,1975,1509,3250,62,60
2020-05-01,1510,2009,1755,3441,65,62
2020-05-02,1326,2029,1986,3635,70,64
2020-05-03,1357,2037,2000,3831,76,66
2020-05-04,1387,2083,2018,4028,79,68
2020-05-05,1404,2133,2055,4230,83,70
2020-05-06,1436,2197,2091,4436,86,72
2020-05-07,1469,2262,2130,4649,88,75
2020-05-08,1197,2321,2446,4868,89,78
2020-05-09,957,2393,2788,5093,90,81
2020-05-10,724,2433,3118,5325,92,84
2020-05-11,798,2495,3182,5560,93,87
2020-05-12,828,2565,3224,5801,95,90
2020-05-13,892,2623,3267,6049,96,93
2020-05-14,943,2696,3314,6303,98,96
2020-05-15,991,2772,3379,6564,99,99
2020-05-16,1017,2848,3484,6832,99,103
2020-05-17,1048,2881,3569,7108,99,107
2020-05-18,1073,2953,3658,7387,100,111
2020-05-19,1065,3022,3745,7673,103,115
2020-05-20,1187,3093,3835,7965,106,119
2020-05-21,1296,3153,3951,8264,110,123
2020-05-22,1453,3232,4050,8569,112,127
2020-05-23,1527,3307,4128,8882,114,131
2020-05-24,1611,3345,4181,9202,116,135
2020-05-25,1683,3361,4243,9526,117,140
2020-05-26,1709,3453,4335,9851,118,145
2020-05-27,1667,3555,4543,10185,121,150
2020-05-28,1584,3649,4821,10529,125,155
2020-05-29,1578,3799,5068,10882,130,160
2020-05-30,1679,3987,5202,11250,133,165
2020-05-31,1768,4045,5333,11636,135,171
2020-06-01,1852,4081,5517,12027,135,177
2020-06-02,1940,4093,5698,12422,138,183
2020-06-03,2142,4114,5818,12818,143,189
2020-06-04,2348,4150,5885,13216,148,195
2020-06-05,2539,4221,6034,13617,152,201
2020-06-06,2628,4354,6278,14025,153,207
2020-06-07,2672,4319,6596,14446,154,213
2020-06-08,2792,4301,6799,14864,157,219
2020-06-09,2947,4290,6955,15280,160,225
2020-06-10,3142,4316,7114,15695,165,232
2020-06-11,3299,4354,7441,16113,170,239
2020-06-12,3539,4432,7773,16534,174,246
2020-06-13,3844,4556,8026,16963,177,253
2020-06-14,4027,4552,8298,17404,179,260
2020-06-15,4093,4572,8593,17844,183,267
2020-06-16,4161,4558,8888,18286,189,274
2020-06-17,4256,4594,9122,18727,197,281
2020-06-18,4488,4641,9361,19171,206,288
2020-06-19,4511,4722,9841,19620,215,295
2020-06-20,4576,4883,10314,20077,221,303
2020-06-21,4696,4866,10674,20549,225,311
2020-06-22,4943,4883,10935,21020,229,319
2020-06-23,5283,4930,11193,21492,236,327
2020-06-24,5381,4997,11747,21969,243,335
2020-06-25,5543,5077,12269,22452,247,343
2020-06-26,5778,5180,12674,22943,252,351
2020-06-27,6086,5365,12946,23444,257,360
2020-06-28,6160,5355,13373,23963,262,369
2020-06-29,6063,5334,13955,24481,266,378
2020-06-30,5887,5299,14586,24997,270,387
2020-07-01,5944,5244,15130,25510,275,396
2020-07-02,6010,5195,15675,26017,279,405
2020-07-03,5973,5156,16380,26520,282,414
2020-07-04,5839,5099,17092,27019,284,423
2020-07-05,5673,5043,17797,27512,288,432
2020-07-06,5621,5037,18279,28000,293,441
2020-07-07,5795,5047,18576,28487,299,450
2020-07-08,5818,5102,19147,28975,305,459
2020-07-09,5780,5159,19944,29469,309,468
2020-07-10,5694,5210,20899,29968,313,477
2020-07-11,5929,5324,21432,30472,317,486
2020-07-12,6307,5304,21762,30987,321,496
2020-07-13,6534,5312,22180,31500,325,506
2020-07-14,6529,5296,22824,32014,329,516
2020-07-15,6552,5283,23520,32526,335,526
2020-07-16,6464,5258,24250,33037,343,536
2020-07-17,6612,5259,24840,33546,351,546
2020-07-18,6943,5356,25206,34055,358,556
2020-07-19,7207,5347,25660,34573,362,566
2020-07-20,7246,5355,26324,35090,366,576
2020-07-21,7014,5394,27223,35608,372,586
2020-07-22,6961,5451,28045,36130,380,596
2020-07-23,6673,5541,29192,36657,386,606
2020-07-24,6367,5612,30403,37193,393,616
2020-07-25,6231,5730,31322,37736,398,626
2020-07-26,6412,5694,31869,38290,402,637
2020-07-27,6614,5703,32391,38841,412,648
2020-07-28,6612,5708,33163,39393,423,659
2020-07-29,6581,5752,33954,39945,434,670
2020-07-30,6607,5833,34696,40501,443,681
2020-07-31,6435,5943,35595,41065,451,692
2020-08-01,6276,6102,36430,41640,458,703
2020-08-02,6356,6044,37039,42230,465,715
2020-08-03,6627,5998,37493,42815,476,727
2020-08-04,6903,5968,38029,43395,491,739
2020-08-05,6929,5974,38801,43972,504,750
2020-08-06,6837,5991,39769,44550,514,762
2020-08-07,6799,6010,40637,45130,523,774
2020-08-08,6941,6095,41270,45711,533,786
2020-08-09,7185,6015,41678,46301,544,798
2020-08-10,6925,5962,42460,46883,555,810
2020-08-11,6437,5914,43510,47460,564,822
2020-08-12,6184,5841,44334,48032,573,834
2020-08-13,6288,5849,44883,48597,580,845
2020-08-14,6477,5906,44984,49163,589,856
2020-08-15,6447,5967,45307,49734,595,868
2020-08-16,6442,5944,45536,50311,600,880
2020-08-17,6244,5981,46225,50886,607,892
2020-08-18,6053,5980,46923,51465,617,904
2020-08-19,5828,5989,47698,52044,630,916
2020-08-20,5813,6109,48419,52623,645,928
2020-08-21,5760,6174,49119,53214,659,940
2020-08-22,5751,6196,49716,53811,674,952
2020-08-23,5636,6013,50234,54410,685,964
2020-08-24,5486,5926,50763,54992,698,976
2020-08-25,5404,5828,51313,55565,713,988
2020-08-26,5348,5762,51972,56129,727,1000
2020-08-27,5409,5662,52632,56686,742,1011
2020-08-28,5437,5688,53376,57234,755,1022
2020-08-29,5545,5753,53957,57784,770,1033
2020-08-30,5535,5716,54500,58341,784,1044
2020-08-31,5389,5786,55005,58894,798,1055
2020-09-01,5171,5829,55623,59454,817,1067
2020-09-02,5127,5879,56265,60018,838,1079
2020-09-03,5365,5975,56899,60587,858,1091
2020-09-04,5642,6060,57468,61165,872,1103
2020-09-05,5928,6187,57936,61751,883,1115
2020-09-06,6030,6227,58340,62350,894,1127
2020-09-07,6032,6170,58770,62952,906,1139
2020-09-08,5822,6192,59312,63549,917,1151
2020-09-09,5533,6205,59949,64148,928,1163
2020-09-10,5489,6222,60611,64748,940,1175
2020-09-11,5676,6285,61511,65350,954,1187
2020-09-12,6003,6403,62310,65958,967,1200
2020-09-13,6397,6385,62808,66577,980,1213
2020-09-14,6668,6367,63072,67195,1041,1226
2020-09-15,6709,6388,63639,67811,1099,1239
2020-09-16,6631,6421,64521,68429,1157,1252
2020-09-17,6622,6514,65383,69050,1165,1265
2020-09-18,7179,6643,65796,69680,1176,1278
2020-09-19,7183,6855,66619,70323,1186,1291
2020-09-20,7625,6925,66930,70986,1194,1305
2020-09-21,7165,6854,67990,71656,1201,1319
2020-09-22,7201,6796,68690,72319,1211,1333
2020-09-23,6812,6754,69957,72976,1228,1346
2020-09-24,7034,6759,70705,73629,1247,1359
2020-09-25,7247,6803,71404,74283,1265,1372
2020-09-26,7335,6886,72026,74941,1286,1385
2020-09-27,7299,6877,72742,75607,1307,1399
2020-09-28,7148,6859,73538,76272,1329,1413
2020-09-29,7043,6904,74441,76936,1349,1426
2020-09-30,6813,6988,75577,77604,1367,1440
2020-10-01,6697,7090,76687,78280,1381,1454
2020-10-02,6807,7269,77507,78966,1394,1468
2020-10-03,7065,7464,77967,79669,1407,1482
2020-10-04,6894,7440,78669,80391,1426,1496
2020-10-05,6411,7401,79646,81111,1447,1510
2020-10-06,6234,7397,80427,81827,1466,1524
2020-10-07,6332,7417,81216,82543,1484,1538
2020-10-08,6651,7439,81956,83261,1505,1552
2020-10-09,7000,7473,82697,83981,1528,1566
2020-10-10,7471,7442,83100,84704,1550,1580
2020-10-11,7800,7424,83477,85424,1569,1594
2020-10-12,7803,7424,84104,86142,1588,1608
2020-10-13,7872,7493,84818,86860,1610,1622
2020-10-14,8066,7539,85616,87585,1630,1636
2020-10-15,8355,7530,86433,88314,1648,1650
2020-10-16,8624,7563,87207,89042,1664,1664
2020-10-17,8783,7704,87875,89774,1684,1678
2020-10-18,8799,7673,88529,90519,1700,1692
2020-10-19,8670,7698,89316,91261,1715,1706
2020-10-20,8541,7743,90272,92006,1731,1720
2020-10-21,8565,7791,91296,92755,1750,1734
2020-10-22,8802,7831,92273,93509,1768,1748
2020-10-23,9140,7984,93160,94267,1783,1762
2020-10-24,9486,8194,93906,95039,1797,1777
2020-10-25,9633,8236,94606,95832,1814,1792
2020-10-26,9618,8161,95388,96629,1834,1807
2020-10-27,9465,8122,96362,97419,1855,1822
2020-10-28,9432,8124,97370,98205,1875,1837
2020-10-29,9535,8165,98318,98991,1889,1852
2020-10-30,9589,8351,99430,99781,1906,1867
2020-10-31,9627,8499,100486,100589,1927,1882
2020-11-01,9739,8541,101267,101411,1956,1897
2020-11-02,9864,8538,101893,102237,1982,1912
2020-11-03,10008,8538,102645,103063,2004,1927
2020-11-04,10127,8557,103748,103889,2022,1942
2020-11-05,10654,8606,104774,104717,2039,1957
2020-11-06,11368,8711,105718,105550,2053,1972
2020-11-07,12030,8813,106542,106393,2069,1987
2020-11-08,12388,8740,107360,107246,2087,2002
2020-11-09,12628,8710,108241,108092,2101,2017
2020-11-10,13032,8626,109267,108935,2115,2032
2020-11-11,13700,8630,110319,109770,2127,2047
2020-11-12,14345,8657,111689,110605,2139,2062
2020-11-13,15008,8725,113005,111443,2150,2077
2020-11-14,15688,8782,113990,112287,2163,2092
2020-11-15,16246,8723,114749,113137,2189,2107
2020-11-16,16545,8694,115668,113981,2217,2122
2020-11-17,16559,8707,117148,114822,2248,2136
2020-11-18,16731,8786,118788,115664,2272,2150
2020-11-19,16994,8917,120505,116514,2297,2164
2020-11-20,17384,9105,122162,117377,2318,2179
2020-11-21,17600,9372,123698,118258,2338,2194
2020-11-22,17390,9565,125311,119165,2360,2209
2020-11-23,17161,9782,127014,120090,2383,2224
2020-11-24,16952,10011,128902,121036,2405,2240
2020-11-25,17237,10042,130743,122005,2424,2256
2020-11-26,16759,9931,132996,122977,2438,2272
2020-11-27,16316,10219,135014,123938,2446,2288
2020-11-28,16082,10381,136445,124927,2456,2304
2020-11-29,16257,10295,137480,125931,2473,2320
2020-11-30,16394,10225,138750,126927,2494,2336
2020-12-01,16225,10168,140659,127916,2512,2352
2020-12-02,16549,10181,142635,128900,2529,2368
2020-12-03,17195,10239,144573,129885,2554,2383
2020-12-04,17939,10443,146417,130876,2587,2398
2020-12-05,18486,10656,148039,131886,2622,2414
2020-12-06,18495,10730,149623,132917,2664,2430
2020-12-07,17914,10788,151808,133955,2708,2446
2020-12-08,17516,10855,154073,134999,2750,2462
2020-12-09,18071,10837,155753,136049,2786,2478
2020-12-10,19353,10818,156863,137097,2827,2494
2020-12-11,20665,10816,158043,138144,2868,2510
2020-12-12,21222,10981,159727,139190,2910,2525
2020-12-13,21217,10898,161505,140252,2948,2541
2020-12-14,20951,10906,163385,141306,2983,2556
2020-12-15,20744,11001,165483,142361,3026,2571
2020-12-16,21067,11138,167614,143425,3067,2586
2020-12-17,21635,11298,169746,144503,3108,2601
2020-12-18,22399,11655,171813,145596,3147,2616
2020-12-19,22845,11991,173694,146724,3189,2632
