date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,852,4109,749,778,47,48
2020-04-13,883,3890,802,916,47,51
2020-04-14,938,4136,880,1047,50,54
2020-04-15,1023,4084,934,1186,54,57
2020-04-16,1130,4255,967,1324,59,60
2020-04-17,1233,4270,1029,1467,66,63
2020-04-18,1420,4382,1091,1611,71,66
2020-04-19,1615,4426,1167,1759,76,70
2020-04-20,1922,4529,1233,1908,79,74
2020-04-21,2114,4588,1318,2061,84,78
2020-04-22,2278,4666,1404,2216,89,82
2020-04-23,2434,4713,1508,2373,97,86
2020-04-24,2776,4790,1606,2532,105,90
2020-04-25,3150,4840,1742,2693,112,94
2020-04-26,3478,4907,1881,2856,119,98
2020-04-27,3751,4966,2028,3021,127,102
2020-04-28,4021,5040,2204,3188,137,106
2020-04-29,4211,5105,2429,3358,148,110
2020-04-30,4456,5145,2674,3530,160,114
2020-05-01,4804,5227,2917,3703,169,118
2020-05-02,5265,5284,3126,3879,176,122
2020-05-03,5669,5371,3322,4057,182,126
2020-05-04,6009,5477,3461,4238,193,130
2020-05-05,6248,5593,3620,4423,204,134
2020-05-06,6425,5700,3880,4611,219,139
2020-05-07,6491,5821,4251,4803,231,144
2020-05-08,6499,5934,4654,4999,242,149
2020-05-09,6492,6022,4950,5199,253,154
2020-05-10,6601,6130,5138,5402,262,159
2020-05-11,6799,6257,5340,5609,275,164
2020-05-12,6963,6387,5607,5820,288,169
2020-05-13,7054,6514,5934,6035,304,174
2020-05-14,7103,6641,6248,6254,320,179
2020-05-15,7111,6742,6573,6478,333,184
2020-05-16,7118,6816,6880,6705,344,189
2020-05-17,7159,6930,7135,6935,350,194
2020-05-18,7074,7072,7536,7169,357,200
2020-05-19,6981,7198,7938,7407,371,206
2020-05-20,6917,7303,8388,7650,390,212
2020-05-21,6981,7407,8704,7896,409,218
2020-05-22,7093,7486,9001,8146,426,224
2020-05-23,7218,7538,9217,8398,445,230
2020-05-24,7456,7652,9316,8652,463,236
2020-05-25,7535,7771,9495,8910,473,242
2020-05-26,7665,7921,9728,9172,483,248
2020-05-27,7671,8038,10055,9439,493,254
2020-05-28,7753,8158,10376,9710,508,260
2020-05-29,7699,8243,10710,9985,520,266
2020-05-30,7748,8293,10973,10263,530,273
2020-05-31,7756,8388,11202,10542,540,280
2020-06-01,7763,8511,11443,10825,550,287
2020-06-02,7695,8620,11748,11112,563,294
2020-06-03,7757,8727,12046,11402,572,301
2020-06-04,7843,8826,12327,11696,583,308
2020-06-05,8011,8881,12544,11993,591,315
2020-06-06,8148,8906,12701,12292,599,322
2020-06-07,8276,8986,12849,12592,607,329
2020-06-08,8288,9149,13081,12895,616,336
2020-06-09,8311,9334,13355,13203,624,343
2020-06-10,8315,9533,13665,13518,632,350
2020-06-11,8408,9707,13937,13839,638,357
2020-06-12,8533,9794,14169,14166,644,365
2020-06-13,8704,9770,14312,14496,648,373
2020-06-14,8811,9820,14444,14825,653,381
2020-06-15,8727,10036,14677,15156,658,389
2020-06-16,8595,10226,14979,15494,666,397
2020-06-17,8521,10411,15306,15839,673,405
2020-06-18,8617,10539,15569,16190,679,413
2020-06-19,8733,10558,15794,16545,683,421
2020-06-20,8943,10506,15949,16901,685,429
2020-06-21,9091,10554,16090,17255,687,437
2020-06-22,9209,10732,16295,17611,688,445
2020-06-23,9157,10897,16559,17973,689,453
2020-06-24,9305,11069,16818,18340,691,461
2020-06-25,9471,11174,17062,18713,697,469
2020-06-26,9754,11102,17265,19090,702,478
2020-06-27,9932,10897,17466,19464,705,486
2020-06-28,10126,10819,17646,19831,707,494
2020-06-29,8541,10971,19561,20196,711,502
2020-06-30,6874,11146,21556,20566,714,510
2020-07-01,5294,11332,23604,20942,717,518
2020-07-02,5380,11418,23979,21324,719,527
2020-07-03,5562,11371,24311,21709,721,536
2020-07-04,5731,11314,24560,22092,722,545
2020-07-05,5902,11310,24821,22473,722,554
2020-07-06,5932,11487,25151,22854,726,563
2020-07-07,5885,11637,25563,23241,730,572
2020-07-08,5972,11730,25969,23633,736,581
2020-07-09,6542,11708,26068,24028,740,590
2020-07-10,7173,11616,26111,24423,744,599
2020-07-11,7629,11415,26370,24814,747,608
2020-07-12,7854,11340,26628,25199,751,616
2020-07-13,7971,11527,26910,25581,754,624
2020-07-14,8023,11714,27225,25969,763,633
2020-07-15,8342,11746,27471,26364,771,642
2020-07-16,8792,11681,27690,26760,781,651
2020-07-17,9165,11500,27905,27154,785,660
2020-07-18,9486,11265,28068,27542,789,668
2020-07-19,9824,11143,28206,27922,793,676
2020-07-20,10097,11365,28396,28297,799,684
2020-07-21,10318,11598,28633,28680,806,692
2020-07-22,10495,11839,28933,29071,813,700
2020-07-23,10783,12051,29209,29470,820,709
2020-07-24,11048,12132,29499,29876,825,718
2020-07-25,11331,12210,29733,30285,828,727
2020-07-26,11530,12275,29952,30696,831,736
2020-07-27,11492,12519,30334,31110,834,745
2020-07-28,11365,12752,30874,31532,843,754
2020-07-29,11232,13013,31528,31962,852,763
2020-07-30,11177,13274,32180,32400,863,772
2020-07-31,11203,13498,32704,32847,870,781
2020-08-01,11305,13650,33077,33302,874,791
2020-08-02,11472,13830,33290,33762,878,801
2020-08-03,11378,14204,33692,34228,883,811
2020-08-04,11149,14523,34285,34707,890,821
2020-08-05,10913,14845,35062,35196,900,831
2020-08-06,10741,15140,35828,35696,909,841
2020-08-07,10582,15340,36544,36206,918,852
2020-08-08,10514,15407,37060,36723,924,863
2020-08-09,10551,15526,37392,37242,930,874
2020-08-10,10488,15895,37776,37765,937,885
2020-08-11,10313,16239,38296,38301,944,896
2020-08-12,10038,16457,38964,38848,953,907
2020-08-13,9991,16624,39579,39403,961,918
2020-08-14,10104,16635,40154,39963,970,929
2020-08-15,10385,16381,40555,40524,979,940
2020-08-16,10604,16364,40858,41076,985,951
2020-08-17,10580,16467,41253,41627,992,962
2020-08-18,10495,16552,41690,42182,999,973
2020-08-19,10525,16613,42218,42740,1009,984
2020-08-20,10777,16474,42667,43300,1018,995
2020-08-21,11077,16251,43183,43855,1026,1006
2020-08-22,11335,15841,43556,44403,1033,1017
2020-08-23,11579,15710,43832,44937,1039,1028
2020-08-24,11771,15754,44169,45466,1047,1038
2020-08-25,12076,15675,44639,45997,1059,1048
2020-08-26,13018,15561,45209,46525,1073,1058
2020-08-27,14215,15504,45736,47049,1090,1068
2020-08-28,15305,15362,46238,47571,1099,1078
2020-08-29,15965,15124,46607,48089,1107,1088
2020-08-30,16477,15083,46862,48599,1111,1098
2020-08-31,16872,15219,47204,49107,1119,1108
2020-09-01,16979,15433,47711,49620,1126,1118
2020-09-02,17212,15642,48324,50140,1131,1128
2020-09-03,17627,15803,48863,50667,1142,1138
2020-09-04,18211,15790,49345,51200,1152,1148
2020-09-05,18660,15660,49726,51732,1163,1158
2020-09-06,18977,15688,50003,52260,1167,1168
2020-09-07,19098,15867,50318,52789,1174,1178
2020-09-08,19116,16185,50748,53324,1186,1188
2020-09-09,19141,16441,51351,53869,1198,1198
2020-09-10,19290,16691,51985,54423,1209,1208
2020-09-11,19509,16813,52632,54985,1213,1219
2020-09-12,19757,16832,53118,55552,1218,1230
2020-09-13,19961,16968,53467,56119,1220,1241
2020-09-14,19993,17284,53934,56691,1226,1252
