date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,2463,4972,301,449,97,103
2020-04-13,2434,4637,401,748,101,116
2020-04-14,2417,4762,602,1027,110,128
2020-04-15,2434,4545,803,1313,120,140
2020-04-16,2459,4630,1003,1586,130,152
2020-04-17,2453,4501,1204,1865,140,164
2020-04-18,2458,4540,1405,2136,150,176
2020-04-19,2487,4410,1606,2409,160,188
2020-04-20,2524,4469,1806,2674,170,200
2020-04-21,2519,4471,2007,2943,181,212
2020-04-22,2521,4539,2208,3212,192,224
2020-04-23,2550,4541,2409,3485,201,236
2020-04-24,2616,4615,2609,3758,210,248
2020-04-25,2658,4603,2810,4036,219,260
2020-04-26,2671,4594,3011,4313,225,272
2020-04-27,2672,4638,3212,4589,231,284
2020-04-28,2683,4734,3413,4868,239,296
2020-04-29,2711,4799,3614,5153,250,309
2020-04-30,2785,4916,3816,5442,264,322
2020-05-01,2862,5041,4017,5738,277,335
2020-05-02,2891,5123,4219,6041,291,349
2020-05-03,2880,5191,4441,6349,301,363
2020-05-04,2876,5308,4684,6661,318,377
2020-05-05,2879,5429,4948,6980,342,391
2020-05-06,2857,5538,5212,7307,370,406
2020-05-07,2864,5683,5476,7640,393,421
2020-05-08,2903,5804,5740,7982,408,436
2020-05-09,2899,5834,6004,8331,420,452
2020-05-10,2842,5944,6247,8682,428,468
2020-05-11,2785,6115,6469,9040,440,484
2020-05-12,2767,6304,6671,9408,452,501
2020-05-13,2820,6482,6873,9787,467,518
2020-05-14,2904,6661,7075,10177,479,536
2020-05-15,3031,6836,7277,10578,494,554
2020-05-16,3086,6916,7479,10989,508,573
2020-05-17,3069,6943,7695,11405,519,592
2020-05-18,3017,7084,7926,11823,534,611
2020-05-19,2979,7199,8172,12249,550,631
2020-05-20,2978,7334,8418,12682,568,651
2020-05-21,3027,7460,8663,13123,581,671
2020-05-22,3111,7567,8909,13572,597,692
2020-05-23,3196,7562,9155,14027,612,713
2020-05-24,3212,7575,9404,14482,625,734
2020-05-25,3188,7544,9658,14938,637,755
2020-05-26,3177,7626,9915,15392,652,776
2020-05-27,3205,7702,10173,15851,671,797
2020-05-28,3282,7804,10430,16314,691,818
2020-05-29,3402,7889,10688,16783,708,840
2020-05-30,3514,7829,10945,17258,722,862
2020-05-31,3550,7767,11219,17729,732,884
2020-06-01,3516,7854,11510,18196,746,905
2020-06-02,3458,7897,11818,18668,762,927
2020-06-03,3401,7957,12125,19143,781,949
2020-06-04,3324,8025,12433,19622,793,971
2020-06-05,3247,8021,12740,20105,802,993
2020-06-06,3168,7750,13048,20588,810,1015
2020-06-07,3191,7583,13347,21054,821,1036
2020-06-08,3250,7673,13637,21510,833,1057
2020-06-09,3354,7754,13918,21972,852,1078
2020-06-10,3297,7880,14199,22438,867,1099
2020-06-11,3327,8027,14480,22912,878,1121
2020-06-12,3330,8072,14761,23395,883,1143
2020-06-13,3389,7869,15042,23881,887,1165
2020-06-14,3343,7788,15320,24354,891,1186
2020-06-15,3325,7871,15597,24823,900,1207
2020-06-16,3408,7938,15871,25296,918,1228
2020-06-17,3395,8034,16145,25774,938,1250
2020-06-18,3268,8086,16419,26257,954,1272
2020-06-19,2986,8080,16693,26743,962,1294
2020-06-20,2704,7837,16967,27229,970,1316
2020-06-21,2976,7685,17252,27700,975,1337
2020-06-22,3427,7761,17548,28162,981,1358
2020-06-23,4036,7847,17855,28629,992,1379
2020-06-24,4446,7943,18161,29101,1005,1400
2020-06-25,4851,8018,18468,29579,1016,1421
2020-06-26,5239,8006,18774,30061,1024,1442
2020-06-27,5383,7756,19081,30543,1032,1463
2020-06-28,5534,7678,19418,31010,1044,1484
2020-06-29,5726,7814,19785,31472,1057,1504
2020-06-30,5985,7945,20182,31942,1071,1525
2020-07-01,6311,8065,20579,32420,1082,1546
2020-07-02,6716,8149,20976,32905,1092,1567
2020-07-03,7236,8050,21373,33395,1100,1588
2020-07-04,7542,7903,21770,33879,1107,1609
2020-07-05,7620,7699,22213,34354,1110,1630
2020-07-06,7626,7711,22704,34817,1127,1650
2020-07-07,7724,7724,23242,35281,1153,1670
2020-07-08,7934,7801,23780,35746,1183,1690
2020-07-09,8180,7810,24318,36215,1202,1710
2020-07-10,8472,7781,24856,36685,1216,1730
2020-07-11,8817,7558,25394,37153,1231,1750
2020-07-12,8924,7501,25961,37608,1243,1769
2020-07-13,9021,7544,26558,38059,1257,1788
