date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,1268,1417,117,128,31,31
2020-04-13,1244,1614,156,140,32,31
2020-04-14,1185,1836,234,153,35,31
2020-04-15,1158,2069,312,168,38,31
2020-04-16,1151,2309,364,185,41,31
2020-04-17,1164,2543,411,204,42,31
2020-04-18,1147,2772,454,225,43,31
2020-04-19,1102,2988,519,248,44,31
2020-04-20,1059,3196,588,273,45,31
2020-04-21,1025,3389,651,300,48,31
2020-04-22,1016,3570,712,328,51,31
2020-04-23,977,3743,793,358,54,31
2020-04-24,939,3902,869,389,56,31
2020-04-25,901,4042,926,422,57,31
2020-04-26,882,4165,953,456,58,31
2020-04-27,870,4297,986,491,59,31
2020-04-28,836,4417,1036,527,61,32
2020-04-29,818,4518,1082,564,62,33
2020-04-30,794,4610,1127,602,62,34
2020-05-01,787,4698,1170,641,63,35
2020-05-02,747,4775,1234,680,64,36
2020-05-03,717,4859,1295,720,64,37
2020-05-04,692,4954,1342,761,64,38
2020-05-05,700,5043,1365,802,65,39
2020-05-06,710,5121,1378,844,66,40
2020-05-07,705,5188,1399,887,67,41
2020-05-08,699,5243,1420,930,68,42
2020-05-09,685,5277,1450,974,69,43
2020-05-10,682,5313,1480,1018,69,44
2020-05-11,689,5369,1502,1062,70,45
2020-05-12,695,5430,1517,1107,70,46
2020-05-13,708,5494,1533,1152,71,47
2020-05-14,704,5554,1555,1198,72,48
2020-05-15,728,5602,1572,1244,73,49
2020-05-16,726,5617,1597,1291,73,50
2020-05-17,735,5642,1622,1338,74,51
2020-05-18,726,5703,1642,1385,75,52
2020-05-19,741,5773,1655,1433,76,53
2020-05-20,743,5838,1668,1481,78,54
2020-05-21,765,5886,1692,1530,78,55
2020-05-22,772,5886,1714,1579,79,56
2020-05-23,751,5864,1775,1628,79,57
2020-05-24,672,5808,1863,1677,80,58
2020-05-25,561,5757,1985,1726,80,59
2020-05-26,509,5818,2061,1774,80,60
2020-05-27,489,5867,2128,1823,81,61
2020-05-28,505,5916,2160,1872,81,62
2020-05-29,498,5928,2201,1921,82,63
2020-05-30,497,5948,2225,1971,82,64
2020-05-31,496,5978,2249,2021,82,65
2020-06-01,524,6056,2263,2071,83,66
2020-06-02,547,6125,2271,2122,83,67
2020-06-03,583,6199,2286,2173,83,68
2020-06-04,610,6249,2318,2225,83,69
2020-06-05,636,6284,2360,2277,84,70
2020-06-06,627,6324,2418,2330,84,71
2020-06-07,604,6488,2467,2383,84,72
2020-06-08,597,6663,2501,2437,85,73
2020-06-09,614,6847,2524,2493,85,74
2020-06-10,598,7049,2563,2550,86,75
2020-06-11,583,7219,2622,2609,86,76
2020-06-12,539,7296,2696,2669,87,77
2020-06-13,509,7319,2772,2730,87,78
2020-06-14,460,7359,2836,2791,87,79
2020-06-15,462,7478,2870,2853,88,80
2020-06-16,518,7572,2891,2916,88,81
2020-06-17,587,7645,2937,2979,88,82
2020-06-18,652,7727,3007,3043,89,83
2020-06-19,689,7808,3094,3108,89,84
2020-06-20,663,7889,3208,3173,89,85
2020-06-21,685,7824,3314,3239,89,86
2020-06-22,695,7871,3388,3304,89,87
2020-06-23,784,7988,3431,3370,89,88
2020-06-24,918,8060,3499,3437,90,89
2020-06-25,1018,8087,3602,3504,90,90
2020-06-26,1211,8108,3716,3572,90,91
2020-06-27,1237,8053,3841,3640,91,92
2020-06-28,1413,7947,3961,3707,91,93
2020-06-29,1595,7975,4043,3773,92,94
2020-06-30,1861,7998,4126,3840,92,95
2020-07-01,2035,7999,4233,3907,92,96
2020-07-02,2250,7882,4309,3974,93,97
2020-07-03,2507,7656,4385,4040,93,98
2020-07-04,2811,7394,4461,4104,93,99
2020-07-05,3135,7184,4489,4166,94,100
2020-07-06,3498,7218,4514,4226,96,101
2020-07-07,3884,7275,4539,4286,97,102
2020-07-08,4311,7377,4570,4347,98,103
2020-07-09,4735,7420,4608,4409,99,104
2020-07-10,5200,7462,4653,4471,101,105
2020-07-11,5646,7456,4698,4533,102,106
2020-07-12,6085,7413,4750,4595,102,107
2020-07-13,6424,7501,4816,4657,102,108
2020-07-14,6854,7573,4898,4720,105,109
2020-07-15,7316,7646,5009,4783,109,110
2020-07-16,7851,7698,5147,4847,114,111
2020-07-17,8310,7750,5303,4911,117,112
2020-07-18,8729,7766,5461,4976,120,113
2020-07-19,9075,7582,5619,5041,121,114
2020-07-20,9410,7471,5788,5104,123,115
2020-07-21,9717,7383,5960,5166,127,116
2020-07-22,10002,7304,6159,5228,133,117
2020-07-23,10252,7153,6383,5289,139,118
2020-07-24,10314,6928,6632,5349,143,119
2020-07-25,10546,6759,6878,5407,145,120
2020-07-26,10778,6633,7119,5464,148,121
2020-07-27,11187,6687,7357,5519,152,122
2020-07-28,11437,6757,7597,5575,161,123
2020-07-29,11698,6855,7844,5632,170,124
2020-07-30,11927,6933,8104,5689,179,125
2020-07-31,12133,6984,8369,5747,187,126
2020-08-01,12190,6992,8593,5805,195,127
2020-08-02,12295,7185,8802,5863,199,128
2020-08-03,12461,7402,9008,5923,203,129
2020-08-04,12744,7606,9251,5985,209,130
2020-08-05,13035,7791,9530,6049,216,131
2020-08-06,13301,7974,9820,6114,223,132
2020-08-07,13604,8180,10108,6181,229,133
2020-08-08,13786,8358,10346,6249,233,134
2020-08-09,13952,8407,10569,6319,237,135
2020-08-10,14114,8608,10770,6389,241,136
2020-08-11,14387,8800,10979,6461,246,137
2020-08-12,14660,9003,11210,6535,250,138
2020-08-13,14929,9204,11460,6610,255,140
2020-08-14,15096,9395,11733,6687,262,142
2020-08-15,15176,9563,11989,6766,269,144
2020-08-16,15164,9713,12253,6846,272,146
2020-08-17,15200,10011,12495,6927,276,148
2020-08-18,15276,10267,12755,7011,281,150
2020-08-19,15376,10522,13038,7097,289,152
2020-08-20,15412,10884,13343,7185,296,154
2020-08-21,15411,11146,13664,7276,302,156
2020-08-22,15361,11448,13955,7369,306,158
2020-08-23,15303,11610,14241,7465,309,160
2020-08-24,15325,11824,14482,7562,315,162
2020-08-25,15375,12046,14731,7661,325,164
2020-08-26,15454,12237,14994,7762,335,166
2020-08-27,15465,12490,15277,7864,344,168
2020-08-28,15483,12731,15551,7968,351,170
2020-08-29,15450,12969,15828,8074,356,172
2020-08-30,15420,13053,16090,8182,359,174
2020-08-31,15383,13266,16352,8291,362,176
2020-09-01,15405,13458,16593,8402,368,178
2020-09-02,15389,13672,16884,8515,375,180
2020-09-03,15389,13825,17159,8629,380,182
2020-09-04,15371,13887,17445,8745,382,184
2020-09-05,15363,13762,17696,8861,384,186
2020-09-06,15287,13636,17952,8976,386,188
2020-09-07,15223,13550,18182,9090,388,190
2020-09-08,15570,13749,18387,9203,399,192
2020-09-09,15607,13931,18637,9318,405,195
2020-09-10,15643,14070,18917,9435,413,198
2020-09-11,15217,14041,19282,9553,412,201
2020-09-12,15066,14003,19650,9670,416,204
2020-09-13,14918,14021,19990,9787,418,207
2020-09-14,14872,14175,20248,9904,420,210
2020-09-15,14917,14296,20471,10023,423,213
2020-09-16,14969,14451,20733,10143,428,216
2020-09-17,15059,14579,21021,10264,433,219
2020-09-18,15160,14721,21301,10386,437,222
2020-09-19,15258,14860,21534,10509,440,225
2020-09-20,15364,14943,21739,10633,443,228
2020-09-21,15537,15099,21929,10758,447,231
2020-09-22,15762,15229,22118,10884,450,234
2020-09-23,16003,15400,22317,11011,454,237
2020-09-24,16264,15562,22524,11140,456,240
2020-09-25,16574,15740,22730,11270,458,243
2020-09-26,16805,15965,22919,11402,460,246
2020-09-27,17017,16035,23094,11536,462,249
2020-09-28,17227,16173,23262,11670,463,252
2020-09-29,17572,16401,23431,11805,465,255
2020-09-30,17931,16701,23615,11942,468,258
2020-10-01,18338,16947,23806,12082,471,261
2020-10-02,18688,17258,24004,12224,475,264
2020-10-03,18964,17500,24192,12368,478,267
2020-10-04,19168,17696,24378,12514,483,270
2020-10-05,19442,17970,24560,12662,487,273
2020-10-06,19850,18280,24742,12812,493,277
2020-10-07,20332,18571,24923,12965,498,281
2020-10-08,20808,18873,25111,13120,503,285
2020-10-09,21257,19158,25309,13278,505,289
2020-10-10,21597,19472,25513,13438,508,293
2020-10-11,21912,19608,25722,13601,509,297
2020-10-12,22212,19815,25936,13765,510,301
2020-10-13,22616,20081,26139,13931,512,305
2020-10-14,23035,20229,26366,14099,515,309
2020-10-15,23621,20256,26596,14268,518,313
2020-10-16,24260,20371,26849,14437,523,317
2020-10-17,24852,20599,27081,14607,526,321
2020-10-18,25289,20800,27336,14779,529,325
2020-10-19,25721,21120,27596,14953,531,329
2020-10-20,26278,21505,27886,15130,537,333
2020-10-21,26895,21940,28198,15310,544,337
2020-10-22,27562,22403,28526,15494,553,341
2020-10-23,28247,23032,28846,15681,562,346
2020-10-24,28874,23756,29127,15874,569,351
2020-10-25,29378,24212,29406,16073,575,356
2020-10-26,29851,24630,29672,16276,579,361
