date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,6365,6458,43,323,381,394
2020-04-13,6499,6569,57,607,398,407
2020-04-14,6831,6734,86,896,434,421
2020-04-15,7248,6881,114,1192,469,435
2020-04-16,7787,7044,143,1495,508,449
2020-04-17,8528,7199,172,1805,547,463
2020-04-18,9524,7350,201,2121,585,478
2020-04-19,10730,7430,229,2444,622,493
2020-04-20,11831,7506,258,2771,659,508
2020-04-21,12600,7614,287,3101,700,523
2020-04-22,13121,7733,316,3436,741,539
2020-04-23,13532,7835,344,3776,784,555
2020-04-24,13953,7980,373,4120,824,571
2020-04-25,14307,8066,402,4471,867,587
2020-04-26,14622,8142,430,4826,909,604
2020-04-27,14936,8204,459,5184,960,621
2020-04-28,15304,8281,488,5545,1007,638
2020-04-29,15800,8357,517,5909,1049,655
2020-04-30,16390,8462,545,6276,1089,672
2020-05-01,16998,8587,574,6648,1129,689
2020-05-02,17553,8764,603,7026,1174,707
2020-05-03,18063,8874,632,7411,1212,725
2020-05-04,18552,8958,651,7801,1249,743
2020-05-05,18840,9013,881,8195,1285,761
2020-05-06,18912,9102,1321,8591,1325,779
2020-05-07,18894,9217,1982,8991,1365,797
2020-05-08,18900,9400,2643,9396,1405,816
2020-05-09,18852,9645,3303,9809,1443,835
2020-05-10,18745,9810,3964,10233,1476,855
2020-05-11,18568,9927,4625,10664,1509,875
2020-05-12,18420,10054,5286,11100,1543,895
2020-05-13,18252,10202,5947,11542,1577,915
2020-05-14,18123,10392,6607,11991,1614,936
2020-05-15,18011,10691,7268,12448,1649,957
2020-05-16,17834,11093,7929,12918,1687,979
2020-05-17,17637,11352,8590,13406,1723,1001
2020-05-18,17433,11475,9251,13905,1759,1024
2020-05-19,17244,11589,9911,14409,1792,1047
2020-05-20,17121,11766,10572,14918,1825,1070
2020-05-21,17041,12052,11233,15435,1858,1094
2020-05-22,17000,12619,11894,15965,1895,1118
2020-05-23,16887,13351,12555,16520,1929,1143
2020-05-24,16755,14011,13215,17107,1962,1170
2020-05-25,16602,14488,13876,17723,1986,1198
2020-05-26,16426,14690,14537,18360,2011,1227
2020-05-27,16222,14848,15198,19006,2033,1256
2020-05-28,16056,15029,15859,19659,2058,1285
2020-05-29,15904,15370,16519,20320,2081,1315
2020-05-30,15750,15842,17180,20996,2107,1345
2020-05-31,15535,16137,17841,21692,2134,1376
2020-06-01,15286,16321,18502,22401,2161,1408
2020-06-02,15025,16490,19163,23119,2187,1440
2020-06-03,14774,16703,19823,23844,2211,1472
2020-06-04,14559,16960,20484,24578,2234,1505
2020-06-05,14317,17466,21145,25324,2255,1538
2020-06-06,14037,18180,21806,26092,2272,1572
2020-06-07,13719,18662,22467,26891,2288,1607
2020-06-08,13396,18946,23127,27711,2302,1643
2020-06-09,13087,19151,23788,28544,2316,1680
2020-06-10,12801,19262,24449,29386,2330,1717
2020-06-11,12544,19551,25110,30233,2347,1754
2020-06-12,12289,20115,25771,31093,2366,1791
2020-06-13,11988,20870,26431,31977,2388,1829
2020-06-14,11693,21296,27092,32895,2406,1869
2020-06-15,11405,21514,27753,33831,2420,1910
2020-06-16,11157,21700,28414,34777,2431,1951
2020-06-17,11000,21892,29075,35731,2443,1992
2020-06-18,10899,22122,29735,36693,2457,2033
2020-06-19,10838,22707,30396,37666,2470,2075
2020-06-20,10729,23587,31057,38664,2480,2118
2020-06-21,10659,24036,31718,39701,2491,2162
2020-06-22,10608,24181,32379,40758,2503,2207
2020-06-23,10587,24308,33039,41821,2515,2252
2020-06-24,10620,24520,33700,42890,2525,2297
2020-06-25,10786,24803,34361,43968,2535,2342
